Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,1440949000.0,,,,,1180008000.0,260941000.0,5578000.0,,51829000.0,114797000.0,1.07,1.07,107355000.0,107764000.0,50502000.0,,,,187216000.0,,44543000.0,1086786000.0,,8531950000.0,,168233000.0,109788000.0,12158200000.0,261203000.0,105112000.0,,1227109000.0,,1696990000.0,,130458000.0,,1239865000.0,-169180000.0,3479548000.0,12158200000.0,229964000.0,,50972000.0,7133000.0,-13577000.0,,5542000.0,45313000.0,,-51926000.0,201414000.0,,,,,,378579000.0,,-3850000.0,-277869000.0,254612000.0,,-18421000.0,-94876000.0,-3944000.0
2010-09-30,2580034000.0,,,,,1915468000.0,664566000.0,11595000.0,,168143000.0,342703000.0,3.24,3.22,108632000.0,109094000.0,195915000.0,,,,134012000.0,,43983000.0,1243332000.0,,8527699000.0,,178666000.0,112797000.0,12435487000.0,253565000.0,141547000.0,,967807000.0,,1868860000.0,,127243000.0,,1473683000.0,-173260000.0,3716926000.0,12435487000.0,350762000.0,,281486000.0,103973000.0,-19011000.0,,51659000.0,36687000.0,,-28547000.0,569500000.0,,,,,,552707000.0,,-9621000.0,-377219000.0,255156000.0,,-141744000.0,50537000.0,-22165000.0
2010-12-31,3263645000.0,,,,,2539761000.0,723884000.0,18670000.0,,164321000.0,350053000.0,3.28,3.27,106573000.0,107138000.0,110188000.0,,,,94602000.0,,28362000.0,931930000.0,,8687756000.0,,184952000.0,116216000.0,12362703000.0,236354000.0,139063000.0,,1310736000.0,,1833566000.0,,132031000.0,,1423961000.0,-159767000.0,3683327000.0,12362703000.0,472807000.0,,260411000.0,67943000.0,-12276000.0,,43189000.0,9125000.0,,-101456000.0,750457000.0,,,,,,748374000.0,,-8576000.0,-575900000.0,255971000.0,,-209747000.0,-35190000.0,-23447000.0
2011-03-31,659575000.0,,,,,622434000.0,37141000.0,5386000.0,,-5649000.0,-15135000.0,-0.14,-0.14,108832000.0,108832000.0,114193000.0,,,,124244000.0,,31868000.0,958017000.0,,8690431000.0,,182855000.0,64429000.0,12302890000.0,215968000.0,103363000.0,,1674212000.0,,1775368000.0,,144770000.0,,1351716000.0,-149321000.0,3631411000.0,12302890000.0,123298000.0,,-41005000.0,-75528000.0,-21421000.0,,33129000.0,-24543000.0,,35421000.0,243496000.0,,,,,,191553000.0,,1879000.0,-192795000.0,11727000.0,,-46696000.0,4005000.0,0.0
2011-06-30,1448646000.0,,,,,1215870000.0,232776000.0,8639000.0,144003000.0,50818000.0,86685000.0,0.8,0.79,109044000.0,109718000.0,92274000.0,,,,113243000.0,,30103000.0,1036853000.0,,8676011000.0,,177845000.0,63726000.0,12474080000.0,271759000.0,132801000.0,,1831294000.0,,1825077000.0,,142191000.0,,1323892000.0,-142675000.0,3613705000.0,12474080000.0,245700000.0,,11945000.0,-43271000.0,18226000.0,,26185000.0,37817000.0,,57748000.0,436279000.0,,,,,,387272000.0,,2352000.0,-328329000.0,14520000.0,,-125864000.0,-17914000.0,
2011-09-30,2573487000.0,,,,,1905694000.0,667793000.0,13406000.0,512319000.0,176229000.0,,3.0,2.98,109128000.0,109861000.0,564712000.0,,,,107732000.0,,29183000.0,1591235000.0,,8738646000.0,,176401000.0,63731000.0,13150363000.0,281647000.0,150764000.0,,1783268000.0,,1955458000.0,,170928000.0,,1579240000.0,-121544000.0,3894085000.0,13150363000.0,370107000.0,,131582000.0,47410000.0,25532000.0,,10678000.0,29340000.0,,74565000.0,920506000.0,,,,,,643261000.0,,2346000.0,-534292000.0,14953000.0,,68310000.0,454524000.0,5676000.0
2011-12-31,3241379000.0,,,,,2494871000.0,746508000.0,16367000.0,539238000.0,183604000.0,,3.11,3.09,109053000.0,109864000.0,33583000.0,,,,-1794817000.0,,26904000.0,956470000.0,,9043980000.0,,170571000.0,64588000.0,13111018000.0,326987000.0,148616000.0,,1342705000.0,,1925388000.0,,217934000.0,,1534483000.0,-152163000.0,3821850000.0,13111018000.0,493784000.0,,176192000.0,-40626000.0,23398000.0,,41722000.0,58346000.0,,58484000.0,1125583000.0,,,,,,884350000.0,,3306000.0,-782007000.0,15841000.0,,-420181000.0,-76605000.0,10324000.0
2012-03-31,620631000.0,,,,,572624000.0,48007000.0,1448000.0,-4361000.0,-4645000.0,,-0.08,-0.08,109299000.0,109299000.0,20710000.0,,,,141224000.0,,32219000.0,904800000.0,,9152805000.0,,170198000.0,64415000.0,13183914000.0,265975000.0,115618000.0,,1157899000.0,,1918995000.0,,219700000.0,,1468869000.0,-167777000.0,3744917000.0,13183914000.0,118487000.0,,-1989000.0,-52264000.0,13753000.0,,21469000.0,-39355000.0,,22362000.0,115335000.0,,,,,,240973000.0,,533000.0,-235099000.0,4289000.0,,106891000.0,-12873000.0,-650000.0
2012-06-30,1499207000.0,,,,,1196711000.0,302496000.0,4131000.0,207619000.0,76689000.0,,1.12,1.11,109491000.0,110359000.0,11228000.0,,,,87690000.0,,33496000.0,947416000.0,,9205089000.0,,163727000.0,64800000.0,13214407000.0,316329000.0,139561000.0,,1104323000.0,,1946540000.0,,209645000.0,,1476259000.0,-150318000.0,3778035000.0,13214407000.0,239743000.0,,66142000.0,21424000.0,21012000.0,,1692000.0,9199000.0,,5035000.0,458635000.0,,,,,,424775000.0,,525000.0,-414722000.0,8869000.0,,-66268000.0,-22355000.0,-649000.0
2012-09-30,2608682000.0,,,,,1858216000.0,750466000.0,4563000.0,603248000.0,219160000.0,,3.28,3.25,109555000.0,110655000.0,79479000.0,,,,95487000.0,,28062000.0,1098852000.0,,9214182000.0,,152665000.0,62428000.0,13460286000.0,231151000.0,157281000.0,,949348000.0,,2115316000.0,,248082000.0,,1721050000.0,-119475000.0,4056242000.0,13460286000.0,360570000.0,,206501000.0,76697000.0,23873000.0,,15205000.0,-69776000.0,,37181000.0,929471000.0,,,,,,670684000.0,,520000.0,-653118000.0,9684000.0,,-230457000.0,45896000.0,-651000.0
2012-12-31,3301804000.0,,,,,2450049000.0,851755000.0,4200000.0,656310000.0,237317000.0,,3.48,3.45,109510000.0,110527311.0,26202000.0,,,,-1999180000.0,,37102000.0,1005726000.0,,9416754000.0,,162150000.0,62694000.0,13379615000.0,221312000.0,171573000.0,,1083542000.0,,2151371000.0,,283654000.0,,1624102000.0,-114008000.0,3972806000.0,13379615000.0,481262000.0,,228602000.0,-14587000.0,23043000.0,,-6872000.0,-96600000.0,,29801000.0,1171122000.0,,,,,,889551000.0,,1099000.0,-872994000.0,15955000.0,,-305509000.0,-7381000.0,2543000.0
2013-03-31,686652000.0,,,,,599729000.0,86923000.0,3870000.0,45305000.0,12469000.0,,0.22,0.22,109832000.0,110835000.0,25109000.0,,,,75866000.0,,39050000.0,871777000.0,,9497200000.0,,162978000.0,64325000.0,13300927000.0,212078000.0,124456000.0,,891511000.0,,2064476000.0,,307253000.0,,1648521000.0,-107931000.0,4014455000.0,13300927000.0,124344000.0,,12163000.0,-3931000.0,9386000.0,,31202000.0,11925000.0,,37904000.0,212157000.0,,,,,,182859000.0,,470000.0,-176720000.0,9441000.0,,-36530000.0,-1093000.0,425000.0
2013-06-30,1602474000.0,,,,,1255739000.0,346735000.0,8370000.0,261946000.0,89512000.0,,1.42,1.4,109962000.0,110932000.0,27803000.0,,,,105146000.0,,42717000.0,1066289000.0,,9481081000.0,,162715000.0,64304000.0,13562694000.0,287368000.0,154196000.0,,1537218000.0,,2175865000.0,,191259000.0,,1659868000.0,-104457000.0,4032165000.0,13562694000.0,249482000.0,,68526000.0,79408000.0,4002000.0,,23796000.0,85563000.0,,21753000.0,454256000.0,,,,,,376601000.0,,262000.0,-371878000.0,9751000.0,,-80777000.0,1601000.0,-9000.0
2013-09-30,2754866000.0,,,,,1992443000.0,762423000.0,6664000.0,628576000.0,221424000.0,,3.47,3.44,110009000.0,111053000.0,135457000.0,,,,87490000.0,,36805000.0,1350486000.0,,9496497000.0,,160134000.0,60219000.0,13822671000.0,250023000.0,181639000.0,,1446943000.0,,2363783000.0,,178053000.0,,1886038000.0,-89335000.0,4275804000.0,13822671000.0,377971000.0,,256132000.0,178029000.0,8914000.0,,24345000.0,44704000.0,,-2884000.0,882330000.0,,,,,,581515000.0,,1553000.0,-571956000.0,10396000.0,,-201119000.0,109255000.0,3412000.0
