Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,32688000000.0,,,,8991000000.0,,,,,21000000.0,3124000000.0,7.68,7.63,,,13164000000.0,,,,0.0,,,,,,,,,480203000000.0,,,,,,,,,454474000000.0,13787000000.0,-443000000.0,25195000000.0,480203000000.0,,,123000000.0,,,,,,,,5840000000.0,42911000000.0,,,1018000000.0,,,,193000000.0,2429000000.0,1391000000.0,2000000.0,-10421000000.0,-1864000000.0,-109000000.0
2010-03-31,9292000000.0,,,,2281000000.0,,,,,353000000.0,697000000.0,1.16,1.15,,,9626000000.0,,,,,,,,,,,,,491861000000.0,,,,,,,,,464355000000.0,14478000000.0,620000000.0,27000000000.0,491861000000.0,,,,,,,,,,,-51000000.0,9600000000.0,,,117000000.0,,,,-137000000.0,-3670000000.0,,5000000.0,285000000.0,-3538000000.0,
2010-09-30,30308000000.0,,,,7169000000.0,,,,,1306000000.0,3018000000.0,5.38,5.31,,,11973000000.0,,,,,,,,,,,,,526924000000.0,,,,,,,,,492856000000.0,16794000000.0,4729000000.0,33546000000.0,526924000000.0,,,,,,,,,,,4604000000.0,27860000000.0,11762000000.0,8961000000.0,641000000.0,,,,-414000000.0,-6130000000.0,0.0,11000000.0,258000000.0,-1191000000.0,
2010-12-31,38414000000.0,,,,,,,,,1310000000.0,3195000000.0,,,,,12915000000.0,,,,-6050000000.0,,,,,,707000000.0,352000000.0,,539854000000.0,,,,,,,,,506926000000.0,16381000000.0,2978000000.0,32415000000.0,539854000000.0,,,1665000000.0,,,,,,,,6542000000.0,38213000000.0,17346000000.0,11214000000.0,824000000.0,,,,-422000000.0,-8522000000.0,970000000.0,12000000.0,1613000000.0,-249000000.0,893000000.0
2011-03-31,10186000000.0,,,,,,,,,190000000.0,608000000.0,,,,,10995000000.0,,,,,,,,,,,,,599008000000.0,,,,,,,,,565762000000.0,16978000000.0,2564000000.0,32696000000.0,599008000000.0,,,,,,,,,,,2231000000.0,8048000000.0,3931000000.0,3141000000.0,174000000.0,,,,282000000.0,-3932000000.0,,6000000.0,-171000000.0,-1920000000.0,
2011-06-30,22433000000.0,,,,,,,,,522000000.0,1446000000.0,,,,,13909000000.0,,,,,,,,,,,,,613377000000.0,,,,,,,,,577741000000.0,17811000000.0,4014000000.0,35043000000.0,613377000000.0,,,,,,,,,,,5174000000.0,23088000000.0,9258000000.0,10929000000.0,539000000.0,,,,201000000.0,-6307000000.0,,9000000.0,2048000000.0,994000000.0,
2011-09-30,37350000000.0,,,,,,,,,1370000000.0,2980000000.0,,,,,15526000000.0,,,,,,,,,,,,,611473000000.0,,,,,,,,,573669000000.0,19332000000.0,5292000000.0,37149000000.0,611473000000.0,,,,,,,,,,,10821000000.0,38963000000.0,,,1252000000.0,,,,-119000000.0,-10984000000.0,,13000000.0,2593000000.0,2611000000.0,
2011-12-31,49045000000.0,,,,,,,,,1599000000.0,3666000000.0,,,,,14251000000.0,,,,-8052000000.0,,,,,,-888000000.0,335000000.0,,624521000000.0,,,,,,,,,586710000000.0,19281000000.0,5563000000.0,37223000000.0,624521000000.0,,,1152000000.0,,,,,,,,12377000000.0,52045000000.0,,,1865000000.0,,,,-182000000.0,-13295000000.0,0.0,20000000.0,2099000000.0,1336000000.0,809000000.0
2012-03-31,9623000000.0,,,,,,,,,171000000.0,-967000000.0,-2.09,-2.09,,,14201000000.0,,,,,,,,,,,,,637737000000.0,,,,,,,,,602199000000.0,15339000000.0,7226000000.0,34942000000.0,637737000000.0,,,,,,,,,,,767000000.0,13573000000.0,,,277000000.0,,,,-16000000.0,-2224000000.0,,44000000.0,1519000000.0,-50000000.0,
2012-06-30,25759000000.0,,,,,,,,,903000000.0,2198000000.0,,,,,14242000000.0,,,,,,,,,,,,,647463000000.0,,,,,,,,,608833000000.0,17524000000.0,8290000000.0,38021000000.0,647463000000.0,,,,,,,,,,,6036000000.0,26266000000.0,,,939000000.0,,,,-182000000.0,-5509000000.0,,51000000.0,-494000000.0,-9000000.0,
2012-09-30,38903000000.0,,,,,,,,,572000000.0,-618000000.0,,,,,13906000000.0,,,,,,,,,,,,,671698000000.0,,,,,,,,,632332000000.0,16896000000.0,9650000000.0,38675000000.0,671698000000.0,,,,,,,,,,,11749000000.0,38848000000.0,,,1316000000.0,,,,-167000000.0,-11412000000.0,,53000000.0,-669000000.0,-345000000.0,
2012-12-31,84815000000.0,,,,,,,,,204000000.0,469000000.0,,,,,18100000000.0,,,,-8015000000.0,,,,,,873000000.0,311000000.0,,709298000000.0,,,,,,,,,670007000000.0,16138000000.0,10214000000.0,38575000000.0,709298000000.0,,,-884000000.0,,,,,,,,20909000000.0,52212000000.0,,,1736000000.0,,,,-143000000.0,-15420000000.0,0.0,51000000.0,-1305000000.0,3849000000.0,501000000.0
2013-03-31,10185000000.0,,,,,,,,,-831000000.0,-706000000.0,-1.55,-1.55,,,14477000000.0,,,,,,,,,,,,,724097000000.0,,,,,,,,,683431000000.0,15203000000.0,12418000000.0,39963000000.0,724097000000.0,,,,,,,,,,,187000000.0,13564000000.0,,,633000000.0,,,,228000000.0,-3652000000.0,,8000000.0,349000000.0,-3623000000.0,
2013-06-30,20229000000.0,,,,,,,,,-1104000000.0,-1227000000.0,,,,,13045000000.0,,,,,,,,,,,,,705615000000.0,,,,,,,,,669707000000.0,14486000000.0,8449000000.0,35148000000.0,705615000000.0,,,,,,,,,,,2386000000.0,30252000000.0,,,1522000000.0,,,,221000000.0,-7853000000.0,,13000000.0,1265000000.0,-5055000000.0,
2013-09-30,31572000000.0,,,,,,,,,-595000000.0,1042000000.0,,,,,12650000000.0,,,,,,,,,,,,,723126000000.0,,,,,,,,,688010000000.0,15335000000.0,6899000000.0,34358000000.0,723126000000.0,,,,,,,,,,,5483000000.0,45215000000.0,,,1938000000.0,,,,291000000.0,-12276000000.0,,21000000.0,2152000000.0,-5450000000.0,
2013-12-31,41461000000.0,,,,,,,,,-1058000000.0,-667000000.0,-1.55,-1.55,,,11439000000.0,,,,-6099000000.0,,,,,,839000000.0,303000000.0,,731781000000.0,,,,,,,,,695900000000.0,14531000000.0,8681000000.0,35278000000.0,731781000000.0,,,-1092000000.0,,,,,,,,8445000000.0,67774000000.0,,,2850000000.0,488000000.0,,,532000000.0,-16334000000.0,,32000000.0,2242000000.0,-6661000000.0,1279000000.0
2014-03-31,12854000000.0,,,,,,,,,473000000.0,1238000000.0,2.63,2.59,,,12472000000.0,,,,,,,,,,,,,746735000000.0,,,,,,,,,707871000000.0,15517000000.0,10798000000.0,38223000000.0,746735000000.0,,,,,,,,,,,1979000000.0,15701000000.0,,,495000000.0,,,,-202000000.0,-2969000000.0,,14000000.0,1997000000.0,1033000000.0,
2014-06-30,26000000000.0,,,,,,,,,877000000.0,2328000000.0,,,,,12160000000.0,,,,,,,,,,,,,765537000000.0,,,,,,,,,723730000000.0,16357000000.0,13077000000.0,41195000000.0,765537000000.0,,,,,,,,,,,5555000000.0,32670000000.0,,,1148000000.0,,,,-272000000.0,-7525000000.0,,16000000.0,2617000000.0,721000000.0,
2014-09-30,38380000000.0,,,,,,,,,643000000.0,2840000000.0,,,,,17222000000.0,,,,,,,,,,,,,764147000000.0,,,,,,,,,721795000000.0,16616000000.0,13501000000.0,41769000000.0,764147000000.0,,,,,,,,,,,11422000000.0,44613000000.0,,,1661000000.0,,,,-228000000.0,-9677000000.0,,24000000.0,4118000000.0,5783000000.0,
2014-12-31,54105000000.0,,,,,,,,,349000000.0,1381000000.0,,,,,14918000000.0,,,,-10367000000.0,,,,,,831000000.0,294000000.0,,766655000000.0,,,,,,,,,724306000000.0,14888000000.0,16050000000.0,41770000000.0,766655000000.0,,,-27000000.0,,,,,,,,19396000000.0,57467000000.0,,,2445000000.0,,,,-231000000.0,-17088000000.0,,26000000.0,1629000000.0,3479000000.0,109000000.0
2015-03-31,15552000000.0,,,,,,,,,699000000.0,2036000000.0,4.44,4.37,,,19119000000.0,,,,,,,,,,,,,778612000000.0,,,,,,,,,733038000000.0,16173000000.0,17752000000.0,45044000000.0,778612000000.0,,,,,,,,,,,5528000000.0,10357000000.0,,,331000000.0,,,,95000000.0,1648000000.0,,12000000.0,-3086000000.0,4201000000.0,
2015-06-30,29264000000.0,,,,,,,,,1378000000.0,3442000000.0,7.52,7.4,,,17038000000.0,,,,,,,,,,,,,762731000000.0,,,,,,,,,720439000000.0,17314000000.0,13404000000.0,41723000000.0,762731000000.0,,,,,,,,,,,3475000000.0,23175000000.0,,,870000000.0,,,,36000000.0,714000000.0,,14000000.0,-2109000000.0,2120000000.0,
2015-09-30,42863000000.0,,,,,,,,,1962000000.0,4907000000.0,10.74,10.56,,,20207000000.0,,,,,,,,,,,,,754527000000.0,,,,,,,,,711757000000.0,18515000000.0,13463000000.0,42720000000.0,754527000000.0,,,,,,,,,,,11830000000.0,33792000000.0,,,1620000000.0,,,,-56000000.0,-5163000000.0,,18000000.0,-1434000000.0,5289000000.0,
2015-12-31,57119000000.0,,,,,,,,,2072000000.0,5642000000.0,12.37,12.17,,,17612000000.0,,,,5899000000.0,,,,,,824000000.0,303000000.0,,757388000000.0,,,,,,,,,715465000000.0,18931000000.0,12285000000.0,41890000000.0,757388000000.0,,,709000000.0,,,,,,,,13895000000.0,47606000000.0,,,2005000000.0,,,,-106000000.0,-7746000000.0,,19000000.0,-3524000000.0,2694000000.0,1083000000.0
2016-03-31,14329000000.0,,,,,,,,,368000000.0,1336000000.0,2.97,2.93,,,22492000000.0,,,,,,,,,,,,,772995000000.0,,,,,,,,,723730000000.0,19843000000.0,19066000000.0,49242000000.0,772995000000.0,,,,,,,,,,,6294000000.0,15415000000.0,,,518000000.0,,,,-61000000.0,-2748000000.0,,2000000.0,1179000000.0,4880000000.0,
2016-06-30,28768000000.0,,,,,,,,,799000000.0,2257000000.0,5.03,4.97,,,24142000000.0,,,,,,,,,,,,,796490000000.0,,,,,,,,,741312000000.0,20451000000.0,24667000000.0,55149000000.0,796490000000.0,,,,,,,,,,,13489000000.0,33380000000.0,,,865000000.0,,,,-178000000.0,-7789000000.0,,3000000.0,619000000.0,6530000000.0,
2016-09-30,45729000000.0,,,,,,,,,1300000000.0,4084000000.0,9.16,9.02,,,24728000000.0,,,,,,,,,,,,,819865000000.0,,,,,,,,,762891000000.0,21969000000.0,24925000000.0,56431000000.0,819865000000.0,,,,,,,,,,,17038000000.0,49467000000.0,,,1537000000.0,,,,-228000000.0,-13084000000.0,,4000000.0,2802000000.0,7116000000.0,
2016-12-31,58779000000.0,,,,,,,,5705000000.0,1335000000.0,4368000000.0,9.85,9.71,,,14127000000.0,,,,5687000000.0,,,,,,833000000.0,310000000.0,,783962000000.0,,,,,,,,,737874000000.0,21946000000.0,14621000000.0,45863000000.0,783962000000.0,,,700000000.0,,,,,,,,14778000000.0,66857000000.0,,,1923000000.0,,,,227000000.0,-21551000000.0,,21000000.0,3238000000.0,-3485000000.0,770000000.0
2017-03-31,13670000000.0,,,,,,,,1742000000.0,395000000.0,1369000000.0,3.14,3.09,429900000.0,439100000.0,13308000000.0,,,,,,,,,,,,,797365000000.0,,,,,,,,,750391000000.0,22983000000.0,14643000000.0,46784000000.0,797365000000.0,-50000000.0,,,,,,,,,,1646000000.0,17801000000.0,,,349000000.0,,,,139000000.0,-3011000000.0,,0.0,430000000.0,-819000000.0,
2017-06-30,27111000000.0,,,,,,,,2350000000.0,520000000.0,1860000000.0,4.28,4.21,429100000.0,438100000.0,16605000000.0,,,,,,,,,,,,,812590000000.0,,,,,,,,,763950000000.0,23146000000.0,16362000000.0,48444000000.0,812590000000.0,107000000.0,,,,,,,,,,4703000000.0,34153000000.0,28990000000.0,,,,,,444000000.0,-2787000000.0,,0.0,452000000.0,2478000000.0,
2017-09-30,43424000000.0,,,,,,,,5371000000.0,1320000000.0,4098000000.0,9.46,9.29,428100000.0,437100000.0,14541000000.0,,,,,,,,,,,,,821131000000.0,,,,,,,,,770566000000.0,25060000000.0,16598000000.0,50373000000.0,821131000000.0,271000000.0,,,,,,,,,,8761000000.0,50140000000.0,42243000000.0,,,,,,633000000.0,-8189000000.0,,0.0,-303000000.0,414000000.0,
2017-12-31,59689000000.0,,,,,,,,6487000000.0,-1438000000.0,7863000000.0,18.19,17.86,427000000.0,436000000.0,14490000000.0,,,,3647000000.0,,,,,,843000000.0,342000000.0,,831921000000.0,,,,,,,,,777577000000.0,28504000000.0,17074000000.0,54069000000.0,831921000000.0,,,-1996000000.0,,,,,,,,13445000000.0,68667000000.0,58244000000.0,,1780000000.0,,,,712000000.0,-11934000000.0,,0.0,-1258000000.0,363000000.0,185000000.0
2018-03-31,13757000000.0,,,,,,,,1693000000.0,352000000.0,1363000000.0,3.19,3.14,422000000.0,430900000.0,15676000000.0,5382000000.0,,,,,,,,,,,,829677000000.0,,,,,,,,,777502000000.0,28898000000.0,14761000000.0,51830000000.0,829677000000.0,-22000000.0,,,,,,,,,,2301000000.0,15652000000.0,14665000000.0,,,,,,40000000.0,-2273000000.0,,,889000000.0,1221000000.0,
2018-06-30,2036000000.0,,,,,,,,1943000000.0,420000000.0,1560000000.0,3.66,3.62,420800000.0,429500000.0,14918000000.0,,,,,,,,,,,,,819860000000.0,,,,,,,,,771268000000.0,28713000000.0,11655000000.0,48232000000.0,819860000000.0,48000000.0,,,,,,,,,,6675000000.0,34922000000.0,30599000000.0,,,,,,134000000.0,-6489000000.0,,,409000000.0,524000000.0,
2018-09-30,3073000000.0,,,,,,,,3781000000.0,604000000.0,3232000000.0,7.62,7.51,419200000.0,427800000.0,12466000000.0,,,,,,,,,,,,,822748000000.0,,,,,,,,,775666000000.0,30005000000.0,9150000000.0,46725000000.0,822748000000.0,45000000.0,,,,,,,,,,10268000000.0,53071000000.0,42903000000.0,,,,,,286000000.0,-12941000000.0,,,809000000.0,-1932000000.0,
2018-12-31,62992000000.0,,,,,,,,4834000000.0,822000000.0,4074000000.0,9.64,9.5,417600000.0,426200000.0,15353000000.0,,,,2710000000.0,,,,,,863000000.0,348000000.0,,815078000000.0,,,,,,,,,766047000000.0,30470000000.0,10906000000.0,48617000000.0,815078000000.0,161000000.0,,480000000.0,,,,,,,,21664000000.0,77234000000.0,59675000000.0,,2664000000.0,,,,188000000.0,-21628000000.0,,0.0,781000000.0,959000000.0,760000000.0
2019-03-31,15091000000.0,,,,,,,,1140000000.0,232000000.0,932000000.0,2.25,2.22,409200000.0,417600000.0,14699000000.0,,,,,,,,,,,,,849324000000.0,,,,,,,,,793874000000.0,30966000000.0,17218000000.0,55010000000.0,849324000000.0,20000000.0,,,,,,,,,,3085000000.0,17395000000.0,14063000000.0,,,,,,97000000.0,-5299000000.0,,,1566000000.0,-650000000.0,
