Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1627702000.0,,,,,,,,,,834621000.0,3.48,-0.05,168358000.0,168768000.0,763789000.0,,,,,,,,,,174634000.0,38270000.0,,9805645000.0,,,,,,,,,731142000.0,-153759000.0,-15002000.0,8928407000.0,9805645000.0,,,,,,,,,,,1112857000.0,,,,,,,,7913000.0,-91409000.0,2192000.0,,-938401000.0,83047000.0,
2010-03-31,398056000.0,,,,,,,,,,123961000.0,0.21,0.0,168477000.0,169310000.0,719982000.0,,,,,,,,,,174634000.0,37364000.0,,9744471000.0,,,,,,,,,922914000.0,-202998000.0,-24779000.0,8676023000.0,9744471000.0,,,,,,,,,,,233122000.0,,,,,,,,2221000.0,-106203000.0,11822000.0,,-169861000.0,-42942000.0,
2010-06-30,805719000.0,,,,,,,,322850000.0,,248999000.0,0.57,0.56,168804000.0,169629000.0,474336000.0,,,,,,,,,,174634000.0,50062000.0,,9569513000.0,,,,,,,,,825034000.0,-272485000.0,-35251000.0,8598390000.0,9569513000.0,,,,,,,,,,,525612000.0,,,,,,,,-9811000.0,-184903000.0,26215000.0,,-628942000.0,-288233000.0,
2010-12-31,1646722000.0,,,,,,,,694013000.0,,672038000.0,2.36,2.35,168877000.0,169772000.0,456252000.0,,,,,,,,,,174634000.0,42091000.0,,9495333000.0,,,,,,,,,774186000.0,-236410000.0,-15773000.0,8676598000.0,9495333000.0,,,,,,,,,,,1093221000.0,,,,,,,,-1678000.0,-266605000.0,41308000.0,,-1132709000.0,-306093000.0,
2011-03-31,419818000.0,,,,,,,,165757000.0,,206108000.0,0.87,0.87,169315000.0,170382000.0,145105000.0,,,,,,,,,,174634000.0,35866000.0,,9435521000.0,,,,,,,,,672651000.0,-223960000.0,-678000.0,8717565000.0,9435521000.0,,,,,,,,,,,264819000.0,,,,,172000000.0,,,-396000.0,-284527000.0,11373000.0,,-291524000.0,-311232000.0,
2011-06-30,854662000.0,,,,,,,,353502000.0,,412552000.0,1.65,1.64,169492000.0,170401000.0,144487000.0,,,,,,,,,,174634000.0,33958000.0,,9272336000.0,,,,,,,,,677388000.0,-237689000.0,1666000.0,8553194000.0,9272336000.0,,,,,,,,,,,582464000.0,,,,,,,,-3841000.0,-194258000.0,12973000.0,,-700463000.0,-312257000.0,
2011-09-30,1307387000.0,,,,,,,,556729000.0,,603691000.0,2.35,2.33,169728000.0,170830000.0,160733000.0,,,,,,,,,,174634000.0,,,9085543000.0,,,,,,,,,663313000.0,-265226000.0,-15218000.0,8385762000.0,9085543000.0,,,,,,,,,,,908793000.0,,,,,,,,-537000.0,-102259000.0,15728000.0,,-1101912000.0,-295378000.0,
2011-12-31,1752102000.0,,,,,,,,774010000.0,,823842000.0,3.31,3.29,169657000.0,170750000.0,139008000.0,,,,,,,,,,174600000.0,,,8932562000.0,,,,,,,,,609280000.0,-259578000.0,-23014000.0,8288209000.0,8932562000.0,,,,,,,,,,,1203452000.0,,,,,,,,-1164000.0,-81355000.0,26416000.0,,-1438546000.0,-316449000.0,
2012-03-31,442619000.0,,,,,,,,185450000.0,,205852000.0,0.74,0.73,170309000.0,171415000.0,620079000.0,,,,,,,,,,174600000.0,,,9406312000.0,,,,,,,,,1062379000.0,-296969000.0,-11950000.0,8321727000.0,9406312000.0,,,,,,,,,,,279490000.0,,,,,,,,-2950000.0,-54295000.0,9722000.0,,256117000.0,481312000.0,
2012-06-30,900059000.0,,,,,,,,397898000.0,,403995000.0,1.51,1.5,170496000.0,171560000.0,438475000.0,,,,,,,,,,174600000.0,,,9178947000.0,,,,,,,,,1011178000.0,-339020000.0,-27433000.0,8137608000.0,9178947000.0,,,,,,,,,,,605777000.0,,,,,,,,-5341000.0,-124646000.0,15568000.0,,-182102000.0,299029000.0,
2012-09-30,1361278000.0,,,,,,627429000.0,,,,667887000.0,2.7,2.68,170576000.0,171700000.0,535752000.0,,,,,,,,,,174600000.0,,,9288120000.0,,,,,,,,,957974000.0,-312690000.0,-15371000.0,8300626000.0,9288120000.0,,,,,,,,,,,955755000.0,,,,,,,,-4022000.0,-187739000.0,21007000.0,,-371986000.0,396030000.0,
2012-12-31,1826729000.0,,,,,,871982000.0,,,,939258000.0,3.93,3.9,170562000.0,171664000.0,17239000.0,,,,,,,,,,174600000.0,,,8793403000.0,,,,,,,,,670539000.0,-279474000.0,-1005000.0,8093756000.0,8793403000.0,,,,,,,,,,,1285659000.0,,,,,,,,6546000.0,-290465000.0,124447000.0,,-1117305000.0,-122111000.0,
