Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-03,741983000.0,,,151247000.0,,696153000.0,45830000.0,-1449000.0,44381000.0,6798000.0,37583000.0,0.32,0.31,115802000.0,119996000.0,219019000.0,,149034000.0,,42766000.0,,78167000.0,534231000.0,,59473000.0,404589000.0,129420000.0,37575000.0,1269040000.0,11383000.0,46719000.0,251571000.0,439032000.0,6986000.0,23201000.0,,65226000.0,534445000.0,-990945000.0,-62955000.0,734595000.0,1269040000.0,21184000.0,37657000.0,,11228000.0,,,,,32564000.0,,141076000.0,,,,,2087000.0,21684000.0,,,-23771000.0,8524000.0,226000.0,-122378000.0,-16103000.0,
2010-09-30,1010049000.0,,,201567000.0,,935274000.0,74775000.0,,82136000.0,57768000.0,24368000.0,0.21,0.2,115639000.0,119925000.0,240253000.0,,169281000.0,,35481000.0,,91126000.0,568257000.0,,58064000.0,418509000.0,127931000.0,43845000.0,1307064000.0,11734000.0,52803000.0,238821000.0,452994000.0,7019000.0,22452000.0,,77295000.0,559760000.0,-1004160000.0,-52480000.0,747304000.0,1307064000.0,62182000.0,48911000.0,21998000.0,531000.0,,,3713000.0,,1440000.0,2390000.0,156644000.0,,,,,2721000.0,26729000.0,,,-29450000.0,15284000.0,221000.0,-120735000.0,5131000.0,
2011-01-01,266552000.0,,,51522000.0,,249442000.0,17110000.0,-1886000.0,15224000.0,1964000.0,13260000.0,0.11,0.11,116827000.0,121150000.0,182915000.0,,174581000.0,,35505000.0,,112401000.0,538835000.0,,56517000.0,415280000.0,119285000.0,45031000.0,1267511000.0,12078000.0,57258000.0,260154000.0,398128000.0,5996000.0,20997000.0,,78350000.0,503471000.0,-990900000.0,-55351000.0,764040000.0,1267511000.0,14069000.0,11027000.0,,958000.0,,,,,-7425000.0,,-48038000.0,,,,,,5412000.0,,,-5412000.0,12232000.0,262000.0,-4674000.0,-57338000.0,
2011-04-02,535741000.0,,,104573000.0,,494405000.0,41336000.0,-2708000.0,38628000.0,6351000.0,32277000.0,0.27,0.27,118194000.0,121502000.0,259504000.0,,178558000.0,,35313000.0,,107039000.0,625003000.0,,55780000.0,425794000.0,115959000.0,32996000.0,1347101000.0,13187000.0,54904000.0,294418000.0,437709000.0,5851000.0,21201000.0,,79312000.0,544073000.0,-971883000.0,-44473000.0,803028000.0,1347101000.0,28720000.0,20898000.0,,-15899000.0,,,,,27169000.0,,30238000.0,,,,,,11560000.0,,,-11560000.0,15974000.0,530000.0,-5452000.0,19251000.0,
2011-07-02,827524000.0,,,155676000.0,,761658000.0,65866000.0,-8979000.0,56887000.0,9084000.0,47803000.0,0.41,0.39,118214000.0,121164000.0,260751000.0,,186874000.0,,34798000.0,,93405000.0,618258000.0,,60704000.0,623638000.0,228244000.0,34054000.0,1681513000.0,13354000.0,66162000.0,308048000.0,485230000.0,9592000.0,53993000.0,,80554000.0,879369000.0,-956358000.0,-41798000.0,802144000.0,1681513000.0,44547000.0,32458000.0,,-18059000.0,,,,,36825000.0,,78671000.0,,,,,265153000.0,18295000.0,,,-283448000.0,22261000.0,2307000.0,212569000.0,20498000.0,
2011-09-30,1166949000.0,,,211406000.0,,1049835000.0,117114000.0,,104548000.0,19124000.0,85424000.0,0.73,0.71,117579000.0,120974000.0,167878000.0,,230220000.0,,121856000.0,,109433000.0,592264000.0,,62569000.0,613394000.0,222017000.0,41374000.0,1629682000.0,16974000.0,60167000.0,279935000.0,469391000.0,14389000.0,25919000.0,,97293000.0,806992000.0,-918736000.0,-64764000.0,822690000.0,1629682000.0,62394000.0,45402000.0,-35063000.0,32334000.0,,,15111000.0,,8195000.0,3953000.0,78698000.0,,,,,280026000.0,27817000.0,,,-307843000.0,24756000.0,5398000.0,150420000.0,-72375000.0,28100000.0
2011-12-31,318276000.0,,,54993000.0,,285771000.0,32505000.0,-2643000.0,29862000.0,7739000.0,22123000.0,0.19,0.18,117715000.0,120576000.0,187351000.0,,221436000.0,,54050000.0,,94046000.0,588288000.0,,62156000.0,610139000.0,211931000.0,36688000.0,1613385000.0,12638000.0,55965000.0,268145000.0,428393000.0,15152000.0,24767000.0,,97344000.0,765656000.0,-896613000.0,-69689000.0,847729000.0,1613385000.0,17026000.0,13382000.0,,-13295000.0,,,,,-2075000.0,,36485000.0,,,,,880000.0,7570000.0,,,-8450000.0,7196000.0,150000.0,-5315000.0,19473000.0,
2012-03-31,619401000.0,191435000.0,427966000.0,109569000.0,,388558000.0,39408000.0,-5610000.0,33798000.0,8106000.0,25692000.0,0.22,0.21,119003000.0,121401000.0,224107000.0,,204437000.0,,54128000.0,,116190000.0,631260000.0,,64021000.0,616599000.0,205128000.0,29516000.0,1658616000.0,17961000.0,54187000.0,327313000.0,506532000.0,14041000.0,23830000.0,,96220000.0,800623000.0,-893043000.0,-61123000.0,857993000.0,1658616000.0,33285000.0,26074000.0,,-38698000.0,,,,,33482000.0,,133034000.0,,,,,1170000.0,16624000.0,,,-17794000.0,14123000.0,453000.0,-59872000.0,56229000.0,
2012-06-30,930384000.0,284289000.0,646095000.0,162829000.0,,575604000.0,70491000.0,-5914000.0,64577000.0,15990000.0,48587000.0,0.41,0.4,119042000.0,120898000.0,238047000.0,,203261000.0,,54111000.0,,82487000.0,607971000.0,,61849000.0,606782000.0,192959000.0,29562000.0,1611461000.0,17778000.0,51530000.0,311040000.0,482295000.0,12756000.0,23987000.0,,89420000.0,748458000.0,-870149000.0,-71981000.0,863003000.0,1611461000.0,50152000.0,39405000.0,,-41782000.0,,,,,52228000.0,,197044000.0,,,,,1170000.0,22506000.0,,,-23676000.0,15315000.0,453000.0,-100078000.0,70169000.0,
2012-09-30,1255679000.0,372128000.0,883551000.0,214960000.0,,755455000.0,128096000.0,-7360000.0,120736000.0,156134000.0,-35398000.0,-0.3,-0.3,118705000.0,118705000.0,489543000.0,,217370000.0,,11283000.0,,121019000.0,879152000.0,,63466000.0,610347000.0,185885000.0,32124000.0,1791634000.0,17046000.0,48471000.0,315309000.0,481744000.0,12220000.0,31854000.0,,106057000.0,994375000.0,-954134000.0,-72501000.0,797259000.0,1791634000.0,66471000.0,51305000.0,104766000.0,-32309000.0,,,12423000.0,,14362000.0,863000.0,217975000.0,,,,,220000.0,31413000.0,,,-31633000.0,21210000.0,1324000.0,134663000.0,321665000.0,53000000.0
