Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,593488000.0,,312414000.0,,242122000.0,,233730000.0,70195000.0,,0.81,0.81,200733000.0,201311000.0,699629000.0,,688260000.0,33451000.0,,,100213000.0,1582792000.0,,854437000.0,1449558000.0,184822000.0,45345000.0,4116954000.0,,,,495688000.0,,167575000.0,,216522000.0,1006393000.0,75836000.0,3502000.0,3109183000.0,4116954000.0,,19875000.0,26911000.0,,7536000.0,,,,,1055000.0,376898000.0,,,,,-36234000.0,164980000.0,,,-119682000.0,0.0,-1509000.0,1481000.0,261728000.0,
2010-03-31,,,129142000.0,,81004000.0,,42290000.0,,40166000.0,16066000.0,,0.11,0.11,208673000.0,210342000.0,659824000.0,,672586000.0,33176000.0,,,83224000.0,1505484000.0,,870260000.0,1449658000.0,178994000.0,44756000.0,4049152000.0,,,,402457000.0,,163172000.0,,217744000.0,911118000.0,99580000.0,6624000.0,3136300000.0,4049152000.0,,6002000.0,11930000.0,,348000.0,,,,,793000.0,3626000.0,,,,,,43799000.0,,,-42867000.0,,1969000.0,-1135000.0,-39805000.0,
2010-06-30,,,285179000.0,,163126000.0,,107115000.0,,96257000.0,38834000.0,,0.27,0.27,209399000.0,211082000.0,519818000.0,,671792000.0,40690000.0,,,65089000.0,1425373000.0,,875981000.0,1449531000.0,169885000.0,39532000.0,3960302000.0,,,,420355000.0,,156256000.0,,216973000.0,793584000.0,132566000.0,3812000.0,3164647000.0,3960302000.0,,11762000.0,-6007000.0,,7583000.0,,,,,-2375000.0,33375000.0,,,,,,82370000.0,,,-68263000.0,,1987000.0,-144699000.0,-179811000.0,
2010-09-30,,,475173000.0,,245163000.0,,201676000.0,,191446000.0,70323000.0,,0.57,0.57,209428000.0,211096000.0,441247000.0,,787580000.0,46445000.0,,,79958000.0,1621262000.0,,864279000.0,1449603000.0,156501000.0,39317000.0,4130962000.0,,,,504397000.0,,176879000.0,,211611000.0,892887000.0,195346000.0,5775000.0,3235084000.0,4130962000.0,,17465000.0,27052000.0,,12928000.0,,,,,-1378000.0,-54707000.0,,,,,0.0,114044000.0,,,-92790000.0,,1970000.0,-144721000.0,-258382000.0,
2010-12-31,,,634423000.0,,339672000.0,,256183000.0,,246255000.0,90698000.0,,0.73,0.72,210046000.0,211796000.0,539221000.0,,766387000.0,51754000.0,,,103527000.0,1596364000.0,,900768000.0,1561155000.0,194067000.0,88858000.0,4341212000.0,,,,500395000.0,,212200000.0,,261698000.0,974293000.0,229012000.0,14122000.0,3365555000.0,4341212000.0,,23048000.0,36430000.0,,17127000.0,,,,,-3235000.0,240258000.0,,,,,130251000.0,149653000.0,,,-254253000.0,,2161000.0,-145705000.0,-160408000.0,
2011-03-31,,,70891000.0,,91541000.0,,-26916000.0,,-26950000.0,-10645000.0,,-0.08,-0.08,214167000.0,214167000.0,503019000.0,,767126000.0,53091000.0,,,128149000.0,1562324000.0,,910530000.0,1564393000.0,189086000.0,98229000.0,4324562000.0,,,,482711000.0,,214187000.0,,267886000.0,964784000.0,211418000.0,25300000.0,3357125000.0,4324562000.0,,5541000.0,11483000.0,,1145000.0,,,,,53000.0,-4188000.0,,,,,,37488000.0,,,-34295000.0,,2014000.0,2324000.0,-36202000.0,
2011-06-30,,,224981000.0,,181030000.0,,57730000.0,,57923000.0,23610000.0,,0.15,0.15,214827000.0,215606000.0,380382000.0,,813057000.0,62216000.0,,,111621000.0,1476580000.0,,938567000.0,1563871000.0,186477000.0,127360000.0,4292855000.0,,,,503960000.0,37600000.0,211070000.0,,274544000.0,989574000.0,243219000.0,23117000.0,3298587000.0,4292855000.0,,11494000.0,10092000.0,,10295000.0,,,,,-2206000.0,56158000.0,,,,,,89692000.0,,,-120109000.0,,1530000.0,-95387000.0,-158839000.0,
2011-09-30,,,419671000.0,,273444000.0,,124795000.0,,123914000.0,50306000.0,,0.31,0.31,213400000.0,214055000.0,257838000.0,,1008936000.0,74024000.0,,,102731000.0,1576877000.0,,956604000.0,1586253000.0,199583000.0,144638000.0,4463955000.0,,,,651708000.0,37300000.0,231662000.0,,277588000.0,1160958000.0,295213000.0,-5528000.0,3294697000.0,4463955000.0,,16210000.0,21775000.0,,21445000.0,,,,,-3557000.0,92755000.0,,,,,53933000.0,132769000.0,,,-216777000.0,,1227000.0,-153544000.0,-281383000.0,
2011-12-31,,,620599000.0,,372963000.0,,217683000.0,,216370000.0,71954000.0,,0.62,0.62,212648000.0,213168000.0,315349000.0,,1066273000.0,71416000.0,-200102000.0,,105957000.0,1765154000.0,,971696000.0,1601210000.0,207224000.0,153830000.0,4699114000.0,,,16945000.0,781076000.0,38300000.0,312274000.0,,295131000.0,1309851000.0,361527000.0,710000.0,3381952000.0,4699114000.0,,21618000.0,7017000.0,,18529000.0,,,,,-5764000.0,218030000.0,,,,,79660000.0,172005000.0,,,-281217000.0,,1365000.0,-158733000.0,-223872000.0,
2012-03-31,,,195515000.0,,106646000.0,,79475000.0,,79464000.0,29470000.0,,0.22,0.22,211481000.0,211592000.0,177367000.0,,1114246000.0,72263000.0,,,98091000.0,1770113000.0,,985672000.0,1646623000.0,209140000.0,143786000.0,4755334000.0,,,,762656000.0,38500000.0,,,290100000.0,1284620000.0,407234000.0,12033000.0,3461606000.0,4755334000.0,,6481000.0,1621000.0,,-1365000.0,,,,,-3117000.0,-60218000.0,,,,,41904000.0,35344000.0,,,-80955000.0,,2910000.0,899000.0,-137982000.0,
