Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-03-31,1485650000.0,1025275000.0,,,211048000.0,,91752000.0,-4305000.0,,,87447000.0,0.41,0.4,214314000.0,216975000.0,278104000.0,,,111349000.0,,,,917228000.0,,15229627000.0,763554000.0,,1126737000.0,18037146000.0,242350000.0,529818000.0,,3372180000.0,,,,351845000.0,,4842397000.0,40451000.0,7465402000.0,18037146000.0,,,,-89135000.0,4625000.0,,,-21437000.0,,-15922000.0,412924000.0,,,,,,166397000.0,,3076000.0,-168727000.0,,,-250625000.0,-6515000.0,
2010-06-30,3087347000.0,2111462000.0,,,422843000.0,,235436000.0,-87443000.0,,,147993000.0,0.69,0.68,215043000.0,217561000.0,318820000.0,,,110695000.0,,,,911148000.0,,15683297000.0,718399000.0,,990170000.0,18303014000.0,292047000.0,658389000.0,,3454829000.0,,,,491405000.0,,4902943000.0,-245832000.0,7247767000.0,18303014000.0,,,,-127131000.0,5607000.0,,,23622000.0,,-13514000.0,1010902000.0,,,,,,847541000.0,,8266000.0,-862928000.0,,,-112663000.0,34201000.0,
2010-09-30,5148006000.0,3351087000.0,,,636143000.0,,680938000.0,-176178000.0,,,504760000.0,2.35,2.32,215150000.0,217512000.0,441930000.0,,,113061000.0,,,,1043307000.0,,15684378000.0,768048000.0,,1110075000.0,18605808000.0,281051000.0,645569000.0,,3452826000.0,,,,321484000.0,,5259710000.0,-4820000.0,7851244000.0,18605808000.0,,,,-91196000.0,6255000.0,,,16894000.0,,58700000.0,1435907000.0,,,,,,925826000.0,,12057000.0,-939404000.0,,,-341318000.0,157311000.0,
2010-12-31,6752504000.0,4458076000.0,,,848079000.0,5949871000.0,802633000.0,-255166000.0,,,547467000.0,2.55,2.51,,,419929000.0,,,126797000.0,,,,1015071000.0,,16769181000.0,759328000.0,,1151324000.0,19694904000.0,249047000.0,552543000.0,,3444498000.0,,,,356717000.0,,5301748000.0,25066000.0,7942502000.0,19694904000.0,,,,-146498000.0,20274000.0,,,-15507000.0,,72161000.0,1663019000.0,,,,,,2187189000.0,,9404000.0,-2287918000.0,,,756960000.0,135310000.0,
2011-03-31,1671995000.0,1101071000.0,,,248138000.0,,149534000.0,-57982000.0,,,91552000.0,0.42,0.42,216511000.0,219626000.0,470258000.0,,,140557000.0,,,,1214686000.0,,16401579000.0,786725000.0,,1372502000.0,19775492000.0,334985000.0,454719000.0,,3010876000.0,,,,409840000.0,,5393300000.0,247220000.0,8277983000.0,19775492000.0,,,,-35648000.0,12658000.0,,,85050000.0,,-51399000.0,285419000.0,,,,,,66304000.0,,4413000.0,217751000.0,,,-452668000.0,50329000.0,
2011-06-30,3439868000.0,2286446000.0,,,490396000.0,,317724000.0,-145823000.0,,,171901000.0,0.79,0.78,217028000.0,219516000.0,551460000.0,,,145547000.0,,,,1326876000.0,,16440866000.0,800436000.0,,1380320000.0,19948498000.0,343162000.0,480656000.0,,3287930000.0,,,,410643000.0,,5431899000.0,273014000.0,8348279000.0,19948498000.0,,,,-63803000.0,17316000.0,,,92619000.0,,-21931000.0,766742000.0,,,,,,251565000.0,,3044000.0,45959000.0,,,-684324000.0,131531000.0,
2011-09-30,5761862000.0,3691746000.0,,,722157000.0,,825466000.0,-254607000.0,,,570859000.0,2.63,2.6,217105000.0,219315000.0,451460000.0,,,152273000.0,,,,1223118000.0,,16988832000.0,760769000.0,,1197307000.0,20170026000.0,323082000.0,526158000.0,,3115241000.0,,,,480483000.0,,5809150000.0,-25787000.0,8438096000.0,20170026000.0,,,,-55062000.0,25490000.0,,,74498000.0,,34380000.0,1272718000.0,,,,,,1030102000.0,,-352000.0,-775238000.0,,,-451012000.0,31531000.0,
2011-12-31,7537263000.0,4942607000.0,,,960602000.0,6605635000.0,931628000.0,-324207000.0,,-20700000.0,607421000.0,2.8,2.77,216983000.0,219229000.0,262186000.0,,,144553000.0,,,,969288000.0,,16934817000.0,746537000.0,,1153763000.0,19804405000.0,304623000.0,564272000.0,,3067642000.0,,,,471978000.0,,5823430000.0,-75938000.0,8407823000.0,19804405000.0,,,,-87872000.0,18423000.0,,,56755000.0,,25318000.0,1455739000.0,,,,,,1173626000.0,,1586000.0,-924565000.0,,,-676515000.0,-157743000.0,
2012-03-31,1834480000.0,1255112000.0,,,264601000.0,,135375000.0,-88411000.0,,,46964000.0,0.22,0.21,217584000.0,219230000.0,277533000.0,,,147898000.0,,,,1123497000.0,,16949764000.0,758445000.0,,1197253000.0,20028959000.0,291034000.0,520361000.0,,3099874000.0,,,,437693000.0,,5848616000.0,74872000.0,8592570000.0,20028959000.0,,,,-21069000.0,3141000.0,,,-14263000.0,,-21938000.0,215215000.0,,,,,,177235000.0,,-10765000.0,-158443000.0,,,-44595000.0,15347000.0,
2012-06-30,3655484000.0,2551126000.0,,,512172000.0,,232280000.0,-188969000.0,,,43311000.0,0.2,0.2,217866000.0,219217000.0,212209000.0,,,146711000.0,,,,954148000.0,,16887693000.0,736280000.0,,1117983000.0,19696104000.0,316409000.0,544549000.0,,3809112000.0,,,,546416000.0,,5823175000.0,-225741000.0,8271674000.0,19696104000.0,,,,-56651000.0,2451000.0,,,12348000.0,,-28505000.0,583519000.0,,,,,,322751000.0,,-4936000.0,-313169000.0,,,-315066000.0,-49977000.0,
