Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,219420000.0,,,241997000.0,28902000.0,272021000.0,-52601000.0,-3395000.0,,,-55996000.0,,,,,112000000.0,194337000.0,4070000.0,,,,,417750000.0,70465000.0,292329000.0,,,6697000.0,790641000.0,,,41741000.0,119571000.0,42009000.0,,,4318000.0,419425000.0,-997091000.0,-306000.0,371216000.0,790641000.0,8707000.0,,,29628000.0,,,,,16616000.0,,-22626000.0,,,,,,45324000.0,,,-131383000.0,12064000.0,,58934000.0,-95075000.0,
2010-09-30,325399000.0,,,364040000.0,44560000.0,410094000.0,-84695000.0,-5176000.0,,,-89871000.0,,,,,325286000.0,153767000.0,3048000.0,,,,,575719000.0,37956000.0,318498000.0,,,6860000.0,942433000.0,,,38888000.0,133833000.0,197139000.0,,,5289000.0,594369000.0,-1030966000.0,-175000.0,348064000.0,942433000.0,13601000.0,,,16719000.0,,,,,172660000.0,,138043000.0,,,,,,67427000.0,,,-80379000.0,13760000.0,,60547000.0,118211000.0,
2010-12-31,459074000.0,,,489252000.0,65201000.0,556546000.0,-97472000.0,-6996000.0,-104468000.0,0.0,-104468000.0,,,,,112572000.0,136796000.0,13509000.0,,,,,357622000.0,370053000.0,347450000.0,,,6789000.0,1089432000.0,,,35217000.0,109056000.0,188775000.0,,,7350000.0,561617000.0,-1045563000.0,-2491000.0,527815000.0,1089432000.0,19687000.0,,,27544000.0,,,,,158151000.0,,96344000.0,,,,,,99689000.0,,,-434153000.0,196790000.0,,243306000.0,-94503000.0,
2011-03-31,112204000.0,,,129392000.0,23411000.0,153185000.0,-40981000.0,-2682000.0,-43663000.0,-216000.0,-43447000.0,,,,,135376000.0,91065000.0,3765000.0,,,,,325501000.0,373621000.0,357423000.0,,,10228000.0,1074293000.0,,,33291000.0,112252000.0,183019000.0,,,7180000.0,556202000.0,-1089010000.0,-2175000.0,518091000.0,1074293000.0,6978000.0,14801000.0,,-4956000.0,,,,,-10310000.0,,-10580000.0,,,,,,22166000.0,,,20347000.0,13343000.0,,13037000.0,22804000.0,
2011-06-30,220014000.0,,,272541000.0,47996000.0,321314000.0,-101300000.0,-5731000.0,-107031000.0,-1079000.0,-105952000.0,,,,,254312000.0,55371000.0,2921000.0,,,,,413273000.0,251256000.0,361883000.0,,,12287000.0,1046864000.0,,,33606000.0,135868000.0,174987000.0,,,6806000.0,568830000.0,-1151515000.0,-904000.0,478034000.0,1046864000.0,14880000.0,27197000.0,,-8548000.0,,,,,-20554000.0,,-44630000.0,,,,,,37030000.0,,,163282000.0,23752000.0,,23088000.0,141740000.0,
2011-09-30,322847000.0,,,400465000.0,80912000.0,482604000.0,-159757000.0,-9077000.0,-168834000.0,562000.0,-168317000.0,,,,,206395000.0,39103000.0,3659000.0,,,,,339872000.0,258073000.0,363913000.0,,,13023000.0,983031000.0,,,33606000.0,133235000.0,166623000.0,,,7405000.0,554778000.0,-1213880000.0,-1731000.0,428253000.0,983031000.0,23156000.0,40561000.0,,-14665000.0,,,,,-32498000.0,,-91365000.0,,,,,,45928000.0,,,162379000.0,23989000.0,,22809000.0,93823000.0,
2011-12-31,445824000.0,,,529506000.0,117261000.0,650983000.0,-205159000.0,-17733000.0,-222892000.0,-1132000.0,-221760000.0,,,,,483610000.0,43332000.0,28254000.0,,0.0,,,652875000.0,275887000.0,367955000.0,,,19145000.0,1323583000.0,,,51640000.0,148271000.0,248610000.0,,,6443000.0,837851000.0,-1267323000.0,-1862000.0,485732000.0,1323583000.0,31100000.0,56094000.0,,21118000.0,,,,,-40329000.0,,-141682000.0,,,,,,57217000.0,,,128471000.0,18509000.0,,384249000.0,371038000.0,
2012-06-30,536188000.0,,,286235000.0,106133000.0,426509000.0,109679000.0,-21285000.0,88394000.0,0.0,88394000.0,0.94,0.81,94589000.0,110167000.0,171943000.0,129079000.0,349645000.0,10500000.0,,,,769193000.0,288321000.0,372278000.0,,,19567000.0,1457500000.0,,,,183220000.0,,,,7262000.0,862843000.0,-1178929000.0,-2371000.0,594657000.0,1457500000.0,17833000.0,42850000.0,,332345000.0,,,,,-17669000.0,,-165418000.0,,,,,,23927000.0,,,-123422000.0,39631000.0,,-22827000.0,-311667000.0,
2012-12-31,1378477000.0,,,625554000.0,210755000.0,920764000.0,457713000.0,-43292000.0,414421000.0,-335848000.0,750269000.0,7.92,6.75,94685000.0,115382000.0,230276000.0,77819000.0,593207000.0,28638000.0,342642000.0,,,1206012000.0,271230000.0,379940000.0,,,23100000.0,2080490000.0,,,50831000.0,163550000.0,208342000.0,,,7259000.0,835105000.0,-517054000.0,-1166000.0,1245385000.0,2080490000.0,36940000.0,94157000.0,-340156000.0,590085000.0,,,,,-41077000.0,,-74615000.0,,,,,,49337000.0,,,-81073000.0,63549000.0,4308000.0,-97646000.0,-253334000.0,
2013-03-31,439664000.0,,,180299000.0,77260000.0,286614000.0,153050000.0,-11219000.0,141831000.0,42957000.0,98874000.0,1.02,0.9,96878000.0,109369000.0,180362000.0,127348000.0,703857000.0,43977000.0,99632000.0,,,1307122000.0,346607000.0,392378000.0,,,20078000.0,2275998000.0,,,34391000.0,197244000.0,125436000.0,,,8786000.0,869650000.0,-418180000.0,-1644000.0,1406348000.0,2275998000.0,9407000.0,53030000.0,39525000.0,109518000.0,,,,,-6470000.0,,86248000.0,,,,,,21203000.0,,,-147685000.0,12964000.0,2293000.0,11523000.0,-49914000.0,
