Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,-1202000000.0,-171000000.0,-1031000000.0,-1.27,-1.27,989000000.0,989000000.0,8011000000.0,,,,,,,,,2668000000.0,5557000000.0,503000000.0,,142318000000.0,,,,,,,,,124437000000.0,-3235000000.0,130000000.0,17881000000.0,142318000000.0,,,245000000.0,,,,-462000000.0,,,-90000000.0,1994000000.0,15646000000.0,5405000000.0,5451000000.0,,,,,,-1615000000.0,1769000000.0,4000000.0,-3341000000.0,-2962000000.0,
2010-03-31,,,,,,,,,-357000000.0,-161000000.0,-196000000.0,-0.21,-0.21,1194000000.0,1194000000.0,6871000000.0,,,,,,,,,2637000000.0,5559000000.0,472000000.0,,137230000000.0,,,,,,,,,119592000000.0,-3502000000.0,144000000.0,17638000000.0,137230000000.0,,,-113000000.0,,,,445000000.0,,,-726000000.0,1725000000.0,3381000000.0,1853000000.0,1443000000.0,,,,,,1397000000.0,,1000000.0,-4262000000.0,-1140000000.0,
2010-06-30,,,,,,,,,-722000000.0,-249000000.0,-473000000.0,-0.49,-0.49,1200000000.0,1200000000.0,7411000000.0,,,,,,,,,2588000000.0,5561000000.0,443000000.0,,135340000000.0,,,,,,,,,117877000000.0,-3849000000.0,306000000.0,17463000000.0,135340000000.0,,,-146000000.0,,,,58000000.0,,,-365000000.0,2800000000.0,4899000000.0,3686000000.0,1460000000.0,,,,,,3018000000.0,,,-6418000000.0,-600000000.0,
2010-09-30,,,,,,,,,-1027000000.0,-399000000.0,-628000000.0,-0.66,-0.66,1257000000.0,1257000000.0,6887000000.0,,,,,,,,,2564000000.0,5561000000.0,414000000.0,,133498000000.0,,,,,,,,,116335000000.0,-4070000000.0,208000000.0,17163000000.0,133498000000.0,,,-216000000.0,,,,-51000000.0,,,-244000000.0,3334000000.0,6572000000.0,5617000000.0,1610000000.0,,,,,,3675000000.0,,,-8133000000.0,-1124000000.0,
2011-03-31,,,,,,,,,57000000.0,-12000000.0,69000000.0,0.01,0.01,1257000000.0,1259000000.0,7320000000.0,,,,,,,,,2528000000.0,5561000000.0,358000000.0,,131756000000.0,,,,,,,,,115137000000.0,-4043000000.0,-387000000.0,16619000000.0,131756000000.0,,,-14000000.0,,,,-1272000000.0,,,-483000000.0,1332000000.0,5323000000.0,1363000000.0,2419000000.0,,,,,,-925000000.0,,,-6000000.0,401000000.0,
2011-06-30,,,,,,,,,106000000.0,-72000000.0,178000000.0,0.06,0.06,1258000000.0,1260000000.0,7974000000.0,,,,,,,,,2481000000.0,5561000000.0,420000000.0,,130908000000.0,,,,,,,,,114020000000.0,-4000000000.0,-177000000.0,16888000000.0,130908000000.0,,,-81000000.0,,,,-1246000000.0,,,-543000000.0,2842000000.0,9178000000.0,2291000000.0,6479000000.0,,,,,,-676000000.0,,,-1111000000.0,1055000000.0,
2011-09-30,,,,,,,,,288000000.0,-45000000.0,333000000.0,0.14,0.14,1259000000.0,1261000000.0,8263000000.0,,,,,,,,,2399000000.0,5561000000.0,478000000.0,,129762000000.0,,,,,,,,,112499000000.0,-3913000000.0,92000000.0,17263000000.0,129762000000.0,,,-57000000.0,,,,-1931000000.0,,,-379000000.0,4616000000.0,11156000000.0,3630000000.0,6531000000.0,,,,,,-430000000.0,,,-2842000000.0,1344000000.0,
2011-12-31,,,,,,,,,161000000.0,-28000000.0,-215000000.0,-0.34,-0.34,1258000000.0,1258000000.0,7245000000.0,,,,1286000000.0,,,,,2375000000.0,4816000000.0,449000000.0,,127050000000.0,,,,,,,,,110551000000.0,-4527000000.0,-69000000.0,16499000000.0,127050000000.0,,14000000.0,-31000000.0,,,,-1107000000.0,,,-366000000.0,4753000000.0,14592000000.0,5848000000.0,7859000000.0,,,,,,659000000.0,,,-5086000000.0,326000000.0,-98000000.0
2012-03-31,,,,,,,,,321000000.0,82000000.0,199000000.0,0.11,0.11,1282000000.0,1283000000.0,7473000000.0,,,,,,,,,2350000000.0,4816000000.0,420000000.0,,128282000000.0,,,,,,,,,110748000000.0,-4395000000.0,-60000000.0,17534000000.0,128282000000.0,,,55000000.0,,,,-48000000.0,,,-218000000.0,755000000.0,5075000000.0,1594000000.0,1398000000.0,,,,,,-1797000000.0,875000000.0,,1270000000.0,228000000.0,
2012-06-30,,,,,,,,,798000000.0,208000000.0,554000000.0,0.32,0.32,1414000000.0,1418000000.0,3766000000.0,,,,1000000000.0,,,,,2300000000.0,4816000000.0,391000000.0,,122345000000.0,,,,,,,,,107890000000.0,-4136000000.0,54000000.0,14455000000.0,122345000000.0,,,201000000.0,,,,102000000.0,,,39000000.0,1037000000.0,6970000000.0,3209000000.0,1670000000.0,,,,,,-562000000.0,875000000.0,1000000.0,-3954000000.0,-3479000000.0,
2012-09-30,,,,,,,,,1246000000.0,344000000.0,855000000.0,0.53,0.53,1414000000.0,1423000000.0,3930000000.0,,,,800000000.0,,,,,2274000000.0,4816000000.0,365000000.0,,121798000000.0,,,,,,,,,106897000000.0,-3849000000.0,202000000.0,14901000000.0,121798000000.0,530000000.0,,299000000.0,,,,-42000000.0,,,628000000.0,2215000000.0,8812000000.0,4923000000.0,1745000000.0,,,,,,25000000.0,875000000.0,1000000.0,-5555000000.0,-3315000000.0,
2012-12-31,,,,,,,,,1661000000.0,482000000.0,1120000000.0,0.72,0.71,1381000000.0,1387000000.0,5489000000.0,,,,763000000.0,,,,,2279000000.0,4816000000.0,345000000.0,,121347000000.0,,,,,,,,,105848000000.0,-3338000000.0,65000000.0,15499000000.0,121347000000.0,717000000.0,21000000.0,486000000.0,,,,-809000000.0,,,-353000000.0,2441000000.0,11571000000.0,6844000000.0,2571000000.0,,,,,,1007000000.0,875000000.0,,-5204000000.0,-1756000000.0,80000000.0
2013-03-31,,,,,,,,,447000000.0,114000000.0,335000000.0,0.23,0.23,1413000000.0,1423000000.0,4933000000.0,,,,,,,,,2252000000.0,4816000000.0,331000000.0,,119718000000.0,,,,,,,,,103978000000.0,-3003000000.0,-12000000.0,15740000000.0,119718000000.0,171000000.0,,121000000.0,,,,-226000000.0,,,-758000000.0,1130000000.0,2527000000.0,1765000000.0,388000000.0,,,,,,-579000000.0,0.0,,-1107000000.0,-556000000.0,
2013-06-30,,,,,,,,,837000000.0,236000000.0,602000000.0,0.42,0.41,1407000000.0,1421000000.0,4280000000.0,,,,,,,,,2228000000.0,4816000000.0,318000000.0,,118707000000.0,,,,,,,,,103378000000.0,-2736000000.0,-478000000.0,15329000000.0,118707000000.0,342000000.0,,216000000.0,,,,-343000000.0,,,-720000000.0,2167000000.0,4654000000.0,3377000000.0,1372000000.0,,,,,,-1465000000.0,0.0,,-1911000000.0,-1209000000.0,
2013-09-30,,,,,,,,,1254000000.0,360000000.0,895000000.0,0.62,0.62,1401000000.0,1415000000.0,3859000000.0,,,,,,,,,2218000000.0,4816000000.0,307000000.0,,116864000000.0,,,,,,,,,101375000000.0,-2443000000.0,-411000000.0,15489000000.0,116864000000.0,497000000.0,,310000000.0,,,,-331000000.0,,,-451000000.0,3146000000.0,5888000000.0,4611000000.0,3543000000.0,,,,,,-394000000.0,0.0,,-4382000000.0,-1630000000.0,
2013-12-31,,,,,,,,,1587000000.0,452000000.0,1122000000.0,0.78,0.77,1395000000.0,1410000000.0,5273000000.0,,,,612000000.0,,,,,2216000000.0,4816000000.0,295000000.0,,117396000000.0,,,,,,,,,101628000000.0,-2216000000.0,-319000000.0,15768000000.0,117396000000.0,645000000.0,25000000.0,345000000.0,,,,-681000000.0,,,-915000000.0,3799000000.0,7050000000.0,5406000000.0,3828000000.0,,,,,,-125000000.0,0.0,,-3890000000.0,-216000000.0,54000000.0
2014-03-31,,,,,,,,,435000000.0,128000000.0,319000000.0,0.23,0.22,1378000000.0,1390000000.0,5196000000.0,,,,,,,,,2194000000.0,4816000000.0,294000000.0,,117933000000.0,,,,,,,,,101801000000.0,-1897000000.0,-229000000.0,16132000000.0,117933000000.0,122000000.0,,,,,,250000000.0,,,36000000.0,421000000.0,846000000.0,711000000.0,185000000.0,,,,,,-580000000.0,,,82000000.0,-77000000.0,
2014-06-30,,,,,,,,,859000000.0,253000000.0,619000000.0,0.44,0.43,1378000000.0,1390000000.0,4819000000.0,,,,,,,,,2194000000.0,4816000000.0,281000000.0,,118719000000.0,,,,,,,,,101690000000.0,-1597000000.0,-52000000.0,17029000000.0,118719000000.0,248000000.0,,,,,,367000000.0,,,60000000.0,743000000.0,2452000000.0,1481000000.0,1004000000.0,,,,,,-1552000000.0,,,355000000.0,-454000000.0,
2014-09-30,,,,,,,,,1308000000.0,380000000.0,944000000.0,0.66,0.65,1378000000.0,1390000000.0,4783000000.0,,,,,,,,,2192000000.0,4816000000.0,287000000.0,,119226000000.0,,,,,,,,,102066000000.0,-1272000000.0,-174000000.0,17160000000.0,119226000000.0,391000000.0,,,,,,69000000.0,,,64000000.0,1518000000.0,4524000000.0,2350000000.0,1384000000.0,,,,,,-2663000000.0,,,655000000.0,-490000000.0,
2014-12-31,,,,,,,,,1599000000.0,457000000.0,1155000000.0,0.8,0.8,1375000000.0,1387000000.0,4004000000.0,,,,367000000.0,,,,,2193000000.0,4816000000.0,275000000.0,,119679000000.0,,,,,,,,,102690000000.0,-1061000000.0,-238000000.0,16989000000.0,119679000000.0,523000000.0,30000000.0,173000000.0,,,,187000000.0,,,421000000.0,2096000000.0,5965000000.0,3207000000.0,1741000000.0,,,,,,-3770000000.0,0.0,,405000000.0,-1269000000.0,296000000.0
2015-03-31,,,,,,,,,331000000.0,95000000.0,234000000.0,0.16,0.16,1346000000.0,1358000000.0,6026000000.0,,,,,,,,,2174000000.0,4816000000.0,272000000.0,,122447000000.0,,,,,,,,,105396000000.0,-943000000.0,-115000000.0,17051000000.0,122447000000.0,123000000.0,,,,,,112000000.0,,,-121000000.0,294000000.0,1232000000.0,863000000.0,516000000.0,,,,,,-904000000.0,,,2632000000.0,2022000000.0,
2015-06-30,,,,,,,,,744000000.0,219000000.0,519000000.0,0.36,0.36,1340000000.0,1352000000.0,3755000000.0,,,,,,,,,2147000000.0,4816000000.0,268000000.0,,121855000000.0,,,,,,,,,104956000000.0,-658000000.0,-287000000.0,16899000000.0,121855000000.0,252000000.0,,,,,,-91000000.0,,,-347000000.0,767000000.0,2860000000.0,1911000000.0,828000000.0,,,,,,-3149000000.0,,,2133000000.0,-249000000.0,
2015-09-30,,,,,,,,,1122000000.0,335000000.0,777000000.0,0.55,0.54,1333000000.0,1343000000.0,5008000000.0,,,,,,,,,2122000000.0,4831000000.0,263000000.0,,124789000000.0,,,,,,,,,107837000000.0,-400000000.0,-139000000.0,16952000000.0,124789000000.0,384000000.0,,,,,,-116000000.0,,,-95000000.0,1565000000.0,4382000000.0,2958000000.0,1201000000.0,,,,,,-4335000000.0,,,3774000000.0,1004000000.0,
2015-12-31,,,,,,,,,1530000000.0,455000000.0,1062000000.0,0.75,0.75,1325000000.0,1334000000.0,5314000000.0,,,,254000000.0,,,,,2152000000.0,4878000000.0,259000000.0,,126050000000.0,,,,,,,,,109206000000.0,-115000000.0,-380000000.0,16844000000.0,126050000000.0,523000000.0,,155000000.0,,,,-12000000.0,,,-449000000.0,1572000000.0,7819000000.0,3890000000.0,3138000000.0,,,,,,-6124000000.0,,,5862000000.0,1310000000.0,129000000.0
2016-03-31,,,,,,,,,386000000.0,113000000.0,273000000.0,0.2,0.2,1286000000.0,1291000000.0,4390000000.0,,,,,,,,,2134000000.0,4878000000.0,246000000.0,,125539000000.0,,,,,,,,,108328000000.0,62000000.0,-23000000.0,17211000000.0,125539000000.0,130000000.0,,,,,,-108000000.0,,,-35000000.0,790000000.0,1954000000.0,774000000.0,1056000000.0,,,,,,-656000000.0,,,-1058000000.0,-924000000.0,
2016-06-30,,,,,,,,,773000000.0,228000000.0,548000000.0,0.4,0.4,1275000000.0,1279000000.0,4237000000.0,,,,,,,,,2091000000.0,4882000000.0,240000000.0,,126212000000.0,,,,,,,,,108827000000.0,242000000.0,148000000.0,17385000000.0,126212000000.0,267000000.0,,,,,,126000000.0,,,197000000.0,1130000000.0,4092000000.0,1983000000.0,1527000000.0,,,,,,-1076000000.0,,,-1131000000.0,-1077000000.0,
2016-09-30,,,,,,,,,1244000000.0,380000000.0,868000000.0,0.65,0.65,1266000000.0,1270000000.0,4238000000.0,,,,,,,,,2075000000.0,4882000000.0,228000000.0,,125177000000.0,,,,,,,,,107812000000.0,465000000.0,105000000.0,17365000000.0,125177000000.0,425000000.0,,,,,,-28000000.0,,,157000000.0,1740000000.0,6108000000.0,3325000000.0,1873000000.0,,,,,,-503000000.0,,,-2313000000.0,-1076000000.0,
2016-12-31,,,,,,,,,1672000000.0,514000000.0,1163000000.0,0.87,0.87,1255000000.0,1261000000.0,5451000000.0,,,,308000000.0,,,,,2096000000.0,4904000000.0,221000000.0,,125968000000.0,,,,,,,,,109304000000.0,666000000.0,-550000000.0,16664000000.0,125968000000.0,574000000.0,,49000000.0,,,,219000000.0,,,189000000.0,1954000000.0,7874000000.0,4420000000.0,1965000000.0,,,,,,-631000000.0,,,-1186000000.0,137000000.0,314000000.0
2017-03-31,,,,,,,,,422000000.0,128000000.0,301000000.0,0.24,0.23,1209000000.0,1224000000.0,4374000000.0,,,,,,,,,2088000000.0,4904000000.0,209000000.0,,124545000000.0,,,,,,,,,107823000000.0,873000000.0,-565000000.0,16722000000.0,124545000000.0,140000000.0,,,,,,30000000.0,,,-79000000.0,736000000.0,1149000000.0,889000000.0,434000000.0,,,,,,-129000000.0,,,-1684000000.0,-1077000000.0,
