Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,2216268000.0,,,,,,,,256668000.0,97337000.0,159218000.0,1.28,1.28,119622000.0,120019000.0,866196000.0,,,,177960000.0,,,,,175603000.0,62575000.0,,,14880179000.0,,,,,,,,,12414259000.0,1854610000.0,-17565000.0,2219392000.0,14880179000.0,29354000.0,32042000.0,-35565000.0,-117658000.0,,87630000.0,,,,,8830000.0,0.0,115215000.0,,6773000.0,,17979000.0,,,2424747000.0,,-137000.0,-3875132000.0,-1439889000.0,121118000.0
2010-09-30,2979516000.0,,,,,,,,356144000.0,133625000.0,228283000.0,1.83,1.83,119335000.0,119592000.0,2943239000.0,,,,165208000.0,,,,,170768000.0,62575000.0,,,17883081000.0,,,,,,,,,15286213000.0,1909865000.0,-6197000.0,2302816000.0,17883081000.0,39527000.0,41845000.0,-25829000.0,-220476000.0,,,,-461604000.0,,,-1021393000.0,29977000.0,149961000.0,,23437000.0,,22287000.0,,,2366221000.0,,2280000.0,-712178000.0,633766000.0,161345000.0
2010-12-31,830333000.0,,,,,,,,126746000.0,48791000.0,81723000.0,0.65,0.65,121155000.0,121534000.0,1204883000.0,,,,181104000.0,,,,,171569000.0,62575000.0,,,14849838000.0,,,,,,,,,12131905000.0,1979572000.0,4204000.0,2406742000.0,14849838000.0,9574000.0,15832000.0,-18737000.0,46147000.0,,,,66780000.0,,,1212449000.0,1201000.0,34538000.0,,8648000.0,,9500000.0,,,-22002000.0,,293000.0,-2927110000.0,-1738356000.0,6688000.0
2011-03-31,1697077000.0,,,,,,,,250984000.0,94111000.0,162640000.0,1.29,1.29,122396000.0,123265000.0,1255168000.0,,,,187019000.0,,,,,168828000.0,62575000.0,,,15284179000.0,,,,,,,,,12464771000.0,2044007000.0,9931000.0,2507790000.0,15284179000.0,19802000.0,27041000.0,-25848000.0,-157246000.0,,,,390655000.0,,,1132977000.0,1832000.0,66615000.0,,-14328000.0,,15974000.0,,,101555000.0,,1069000.0,-2923581000.0,-1688071000.0,118750000.0
2011-06-30,2565289000.0,,,,,,,,332063000.0,125992000.0,209426000.0,1.66,1.65,123238000.0,123958000.0,1598688000.0,,,,206710000.0,,,,,172346000.0,71924000.0,,,16117109000.0,,,,,,,,,13251870000.0,2074315000.0,10903000.0,2558664000.0,16117109000.0,30330000.0,32969000.0,-43242000.0,-244615000.0,,,,383015000.0,,,1090155000.0,2328000.0,92049000.0,13767000.0,,,28170000.0,,,-3922000.0,,1772000.0,-2450951000.0,-1362917000.0,154275000.0
2011-09-30,3399886000.0,,,,,,,,450745000.0,182894000.0,278353000.0,2.2,2.19,122448000.0,122836000.0,2439695000.0,,,,171911000.0,,,,,169850000.0,71924000.0,,,18006995000.0,,,,,,,,,15095150000.0,2125818000.0,-9605000.0,2587619000.0,18006995000.0,40337000.0,40978000.0,-6008000.0,82163000.0,,,,1312192000.0,,,1558441000.0,238768000.0,130063000.0,13761000.0,,,37200000.0,,,-400143000.0,,2106000.0,-1679384000.0,-521910000.0,194233000.0
2011-12-31,798817000.0,,,,,,,,104648000.0,43526000.0,67325000.0,0.53,0.53,123225000.0,123712000.0,1916954000.0,,,,185919000.0,,,,,173901000.0,71924000.0,,,17891566000.0,,,,,,,,,14928612000.0,2171907000.0,-10446000.0,2636669000.0,17891566000.0,9971000.0,17410000.0,-10444000.0,-69322000.0,,,,141531000.0,,,-19991000.0,950000.0,40029000.0,0.0,,,13647000.0,,,-444308000.0,,1675000.0,-57931000.0,-522741000.0,10137000.0
2012-03-31,1688670000.0,,,,,,,,212550000.0,86154000.0,136194000.0,1.05,1.05,129353000.0,130644000.0,2875858000.0,,,,179893000.0,,,,,181752000.0,71924000.0,,,19275376000.0,,,,,,,,,15859505000.0,2222857000.0,3315000.0,3087853000.0,19275376000.0,20053000.0,30340000.0,-10033000.0,18653000.0,,,,83022000.0,,,69070000.0,111884000.0,61380000.0,0.0,,,31182000.0,,,-1052593000.0,362232000.0,2210000.0,1419573000.0,436163000.0,110488000.0
2012-06-30,2804432000.0,,,,,,,,350541000.0,134674000.0,212544000.0,1.61,1.6,135256000.0,136657000.0,1729035000.0,,,,188330000.0,,,,,223560000.0,286372000.0,,,21170555000.0,,,,,,,,,17588846000.0,2281407000.0,-4996000.0,3157696000.0,21170555000.0,38079000.0,41774000.0,-16389000.0,316477000.0,,,,-84289000.0,,,215787000.0,249381000.0,145860000.0,0.0,,1096631000.0,53572000.0,,,-2508601000.0,362823000.0,3001000.0,1583137000.0,-710660000.0,123715000.0
2012-09-30,3897900000.0,,,,,,,,467921000.0,175656000.0,295869000.0,2.22,2.2,130806000.0,131791000.0,1980020000.0,,,,168187000.0,,,,,231195000.0,300111000.0,61135000.0,,21160265000.0,,,,,,,,,17479983000.0,2346563000.0,9447000.0,3268940000.0,21160265000.0,51445000.0,55729000.0,2044000.0,69984000.0,,,,-424867000.0,,,391289000.0,249379000.0,173189000.0,0.0,,1073621000.0,77515000.0,,,-2731215000.0,362823000.0,2613000.0,1879275000.0,-459675000.0,176539000.0
