Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-03,,,712200000.0,,531900000.0,538000000.0,174200000.0,,,48700000.0,120800000.0,1.24,1.21,97200000.0,99900000.0,345800000.0,,270100000.0,629600000.0,101700000.0,,,2161000000.0,71900000.0,675200000.0,970500000.0,355400000.0,135400000.0,4499000000.0,220600000.0,,,764000000.0,,,,365800000.0,1533200000.0,3026500000.0,116500000.0,2965800000.0,4499000000.0,46000000.0,15500000.0,-21100000.0,-104400000.0,132500000.0,,,,-5600000.0,,171400000.0,,,,,,38500000.0,,,-134900000.0,,1800000.0,-251000000.0,-217300000.0,
2010-10-02,,,1600100000.0,,1104800000.0,1118500000.0,481600000.0,,,149500000.0,326000000.0,3.38,3.3,96400000.0,98900000.0,435900000.0,,523300000.0,732500000.0,98700000.0,,,2444000000.0,61100000.0,716400000.0,999700000.0,372000000.0,142800000.0,4875000000.0,256400000.0,,,884500000.0,,,,381500000.0,1702500000.0,3222200000.0,191500000.0,3172500000.0,4875000000.0,92400000.0,30800000.0,-22100000.0,138100000.0,219200000.0,,,,-11600000.0,,224000000.0,,,,,,93800000.0,,,-18400000.0,,7000000.0,-342600000.0,-127200000.0,
2011-01-01,,,2508000000.0,,1760200000.0,1780100000.0,727900000.0,,,219500000.0,494400000.0,5.15,5.01,96000000.0,98700000.0,643400000.0,,338100000.0,697700000.0,82300000.0,,,2513100000.0,65500000.0,756400000.0,996700000.0,392000000.0,147400000.0,5008600000.0,176500000.0,,,792500000.0,,,,383300000.0,1595600000.0,3381000000.0,182000000.0,3413000000.0,5008600000.0,142800000.0,48900000.0,-33200000.0,-47000000.0,179400000.0,,,,-18100000.0,,594300000.0,,,,,,171500000.0,,,-240800000.0,,34200000.0,-281800000.0,80300000.0,
2011-04-02,,,3318300000.0,,2442700000.0,2473200000.0,845100000.0,,,257800000.0,567600000.0,5.91,5.75,96000000.0,98700000.0,453000000.0,,442800000.0,702100000.0,92100000.0,,,2478000000.0,83600000.0,788800000.0,1016300000.0,387700000.0,150000000.0,4981100000.0,214700000.0,,,832000000.0,,,,396100000.0,1676400000.0,3435300000.0,215800000.0,3304700000.0,4981100000.0,194100000.0,70400000.0,47300000.0,50700000.0,173500000.0,,,,-27200000.0,,688700000.0,,,,,,255000000.0,,,-299400000.0,,42600000.0,-512600000.0,-110100000.0,
2011-07-02,,,961500000.0,,672300000.0,679400000.0,282100000.0,,,90400000.0,184100000.0,1.96,1.9,93900000.0,96800000.0,431500000.0,12000000.0,388100000.0,896300000.0,102000000.0,,,2515700000.0,26900000.0,785100000.0,1023100000.0,381200000.0,141800000.0,4960200000.0,196800000.0,176100000.0,51600000.0,908400000.0,,,,392600000.0,1758500000.0,3600900000.0,240000000.0,3201700000.0,4960200000.0,55400000.0,17900000.0,-7100000.0,-58000000.0,183000000.0,,,,-1100000.0,,212400000.0,,,,,,39300000.0,,,91900000.0,,10600000.0,-330700000.0,-21500000.0,11400000.0
2011-10-01,3431000000.0,,2040100000.0,,1392600000.0,1407200000.0,632900000.0,,622000000.0,204400000.0,417600000.0,4.49,4.35,93100000.0,95900000.0,407700000.0,90900000.0,633500000.0,988400000.0,103600000.0,,,2773900000.0,92300000.0,833500000.0,1024500000.0,378600000.0,148600000.0,5328400000.0,190000000.0,186100000.0,51800000.0,1122400000.0,,,,388200000.0,1944500000.0,3816000000.0,247400000.0,3383900000.0,5328400000.0,111400000.0,34000000.0,-13700000.0,195800000.0,284400000.0,,,,-8600000.0,,283500000.0,,,,,,92400000.0,,,-12600000.0,,21200000.0,-316100000.0,-45300000.0,25300000.0
2011-12-31,5236600000.0,,3071700000.0,,2146900000.0,2168700000.0,903000000.0,,884100000.0,297500000.0,586600000.0,6.32,6.14,92800000.0,95600000.0,815800000.0,155200000.0,440200000.0,894700000.0,101900000.0,,,2826500000.0,71900000.0,826500000.0,1013400000.0,370200000.0,145200000.0,5326500000.0,169700000.0,168300000.0,40900000.0,979200000.0,,,,389200000.0,1796800000.0,3966500000.0,206700000.0,3529700000.0,5326500000.0,168200000.0,55200000.0,-21500000.0,8600000.0,203100000.0,,,,-12000000.0,,784200000.0,,,,,,160100000.0,,,9200000.0,,25500000.0,-421100000.0,362800000.0,95100000.0
2012-03-31,6859500000.0,,3998100000.0,,2915200000.0,2958700000.0,1039400000.0,,1015100000.0,334100000.0,681000000.0,7.35,7.13,92700000.0,95500000.0,671600000.0,226500000.0,547200000.0,841600000.0,126800000.0,,,2899900000.0,99900000.0,884100000.0,1004000000.0,359000000.0,129700000.0,5416400000.0,180600000.0,175700000.0,50300000.0,946200000.0,,35200000.0,,375300000.0,1763900000.0,4042400000.0,196600000.0,3652500000.0,5416400000.0,225200000.0,77900000.0,-15100000.0,114000000.0,148300000.0,,,,-18500000.0,,885300000.0,,,,,,272200000.0,,,-249600000.0,,39900000.0,-407700000.0,218600000.0,189200000.0
2012-06-30,1593400000.0,,992100000.0,,693400000.0,700100000.0,292000000.0,,283900000.0,90500000.0,193400000.0,2.1,2.03,92200000.0,95100000.0,468500000.0,257000000.0,395300000.0,964100000.0,,,,2719300000.0,82100000.0,869700000.0,1002700000.0,354900000.0,132100000.0,5194100000.0,206500000.0,163700000.0,47300000.0,933000000.0,,,,364100000.0,1722300000.0,4199300000.0,161400000.0,3471800000.0,5194100000.0,56100000.0,21600000.0,-6300000.0,-148800000.0,130700000.0,,,,-8000000.0,,268700000.0,,,,,,61600000.0,,,-121200000.0,,19700000.0,-345600000.0,-203100000.0,78100000.0
2012-09-29,3455400000.0,,2087400000.0,,1433600000.0,1447100000.0,640300000.0,,626100000.0,219000000.0,407100000.0,4.44,4.32,91700000.0,94200000.0,543700000.0,163600000.0,606800000.0,1060200000.0,,,,3003000000.0,84900000.0,911900000.0,1014000000.0,349700000.0,125200000.0,5523500000.0,224400000.0,172400000.0,44900000.0,958100000.0,,,,376700000.0,1787100000.0,4376500000.0,197500000.0,3736400000.0,5523500000.0,113400000.0,42800000.0,5300000.0,55800000.0,215800000.0,,,,-15800000.0,,306700000.0,,,,,,117300000.0,,,-81600000.0,,26400000.0,-353500000.0,-127900000.0,206900000.0
