Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,282012000.0,,173954000.0,19739000.0,84791000.0,107560000.0,66394000.0,10160000.0,76554000.0,19846000.0,56708000.0,0.37,0.36,151474000.0,156752000.0,540004000.0,,,214208000.0,14525000.0,,,1068511000.0,,423940000.0,222327000.0,49985000.0,7297000.0,1792230000.0,43071000.0,84770000.0,35455000.0,286315000.0,14741000.0,11344000.0,2985000.0,,315385000.0,941584000.0,212336000.0,,1792230000.0,15642000.0,8350000.0,,-11715000.0,12555000.0,,,,,,59143000.0,,,,,21150000.0,15333000.0,1464000.0,,-30908000.0,13756000.0,2397000.0,-36484000.0,51228000.0,
2010-12-31,587998000.0,,359953000.0,41712000.0,176371000.0,223687000.0,136266000.0,19208000.0,155474000.0,40310000.0,115164000.0,0.76,0.73,152420000.0,157593000.0,616201000.0,,,214886000.0,7447000.0,,66060000.0,1145254000.0,,441049000.0,219220000.0,50627000.0,8232000.0,1884211000.0,44329000.0,92527000.0,37030000.0,246592000.0,14986000.0,9615000.0,2216000.0,,273409000.0,1000040000.0,253949000.0,,1884211000.0,32988000.0,16503000.0,,-1720000.0,9036000.0,,,,,,127454000.0,,,,,21150000.0,33119000.0,3609000.0,,-46778000.0,53742000.0,8550000.0,-38451000.0,127425000.0,
2011-03-31,901255000.0,,542455000.0,65032000.0,268920000.0,342228000.0,200227000.0,26271000.0,226498000.0,57984000.0,168514000.0,1.11,1.07,153251.0,157616.0,671704000.0,,,205000000.0,12220000.0,,54493000.0,1202658000.0,,447669000.0,230855000.0,49236000.0,11742000.0,1962159000.0,52370000.0,90353000.0,42133000.0,191371000.0,16588000.0,9376000.0,1434000.0,,298769000.0,1053390000.0,282585000.0,,1962159000.0,51108000.0,23196000.0,,11489000.0,-3579000.0,,,,,,208862000.0,,,,,22450000.0,49163000.0,4992000.0,,-61374000.0,74362000.0,11566000.0,-59791000.0,182928000.0,
2011-06-30,1243148000.0,,741326000.0,92007000.0,371249000.0,474402000.0,266924000.0,36783000.0,303707000.0,76721000.0,226986000.0,1.49,1.44,152471000.0,157195000.0,735267000.0,,,200777000.0,24106000.0,,58887000.0,1292452000.0,,462107000.0,235487000.0,47911000.0,12043000.0,2068922000.0,55194000.0,103787000.0,45125000.0,208840000.0,17237000.0,8051000.0,4057000.0,,338185000.0,1111862000.0,324432000.0,,2068922000.0,70616000.0,30809000.0,3356000.0,30799000.0,-11394000.0,,,,,,283190000.0,,,,,22450000.0,66609000.0,6431000.0,,-76511000.0,94650000.0,14510000.0,-79343000.0,246491000.0,
2011-09-30,314774000.0,,185054000.0,26206000.0,94203000.0,124180000.0,60874000.0,5623000.0,66497000.0,15979000.0,50518000.0,0.34,0.33,150366000.0,154051000.0,610063000.0,,,187950000.0,13357000.0,,77884000.0,1142799000.0,,432687000.0,267688000.0,63940000.0,8374000.0,1935292000.0,46688000.0,103274000.0,41918000.0,225714000.0,16979000.0,9465000.0,4116000.0,,386274000.0,1162380000.0,200211000.0,,1935292000.0,20410000.0,7205000.0,,-14290000.0,-4243000.0,,,,,,89523000.0,,,,,51923000.0,12878000.0,1686000.0,,-71685000.0,9354000.0,856000.0,-83943000.0,-125204000.0,
2011-12-31,647513000.0,,383770000.0,53424000.0,194755000.0,255641000.0,128129000.0,21299000.0,149428000.0,36038000.0,113390000.0,0.76,0.75,148368000.0,151835000.0,723233000.0,,,184420000.0,13598000.0,,84655000.0,1246767000.0,,441000000.0,261109000.0,,13552000.0,2041478000.0,45763000.0,112286000.0,41840000.0,228357000.0,15755000.0,7921000.0,3370000.0,,480403000.0,1225252000.0,240877000.0,,2041478000.0,43404000.0,14590000.0,,-26310000.0,-8936000.0,,,,,,200156000.0,,,,,51923000.0,25189000.0,3781000.0,,-87653000.0,19935000.0,1796000.0,-94249000.0,-12034000.0,
2012-03-31,996586000.0,,594266000.0,81822000.0,295712000.0,389589000.0,204677000.0,28759000.0,233436000.0,55433000.0,178003000.0,1.21,1.18,146931000.0,150295000.0,776067000.0,,,183488000.0,13683000.0,,81501000.0,1325851000.0,,443090000.0,267823000.0,,12135000.0,2128843000.0,54726000.0,122772000.0,43728000.0,257479000.0,15761000.0,8112000.0,3538000.0,,519890000.0,1289865000.0,264034000.0,,2128843000.0,63430000.0,22445000.0,,243000.0,-12774000.0,,,,,,286182000.0,,,,,53322000.0,35067000.0,5506000.0,,-93464000.0,37438000.0,3877000.0,-130216000.0,40800000.0,
2012-06-30,1368515000.0,,820735000.0,109733000.0,401621000.0,526328000.0,294407000.0,37538000.0,331945000.0,77095000.0,254850000.0,1.75,1.71,145901000.0,149316000.0,809541000.0,,,174351000.0,33174000.0,,72227000.0,1361151000.0,,434363000.0,256209000.0,,7819000.0,2137869000.0,55006000.0,127381000.0,41563000.0,252852000.0,14384000.0,8843000.0,3380000.0,,530242000.0,1366712000.0,236456000.0,,2137869000.0,85856000.0,30586000.0,-12622000.0,20293000.0,-18806000.0,,,,,,383159000.0,,,,,53322000.0,47135000.0,6972000.0,,-101615000.0,62491000.0,8748000.0,-177105000.0,74274000.0,
2012-09-30,339731000.0,,208648000.0,27220000.0,98303000.0,128159000.0,80489000.0,10412000.0,90901000.0,19636000.0,71265000.0,0.5,0.49,142651000.0,146055000.0,890629000.0,,,193172000.0,24754000.0,,72034000.0,1450217000.0,,438357000.0,273280000.0,,5596000.0,2244659000.0,52914000.0,132100000.0,42978000.0,253031000.0,14301000.0,9167000.0,3452000.0,,545736000.0,1413711000.0,255313000.0,,2244659000.0,18650000.0,7921000.0,,-18397000.0,16698000.0,,,,,,78254000.0,,,,,5418000.0,13831000.0,1035000.0,,-14983000.0,21667000.0,3760000.0,7690000.0,81088000.0,
2012-12-31,716269000.0,,441360000.0,57546000.0,206118000.0,268802000.0,172558000.0,16743000.0,189301000.0,40094000.0,149207000.0,1.04,1.02,143214000.0,146689000.0,958280000.0,,,194804000.0,21872000.0,,70293000.0,1529851000.0,,439575000.0,279384000.0,,3962000.0,2330375000.0,52119000.0,135372000.0,43784000.0,251068000.0,14055000.0,9373000.0,3569000.0,,578863000.0,1467230000.0,267476000.0,,2330375000.0,37947000.0,17443000.0,,-5758000.0,16497000.0,,,,,,171901000.0,,,,,5418000.0,27635000.0,4801000.0,,-30511000.0,33308000.0,8219000.0,-7020000.0,148739000.0,
