Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,,181873000.0,,,,72431000.0,27148000.0,,0.46,0.46,99125000.0,99295000.0,19286000.0,,,11122000.0,26190000.0,,14597000.0,146310000.0,,71260000.0,189668000.0,,8869000.0,582407000.0,17599000.0,25822000.0,93450000.0,237470000.0,,,,,306837000.0,184897000.0,-32149000.0,,582407000.0,17967000.0,4221000.0,232000.0,14199000.0,911000.0,1471000.0,2376000.0,,7559000.0,,59037000.0,,,,,2173000.0,4522000.0,,,-6564000.0,,448000.0,-42637000.0,9782000.0,30116000.0
2010-09-30,,,,,280782000.0,,,,113400000.0,42604000.0,,0.72,0.71,98876000.0,99029000.0,20250000.0,,,11167000.0,27092000.0,,13161000.0,150861000.0,,70782000.0,200639000.0,,9554000.0,607625000.0,25693000.0,28326000.0,95711000.0,255656000.0,,,,,321184000.0,194130000.0,-31844000.0,,607625000.0,27043000.0,5859000.0,-3602000.0,21376000.0,747000.0,55000.0,896000.0,,8280000.0,,92419000.0,,,,,20890000.0,6790000.0,,,-27537000.0,,970000.0,-54256000.0,10746000.0,45252000.0
2010-12-31,,,,,373288000.0,,,,143545000.0,53543000.0,,0.61,0.61,148030000.0,148231000.0,20913000.0,,,11899000.0,27396000.0,,20380000.0,151021000.0,,74013000.0,210779000.0,,10346000.0,619014000.0,25940000.0,28543000.0,85489000.0,246441000.0,,,,,321044000.0,155463000.0,-32490000.0,,619014000.0,36408000.0,7538000.0,2075000.0,13994000.0,1391000.0,1080000.0,8197000.0,,-2516000.0,,124053000.0,,,,,34764000.0,13036000.0,,,-47645000.0,,1185000.0,-65497000.0,11409000.0,60101000.0
2011-03-31,,,,,91498000.0,,,,29855000.0,11215000.0,,0.13,0.13,147473000.0,147570000.0,23340000.0,,,12680000.0,27178000.0,,14522000.0,147244000.0,,73444000.0,212130000.0,146742000.0,10523000.0,614205000.0,23081000.0,30027000.0,92193000.0,241916000.0,,,,,312985000.0,159197000.0,-31803000.0,,614205000.0,9200000.0,1882000.0,487000.0,,,,,,,,32954000.0,,,,,4413000.0,3345000.0,,-160000.0,-7598000.0,,70000.0,-23478000.0,2427000.0,
2011-06-30,,,,,193255000.0,,,,79423000.0,29722000.0,,0.34,0.34,147358000.0,147441000.0,25820000.0,,71457000.0,12305000.0,27628000.0,,20198000.0,169476000.0,,74026000.0,213705000.0,144947000.0,10503000.0,637132000.0,31853000.0,32478000.0,93387000.0,249249000.0,,,,,323949000.0,170158000.0,-32131000.0,,637132000.0,18488000.0,3764000.0,1423000.0,,,,,,,,74340000.0,,,,,7986000.0,7600000.0,,-212000.0,-15374000.0,,138000.0,-54148000.0,4907000.0,
2011-09-30,,,,,295651000.0,,,,126443000.0,47327000.0,,0.54,0.54,147086000.0,147161000.0,30219000.0,,71715000.0,10607000.0,30575000.0,,17096000.0,171880000.0,,76046000.0,210898000.0,140598000.0,9670000.0,632423000.0,23951000.0,35774000.0,95022000.0,235913000.0,,,,,305925000.0,179217000.0,-33548000.0,326498000.0,632423000.0,27825000.0,5645000.0,2545000.0,,,,,,,,115106000.0,,,,,9262000.0,13381000.0,,-219000.0,-22424000.0,,2270000.0,-82464000.0,,
2011-12-31,,,,,388710000.0,,,,161096000.0,60385000.0,,0.69,0.69,146882000.0,146946000.0,46275000.0,,61687000.0,11125000.0,53876000.0,,13804000.0,175822000.0,,76858000.0,211019000.0,,10523000.0,645650000.0,22584000.0,34650000.0,85636000.0,225851000.0,,,,,321653000.0,189282000.0,-48090000.0,323997000.0,645650000.0,37503000.0,7555000.0,784000.0,10663000.0,-837000.0,1855000.0,-5457000.0,,-59000.0,,154647000.0,,,,,11410000.0,18652000.0,,,-29154000.0,,2367000.0,-99427000.0,,51983000.0
2012-03-31,,,,,94824000.0,,,,36741000.0,13661000.0,,0.16,0.16,146697000.0,146714000.0,59684000.0,,63790000.0,10874000.0,29718000.0,,15123000.0,190575000.0,,77146000.0,211237000.0,139580000.0,11052000.0,662806000.0,19214000.0,43569000.0,92778000.0,228583000.0,,,,,326551000.0,199373000.0,-47460000.0,336255000.0,662806000.0,9767000.0,2372000.0,2506000.0,,,,,,,,37089000.0,,,,,6826000.0,3714000.0,,-142000.0,-10398000.0,,2590000.0,-13824000.0,,
2012-06-30,,,,,200892000.0,,,,89919000.0,33712000.0,,0.38,0.38,146557000.0,146571000.0,62060000.0,,73784000.0,12162000.0,30477000.0,,19004000.0,210309000.0,,76963000.0,210971000.0,137865000.0,11009000.0,680774000.0,29676000.0,36459000.0,96127000.0,240740000.0,,,,,336467000.0,206474000.0,-48293000.0,344307000.0,680774000.0,19380000.0,4749000.0,2960000.0,,,,,,,,73605000.0,,,,,10099000.0,7419000.0,,-372000.0,-17146000.0,,2932000.0,-40441000.0,,
2012-09-30,,,,,309412000.0,,,,141616000.0,53198000.0,,0.6,0.6,146390000.0,146400000.0,93713000.0,,78748000.0,10919000.0,30118000.0,,15784000.0,241678000.0,,77521000.0,211373000.0,132850000.0,11307000.0,706029000.0,24679000.0,34865000.0,95727000.0,240601000.0,,,,,337369000.0,227013000.0,-46954000.0,368660000.0,706029000.0,28845000.0,7125000.0,4752000.0,,,,,,,,120112000.0,,,,,10485000.0,11754000.0,,-511000.0,-21728000.0,,3031000.0,-52015000.0,,
