Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,2049668000.0,1006530000.0,1043138000.0,,647742000.0,,395396000.0,3319000.0,339768000.0,100287000.0,239481000.0,2.64,2.58,90685000.0,92820000.0,167708000.0,,381658000.0,178795000.0,27306000.0,,58125000.0,870745000.0,,109493000.0,2388432000.0,868900000.0,57043000.0,4327736000.0,,,,478011000.0,,328299000.0,,58974000.0,1906246000.0,1395586000.0,63945000.0,,4327736000.0,,27476000.0,,,31081000.0,,,,,,367499000.0,,,,,354561000.0,25885000.0,,4964000.0,-374192000.0,121450000.0,2813000.0,-13597000.0,-10361000.0,103699000.0
2010-03-31,534441000.0,254876000.0,279565000.0,,178849000.0,,100716000.0,447000.0,84982000.0,25257000.0,59725000.0,0.64,0.62,93810000.0,96036000.0,191285000.0,,352505000.0,174535000.0,26505000.0,,53363000.0,862323000.0,,107193000.0,2377257000.0,853296000.0,59527000.0,4289561000.0,,,,448304000.0,,326085000.0,,59563000.0,1841395000.0,1446390000.0,32694000.0,,4289561000.0,,7008000.0,,,-2344000.0,,,,,,95086000.0,,,,,15000000.0,6485000.0,,999000.0,-18644000.0,,1021000.0,-48047000.0,23577000.0,
2010-06-30,1101545000.0,520033000.0,581512000.0,,361609000.0,,219903000.0,-1657000.0,186219000.0,55213000.0,131006000.0,1.4,1.36,94011000.0,96449000.0,290740000.0,,347681000.0,170943000.0,26884000.0,,68893000.0,985468000.0,,104505000.0,2365297000.0,833594000.0,68615000.0,4387327000.0,,,,474180000.0,,328578000.0,,60692000.0,1879850000.0,1508724000.0,15677000.0,,4387327000.0,,13118000.0,,,-998000.0,,,,,,205355000.0,,,,,14651000.0,14113000.0,,2169000.0,-26611000.0,,2862000.0,-48565000.0,123032000.0,
2010-09-30,1706633000.0,803372000.0,903261000.0,,555125000.0,,348136000.0,2631000.0,299949000.0,84680000.0,215269000.0,2.29,2.23,94312000.0,96671000.0,250813000.0,,378323000.0,180929000.0,28941000.0,,41708000.0,957642000.0,,105878000.0,2727249000.0,1128435000.0,76095000.0,5056127000.0,,,,509346000.0,,466356000.0,,63308000.0,2419752000.0,1583997000.0,52514000.0,,5056127000.0,,19384000.0,,,-7277000.0,,,,,,344418000.0,,,,,536413000.0,20391000.0,,2958000.0,-554989000.0,,4287000.0,293319000.0,83105000.0,
2010-12-31,2386112000.0,1110986000.0,1275126000.0,102400000.0,760832000.0,,514294000.0,633000.0,448394000.0,125814000.0,322580000.0,3.42,3.34,94242000.0,96653000.0,270394000.0,,403337000.0,178559000.0,90744000.0,,37287000.0,998091000.0,,103487000.0,2727780000.0,1104513000.0,77803000.0,5069524000.0,,,,539645000.0,,465001000.0,,66268000.0,2318617000.0,1680849000.0,43978000.0,,5069524000.0,,25150000.0,,,-5687000.0,,,,,,499540000.0,,,,,536413000.0,28591000.0,,4338000.0,-563274000.0,,6364000.0,167609000.0,102686000.0,109327000.0
2011-03-31,645309000.0,295213000.0,350096000.0,,208096000.0,,142000000.0,711000.0,126015000.0,37036000.0,88979000.0,0.93,0.91,95374000.0,98153000.0,261447000.0,,413371000.0,198788000.0,33834000.0,,43128000.0,1029640000.0,,103639000.0,2748510000.0,1083482000.0,75994000.0,5096894000.0,,,,507541000.0,,474185000.0,,73078000.0,2214765000.0,1759282000.0,81188000.0,,5096894000.0,,8112000.0,,,-16359000.0,,,,,,86584000.0,,,,,0.0,8813000.0,,1024000.0,-9011000.0,,2855000.0,-96082000.0,-8947000.0,
2011-06-30,1345180000.0,618021000.0,727159000.0,,421189000.0,,305970000.0,7954000.0,281032000.0,85742000.0,195290000.0,2.04,1.99,95911000.0,98412000.0,196027000.0,,440133000.0,211687000.0,33339000.0,,48777000.0,1002059000.0,,107491000.0,2884544000.0,1133059000.0,78617000.0,5263992000.0,,,,541623000.0,,489153000.0,,75968000.0,2280438000.0,1855025000.0,73427000.0,,5263992000.0,,15808000.0,,,-25312000.0,,,,,,242517000.0,,,,,204612000.0,19390000.0,,1361000.0,-224240000.0,,3729000.0,-101943000.0,-74367000.0,
2011-09-30,2057885000.0,948170000.0,1109715000.0,,636530000.0,,473185000.0,8644000.0,433564000.0,127993000.0,305571000.0,3.18,3.11,96083000.0,98308000.0,246454000.0,,422418000.0,211582000.0,34141000.0,,42747000.0,1030023000.0,,106965000.0,2874732000.0,1109406000.0,76725000.0,5258438000.0,,,,525829000.0,,486095000.0,,74555000.0,2189775000.0,1954728000.0,45681000.0,,5258438000.0,,23466000.0,,,-28422000.0,,,,,,409074000.0,,,,,227197000.0,29143000.0,,1685000.0,-256472000.0,,4101000.0,-181954000.0,-23940000.0,
2011-12-31,2797089000.0,1281525000.0,1515564000.0,121700000.0,855025000.0,,660539000.0,8096000.0,604987000.0,177740000.0,427247000.0,4.45,4.34,95959000.0,98386000.0,338101000.0,,439134000.0,204758000.0,101010000.0,,31647000.0,1115473000.0,,108775000.0,2866426000.0,1094142000.0,71595000.0,5319417000.0,,,,554196000.0,,482603000.0,,72412000.0,2124321000.0,2063110000.0,33800000.0,,5319417000.0,,31730000.0,,,-23033000.0,,,,,,601618000.0,,,,,233594000.0,40702000.0,,3443000.0,-275749000.0,0.0,12664000.0,-256679000.0,67707000.0,150550000.0
2012-03-31,711066000.0,319873000.0,391193000.0,,220889000.0,,170304000.0,-490000.0,154331000.0,46022000.0,108309000.0,1.12,1.09,97039000.0,99307000.0,451718000.0,,412508000.0,214020000.0,36410000.0,,32568000.0,1215912000.0,,109565000.0,2887045000.0,1084996000.0,70142000.0,5430782000.0,,,,521358000.0,,484803000.0,,78178000.0,2098438000.0,2158037000.0,52961000.0,,5430782000.0,,9954000.0,,,-7462000.0,,,,,,141457000.0,,,,,19007000.0,10008000.0,,245000.0,-28796000.0,,7505000.0,-2274000.0,113617000.0,
