Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-05-01,1934778000.0,,,,294472000.0,1702942000.0,,,231836000.0,89489000.0,142347000.0,1.19,1.16,119829000.0,122332000.0,823652000.0,,,908065000.0,3923000.0,,67895000.0,1859744000.0,,933654000.0,,,73352000.0,2882607000.0,748779000.0,231927000.0,,1229551000.0,,88328000.0,,185375000.0,,566590000.0,198000.0,1229353000.0,2882607000.0,39844000.0,8910000.0,-14772000.0,,35567000.0,,19311000.0,110149000.0,,-43557000.0,189181000.0,,,,,,35519000.0,,,-34671000.0,,6482000.0,-99201000.0,55309000.0,47250000.0
2010-07-31,3846538000.0,,,,597874000.0,3404565000.0,,,441973000.0,170350000.0,271623000.0,2.28,2.24,119222000.0,121243000.0,772671000.0,2491000.0,,915704000.0,4249000.0,,66653000.0,1814847000.0,18535000.0,945335000.0,,,72146000.0,2850863000.0,745461000.0,244460000.0,,1179602000.0,,80088000.0,,184324000.0,,585636000.0,562000.0,1256849000.0,2850863000.0,80161000.0,18253000.0,-23337000.0,,43206000.0,,16880000.0,106831000.0,,-89771000.0,304837000.0,,,,,,88122000.0,,,-89944000.0,,8597000.0,-210565000.0,4328000.0,225628000.0
2010-10-30,5720858000.0,,,,910151000.0,5084587000.0,,,636271000.0,243270000.0,393001000.0,3.32,3.26,118494000.0,120522000.0,732798000.0,1798000.0,,1048130000.0,1426000.0,,66762000.0,1904844000.0,16998000.0,966191000.0,,,74556000.0,2962589000.0,767741000.0,262017000.0,,1247630000.0,,92176000.0,,187772000.0,,601275000.0,699000.0,1285011000.0,2962589000.0,120123000.0,27523000.0,-8427000.0,,175632000.0,,17840000.0,129111000.0,,-43368000.0,426761000.0,,,,,,149659000.0,,,-149040000.0,,11466000.0,-313266000.0,-35545000.0,282417000.0
2011-01-29,7866100000.0,,,,1229775000.0,6969079000.0,,,897021000.0,342224000.0,554797000.0,4.71,4.63,117821000.0,119902000.0,833924000.0,3204000.0,,1086917000.0,81200000.0,,63807000.0,2043239000.0,14082000.0,983776000.0,2889000.0,,75107000.0,3116204000.0,767455000.0,292174000.0,,1352320000.0,,,,189989000.0,,636705000.0,488000.0,1332692000.0,3116204000.0,160693000.0,36551000.0,-17977000.0,,214419000.0,,6339000.0,102851000.0,,52594000.0,673066000.0,,,,,,198651000.0,,,-196845000.0,,14746000.0,-410640000.0,65581000.0,330589000.0
2011-04-30,2074576000.0,,,,309160000.0,1792861000.0,,,281715000.0,108742000.0,172973000.0,1.51,1.48,114764000.0,116773000.0,671005000.0,3275000.0,,1172716000.0,,,72900000.0,1997241000.0,12191000.0,1005674000.0,,,86888000.0,3101994000.0,742600000.0,265586000.0,,1238794000.0,,,,200575000.0,,704647000.0,485000.0,1406106000.0,3101994000.0,39934000.0,9894000.0,9657000.0,,85799000.0,,25392000.0,1120000.0,,-80429000.0,41051000.0,,,,,,70096000.0,,,-68282000.0,,9727000.0,-135688000.0,-162919000.0,54705000.0
2011-07-30,4163986000.0,,,,630045000.0,3640622000.0,,,523364000.0,202115000.0,321249000.0,2.81,2.76,114208000.0,116204000.0,512716000.0,1963000.0,,1189523000.0,,,93358000.0,1869862000.0,11730000.0,1042679000.0,,,136491000.0,3055275000.0,709143000.0,270636000.0,,1164731000.0,,,,198234000.0,,716858000.0,571000.0,1425929000.0,3055275000.0,77416000.0,19280000.0,19818000.0,,102606000.0,,22264000.0,-32338000.0,,-119906000.0,161665000.0,,,,,,145720000.0,,,-209017000.0,,11829000.0,-273856000.0,-321208000.0,225265000.0
2011-10-29,6210413000.0,,,,962271000.0,5465626000.0,,,744787000.0,279569000.0,465218000.0,4.1,4.03,113562000.0,115552000.0,552924000.0,298000.0,,1233616000.0,,,88964000.0,1958100000.0,11535000.0,1088244000.0,,,129616000.0,3181944000.0,759708000.0,290498000.0,,1269072000.0,,,,204105000.0,,730056000.0,535000.0,1447251000.0,3181944000.0,117337000.0,30411000.0,10402000.0,,146699000.0,,24145000.0,18227000.0,,-65961000.0,413691000.0,,,,,,231349000.0,,,-286889000.0,,13362000.0,-407802000.0,-281000000.0,300824000.0
2012-01-28,8608291000.0,,,,1304065000.0,7555147000.0,,,1053144000.0,395974000.0,657170000.0,2.91,2.86,225915000.0,229982000.0,649835000.0,658000.0,,1130070000.0,-102922000.0,,87362000.0,1924371000.0,11253000.0,1241722000.0,2889000.0,,129514000.0,3301209000.0,761717000.0,304654000.0,,1346052000.0,,,,203625000.0,,763475000.0,635000.0,1493012000.0,3301209000.0,159892000.0,40404000.0,21722000.0,,43153000.0,,10329000.0,-11614000.0,,-2109000.0,820105000.0,,,,,,100000000.0,,,-471768000.0,,18180000.0,-532426000.0,-184089000.0,370074000.0
2012-04-28,2356841000.0,,,,337811000.0,2019170000.0,,,337671000.0,129058000.0,208613000.0,0.94,0.93,221104000.0,224929000.0,741117000.0,721000.0,,1134703000.0,11854000.0,,104216000.0,2058985000.0,10979000.0,1246601000.0,,,146286000.0,3457486000.0,830044000.0,284108000.0,,1370637000.0,,,,211777000.0,,866748000.0,626000.0,1610635000.0,3457486000.0,43136000.0,11587000.0,-339000.0,,4633000.0,,28890000.0,100177000.0,,-33792000.0,297330000.0,,,,,,57993000.0,,,-71209000.0,,22662000.0,-134839000.0,91282000.0,30258000.0
2012-07-28,4697696000.0,,,,689900000.0,4062988000.0,,,634708000.0,244071000.0,390637000.0,1.77,1.74,220585000.0,224289000.0,721046000.0,1711000.0,,1219092000.0,11949000.0,,98718000.0,2117992000.0,9937000.0,1295097000.0,,,142534000.0,3560163000.0,885892000.0,315748000.0,,1415136000.0,,,,215910000.0,,908866000.0,652000.0,1664153000.0,3560163000.0,87684000.0,24241000.0,93000.0,,89022000.0,,24845000.0,156026000.0,,-44081000.0,504163000.0,,,,,,152105000.0,,,-156795000.0,,23984000.0,-276157000.0,71211000.0,235260000.0
