Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-04,962931000.0,551495000.0,,54128000.0,265388000.0,,82070000.0,,100052000.0,20090000.0,82034000.0,0.7,0.69,117361000.0,118304000.0,215664000.0,,365175000.0,232476000.0,,,108417000.0,923868000.0,1138000.0,205589000.0,1525098000.0,459429000.0,30917000.0,3146039000.0,174943000.0,313916000.0,,513913000.0,,,,368296000.0,1502347000.0,1354073000.0,-98149000.0,1643692000.0,3146039000.0,48518000.0,7970000.0,,-15208000.0,-20563000.0,,,22823000.0,,,120059000.0,,,,,126728000.0,18547000.0,,,-123772000.0,,24000.0,51976000.0,35957000.0,
2010-10-03,1234376000.0,684074000.0,,69797000.0,365392000.0,,105280000.0,,117131000.0,23771000.0,95425000.0,0.81,0.81,117475000.0,118207000.0,250988000.0,,323536000.0,210158000.0,,,90201000.0,977585000.0,1228000.0,161050000.0,1528084000.0,439440000.0,31688000.0,3248011000.0,143010000.0,302208000.0,,513845000.0,,,,344454000.0,1540976000.0,1359201000.0,-44916000.0,1707035000.0,3248011000.0,65870000.0,10352000.0,,-902000.0,-23171000.0,,,8776000.0,,,135331000.0,,,,,,22882000.0,,,-157489000.0,,82000.0,89520000.0,71281000.0,
2011-01-02,1704346000.0,945715000.0,,95409000.0,490658000.0,,153601000.0,,161984000.0,26062000.0,383919000.0,3.28,3.25,,,420086000.0,,356763000.0,207278000.0,,,100685000.0,1085039000.0,1350000.0,161820000.0,1504815000.0,424248000.0,32101000.0,3209373000.0,161042000.0,323038000.0,,515202000.0,,,,344353000.0,1283555000.0,1639581000.0,-53491000.0,1925818000.0,3209373000.0,89163000.0,12416000.0,-25476000.0,38103000.0,22630000.0,,,27789000.0,,,164253000.0,,,,,,33646000.0,,,295149000.0,,2405000.0,-218367000.0,240379000.0,
2011-04-03,447864000.0,247643000.0,,26317000.0,134562000.0,,39342000.0,,33586000.0,7686000.0,23522000.0,0.21,0.2,113998000.0,115140000.0,415848000.0,,345492000.0,224832000.0,,,101297000.0,1087700000.0,1389000.0,165105000.0,1585355000.0,432472000.0,34079000.0,3306100000.0,149196000.0,341240000.0,,511214000.0,,,,372954000.0,1398168000.0,1655223000.0,-6083000.0,1907932000.0,3306100000.0,23953000.0,3054000.0,,-24609000.0,9558000.0,,,-16330000.0,,,42651000.0,,,,,,7681000.0,,,-64283000.0,,7772000.0,-3811000.0,-4238000.0,
2011-07-03,927355000.0,518129000.0,,54482000.0,274572000.0,,76832000.0,10027000.0,66805000.0,13012000.0,52075000.0,0.46,0.46,113246000.0,114381000.0,395208000.0,,382717000.0,222238000.0,,,75777000.0,1076171000.0,1177000.0,167251000.0,1781127000.0,534965000.0,35168000.0,3595859000.0,149212000.0,391111000.0,,559352000.0,,,,409046000.0,1639398000.0,1675879000.0,10395000.0,1956461000.0,3595859000.0,50601000.0,7960000.0,,-3904000.0,3382000.0,,,-19838000.0,,,94551000.0,,,,,,15970000.0,,,-297649000.0,,8591000.0,148801000.0,-24878000.0,
2012-01-01,1921287000.0,,850579000.0,115821000.0,627172000.0,,91128000.0,-26774000.0,64354000.0,63182000.0,-83641000.0,-0.74,-0.74,112976000.0,113864000.0,142342000.0,,409888000.0,240763000.0,-49109000.0,,69023000.0,862218000.0,1105000.0,174567000.0,2093626000.0,661607000.0,41075000.0,3834198000.0,173153000.0,411526000.0,139741000.0,600066000.0,,65400000.0,,447008000.0,1991982000.0,1510683000.0,54086000.0,1842216000.0,3834198000.0,110921000.0,15482000.0,-289000.0,20597000.0,2200000.0,,,-1776000.0,,,224874000.0,,,,,,30592000.0,,,-909861000.0,,9321000.0,397204000.0,-277744000.0,
2012-04-01,510890000.0,278876000.0,,32624000.0,156849000.0,,36382000.0,-12830000.0,23552000.0,1476000.0,22569000.0,0.2,0.2,113097000.0,114119000.0,144757000.0,,407867000.0,251858000.0,,,103380000.0,908064000.0,,171683000.0,2103059000.0,638763000.0,41556000.0,3864238000.0,163003000.0,423517000.0,,602786000.0,,,,444898000.0,1981655000.0,1525147000.0,68186000.0,1882583000.0,3864238000.0,32007000.0,5476000.0,,-5850000.0,12970000.0,,,-11719000.0,,,15539000.0,,,,,,5228000.0,,,-5228000.0,,1139000.0,-10195000.0,2415000.0,
2012-07-01,1032680000.0,561872000.0,,66693000.0,306584000.0,,86169000.0,-24188000.0,61981000.0,6337000.0,56202000.0,0.5,0.49,113515000.0,114578000.0,171403000.0,,389466000.0,244436000.0,,,92293000.0,897800000.0,,167177000.0,2080031000.0,613009000.0,41818000.0,3800937000.0,174028000.0,397353000.0,,587685000.0,,,,416879000.0,1915607000.0,1550821000.0,38128000.0,1885330000.0,3800937000.0,64163000.0,10252000.0,,-13473000.0,12652000.0,,,1645000.0,,,91929000.0,,,,,,11449000.0,,,-10261000.0,,1139000.0,-48828000.0,29061000.0,
2012-09-30,1542284000.0,840736000.0,,99101000.0,452026000.0,,129387000.0,-36060000.0,93327000.0,8694000.0,85796000.0,0.76,0.75,113860000.0,114998000.0,170828000.0,,394937000.0,261400000.0,,,113627000.0,940994000.0,,201648000.0,2092351000.0,606100000.0,47734000.0,3889971000.0,155728000.0,402807000.0,,582277000.0,,,,434394000.0,1947531000.0,1572385000.0,58892000.0,1942440000.0,3889971000.0,94791000.0,15352000.0,,-15088000.0,24447000.0,,,-18611000.0,,,112646000.0,,,,,,24350000.0,,,-28454000.0,,1767000.0,-56274000.0,28486000.0,
2012-12-30,,,,,,,,,,,,,,,,171444000.0,,457011000.0,247688000.0,2460000.0,,95611000.0,971754000.0,1149000.0,210516000.0,2122788000.0,529901000.0,65654000.0,3901762000.0,168943000.0,388026000.0,154247000.0,581100000.0,,32400000.0,,442026000.0,1961950000.0,1548573000.0,66593000.0,1939812000.0,3901762000.0,,,,,,,,,,,,,,,,,,,,,,,,,
