Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-27,2722700000.0,1145700000.0,,,,2399500000.0,352600000.0,,,126000000.0,241500000.0,0.32,0.32,744200000.0,762900000.0,1306300000.0,2500000.0,263400000.0,544900000.0,277900000.0,,,2583900000.0,78000000.0,2482700000.0,262500000.0,68600000.0,310500000.0,6101600000.0,241900000.0,182000000.0,569900000.0,1779200000.0,,,,409000000.0,2737500000.0,3034600000.0,58200000.0,3351300000.0,6101600000.0,138200000.0,24300000.0,1000000.0,,120700000.0,,38800000.0,-43800000.0,180300000.0,-35300000.0,768700000.0,9600000.0,21800000.0,,,10600000.0,99700000.0,,,-100000000.0,,8600000.0,39800000.0,706500000.0,
2010-03-28,5257400000.0,2209800000.0,,,,4628800000.0,692400000.0,,,244700000.0,458800000.0,0.62,0.6,747100000.0,766900000.0,1086000000.0,158300000.0,299700000.0,488700000.0,272000000.0,,,2490400000.0,270000000.0,2414600000.0,262800000.0,69100000.0,319000000.0,6144700000.0,286800000.0,,433900000.0,1646600000.0,,,,394100000.0,2590000000.0,3177100000.0,47900000.0,3541000000.0,6144700000.0,272500000.0,53400000.0,-10600000.0,,174700000.0,,-1600000.0,3300000.0,44300000.0,-19400000.0,957800000.0,359800000.0,23900000.0,,,10600000.0,184500000.0,,,-529800000.0,,13800000.0,69100000.0,486200000.0,
2010-06-27,7869400000.0,3286000000.0,,,,6949400000.0,1020100000.0,,,354600000.0,666700000.0,0.89,0.87,746100000.0,766700000.0,1125200000.0,223900000.0,282500000.0,496600000.0,280700000.0,,,2610900000.0,263900000.0,2361500000.0,260900000.0,69700000.0,311100000.0,6206900000.0,288200000.0,,434300000.0,1726600000.0,,,,396300000.0,2672300000.0,3288300000.0,30400000.0,3520900000.0,6206900000.0,404500000.0,81900000.0,-15900000.0,,163600000.0,,1300000.0,1300000.0,44800000.0,25700000.0,1375400000.0,459100000.0,63500000.0,,,10600000.0,285600000.0,,,-690000000.0,,20700000.0,-140300000.0,525400000.0,
2010-10-03,10707400000.0,4458600000.0,,,,9436100000.0,1419400000.0,,,488700000.0,945600000.0,1.27,1.24,744400000.0,764200000.0,1164000000.0,236500000.0,302700000.0,543300000.0,499500000.0,,,2756400000.0,191800000.0,2416500000.0,262400000.0,70800000.0,346500000.0,6385900000.0,282600000.0,,414100000.0,1779100000.0,,,,375100000.0,2703600000.0,3471200000.0,57200000.0,3674700000.0,6385900000.0,540800000.0,113600000.0,-42000000.0,,123200000.0,,-16100000.0,-3600000.0,24200000.0,17600000.0,1704900000.0,549000000.0,209900000.0,1100000.0,,12000000.0,440700000.0,,,-789500000.0,,36900000.0,-346000000.0,564200000.0,
2011-01-02,2950800000.0,1200800000.0,,,,2483400000.0,501900000.0,,,160800000.0,346600000.0,0.46,0.45,745700000.0,766700000.0,1792000000.0,204500000.0,316100000.0,620500000.0,262200000.0,,,3400400000.0,130600000.0,2393600000.0,263800000.0,71900000.0,317900000.0,6931100000.0,296800000.0,,608200000.0,1956400000.0,,,,365000000.0,2870800000.0,3720100000.0,62600000.0,4051700000.0,6931100000.0,135300000.0,36500000.0,53700000.0,,77600000.0,,-20900000.0,15400000.0,193000000.0,-70100000.0,673600000.0,21000000.0,113800000.0,,,0.0,128900000.0,,,-36800000.0,,36600000.0,-9900000.0,628000000.0,
2011-04-03,5736500000.0,2380900000.0,,,,4931200000.0,878000000.0,,897200000.0,287300000.0,608100000.0,0.81,0.79,750300000.0,771800000.0,1645200000.0,224800000.0,355700000.0,772400000.0,258000000.0,,,3540300000.0,93500000.0,2378500000.0,265300000.0,72600000.0,323400000.0,7027600000.0,330200000.0,,487000000.0,1794200000.0,,,,356800000.0,2700400000.0,3883700000.0,84600000.0,4317800000.0,7027600000.0,271600000.0,71200000.0,49100000.0,,226200000.0,,129100000.0,46100000.0,70700000.0,-69400000.0,669500000.0,105000000.0,214600000.0,,,0.0,239100000.0,,,-139100000.0,,67600000.0,-61300000.0,481200000.0,
2011-07-03,8668700000.0,3626900000.0,,,,7505300000.0,1280300000.0,,1307100000.0,417200000.0,887400000.0,1.19,1.15,750500000.0,771900000.0,1720800000.0,173600000.0,361500000.0,856700000.0,263500000.0,,,3587000000.0,89600000.0,2384800000.0,265700000.0,74500000.0,312100000.0,7097800000.0,339900000.0,,489900000.0,1859400000.0,,,,347500000.0,2756300000.0,4065700000.0,97500000.0,4338900000.0,7097800000.0,408200000.0,108200000.0,58400000.0,,308500000.0,,66100000.0,55500000.0,73500000.0,-57900000.0,1126700000.0,169700000.0,333700000.0,,,0.0,372400000.0,,,-217000000.0,,87300000.0,-367400000.0,556800000.0,
2011-10-02,11700400000.0,4949300000.0,,,,10175800000.0,1728500000.0,,1811100000.0,563100000.0,1245700000.0,1.66,1.62,748300000.0,769700000.0,1148100000.0,855000000.0,386500000.0,965800000.0,375300000.0,,,3794900000.0,107000000.0,2355000000.0,321600000.0,111900000.0,297700000.0,7360400000.0,540000000.0,,449300000.0,2075800000.0,,6500000.0,,347800000.0,2973100000.0,4297400000.0,46300000.0,4384900000.0,7360400000.0,550000000.0,145200000.0,106200000.0,88700000.0,422300000.0,,22500000.0,227500000.0,35800000.0,-81900000.0,1612400000.0,966000000.0,430000000.0,0.0,,55800000.0,531900000.0,,,-1019500000.0,,103900000.0,-608000000.0,-15900000.0,
2012-01-01,3435900000.0,1496100000.0,,,,2924800000.0,556000000.0,,570600000.0,188400000.0,382100000.0,0.51,0.5,747900000.0,768500000.0,1569600000.0,651200000.0,431000000.0,1124000000.0,228800000.0,,,4237100000.0,146100000.0,2347300000.0,337100000.0,110800000.0,386000000.0,7835600000.0,365900000.0,963100000.0,673800000.0,2158800000.0,,,,352000000.0,3060300000.0,4551200000.0,42100000.0,4772800000.0,7835600000.0,143600000.0,39800000.0,30000000.0,,157700000.0,,,-178200000.0,224300000.0,,466300000.0,,,,,29700000.0,153500000.0,,-4800000.0,-19700000.0,,76000000.0,-26600000.0,421500000.0,
2012-04-01,6631800000.0,2908000000.0,,,,5742500000.0,986400000.0,,1027500000.0,335200000.0,691900000.0,0.92,0.9,754600000.0,773300000.0,1432200000.0,743400000.0,437400000.0,1205000000.0,215200000.0,,,4351500000.0,145900000.0,2382500000.0,340700000.0,112500000.0,392100000.0,8006500000.0,388300000.0,896300000.0,530900000.0,1971400000.0,,,,348800000.0,2869800000.0,4732100000.0,41700000.0,5133900000.0,8006500000.0,287900000.0,76000000.0,44600000.0,,236500000.0,,,-159300000.0,81600000.0,,575600000.0,,,,,29700000.0,313800000.0,,9500000.0,-287000000.0,,135200000.0,-11900000.0,284100000.0,
