Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,7094249000.0,3831080000.0,3263169000.0,,2534775000.0,,,1743000.0,622817000.0,186969000.0,435848000.0,3.84,3.78,113514399000.0,115422933000.0,69329000.0,,696055000.0,738488000.0,121276000.0,,144871000.0,1770019000.0,,818685000.0,1014825000.0,279413000.0,195612000.0,4323855000.0,674766000.0,430924000.0,,1393668000.0,,,,372783000.0,,4518428000.0,-317455000.0,1490950000.0,4323855000.0,,23271000.0,-8605000.0,108190000.0,145867000.0,,,-82607000.0,,,859186000.0,,,,,15440000.0,91328000.0,,29230000.0,-130399000.0,,7645000.0,-682830000.0,43117000.0,
2010-03-31,1565482000.0,873514000.0,691968000.0,,612875000.0,,,-6798000.0,59458000.0,26855000.0,32603000.0,0.3,0.3,107959598.0,110247174.0,91173000.0,,797816000.0,787316000.0,121142000.0,,152951000.0,1950398000.0,,807722000.0,1014911000.0,273377000.0,215593000.0,4509146000.0,705309000.0,391471000.0,,1557742000.0,,,,388948000.0,,4511663000.0,-306984000.0,1495146000.0,4509146000.0,,10512000.0,,,,,,,,,-115818000.0,,,,,0.0,25423000.0,,17635000.0,-42538000.0,,3123000.0,175546000.0,21844000.0,
2010-06-30,3708546000.0,2044685000.0,1663861000.0,,1304090000.0,,,9555000.0,318707000.0,104398000.0,214309000.0,1.97,1.94,107822967.0,109832652.0,48401000.0,,986327000.0,793828000.0,120948000.0,,190418000.0,2139922000.0,,827513000.0,1011949000.0,276429000.0,235514000.0,4740286000.0,881141000.0,403671000.0,,1833541000.0,,,,391044000.0,,4653954000.0,-323983000.0,1531226000.0,4740286000.0,,19489000.0,,,,,,,,,236456000.0,,,,,49061000.0,47453000.0,,59045000.0,-154450000.0,,12104000.0,-114035000.0,-20928000.0,
2010-09-30,5880805000.0,3245359000.0,2635446000.0,,2007762000.0,,,-3049000.0,574086000.0,184519000.0,389567000.0,3.59,3.53,107366658.0,109095936.0,64948000.0,,1069890000.0,858988000.0,121438000.0,,209838000.0,2325102000.0,,912880000.0,1085703000.0,339188000.0,267131000.0,5180683000.0,927616000.0,462888000.0,,2125101000.0,,,,421870000.0,,4790309000.0,-292164000.0,1643136000.0,5180683000.0,,28498000.0,,,,,,,,,477610000.0,,,,,264340000.0,76116000.0,,71426000.0,-407048000.0,,15046000.0,-76942000.0,-4381000.0,
2010-12-31,7776424000.0,4295346000.0,3481078000.0,39883000.0,2728122000.0,,,781000.0,677784000.0,215299000.0,462485000.0,4.28,4.21,107021624.0,108785517.0,58585000.0,,916661000.0,917701000.0,201597000.0,,193427000.0,2213722000.0,,952118000.0,1102458000.0,320504000.0,332100000.0,5169235000.0,909649000.0,442030000.0,,2063940000.0,,,,551633000.0,,4824489000.0,-278321000.0,1609440000.0,5169235000.0,,42276000.0,20070000.0,111113000.0,82060000.0,,,155116000.0,,,706590000.0,,,,,298161000.0,125162000.0,,74961000.0,-489949000.0,,19676000.0,-223568000.0,-10744000.0,
2011-03-31,1855586000.0,1058178000.0,797408000.0,,691123000.0,,,-48000.0,94713000.0,26397000.0,68316000.0,0.64,0.63,104991014.0,107362669.0,53947000.0,,1012150000.0,1064103000.0,128040000.0,,208160000.0,2466400000.0,,946419000.0,1112291000.0,322117000.0,345479000.0,5443653000.0,954217000.0,434555000.0,,2327162000.0,,,,561379000.0,,497381000.0,-257548000.0,1607892000.0,5443653000.0,,11093000.0,,,,,,,,,-153166000.0,,,,,298200000.0,26951000.0,,8274000.0,-29000000.0,,4931000.0,181344000.0,-4638000.0,
2011-06-30,4210337000.0,2390174000.0,1820163000.0,,1446678000.0,,460830000.0,57000.0,351729000.0,104298000.0,247431000.0,2.33,2.29,104833745.0,107104025.0,71563000.0,,1183825000.0,1067011000.0,128492000.0,,187291000.0,2638182000.0,,958306000.0,1113721000.0,319751000.0,350692000.0,5633769000.0,1019310000.0,441489000.0,,2389812000.0,,,,556112000.0,,637434000.0,-245156000.0,1746812000.0,5633769000.0,,21433000.0,,,,,,,,,108166000.0,,,,,2612000.0,68929000.0,,20463000.0,-85391000.0,,8030000.0,1417000.0,12978000.0,
2011-09-30,6695257000.0,3836795000.0,2858462000.0,,2206857000.0,,782246000.0,-6632000.0,612005000.0,184697000.0,427308000.0,4.06,3.98,103939552.0,106161544.0,46026000.0,,1173581000.0,966756000.0,127090000.0,,195940000.0,2509393000.0,,939486000.0,1106654000.0,316476000.0,353837000.0,5490139000.0,996734000.0,452817000.0,,2354729000.0,,,,547026000.0,,779509000.0,-317859000.0,1635302000.0,5490139000.0,,31775000.0,,,,,,,,,445963000.0,,,,,29847000.0,96883000.0,,66408000.0,-180940000.0,,9538000.0,-269495000.0,-12559000.0,
2011-12-31,8765699000.0,5021137000.0,3744562000.0,41719000.0,2960814000.0,,,4809000.0,741548000.0,299688000.0,441860000.0,4.22,4.14,103471323.0,105671973.0,32696000.0,,989873000.0,926809000.0,211697000.0,,163008000.0,2261593000.0,,956530000.0,1108008000.0,305873000.0,368898000.0,5229252000.0,965149000.0,471761000.0,,2162661000.0,,,,612913000.0,,756372000.0,-367878000.0,,5229252000.0,,48176000.0,16913000.0,93697000.0,19222000.0,,,64053000.0,,,735812000.0,,,,,44436000.0,153801000.0,,92374000.0,-277769000.0,,12958000.0,-475209000.0,-25889000.0,
2012-03-31,2136344000.0,1226505000.0,909839000.0,,757679000.0,,,4987000.0,142315000.0,42099000.0,100216000.0,0.97,0.95,102070349.0,104458088.0,25493000.0,,1135174000.0,1017195000.0,148786000.0,,150478000.0,2477126000.0,,950782000.0,1113075000.0,303565000.0,381600000.0,5456919000.0,999685000.0,446309000.0,,2395212000.0,,,,617059000.0,,816053000.0,-336320000.0,,5456919000.0,,10768000.0,,,,,,,,,-154839000.0,,,,,,32783000.0,,-3162000.0,-26041000.0,,20266000.0,175795000.0,-7203000.0,
