Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-31,,,408435000.0,,203261000.0,,165167000.0,,149754000.0,46873000.0,102881000.0,0.86,0.86,119300926.0,119440490.0,522773000.0,57075000.0,305418000.0,765927000.0,,,49435000.0,1700628000.0,,847192000.0,2806888000.0,3007187000.0,57209000.0,8419104000.0,183600000.0,181398000.0,,454236000.0,,1104285000.0,,165475000.0,,800571000.0,-19781000.0,5395108000.0,8419104000.0,,5392000.0,,66958000.0,111907000.0,,,,,,-27238000.0,57037000.0,0.0,,,,26946000.0,,-40000.0,-83653000.0,,,350911000.0,239203000.0,
2010-10-31,,,903105000.0,,426082000.0,,405203000.0,,371481000.0,118874000.0,252607000.0,2.12,2.11,119512001.0,119642398.0,487463000.0,48086000.0,415826000.0,822614000.0,,,48169000.0,1854186000.0,,841095000.0,2807418000.0,2989374000.0,61277000.0,8553350000.0,194194000.0,168835000.0,,476919000.0,,1103991000.0,,168431000.0,,902528000.0,-17787000.0,5504009000.0,8553350000.0,,12442000.0,,177018000.0,167945000.0,,,,,,19546000.0,57037000.0,9000000.0,,,,62073000.0,,-11000.0,-109760000.0,,,294096000.0,203893000.0,
2011-01-31,,,1377519000.0,,640407000.0,,618165000.0,,567260000.0,182658000.0,384602000.0,3.23,3.23,119047986.0,119172388.0,549583000.0,38599000.0,289548000.0,735275000.0,,,52273000.0,1689060000.0,,841067000.0,2808684000.0,2955305000.0,64632000.0,8358748000.0,174882000.0,165621000.0,,422757000.0,,1104498000.0,,168192000.0,,887844000.0,-10906000.0,5363301000.0,8358748000.0,,18176000.0,,50183000.0,78598000.0,,,,,,394380000.0,75637000.0,37100000.0,,,,111133000.0,,99000.0,-144767000.0,,,14568000.0,266013000.0,
2011-04-30,,,1798517000.0,20981000.0,863114000.0,,784272000.0,,717164000.0,237682000.0,479482000.0,4.06,4.05,118165751.0,118276086.0,319845000.0,18600000.0,344410000.0,863579000.0,-1029925000.0,,109165000.0,1636999000.0,41560000.0,867882000.0,2812746000.0,2940010000.0,66948000.0,8324585000.0,234916000.0,64917000.0,,482676000.0,,1042823000.0,,44173000.0,,866933000.0,3629000.0,5292363000.0,8324585000.0,,24334000.0,-59801000.0,102625000.0,204159000.0,,45649000.0,,,,391562000.0,75637000.0,57100000.0,,,0.0,180080000.0,,126000.0,-192913000.0,,6990000.0,-170419000.0,36275000.0,365994000.0
2011-07-31,,,431084000.0,,216552000.0,,180703000.0,,166826000.0,55303000.0,111523000.0,0.98,0.98,114277547.0,114335184.0,102475000.0,,350293000.0,1213821000.0,,,73183000.0,1739772000.0,,925687000.0,2903713000.0,3132761000.0,80090000.0,8782023000.0,288082000.0,160715000.0,,875234000.0,,1038319000.0,,201727000.0,,922944000.0,-7538000.0,5348254000.0,8782023000.0,,6075000.0,,-7512000.0,330854000.0,,,,,,-58238000.0,0.0,8600000.0,10000000.0,,362846000.0,67632000.0,,18000.0,-411766000.0,,,253932000.0,-217370000.0,
2011-10-31,,,929753000.0,,453154000.0,,392317000.0,,360027000.0,121257000.0,238770000.0,2.09,2.09,114085291.0,114139945.0,496288000.0,,462169000.0,1143951000.0,,,91299000.0,2193707000.0,,948225000.0,2897981000.0,3099067000.0,76440000.0,9215420000.0,260653000.0,187245000.0,,544921000.0,,1031280000.0,,204018000.0,,977704000.0,-29851000.0,5363349000.0,9215420000.0,,12619000.0,,106362000.0,272613000.0,,,,,,59934000.0,0.0,,,,362846000.0,135707000.0,,2250000.0,-472032000.0,,,594560000.0,176443000.0,
2012-01-31,,,1395438000.0,,678170000.0,,592683000.0,,537262000.0,181648000.0,355614000.0,3.12,3.12,113869911.0,113922722.0,370428000.0,,364724000.0,990815000.0,,,80026000.0,1805993000.0,,1064299000.0,3033531000.0,3233960000.0,98091000.0,9235874000.0,232415000.0,207829000.0,,494335000.0,,1029921000.0,,256276000.0,,1018576000.0,-32726000.0,5384140000.0,9235874000.0,,16610000.0,,8434000.0,78362000.0,,,,,,469239000.0,0.0,,,,742355000.0,196891000.0,,1021000.0,-909615000.0,,,497453000.0,50583000.0,
2012-04-30,,,1845223000.0,21931000.0,892683000.0,,778283000.0,,701158000.0,241414000.0,459744000.0,4.06,4.06,113263951.0,113313567.0,229708000.0,,347518000.0,961576000.0,978533000.0,,104663000.0,1643465000.0,43217000.0,1096089000.0,3054618000.0,3187007000.0,134047000.0,9115226000.0,274725000.0,93938000.0,,616972000.0,,992692000.0,,105253000.0,,961207000.0,-83991000.0,5163386000.0,9115226000.0,,21711000.0,-17218000.0,-9286000.0,48189000.0,,-2978000.0,,,,730929000.0,0.0,,,,737255000.0,274244000.0,,20398000.0,-1035864000.0,,4832000.0,219626000.0,-90137000.0,257762000.0
2012-07-31,,,469773000.0,,232216000.0,,190525000.0,,167265000.0,56402000.0,110863000.0,1.0,1.0,110368271.0,110397807.0,311474000.0,,390924000.0,1019339000.0,,,78591000.0,1800328000.0,,1101036000.0,3053246000.0,3162025000.0,6360746000.0,9262110000.0,283201000.0,262228000.0,,710469000.0,,995391000.0,,312922000.0,,1013831000.0,-84386000.0,5223453000.0,9262110000.0,,4309000.0,,43990000.0,58690000.0,,,,,,176719000.0,,,,,0.0,46282000.0,,-17713000.0,-28313000.0,,,-64608000.0,81766000.0,
2012-10-31,,,1011684000.0,,489403000.0,,438067000.0,,391483000.0,131773000.0,259710000.0,2.37,2.36,109796564.0,109824632.0,203555000.0,,469367000.0,975427000.0,,,87713000.0,1736062000.0,,1113446000.0,3053549000.0,3138056000.0,6339245000.0,9188753000.0,290054000.0,234779000.0,,706066000.0,,996874000.0,,313870000.0,,1013241000.0,-80213000.0,5152747000.0,9188753000.0,,10505000.0,,122291000.0,14594000.0,,,,,,359618000.0,,,,,0.0,98458000.0,,-5852000.0,-92028000.0,,,-292282000.0,-26153000.0,
2013-01-31,,,1547913000.0,,740419000.0,,696374000.0,,625477000.0,211599000.0,413878000.0,3.78,3.78,109355131.0,109380394.0,438814000.0,,360205000.0,878156000.0,,,68770000.0,1745945000.0,,1121615000.0,3053746000.0,3114024000.0,6316894000.0,9184454000.0,251584000.0,202050000.0,,593463000.0,,999324000.0,,312923000.0,,1111042000.0,-74859000.0,5260236000.0,9184454000.0,,15821000.0,,12988000.0,-82906000.0,,,,,,683639000.0,,,,,0.0,146539000.0,,-17197000.0,-126227000.0,,,-347201000.0,209106000.0,
2013-04-30,,,2027600000.0,24700000.0,973900000.0,,910400000.0,,817300000.0,273100000.0,544200000.0,5.0,5.0,108827897.0,108851153.0,256400000.0,,313700000.0,945500000.0,-962500000.0,,79600000.0,1595200000.0,48800000.0,1142500000.0,3052900000.0,3089400000.0,6294100000.0,9031800000.0,285800000.0,78700000.0,,596800000.0,,987200000.0,,101100000.0,3883000000.0,1075500000.0,-76600000.0,5148800000.0,9031800000.0,,21300000.0,-15600000.0,-33200000.0,-15200000.0,,-4600000.0,11200000.0,,,855800000.0,0.0,,,,0.0,206500000.0,,-17600000.0,-185600000.0,,2900000.0,-641000000.0,26700000.0,279200000.0
2013-07-31,,,492900000.0,,250200000.0,,213300000.0,,189500000.0,62900000.0,126600000.0,1.19,1.19,,,157500000.0,,357300000.0,1059300000.0,,,55800000.0,1629900000.0,,1139200000.0,3051300000.0,3064000000.0,6264800000.0,9033900000.0,264800000.0,220200000.0,,803100000.0,,979800000.0,,308800000.0,3958800000.0,1040800000.0,-79300000.0,5075100000.0,9033900000.0,,5600000.0,,44300000.0,115100000.0,,,,,,82100000.0,,,,,,36300000.0,,7100000.0,-42300000.0,,,-135600000.0,-98900000.0,
2013-10-31,,,1045500000.0,,520500000.0,,464100000.0,,419500000.0,139500000.0,280000000.0,2.65,2.65,,,150500000.0,,464200000.0,1023700000.0,,,123900000.0,1762300000.0,,1163200000.0,3100700000.0,3076200000.0,6320500000.0,9246000000.0,261600000.0,206000000.0,,896000000.0,,999800000.0,,298700000.0,4078100000.0,1133200000.0,-83000000.0,5167900000.0,9246000000.0,,12300000.0,,147300000.0,74500000.0,,,,,,168000000.0,,,,,102000000.0,83400000.0,,8900000.0,-192900000.0,,,-75900000.0,-105900000.0,
2014-01-31,,,1590700000.0,,770800000.0,,727600000.0,,666000000.0,219300000.0,446700000.0,4.24,4.24,,,168600000.0,,365200000.0,864800000.0,,,109500000.0,1508100000.0,,1185300000.0,3096600000.0,3048500000.0,6295600000.0,8989000000.0,220200000.0,182800000.0,,608300000.0,,1004400000.0,,292100000.0,3784200000.0,1201000000.0,-94300000.0,5204800000.0,8989000000.0,,18000000.0,,50400000.0,-80300000.0,,,,,,589100000.0,,,,,101800000.0,148900000.0,,8300000.0,-257200000.0,,,-405200000.0,-87800000.0,
2014-04-30,,,2031000000.0,24300000.0,988800000.0,,919000000.0,,849700000.0,284500000.0,565200000.0,5.42,5.42,,,153500000.0,,309400000.0,931000000.0,140700000.0,,145200000.0,1539100000.0,55400000.0,1265600000.0,3098200000.0,3024300000.0,6267400000.0,9072100000.0,289200000.0,78600000.0,,891000000.0,,1020700000.0,,56800000.0,4042500000.0,1091000000.0,-51600000.0,5029600000.0,9072100000.0,,22900000.0,-8000000.0,-6100000.0,-15400000.0,,26900000.0,3300000.0,,,856000000.0,,,,,101800000.0,279500000.0,,9700000.0,-370300000.0,,7300000.0,-575500000.0,-102900000.0,294400000.0
