Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-09-30,247885000.0,208259000.0,39626000.0,13824000.0,,26112000.0,13514000.0,17000.0,13337000.0,4845000.0,8492000.0,0.21,0.19,40356000.0,43395000.0,92280000.0,,87810000.0,189004000.0,10776000.0,,,388864000.0,,81289000.0,,,11982000.0,488179000.0,123601000.0,25173000.0,,150304000.0,,,,9254000.0,189603000.0,175290000.0,-109000.0,298576000.0,488179000.0,1535000.0,2330000.0,-170000.0,5937000.0,-1345000.0,,,9919000.0,,,25137000.0,,,,,,8045000.0,,,-6354000.0,,937000.0,3634000.0,22337000.0,634000.0
2011-12-31,497800000.0,415560000.0,82240000.0,29481000.0,,55008000.0,27232000.0,37000.0,26902000.0,9636000.0,17266000.0,0.42,0.39,40555000.0,43816000.0,102377000.0,,80100000.0,193360000.0,11114000.0,,,394698000.0,,96051000.0,,,3256000.0,499997000.0,115859000.0,27638000.0,,156908000.0,,,,9609000.0,188520000.0,184064000.0,-109000.0,311477000.0,499997000.0,3147000.0,4837000.0,-421000.0,-532000.0,4551000.0,,,1887000.0,,,36890000.0,,,,,,18260000.0,,,-13746000.0,,1084000.0,9383000.0,32434000.0,3485000.0
2012-03-31,737978000.0,615009000.0,122969000.0,46643000.0,,86147000.0,36822000.0,46000.0,36312000.0,11969000.0,24343000.0,0.59,0.55,41126000.0,44610000.0,88861000.0,,100980000.0,228933000.0,11832000.0,,,440054000.0,,96301000.0,,,5227000.0,548118000.0,142156000.0,28927000.0,,185342000.0,,,,10744000.0,219265000.0,191141000.0,-109000.0,328853000.0,548118000.0,5114000.0,7430000.0,-2082000.0,21783000.0,41908000.0,,,29424000.0,,,19028000.0,,,,,,21710000.0,,,-16806000.0,,1907000.0,16306000.0,18918000.0,6301000.0
2012-06-30,1013874000.0,848457000.0,165417000.0,64223000.0,,119403000.0,46014000.0,54000.0,45351000.0,15498000.0,29853000.0,0.72,0.67,40890000.0,44152000.0,80826000.0,,102014000.0,276599000.0,16091000.0,,,481912000.0,,97419000.0,,,3390000.0,589103000.0,173991000.0,30401000.0,,220508000.0,,,,10849000.0,250752000.0,196651000.0,-76000.0,338351000.0,589103000.0,7071000.0,10252000.0,-3137000.0,17226000.0,92467000.0,,,61336000.0,,,16467000.0,,,,168000.0,,24862000.0,,,-19719000.0,,2047000.0,13817000.0,10883000.0,8455000.0
2012-09-30,270707000.0,235692000.0,35015000.0,18221000.0,,33333000.0,1682000.0,15000.0,1542000.0,643000.0,899000.0,0.02,0.02,41667000.0,44174000.0,58323000.0,,112787000.0,263152000.0,13603000.0,,,458052000.0,,97121000.0,,,3078000.0,566545000.0,140084000.0,31290000.0,,204431000.0,,,,11006000.0,224070000.0,197550000.0,-72000.0,342309000.0,566545000.0,1955000.0,2903000.0,-2870000.0,10910000.0,-10537000.0,,,-34688000.0,,,-26554000.0,,,,,,919000.0,,,-920000.0,,784000.0,4749000.0,-22503000.0,1974000.0
2012-12-31,562194000.0,487057000.0,75137000.0,37045000.0,,65847000.0,9290000.0,22000.0,9005000.0,3192000.0,5813000.0,0.14,0.13,41893000.0,43819000.0,88398000.0,,118912000.0,243597000.0,14361000.0,,,475495000.0,,96712000.0,,,3003000.0,583567000.0,149441000.0,32015000.0,,213450000.0,,,,10764000.0,232147000.0,202464000.0,-52000.0,351252000.0,583567000.0,3974000.0,5812000.0,-3982000.0,16973000.0,-26689000.0,,,-25094000.0,,,5603000.0,,,,,,2790000.0,,,-2502000.0,,785000.0,4077000.0,7572000.0,6448000.0
2013-03-31,840228000.0,726198000.0,114030000.0,55651000.0,,99300000.0,14730000.0,24000.0,14305000.0,-1740000.0,12853000.0,0.31,0.29,42147000.0,44148000.0,93974000.0,,122339000.0,257341000.0,15448000.0,,,499805000.0,,95442000.0,,,3312000.0,608052000.0,163607000.0,33070000.0,,229145000.0,,,,9507000.0,245885000.0,209504000.0,-61000.0,361992000.0,608052000.0,5900000.0,8662000.0,-6205000.0,21021000.0,-10514000.0,,,-9602000.0,,,13569000.0,,,,,,4346000.0,,,-4453000.0,,844000.0,4087000.0,13148000.0,6793000.0
2013-06-30,1162561000.0,1002508000.0,160053000.0,75208000.0,,132895000.0,27158000.0,48000.0,26596000.0,5317000.0,21279000.0,0.5,0.48,41992000.0,43907000.0,93038000.0,,149340000.0,254170000.0,23061000.0,,,523192000.0,,95912000.0,,,3241000.0,632257000.0,172855000.0,34122000.0,,241664000.0,,,,10336000.0,258533000.0,217930000.0,-69000.0,373543000.0,632257000.0,7835000.0,11361000.0,-7077000.0,48255000.0,-12704000.0,,,-2208000.0,,,13583000.0,,,,0.0,,5001000.0,,,-5113000.0,,865000.0,3762000.0,12212000.0,8074000.0
2013-09-30,309016000.0,262224000.0,46792000.0,20236000.0,,34749000.0,12043000.0,17000.0,11865000.0,4166000.0,7699000.0,0.18,0.17,42496000.0,44602000.0,111458000.0,,134056000.0,254310000.0,14982000.0,,,524222000.0,,96767000.0,,,4185000.0,635799000.0,165660000.0,31650000.0,,218283000.0,,,,10502000.0,249835000.0,225629000.0,-65000.0,385789000.0,635799000.0,1393000.0,2589000.0,,-14435000.0,144000.0,,,-7732000.0,,,18307000.0,,,,,,1948000.0,,,-1962000.0,,882000.0,1797000.0,18420000.0,1807000.0
2013-12-31,665378000.0,563494000.0,101884000.0,40664000.0,,69637000.0,32247000.0,63000.0,31931000.0,10897000.0,21034000.0,0.49,0.47,42915000.0,45052000.0,89883000.0,,161174000.0,290927000.0,15503000.0,,,567583000.0,,128072000.0,,,3123000.0,708731000.0,205758000.0,35929000.0,,286642000.0,,,,11169000.0,302944000.0,238964000.0,-70000.0,405619000.0,708731000.0,2920000.0,5377000.0,,12910000.0,38295000.0,,,31950000.0,,,18395000.0,,,,,,33956000.0,,,-33964000.0,,1084000.0,12420000.0,-3155000.0,6840000.0
