Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-03,1269200000.0,677800000.0,591400000.0,,,440700000.0,150700000.0,,123000000.0,39300000.0,82100000.0,1.42,1.41,58000000.0,58300000.0,430800000.0,,407500000.0,296500000.0,74200000.0,,,1486100000.0,,324200000.0,773100000.0,195000000.0,73000000.0,3313300000.0,128500000.0,41000000.0,,646400000.0,,87900000.0,,83800000.0,2049000000.0,1576000000.0,-170500000.0,1248700000.0,3313300000.0,,6000000.0,-17000000.0,,-36200000.0,-24800000.0,,14200000.0,,,65900000.0,,,,,7700000.0,,,,-156200000.0,,200000.0,-176700000.0,-268600000.0,52700000.0
2010-10-02,1922300000.0,1029700000.0,892600000.0,,,663100000.0,234500000.0,,194000000.0,63100000.0,128600000.0,2.22,2.2,58100000.0,58400000.0,359900000.0,,435000000.0,324800000.0,78800000.0,,,1531900000.0,,329300000.0,808700000.0,197000000.0,77900000.0,3457800000.0,127800000.0,42800000.0,,847400000.0,,85700000.0,,82800000.0,2060900000.0,1604900000.0,-71700000.0,1381300000.0,3457800000.0,,10300000.0,-24700000.0,,-49000000.0,-44300000.0,,8300000.0,,,76100000.0,,,,,7700000.0,,,0.0,-226100000.0,,600000.0,-189800000.0,-339500000.0,93600000.0
2011-01-01,2619200000.0,1408100000.0,1211100000.0,,,894100000.0,331400000.0,,277400000.0,87600000.0,186500000.0,3.22,3.19,58000000.0,58400000.0,572200000.0,,443300000.0,329400000.0,87000000.0,,,1765500000.0,,344000000.0,798400000.0,192800000.0,72200000.0,3729400000.0,146100000.0,45000000.0,,881100000.0,,94400000.0,,89000000.0,2325000000.0,1644100000.0,-104800000.0,1388500000.0,3729400000.0,,14900000.0,-18000000.0,,55200000.0,60100000.0,,26200000.0,,,140400000.0,,,,,7700000.0,,,-300000.0,-303000000.0,,1500000.0,34800000.0,-127200000.0,118300000.0
2011-04-02,693700000.0,363100000.0,330600000.0,,,243300000.0,99800000.0,,84300000.0,27200000.0,56200000.0,0.97,0.96,58200000.0,58700000.0,517300000.0,,457600000.0,368600000.0,83500000.0,,,1803300000.0,,352600000.0,822800000.0,194000000.0,73300000.0,3840000000.0,141500000.0,48700000.0,,874900000.0,,96600000.0,,92100000.0,2334400000.0,1681400000.0,-40400000.0,1489700000.0,3840000000.0,,5900000.0,3600000.0,,29300000.0,7500000.0,,-6300000.0,,,27900000.0,,,,,,,,,-59800000.0,,1300000.0,-23900000.0,-54900000.0,8700000.0
2011-07-02,1420400000.0,747600000.0,672800000.0,,,486700000.0,234100000.0,,203200000.0,67000000.0,134200000.0,2.31,2.29,58186198.0,58779788.0,418200000.0,,452200000.0,392200000.0,90800000.0,,,1735900000.0,,357200000.0,827200000.0,193000000.0,77400000.0,3826500000.0,139000000.0,44400000.0,,771000000.0,,97900000.0,,93000000.0,2243600000.0,1740800000.0,-26100000.0,1566600000.0,3826500000.0,,12200000.0,-4400000.0,,49800000.0,22000000.0,,-9800000.0,,,14200000.0,,,,,,,,-200000.0,-121300000.0,,2000000.0,-48700000.0,-154000000.0,71900000.0
2011-10-01,2117600000.0,1115500000.0,1002100000.0,,,721700000.0,349200000.0,,301500000.0,97500000.0,202000000.0,3.47,3.44,58177595.0,58724702.0,185700000.0,,449600000.0,399700000.0,94800000.0,,,1523300000.0,,353300000.0,808200000.0,189800000.0,87300000.0,3630100000.0,132000000.0,48200000.0,,569400000.0,,97600000.0,,89000000.0,2055900000.0,1789600000.0,-87000000.0,1557900000.0,3630100000.0,,12400000.0,-9200000.0,,69200000.0,43300000.0,,-14000000.0,,,56200000.0,,,,,,,,-200000.0,-170200000.0,,2200000.0,-271600000.0,-386500000.0,108800000.0
2011-12-31,,,,,,,,,,,,,,,,185600000.0,,463500000.0,386400000.0,109100000.0,,,1530700000.0,,352900000.0,795800000.0,188300000.0,83100000.0,3672900000.0,124600000.0,48800000.0,24900000.0,583800000.0,,108100000.0,,95300000.0,2125600000.0,1843700000.0,-174600000.0,1530900000.0,3672900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,735200000.0,387500000.0,347700000.0,,,250200000.0,121400000.0,,107100000.0,35200000.0,71000000.0,1.22,1.21,58172127.0,58772611.0,161600000.0,,463100000.0,395800000.0,83900000.0,,,1534600000.0,,360700000.0,804900000.0,188400000.0,81900000.0,3709900000.0,139000000.0,50000000.0,,565900000.0,,110600000.0,,90200000.0,2090000000.0,1894600000.0,-146100000.0,1603400000.0,3709900000.0,,8700000.0,13400000.0,,4100000.0,4200000.0,,15000000.0,,,65000000.0,,,,,,,,,-49300000.0,,2000000.0,-40500000.0,-24000000.0,6900000.0
2012-06-30,1473100000.0,775500000.0,697600000.0,,,495500000.0,251600000.0,,223500000.0,73500000.0,147400000.0,2.53,2.51,58163958.0,58813662.0,173600000.0,,455800000.0,401400000.0,86500000.0,,,1554800000.0,,361600000.0,786200000.0,186000000.0,87700000.0,3741700000.0,141400000.0,45000000.0,,596100000.0,,112000000.0,,92800000.0,2091800000.0,1950900000.0,-180800000.0,1633400000.0,3741700000.0,,16100000.0,2600000.0,,19400000.0,13500000.0,,20100000.0,,,156700000.0,,,,,,,,,-106800000.0,,2700000.0,-60600000.0,-12000000.0,-39100000.0
2012-09-29,2184700000.0,1146700000.0,1038000000.0,,,739700000.0,375700000.0,,333800000.0,108400000.0,221500000.0,3.81,3.77,58257569.0,58857636.0,176100000.0,,476900000.0,417500000.0,91300000.0,,,1623900000.0,,373300000.0,799900000.0,187500000.0,92500000.0,3871900000.0,146900000.0,47900000.0,,621600000.0,,119400000.0,,98600000.0,2115600000.0,2004800000.0,-131000000.0,1739700000.0,3871900000.0,,25000000.0,3600000.0,,27400000.0,37900000.0,,23800000.0,,,226400000.0,,,,,,,,-700000.0,-153600000.0,,5000000.0,-82100000.0,-9500000.0,-59800000.0
