Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,15743000000.0,,,,,12475000000.0,3268000000.0,-664000000.0,,896000000.0,,2.07,2.06,795000000.0,796000000.0,690000000.0,,,,,,49000000.0,5873000000.0,,39230000000.0,,,395000000.0,52046000000.0,1329000000.0,292000000.0,,5584000000.0,,6455000000.0,,346000000.0,36086000000.0,7885000000.0,-88000000.0,,52046000000.0,1788000000.0,,25000000.0,585000000.0,,,-47000000.0,-125000000.0,,334000000.0,3263000000.0,,,,,,4670000000.0,,143000000.0,-4319000000.0,1286000000.0,,1329000000.0,273000000.0,
2010-03-31,4157317000.0,,,,,3235323000.0,921994000.0,-175610000.0,,235681000.0,,0.6,0.6,822526000.0,824787000.0,339050000.0,,,,,,52870000.0,5220131000.0,,39998396000.0,,,414395000.0,52580045000.0,1229108000.0,360620000.0,,5515903000.0,,6635337000.0,,412097000.0,36303374000.0,8021810000.0,-78540000.0,,52580045000.0,421568000.0,,107374000.0,43402000.0,,,-94609000.0,-99951000.0,,1852000.0,738960000.0,,,,,,1054040000.0,,-7170000.0,-1088188000.0,147345000.0,,-1444000.0,-350672000.0,5610000.0
2010-06-30,8364736000.0,,,,,6491691000.0,1873045000.0,-352770000.0,,483183000.0,,1.22,1.21,828363000.0,832622000.0,266278000.0,,,,,,40514000.0,5524262000.0,,40630494000.0,,,436883000.0,53374490000.0,1282523000.0,362728000.0,,5935450000.0,,6725211000.0,,391623000.0,36759705000.0,8156346000.0,-74460000.0,,53374490000.0,867583000.0,,215318000.0,255399000.0,,,88138000.0,-52091000.0,,-27965000.0,1414962000.0,,,,,,1935716000.0,,37037000.0,-2035540000.0,341447000.0,,197134000.0,-423444000.0,285247000.0
2010-09-30,13684648000.0,,,,,10353088000.0,3331560000.0,-535925000.0,,925110000.0,,2.2,2.19,835953000.0,841835000.0,1258735000.0,,,,,,66295000.0,6609452000.0,,41199709000.0,,,458895000.0,54894780000.0,1160993000.0,311793000.0,,5994412000.0,,7069518000.0,,502756000.0,37558008000.0,8594861000.0,-71747000.0,,54894780000.0,1376511000.0,,572862000.0,319384000.0,,,48186000.0,-82318000.0,,-75733000.0,3526601000.0,,,,,,2893812000.0,,-48285000.0,-3005984000.0,610465000.0,,48396000.0,569013000.0,277716000.0
2010-12-31,17456000000.0,,,,,13654000000.0,3802000000.0,-736000000.0,,1026000000.0,,2.37,2.36,832000000.0,837000000.0,447000000.0,,,,-7404000000.0,,59000000.0,5883000000.0,,42002000000.0,,,436000000.0,55032000000.0,1275000000.0,535000000.0,,6472000000.0,,7554000000.0,,517000000.0,37748000000.0,8366000000.0,-70000000.0,,55032000000.0,1831000000.0,,1038000000.0,-80000000.0,,,17000000.0,4000000.0,,-103000000.0,3991000000.0,,,,,,4086000000.0,,-18000000.0,-4256000000.0,772000000.0,,22000000.0,-243000000.0,276000000.0
2011-03-31,4012000000.0,,,,,3158000000.0,854000000.0,-185000000.0,,231000000.0,,0.5,0.49,847510000.0,853939000.0,410000000.0,,,,,,53000000.0,5240000000.0,,42701000000.0,,,433000000.0,55019000000.0,1315000000.0,493000000.0,,6037000000.0,,7673000000.0,,508000000.0,37472000000.0,8404000000.0,-66000000.0,,55019000000.0,501000000.0,,174000000.0,-276000000.0,,,77000000.0,-108000000.0,,23000000.0,998000000.0,,,,,,1086000000.0,,-13000000.0,-884000000.0,193000000.0,,-151000000.0,-37000000.0,-357000000.0
2011-06-30,8533000000.0,,,,,6543000000.0,1990000000.0,-352000000.0,,580000000.0,,1.2,1.2,855000000.0,862000000.0,437000000.0,,,,,,51000000.0,5502000000.0,,43279000000.0,,,479000000.0,56023000000.0,1423000000.0,440000000.0,,5699000000.0,,8107000000.0,,456000000.0,37959000000.0,8605000000.0,-62000000.0,,56023000000.0,1011000000.0,,427000000.0,156000000.0,,,106000000.0,58000000.0,,-4000000.0,2389000000.0,,,,,,2126000000.0,,-22000000.0,-2064000000.0,482000000.0,,-335000000.0,-10000000.0,-355000000.0
2011-09-30,13961000000.0,,,,,10319000000.0,3642000000.0,-528000000.0,,1123000000.0,,2.27,2.26,860000000.0,868000000.0,1516000000.0,,,,,,100000000.0,6495000000.0,,43797000000.0,,,491000000.0,57343000000.0,1355000000.0,380000000.0,,5657000000.0,,8613000000.0,,483000000.0,38628000000.0,9116000000.0,-81000000.0,,57343000000.0,1530000000.0,,914000000.0,118000000.0,,,45000000.0,-155000000.0,,-24000000.0,4598000000.0,,,,,,3115000000.0,,-92000000.0,-2898000000.0,620000000.0,,-631000000.0,1069000000.0,-358000000.0
2011-12-31,17657000000.0,,,,,13426000000.0,4231000000.0,-744000000.0,,1219000000.0,,2.57,2.55,857000000.0,864000000.0,1315000000.0,,,,-8654000000.0,,46000000.0,6272000000.0,,45010000000.0,,,481000000.0,59267000000.0,1553000000.0,426000000.0,,6577000000.0,,8809000000.0,,514000000.0,40607000000.0,8968000000.0,-111000000.0,,59267000000.0,2048000000.0,,1155000000.0,-362000000.0,,,17000000.0,-5000000.0,,15000000.0,5903000000.0,,,,,,4525000000.0,,-161000000.0,-4183000000.0,723000000.0,,-852000000.0,868000000.0,-401000000.0
2012-03-31,3604000000.0,,,,,2838000000.0,766000000.0,-182000000.0,,200000000.0,,0.42,0.42,868000000.0,877000000.0,1044000000.0,,,,,,59000000.0,6041000000.0,,45855000000.0,,,451000000.0,59874000000.0,1262000000.0,393000000.0,,6317000000.0,,9001000000.0,,578000000.0,41093000000.0,8926000000.0,-105000000.0,,59874000000.0,529000000.0,,104000000.0,-372000000.0,,,60000000.0,-136000000.0,,53000000.0,568000000.0,,,,,,1231000000.0,,8000000.0,-1427000000.0,116000000.0,,588000000.0,-271000000.0,2000000.0
