Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,8640000000.0,,,,,,,,,722000000.0,-1881000000.0,-4.32,-4.31,470602000.0,474003000.0,,,,,,,,,,1953000000.0,4550000000.0,1810000000.0,,157946000000.0,,,,,,,,,143455000000.0,7071000000.0,-2238000000.0,14491000000.0,157946000000.0,,,,,,,,,,,-4269000000.0,58780000000.0,43995000000.0,8274000000.0,241000000.0,0.0,325000000.0,,-430000000.0,31632000000.0,2231000000.0,,-27903000000.0,-540000000.0,
2010-03-31,2296000000.0,,,,,,,,702000000.0,207000000.0,495000000.0,0.99,0.99,494588000.0,498056000.0,,,,,,,,,,1880000000.0,4515000000.0,1768000000.0,,153971000000.0,,,,,,,,,138561000000.0,7588000000.0,-1885000000.0,15410000000.0,153971000000.0,,,,,,,,,,,1755000000.0,16528000000.0,11371000000.0,5726000000.0,50000000.0,,25000000.0,,-137000000.0,2896000000.0,,,-5195000000.0,-544000000.0,
2010-09-30,6910000000.0,,,,,,,,1834000000.0,361000000.0,1473000000.0,2.94,2.93,495729000.0,498159000.0,,,,,2826000000.0,,,,,1835000000.0,5521000000.0,2812000000.0,,172964000000.0,,,,,,,,,155395000000.0,8556000000.0,-782000000.0,17569000000.0,172964000000.0,,,,,,,,,,,992000000.0,49443000000.0,26781000000.0,17634000000.0,95000000.0,2246000000.0,157000000.0,,-326000000.0,-6002000000.0,,,6952000000.0,1942000000.0,
2010-12-31,8953000000.0,,,,,,,,2086000000.0,530000000.0,1556000000.0,3.11,3.09,495394000.0,497924000.0,,,,,-172000000.0,,,,,1843000000.0,5597000000.0,2593000000.0,,160505000000.0,,,,,,,,,142718000000.0,8634000000.0,-689000000.0,17787000000.0,160505000000.0,,,1244000000.0,,,,,,,,823000000.0,65485000000.0,34250000000.0,24736000000.0,114000000.0,2332000000.0,262000000.0,,-363000000.0,3192000000.0,,,-3345000000.0,670000000.0,-11000000.0
2011-03-31,2361000000.0,,,,,,,,660000000.0,189000000.0,471000000.0,0.94,0.93,497471000.0,500980000.0,,,,,,,,,,1845000000.0,5720000000.0,2644000000.0,,171796000000.0,,,,,,,,,152616000000.0,9013000000.0,-238000000.0,19180000000.0,171796000000.0,,,10000000.0,,,,,,,,-1348000000.0,19008000000.0,7329000000.0,3935000000.0,25000000.0,77000000.0,89000000.0,,-14000000.0,-5594000000.0,,,6268000000.0,-674000000.0,
2011-06-30,4852000000.0,,,,,,,,1375000000.0,391000000.0,984000000.0,1.95,1.93,497137000.0,501044000.0,,,,,,,,,,1853000000.0,5748000000.0,2616000000.0,,190455000000.0,,,,,,,,,170621000000.0,9430000000.0,160000000.0,19834000000.0,190455000000.0,,,-15000000.0,,,-138000000.0,,,,,-4374000000.0,40870000000.0,21380000000.0,7552000000.0,63000000.0,77000000.0,192000000.0,,-194000000.0,-19402000000.0,,,25037000000.0,1261000000.0,
2011-09-30,7279000000.0,,,,,,,,2004000000.0,465000000.0,1539000000.0,3.05,3.03,495015000.0,498417000.0,,,,,,,,,,1738000000.0,5639000000.0,2486000000.0,,208795000000.0,,,,,,,,,189144000000.0,9889000000.0,-315000000.0,19651000000.0,208795000000.0,,,-96000000.0,,,199000000.0,,,,,-2113000000.0,58901000000.0,33705000000.0,11056000000.0,69000000.0,77000000.0,209000000.0,,-280000000.0,-29323000000.0,,,37612000000.0,6176000000.0,
2011-12-31,9594000000.0,,,,,,,,2536000000.0,616000000.0,1920000000.0,3.82,3.79,492598000.0,496072000.0,,,,,1249000000.0,,,,,1747000000.0,5645000000.0,2459000000.0,,216827000000.0,,,,,,,,,197429000000.0,10176000000.0,-659000000.0,19398000000.0,216827000000.0,,,218000000.0,,,89000000.0,,,,,3374000000.0,78748000000.0,44810000000.0,16272000000.0,69000000.0,214000000.0,298000000.0,,-287000000.0,-53895000000.0,,,49403000000.0,-1118000000.0,305000000.0
2012-03-31,2421000000.0,,,,,,,,586000000.0,159000000.0,427000000.0,0.86,0.85,484942000.0,490454000.0,,,,,,,,,,1736000000.0,5700000000.0,2443000000.0,,187956000000.0,,,,,,,,,167797000000.0,10478000000.0,-299000000.0,20159000000.0,187956000000.0,,,78000000.0,,,144000000.0,-929000000.0,,,156000000.0,1315000000.0,15344000000.0,10790000000.0,1087000000.0,11000000.0,0.0,85000000.0,,-26000000.0,26323000000.0,,,-28448000000.0,-810000000.0,
2012-06-30,4844000000.0,,,,,,,,1238000000.0,321000000.0,917000000.0,1.86,1.83,483165000.0,489145000.0,,,,,,,,,,1702000000.0,5611000000.0,2334000000.0,,200777000000.0,,,,,,,,,180880000000.0,10846000000.0,-537000000.0,19897000000.0,200777000000.0,,,-55000000.0,,,92000000.0,-913000000.0,,,-1136000000.0,-1449000000.0,28698000000.0,21653000000.0,2451000000.0,53000000.0,0.0,143000000.0,,-69000000.0,21090000000.0,,,-15746000000.0,3895000000.0,
