Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-08-31,,,584200000.0,,336100000.0,,229500000.0,,,111200000.0,140400000.0,,,,,13900000.0,,720700000.0,1722400000.0,,,103000000.0,2560000000.0,,1529000000.0,2566100000.0,920100000.0,301900000.0,7877100000.0,253500000.0,482800000.0,,1449700000.0,,544000000.0,,325800000.0,,1243200000.0,550600000.0,2429900000.0,7877100000.0,,25700000.0,50600000.0,204500000.0,-157200000.0,,,-10700000.0,,,305700000.0,,,,,,43200000.0,,-500000.0,-10900000.0,,4700000.0,-324000000.0,-29600000.0,
2010-11-30,,,936100000.0,,512200000.0,,399600000.0,,,164300000.0,279700000.0,,,,,16000000.0,,868900000.0,1866600000.0,,,93300000.0,2844800000.0,,1556100000.0,2590200000.0,922000000.0,344700000.0,8257800000.0,334800000.0,521500000.0,,1515300000.0,,565400000.0,,325100000.0,,1382500000.0,665900000.0,2719000000.0,8257800000.0,,39800000.0,72200000.0,344300000.0,-52500000.0,,,72600000.0,,,369000000.0,,,,,,70100000.0,,-500000.0,-25100000.0,,7100000.0,-373000000.0,-27500000.0,
2011-02-28,,,1190100000.0,,640900000.0,,502500000.0,,,-8500000.0,559500000.0,,,,,9200000.0,,417400000.0,1369300000.0,,,287100000.0,2083000000.0,,1219600000.0,2619800000.0,886300000.0,358900000.0,7167600000.0,129200000.0,419900000.0,,662900000.0,,583100000.0,,233000000.0,,1662300000.0,188800000.0,2551900000.0,7167600000.0,,46000000.0,70900000.0,86000000.0,-190800000.0,,,-82500000.0,,,619300000.0,,,,,,89100000.0,,-7400000.0,188100000.0,,7400000.0,-845700000.0,-34300000.0,79700000.0
2011-05-31,,,251000000.0,,138200000.0,,101700000.0,,,45100000.0,74500000.0,,,,,13400000.0,,459300000.0,1309000000.0,,,174400000.0,1956100000.0,,1230700000.0,2632600000.0,896400000.0,359600000.0,7075400000.0,104800000.0,391800000.0,,783400000.0,,590800000.0,,257200000.0,,1736800000.0,223700000.0,2715100000.0,7075400000.0,,13700000.0,10800000.0,42400000.0,-67500000.0,,,-21800000.0,,,241300000.0,,,,,,21000000.0,,6400000.0,-33800000.0,,9900000.0,-204600000.0,4200000.0,
2011-08-31,,,534000000.0,,276400000.0,,246800000.0,,286200000.0,49000000.0,237200000.0,,,,,10000000.0,,501700000.0,1259200000.0,40800000.0,,51000000.0,1919600000.0,43700000.0,1241000000.0,2632700000.0,895400000.0,346000000.0,7034700000.0,138700000.0,410000000.0,,786800000.0,,596900000.0,,217200000.0,,1899500000.0,216800000.0,2699100000.0,7034700000.0,52300000.0,24200000.0,24700000.0,84500000.0,-118700000.0,,,12800000.0,,,517400000.0,,,,,,39200000.0,,6400000.0,-73200000.0,,10600000.0,-444300000.0,800000.0,
2011-11-30,,,816900000.0,,398200000.0,,407100000.0,,453500000.0,111500000.0,342000000.0,,,,,55800000.0,,567200000.0,1463500000.0,34400000.0,,35800000.0,2178500000.0,25100000.0,1251700000.0,2602200000.0,897600000.0,295200000.0,7225200000.0,270600000.0,357400000.0,,1178200000.0,,594300000.0,,236800000.0,,2004300000.0,127800000.0,2638000000.0,7225200000.0,80600000.0,37500000.0,36800000.0,139500000.0,37800000.0,,,135300000.0,,,640800000.0,,20200000.0,,,51500000.0,54100000.0,,7900000.0,-118700000.0,,11100000.0,-475000000.0,46600000.0,
2012-02-29,,,1062100000.0,,521500000.0,,486500000.0,,534000000.0,89000000.0,445000000.0,,,,,85800000.0,,436000000.0,1374500000.0,-566200000.0,,42300000.0,2034300000.0,28500000.0,1255800000.0,2632900000.0,866400000.0,320500000.0,7109900000.0,130500000.0,336200000.0,35700000.0,1199600000.0,,608700000.0,,204200000.0,,2107300000.0,173700000.0,2676000000.0,7109900000.0,110300000.0,47600000.0,48000000.0,5600000.0,-51500000.0,,,-6000000.0,,,784100000.0,,20200000.0,,,51500000.0,68400000.0,,9100000.0,-135100000.0,,10900000.0,-575100000.0,76600000.0,62900000.0
2012-05-31,,,250600000.0,,144000000.0,,106100000.0,,113200000.0,41200000.0,72000000.0,,,,,69100000.0,,457800000.0,1325200000.0,,,,1971400000.0,27400000.0,1219100000.0,2599200000.0,854700000.0,363800000.0,7008200000.0,117200000.0,311700000.0,,587900000.0,,607100000.0,,228000000.0,,2179300000.0,83100000.0,2299800000.0,7008200000.0,29500000.0,11600000.0,12300000.0,27500000.0,-31200000.0,,,-11800000.0,,,96400000.0,,,,,,19600000.0,,900000.0,-11100000.0,,2600000.0,-97900000.0,-16700000.0,
2012-08-31,,,535700000.0,,298300000.0,,236700000.0,,259700000.0,63100000.0,196600000.0,,,,,178500000.0,,487100000.0,1364900000.0,,,,2177900000.0,30900000.0,1233500000.0,2739300000.0,878200000.0,361600000.0,8040500000.0,185600000.0,383700000.0,,656000000.0,,618500000.0,,219200000.0,,2303900000.0,157700000.0,2618100000.0,8040500000.0,57200000.0,21400000.0,31900000.0,51100000.0,-37200000.0,,,52500000.0,,,368500000.0,,,,,159700000.0,35600000.0,,900000.0,-184000000.0,,11400000.0,-89900000.0,92700000.0,
2012-11-30,,,846500000.0,,450000000.0,,395500000.0,,409600000.0,103500000.0,306100000.0,,,,,200500000.0,,539100000.0,1596300000.0,,,,2480600000.0,33300000.0,1236700000.0,2738400000.0,876600000.0,340100000.0,8322700000.0,300400000.0,402800000.0,,787800000.0,,618400000.0,,212300000.0,,2413400000.0,165300000.0,2775300000.0,8322700000.0,88500000.0,31300000.0,40500000.0,104200000.0,196700000.0,,,170700000.0,,,389000000.0,,0.0,,,159300000.0,52200000.0,,800000.0,-200200000.0,,17200000.0,-72000000.0,114700000.0,
