Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-26,,,1305500000.0,,900800000.0,,754000000.0,-36500000.0,717500000.0,-14700000.0,720400000.0,3.91,3.87,184400000.0,185900000.0,734200000.0,,513800000.0,236200000.0,,,47600000.0,1762800000.0,,1292500000.0,1475000000.0,4534700000.0,115900000.0,12021100000.0,,745000000.0,,1580900000.0,,468000000.0,,185000000.0,4928300000.0,2734900000.0,20700000.0,7079600000.0,12021100000.0,,22800000.0,,63300000.0,11700000.0,,,,,,824200000.0,,,,,41700000.0,124700000.0,,-100000.0,-194100000.0,,21700000.0,-117200000.0,512900000.0,
2010-03-27,,,256600000.0,,237500000.0,,107500000.0,-8600000.0,74500000.0,11700000.0,104600000.0,0.56,0.56,185500000.0,187200000.0,656600000.0,,455800000.0,224500000.0,,,75100000.0,1625300000.0,,1262500000.0,1443500000.0,4590500000.0,116100000.0,11980500000.0,184500000.0,696100000.0,,1477100000.0,,446000000.0,,186300000.0,4815300000.0,2794700000.0,19200000.0,7151400000.0,11980500000.0,,8900000.0,,,,,,,,,86000000.0,,,,,,23000000.0,,,-118400000.0,,500000.0,-39300000.0,-71700000.0,
2010-06-26,,,665100000.0,,498700000.0,,402600000.0,21400000.0,365600000.0,63900000.0,341800000.0,1.84,1.83,185700000.0,187400000.0,798600000.0,,610100000.0,233700000.0,,,104700000.0,1923500000.0,,1240000000.0,1442700000.0,4547600000.0,110400000.0,12107400000.0,178400000.0,893600000.0,,1567800000.0,,442000000.0,,88000000.0,4787100000.0,2978700000.0,-15900000.0,7306100000.0,12107400000.0,,15600000.0,,,,,,,,,395600000.0,,,,,,51400000.0,,,-232300000.0,,600000.0,-98000000.0,65300000.0,
2010-09-25,,,1082700000.0,,747600000.0,,703500000.0,54400000.0,684200000.0,124600000.0,597900000.0,3.22,3.2,186000000.0,187400000.0,763500000.0,,530900000.0,230800000.0,,,83500000.0,1857800000.0,,1294500000.0,1496000000.0,4608700000.0,116200000.0,12138700000.0,195600000.0,812800000.0,,1216400000.0,,434900000.0,,90400000.0,4485800000.0,3184600000.0,67600000.0,7605500000.0,12138700000.0,,21400000.0,,,,,,,,,725900000.0,,,,,19800000.0,77700000.0,,,-220900000.0,,1300000.0,-484900000.0,20100000.0,
2010-12-25,,,1442200000.0,,1012500000.0,,864500000.0,-55500000.0,809000000.0,138700000.0,707700000.0,3.8,3.78,185900000.0,187300000.0,1217600000.0,,503800000.0,195000000.0,-219600000.0,,58000000.0,2220900000.0,,1388700000.0,1489100000.0,4655100000.0,138500000.0,12697600000.0,268200000.0,831000000.0,,1333900000.0,,466700000.0,,126400000.0,4855000000.0,3241500000.0,171100000.0,7798800000.0,12697600000.0,,27400000.0,67900000.0,7800000.0,10100000.0,,,,,,749700000.0,,,,,19800000.0,177900000.0,,-200000.0,-267400000.0,,4800000.0,-7600000.0,474700000.0,38400000.0
2011-03-26,,,263200000.0,,238400000.0,,126000000.0,-700000.0,98500000.0,16100000.0,82900000.0,0.44,0.44,186900000.0,188700000.0,1081700000.0,,493800000.0,217000000.0,,,99300000.0,2069900000.0,,1429000000.0,1545500000.0,4798700000.0,138300000.0,12869300000.0,220600000.0,780600000.0,,1310900000.0,,349700000.0,,131900000.0,4816300000.0,3272300000.0,341600000.0,8009400000.0,12869300000.0,,8300000.0,,,,,,,,,45000000.0,,,,,29400000.0,34300000.0,,-1100000.0,-144600000.0,,800000.0,-50100000.0,-149700000.0,
2011-06-25,,,672900000.0,,510900000.0,,424000000.0,-2500000.0,367000000.0,59300000.0,305700000.0,1.63,1.62,187100000.0,188800000.0,1184200000.0,,629600000.0,223200000.0,300000.0,,102900000.0,2364700000.0,,1407900000.0,1553800000.0,4754500000.0,130300000.0,13104100000.0,229500000.0,853400000.0,,1847800000.0,,416800000.0,,125400000.0,4917400000.0,3435100000.0,308900000.0,8143800000.0,13104100000.0,,14400000.0,,,,,,,,,271800000.0,,,,,41300000.0,72500000.0,,,-191800000.0,,900000.0,-125300000.0,-45300000.0,
2011-12-31,,,1466600000.0,,1019000000.0,,893200000.0,-119000000.0,774200000.0,99400000.0,676300000.0,3.66,3.63,184900000.0,186400000.0,1078900000.0,,529900000.0,207200000.0,-149700000.0,,72000000.0,2118000000.0,,1430100000.0,1453300000.0,4586000000.0,165900000.0,12423800000.0,,646800000.0,,1277200000.0,,455600000.0,,77500000.0,4733600000.0,3689700000.0,-129700000.0,7647900000.0,12423800000.0,,24700000.0,55500000.0,29000000.0,17100000.0,,,,,,868100000.0,,,,,41300000.0,235400000.0,,0.0,-338100000.0,,2000000.0,-665100000.0,-135100000.0,62700000.0
2012-03-31,,,252600000.0,,248200000.0,,121800000.0,-1400000.0,96600000.0,17300000.0,79500000.0,0.44,0.44,180300000.0,181700000.0,836300000.0,,512400000.0,256400000.0,26400000.0,,108700000.0,1874200000.0,,1455300000.0,1491500000.0,4682800000.0,158800000.0,12436200000.0,205600000.0,612000000.0,,1060000000.0,,474900000.0,,70000000.0,4588300000.0,3711400000.0,-18600000.0,7807300000.0,12436200000.0,,4800000.0,,,,,,,,,50400000.0,,,,,0.0,33800000.0,,0.0,-258200000.0,,3300000.0,-45900000.0,-253700000.0,
2012-06-30,,,671900000.0,,553000000.0,,400700000.0,-71900000.0,220400000.0,43200000.0,184600000.0,1.02,1.01,180800000.0,181600000.0,516000000.0,,739900000.0,268700000.0,32400000.0,,140400000.0,1833600000.0,,1977700000.0,2288000000.0,7125300000.0,224300000.0,16236700000.0,492000000.0,799400000.0,,2286100000.0,,883800000.0,,80500000.0,8354800000.0,3758400000.0,-68000000.0,7810800000.0,16236700000.0,,10100000.0,,,,,,,,,397400000.0,,,,,2257400000.0,81400000.0,,,-2552700000.0,,3500000.0,1583600000.0,-571700000.0,
