Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-25,2892000000.0,2051000000.0,841000000.0,,368000000.0,,269000000.0,,242000000.0,69000000.0,172000000.0,0.37,0.37,459000000.0,462000000.0,1695000000.0,,2033000000.0,1458000000.0,153000000.0,,481000000.0,5820000000.0,,3008000000.0,3153000000.0,,230000000.0,16283000000.0,1221000000.0,1265000000.0,174000000.0,2761000000.0,,174000000.0,,609000000.0,9276000000.0,-2102000000.0,413000000.0,6998000000.0,16283000000.0,138000000.0,,53000000.0,76000000.0,,,-27000000.0,,-28000000.0,,330000000.0,,,,,,76000000.0,,2000000.0,-64000000.0,,,-93000000.0,174000000.0,
2010-03-26,5849000000.0,4050000000.0,1799000000.0,,774000000.0,,667000000.0,,683000000.0,204000000.0,476000000.0,1.04,1.03,458000000.0,461000000.0,1839000000.0,,2042000000.0,1550000000.0,153000000.0,,,6111000000.0,,2896000000.0,3175000000.0,,224000000.0,16552000000.0,1304000000.0,,162000000.0,3280000000.0,,174000000.0,,535000000.0,9756000000.0,-1798000000.0,317000000.0,6788000000.0,16552000000.0,266000000.0,,155000000.0,146000000.0,,,,,-40000000.0,,830000000.0,,,,,55000000.0,157000000.0,,4000000.0,-199000000.0,,,-313000000.0,318000000.0,
2010-06-25,8933000000.0,6149000000.0,2784000000.0,,1149000000.0,,1134000000.0,,1158000000.0,348000000.0,806000000.0,1.77,1.75,456000000.0,460000000.0,1815000000.0,,2216000000.0,1586000000.0,153000000.0,,,6333000000.0,,2787000000.0,3155000000.0,,221000000.0,16469000000.0,1394000000.0,,165000000.0,3337000000.0,,237000000.0,,527000000.0,9669000000.0,-1459000000.0,207000000.0,6792000000.0,16469000000.0,395000000.0,,275000000.0,374000000.0,,,,,-35000000.0,,1205000000.0,,,,,70000000.0,249000000.0,,20000000.0,-322000000.0,,,-587000000.0,294000000.0,
2010-09-24,12070000000.0,8293000000.0,3777000000.0,482000000.0,1538000000.0,,1516000000.0,,1558000000.0,493000000.0,1103000000.0,2.43,2.41,453000000.0,457000000.0,1990000000.0,,2259000000.0,1583000000.0,2394000000.0,,,6731000000.0,,2867000000.0,3211000000.0,,217000000.0,16992000000.0,1386000000.0,515000000.0,164000000.0,3460000000.0,,285000000.0,,452000000.0,9936000000.0,-1161000000.0,246000000.0,7048000000.0,16992000000.0,520000000.0,63000000.0,35000000.0,323000000.0,,,,,-38000000.0,,1679000000.0,,,,,93000000.0,385000000.0,,-5000000.0,-442000000.0,,,-779000000.0,469000000.0,156000000.0
2010-12-24,3200000000.0,2179000000.0,1021000000.0,,402000000.0,,400000000.0,,382000000.0,113000000.0,265000000.0,0.6,0.59,444000000.0,449000000.0,1407000000.0,,2421000000.0,1836000000.0,250000000.0,,,6788000000.0,,3075000000.0,3727000000.0,,255000000.0,18102000000.0,1485000000.0,,159000000.0,3868000000.0,,311000000.0,,484000000.0,10756000000.0,-895000000.0,240000000.0,7339000000.0,18102000000.0,133000000.0,,105000000.0,-7000000.0,,,,,-12000000.0,,154000000.0,,,,,717000000.0,117000000.0,,4000000.0,-793000000.0,,,53000000.0,-583000000.0,
2011-03-25,6672000000.0,4607000000.0,2065000000.0,,847000000.0,,805000000.0,,756000000.0,187000000.0,564000000.0,1.27,1.26,444000000.0,449000000.0,1239000000.0,,2495000000.0,1912000000.0,263000000.0,,,6743000000.0,,3129000000.0,3602000000.0,,239000000.0,18080000000.0,1558000000.0,,132000000.0,3750000000.0,,285000000.0,,540000000.0,10744000000.0,-596000000.0,447000000.0,7325000000.0,18080000000.0,281000000.0,,104000000.0,12000000.0,,,,,-38000000.0,,711000000.0,,,,,717000000.0,231000000.0,,9000000.0,-790000000.0,,,-684000000.0,-751000000.0,
2011-06-24,10401000000.0,7211000000.0,3190000000.0,,1299000000.0,,1276000000.0,,1187000000.0,261000000.0,919000000.0,2.08,2.06,441000000.0,447000000.0,1212000000.0,,2614000000.0,1996000000.0,263000000.0,,,6860000000.0,,3147000000.0,3600000000.0,,250000000.0,18032000000.0,1612000000.0,1974000000.0,104000000.0,3691000000.0,,290000000.0,,538000000.0,10446000000.0,-242000000.0,576000000.0,7575000000.0,18032000000.0,427000000.0,,113000000.0,108000000.0,,,,,-68000000.0,,1149000000.0,,,,,731000000.0,375000000.0,,10000000.0,-835000000.0,,,-1115000000.0,-778000000.0,
2011-09-30,14312000000.0,9890000000.0,4422000000.0,624000000.0,1780000000.0,,1741000000.0,,1629000000.0,376000000.0,,2.84,2.81,438000000.0,443000000.0,1219000000.0,,2425000000.0,1939000000.0,2402000000.0,,,6632000000.0,,3163000000.0,3586000000.0,,256000000.0,17723000000.0,1483000000.0,1772000000.0,145000000.0,3401000000.0,,333000000.0,,511000000.0,10239000000.0,84000000.0,428000000.0,7474000000.0,17723000000.0,574000000.0,73000000.0,109000000.0,-34000000.0,,,,,-28000000.0,,1779000000.0,,,,,731000000.0,581000000.0,,,-1043000000.0,,,-1512000000.0,-771000000.0,299000000.0
2011-12-30,3309000000.0,2326000000.0,983000000.0,,398000000.0,,378000000.0,,346000000.0,92000000.0,,0.61,0.61,425000000.0,429000000.0,1390000000.0,,2241000000.0,1918000000.0,403000000.0,,,6577000000.0,,3090000000.0,3569000000.0,,259000000.0,17523000000.0,1393000000.0,1434000000.0,97000000.0,3820000000.0,,333000000.0,,517000000.0,9933000000.0,344000000.0,250000000.0,7581000000.0,17523000000.0,143000000.0,18000000.0,52000000.0,-88000000.0,,,,,-46000000.0,,207000000.0,,,,,,130000000.0,,1000000.0,-126000000.0,,,93000000.0,171000000.0,
2012-03-30,6419000000.0,4455000000.0,1964000000.0,,810000000.0,,746000000.0,,687000000.0,179000000.0,,1.21,1.2,427000000.0,431000000.0,2866000000.0,,2288000000.0,1833000000.0,402000000.0,,,8311000000.0,,3107000000.0,3283000000.0,,265000000.0,19029000000.0,1367000000.0,1555000000.0,98000000.0,4371000000.0,,333000000.0,,518000000.0,11346000000.0,601000000.0,389000000.0,7674000000.0,19029000000.0,279000000.0,35000000.0,78000000.0,16000000.0,,,,,-44000000.0,,729000000.0,,,,,,270000000.0,,7000000.0,-271000000.0,,,1183000000.0,1648000000.0,
