Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,1036000000.0,159000000.0,,1.16,1.15,629583000.0,635619000.0,2649000000.0,,,,,,,,,1583000000.0,6053000000.0,640000000.0,,165764000000.0,,,,,,,,,149523000000.0,7539000000.0,-417000000.0,,165764000000.0,,62000000.0,,,,,1058000000.0,,,,-493000000.0,22102000000.0,7918000000.0,17074000000.0,,-4475000000.0,174000000.0,,-30000000.0,7233000000.0,2727000000.0,,-6831000000.0,-91000000.0,431000000.0
2010-03-31,,,,,,,,,242000000.0,48000000.0,,0.27,0.27,690792000.0,698675000.0,2238000000.0,,,,,,,,,1798000000.0,6055000000.0,601000000.0,,163700000000.0,,,,,,,,,147172000000.0,7624000000.0,-292000000.0,,163700000000.0,,16000000.0,,,,,1155000000.0,,,,637000000.0,1563000000.0,1694000000.0,787000000.0,,5000000.0,263000000.0,,-12000000.0,453000000.0,51000000.0,,-1501000000.0,-411000000.0,636000000.0
2010-09-30,,,,,,,,,737000000.0,100000000.0,,0.88,0.87,693017000.0,701535000.0,2454000000.0,,,,,,,,,1831000000.0,6013000000.0,,,157230000000.0,,,,,,,,,140443000000.0,7833000000.0,-335000000.0,,157230000000.0,,58000000.0,,,,,1840000000.0,,,,2344000000.0,19001000000.0,4279000000.0,24737000000.0,,6000000.0,370000000.0,,-69000000.0,7050000000.0,92000000.0,,-9589000000.0,-195000000.0,873000000.0
2010-12-31,,,,,,,,,969000000.0,115000000.0,,1.18,1.16,692489000.0,701039000.0,2385000000.0,,,,856000000.0,,,,,1840000000.0,6008000000.0,,,157081000000.0,,,,,,,,,140583000000.0,7935000000.0,-747000000.0,,157081000000.0,,79000000.0,-66000000.0,,,,2006000000.0,,,,2898000000.0,26598000000.0,6049000000.0,31334000000.0,,7000000.0,428000000.0,,-88000000.0,5979000000.0,110000000.0,,-9141000000.0,-264000000.0,972000000.0
2011-03-31,,,,,,,,,287000000.0,53000000.0,,0.32,0.32,695309000.0,704101000.0,2200000000.0,,,,,,,,,1830000000.0,6014000000.0,,,157039000000.0,,,,,,,,,140369000000.0,8042000000.0,-706000000.0,,157039000000.0,,24000000.0,,,,,-126000000.0,,,,2031000000.0,4165000000.0,1105000000.0,115000000.0,,6000000.0,48000000.0,,-23000000.0,-2275000000.0,4000000.0,,59000000.0,-185000000.0,5000000.0
2011-06-30,,,,,,,,,705000000.0,144000000.0,,0.76,0.76,696625000.0,704969000.0,2786000000.0,,,,,,,,,1846000000.0,6016000000.0,,,159310000000.0,,,,,,,,,142261000000.0,8241000000.0,-574000000.0,,159310000000.0,,49000000.0,,,,,-214000000.0,,,,3853000000.0,6250000000.0,1728000000.0,330000000.0,,,104000000.0,,-53000000.0,-4939000000.0,17000000.0,,1487000000.0,401000000.0,-236000000.0
2011-09-30,,,,,,,,,1144000000.0,212000000.0,,1.29,1.27,697052000.0,705604000.0,4404000000.0,,,,,,,,,1864000000.0,6016000000.0,,,167677000000.0,,,,,,,,,150136000000.0,8493000000.0,-356000000.0,,167677000000.0,,73000000.0,,,,,-126000000.0,,,,4348000000.0,11605000000.0,2395000000.0,401000000.0,,,176000000.0,,-70000000.0,-10838000000.0,22000000.0,,8509000000.0,2019000000.0,-209000000.0
2011-12-31,,,,,,,,,1628000000.0,296000000.0,,1.85,1.83,696532000.0,705168000.0,4344000000.0,,,,642000000.0,,,,,1855000000.0,6078000000.0,,,174579000000.0,,,,,,,,,157099000000.0,8772000000.0,-713000000.0,,174579000000.0,,98000000.0,185000000.0,,,,55000000.0,,,,4565000000.0,13926000000.0,3271000000.0,4006000000.0,,86000000.0,224000000.0,,-106000000.0,-17826000000.0,22000000.0,,15220000000.0,1959000000.0,-82000000.0
2012-03-31,,,,,,,,,634000000.0,189000000.0,,0.62,0.61,697685000.0,707369000.0,4052000000.0,,,,,,,,,1822000000.0,6077000000.0,,,174752000000.0,,,,,,,,,156870000000.0,9064000000.0,-616000000.0,,174752000000.0,,25000000.0,,,,,-52000000.0,,,,1873000000.0,2859000000.0,851000000.0,109000000.0,,,21000000.0,,-14000000.0,-2255000000.0,-9000000.0,,90000000.0,-292000000.0,60000000.0
2012-06-30,,,,,,,,,1363000000.0,380000000.0,,1.35,1.33,698579000.0,708454000.0,3867000000.0,,,,,,,,,1816000000.0,6428000000.0,,,178529000000.0,,,,,,,,,159603000000.0,9433000000.0,-541000000.0,,178529000000.0,,51000000.0,,,,,677000000.0,,,,2635000000.0,4400000000.0,1782000000.0,153000000.0,,555000000.0,61000000.0,,-78000000.0,-5099000000.0,-3000000.0,,1987000000.0,-477000000.0,317000000.0
2012-09-30,,,,,,,,,2036000000.0,557000000.0,,2.02,1.99,699091000.0,709875000.0,3503000000.0,,,,,,,,,1940000000.0,6718000000.0,,,182021000000.0,,,,,,,,,161489000000.0,9761000000.0,-409000000.0,,182021000000.0,,79000000.0,,,,,653000000.0,,,,2670000000.0,4453000000.0,2959000000.0,249000000.0,,-692000000.0,117000000.0,,-95000000.0,-3274000000.0,12000000.0,,-237000000.0,-841000000.0,344000000.0
