Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-27,882874000.0,,403150000.0,20427000.0,233794000.0,,148391000.0,,110166000.0,32566000.0,97820000.0,2.45,2.43,39913000.0,40356000.0,287129000.0,,291386000.0,337363000.0,55774000.0,,,1035384000.0,,290761000.0,1409197000.0,925992000.0,68403000.0,3743744000.0,82119000.0,76414000.0,,321309000.0,,400334000.0,,149371000.0,2162002000.0,,,1577232000.0,3743744000.0,,4901000.0,23120000.0,56797000.0,4392000.0,,,,,,100154000.0,,,,,,15315000.0,,,59338000.0,,,-44195000.0,98824000.0,
2010-09-26,1325867000.0,,606217000.0,30927000.0,357748000.0,,216046000.0,,127620000.0,26580000.0,120016000.0,3.01,2.98,39933000.0,40269000.0,247757000.0,,294285000.0,359967000.0,58733000.0,,,1042712000.0,,292294000.0,1438997000.0,928906000.0,81658000.0,3797855000.0,91588000.0,84157000.0,,465127000.0,,416939000.0,,48740000.0,2080578000.0,,,1713231000.0,3797855000.0,,7769000.0,28670000.0,45343000.0,15375000.0,,,,,,146776000.0,,,,,,23796000.0,,,52065000.0,,,-136706000.0,59452000.0,
2010-12-31,1801705000.0,,794069000.0,42621000.0,475321000.0,,273593000.0,,147793000.0,21887000.0,201094000.0,5.04,4.99,39906000.0,40280000.0,208452000.0,,294196000.0,338598000.0,39309000.0,,,921233000.0,,287705000.0,1442411000.0,918522000.0,68027000.0,3643155000.0,84846000.0,117488000.0,,420763000.0,,370819000.0,,46515000.0,1855877000.0,1578913000.0,-51880000.0,1783376000.0,3643155000.0,,9621000.0,1327000.0,56296000.0,3688000.0,,,,,,206585000.0,,,,,,33537000.0,,,148407000.0,,,-336627000.0,20147000.0,
2011-03-27,388658000.0,,176038000.0,11038000.0,109831000.0,,54574000.0,,23926000.0,6426000.0,77812000.0,1.94,1.92,40057000.0,40424000.0,202298000.0,,289788000.0,319905000.0,34351000.0,,,925918000.0,,274328000.0,1468990000.0,927636000.0,76838000.0,3678803000.0,82675000.0,116577000.0,,341906000.0,,387001000.0,,47148000.0,1789815000.0,,,1884710000.0,3678803000.0,,-1055000.0,-1701000.0,20951000.0,10656000.0,,,,,,14062000.0,,,,,,6444000.0,,,64586000.0,,,-87488000.0,-6154000.0,
2011-06-26,745290000.0,,348536000.0,23494000.0,215137000.0,,106134000.0,,59148000.0,13564000.0,111882000.0,2.78,2.75,40536000.0,40872000.0,365809000.0,,283181000.0,293822000.0,34997000.0,,,1148928000.0,,255253000.0,1475436000.0,917552000.0,78403000.0,3878232000.0,67558000.0,114753000.0,,364279000.0,,392557000.0,,41277000.0,1927895000.0,,,1945625000.0,3878232000.0,,955000.0,941000.0,37870000.0,17098000.0,,,,,,39634000.0,,,,,,15277000.0,,,55069000.0,,,43281000.0,157357000.0,
2011-09-25,1117181000.0,,526810000.0,35819000.0,317338000.0,,170055000.0,,104210000.0,24422000.0,155533000.0,3.85,3.82,40684000.0,40943000.0,371699000.0,,277340000.0,311417000.0,33085000.0,,,1186430000.0,,250582000.0,1456710000.0,897846000.0,74642000.0,3868711000.0,76245000.0,112575000.0,,383972000.0,,383557000.0,,37413000.0,1931714000.0,,,1932151000.0,3868711000.0,,2469000.0,-2561000.0,41260000.0,40539000.0,,,,,,64693000.0,,,,,,27561000.0,,,42774000.0,,,32342000.0,163247000.0,
2011-12-31,1528911000.0,,718841000.0,48732000.0,429262000.0,,233173000.0,,148703000.0,27000000.0,323329000.0,7.98,7.92,40501000.0,40801000.0,584088000.0,,286226000.0,298775000.0,-380591000.0,,,1280256000.0,,251912000.0,1438542000.0,879787000.0,71320000.0,3924103000.0,67092000.0,78160000.0,,271007000.0,,420833000.0,,37999000.0,1941320000.0,1847106000.0,-159353000.0,1980588000.0,3924103000.0,,3989000.0,-13159000.0,43118000.0,32661000.0,,,,,,103130000.0,,,,,,45087000.0,,,300218000.0,,,-5159000.0,375636000.0,
2012-04-01,387757000.0,,185835000.0,11562000.0,113378000.0,,-270395000.0,,-288128000.0,-4019000.0,-283735000.0,-6.96,-6.96,40769000.0,40769000.0,590921000.0,,310926000.0,298971000.0,39312000.0,,,1322772000.0,,263415000.0,1119696000.0,871711000.0,70153000.0,3649886000.0,62330000.0,84509000.0,,275346000.0,,412656000.0,,32577000.0,1928040000.0,,,1719346000.0,3649886000.0,,1719000.0,-12624000.0,18762000.0,-2245000.0,,,,,,26733000.0,,,,,,15029000.0,,,-15029000.0,,,-12558000.0,6833000.0,
2012-07-01,763899000.0,,368478000.0,25255000.0,218087000.0,,-205656000.0,,-241123000.0,-4276000.0,-241122000.0,-5.91,-5.91,40834000.0,41076000.0,544991000.0,,275166000.0,284555000.0,36526000.0,,,1249631000.0,,253684000.0,1095591000.0,938129000.0,67843000.0,3606822000.0,65471000.0,83177000.0,,242674000.0,,397454000.0,,72048000.0,1914808000.0,,,1689470000.0,3606822000.0,,4003000.0,-21480000.0,13225000.0,-2698000.0,,,,,,89238000.0,,,,,,28893000.0,,,-74365000.0,,,-24372000.0,-39097000.0,
2012-09-30,1131953000.0,,549045000.0,40015000.0,332965000.0,,-155815000.0,,-209435000.0,7237000.0,-219380000.0,-5.37,-5.37,40890000.0,41511000.0,634829000.0,,266947000.0,295611000.0,29700000.0,,,1293054000.0,,267392000.0,1113940000.0,930916000.0,63423000.0,3670789000.0,63703000.0,63115000.0,,248677000.0,,393192000.0,,68670000.0,1915390000.0,,,1752956000.0,3670789000.0,,6170000.0,-27217000.0,-1934000.0,4619000.0,,,,,,139132000.0,,,,,,46092000.0,,,-42194000.0,,,-34653000.0,50741000.0,
2012-12-31,1551009000.0,,748225000.0,56278000.0,454489000.0,,-97375000.0,,-165369000.0,16413000.0,-190057000.0,-4.65,-4.65,40859000.0,40859000.0,337039000.0,,297976000.0,323347000.0,-373012000.0,,,1069079000.0,,297945000.0,1249456000.0,1058792000.0,61863000.0,3739497000.0,75165000.0,65064000.0,,274405000.0,,419266000.0,,59771000.0,1957960000.0,1601460000.0,-132048000.0,1778950000.0,3739497000.0,,8623000.0,-39178000.0,2932000.0,1970000.0,,,,,,193853000.0,,,,,,65394000.0,,,-385854000.0,,,-47292000.0,-247049000.0,
2013-03-31,411877000.0,,200520000.0,15007000.0,126950000.0,,49404000.0,,35368000.0,7667000.0,27038000.0,0.66,0.63,41014000.0,43047000.0,306554000.0,,307020000.0,332820000.0,45620000.0,,,1057501000.0,,300830000.0,1236876000.0,1034589000.0,61780000.0,3693727000.0,67383000.0,74200000.0,,261468000.0,,409289000.0,,51794000.0,1918650000.0,,-157524000.0,1772248000.0,3693727000.0,,2791000.0,476000.0,16420000.0,13693000.0,,,,,,6093000.0,,,,,,15635000.0,,,-21314000.0,,,-9638000.0,-30485000.0,
2013-06-30,831936000.0,,410010000.0,31531000.0,243203000.0,,113155000.0,,84851000.0,13749000.0,69479000.0,1.69,1.61,41115000.0,43429000.0,281418000.0,,311881000.0,348608000.0,45971000.0,,,1056706000.0,,311464000.0,1240592000.0,1052845000.0,60554000.0,3724137000.0,76493000.0,78150000.0,,263235000.0,,413546000.0,,51429000.0,1922610000.0,,-162758000.0,1799432000.0,3724137000.0,,5766000.0,-2439000.0,18084000.0,29354000.0,,,,,,54837000.0,,,,,,36897000.0,,,-73901000.0,,,-32869000.0,-55621000.0,
2013-09-29,1245732000.0,,614002000.0,47169000.0,358431000.0,,179197000.0,,135839000.0,18958000.0,116053000.0,2.82,2.68,41132000.0,43264000.0,326437000.0,,313706000.0,346116000.0,44122000.0,,,1110448000.0,,320542000.0,1241393000.0,1048154000.0,65191000.0,3788363000.0,70783000.0,77760000.0,,267825000.0,,417078000.0,,47882000.0,1926101000.0,,-138383000.0,1860039000.0,3788363000.0,,8426000.0,-457000.0,12395000.0,23576000.0,,,,,,134217000.0,,,,,,54640000.0,,,-95140000.0,,,-51988000.0,-10602000.0,
2013-12-31,1696271000.0,,838945000.0,65045000.0,502187000.0,,233261000.0,,175730000.0,23547000.0,150881000.0,3.67,3.45,41105000.0,43693000.0,431984000.0,,295290000.0,333621000.0,-462790000.0,,,1200554000.0,,325900000.0,1354203000.0,1255597000.0,70095000.0,4209007000.0,71967000.0,74868000.0,,635120000.0,,514715000.0,,48506000.0,2292991000.0,1696424000.0,-110855000.0,1913527000.0,4209007000.0,,11871000.0,-8925000.0,1294000.0,8931000.0,,,,,,229871000.0,,,,,,63580000.0,,,-372638000.0,,,232598000.0,94945000.0,43975000.0
2014-03-30,438546000.0,,221159000.0,14062000.0,140297000.0,,59020000.0,,43803000.0,8534000.0,34958000.0,0.85,0.76,41262000.0,45749000.0,421649000.0,,295514000.0,349745000.0,51983000.0,,,1220618000.0,,328679000.0,1372058000.0,1250533000.0,67789000.0,4242134000.0,71094000.0,79455000.0,,631807000.0,,523445000.0,,49607000.0,2296907000.0,,-106110000.0,1942486000.0,4242134000.0,,3074000.0,3515000.0,-5966000.0,7473000.0,,,,,,33600000.0,,,,,,12109000.0,,,-39491000.0,,,-5500000.0,-10335000.0,
2014-06-29,906651000.0,,465247000.0,28932000.0,287140000.0,,133772000.0,,102639000.0,18540000.0,82210000.0,1.99,1.78,41380000.0,46392000.0,237382000.0,,301720000.0,356467000.0,50497000.0,,,1041254000.0,,343408000.0,1373356000.0,1233905000.0,69501000.0,4063833000.0,73533000.0,80040000.0,,652490000.0,,517433000.0,,50650000.0,2079454000.0,,-104248000.0,1982277000.0,4063833000.0,,5726000.0,2811000.0,-640000.0,16385000.0,,,,,,120161000.0,,,,,,30850000.0,,,-55306000.0,,,-260071000.0,-194602000.0,
2014-09-28,1363824000.0,,701413000.0,43803000.0,425392000.0,,215707000.0,,167551000.0,28224000.0,137041000.0,3.31,2.96,41399000.0,46628000.0,286382000.0,,287179000.0,353227000.0,48141000.0,,,1077203000.0,,347233000.0,1352045000.0,1208252000.0,70274000.0,4057792000.0,71034000.0,77333000.0,,676316000.0,,494884000.0,,49221000.0,2073876000.0,,-149449000.0,1981728000.0,4057792000.0,,9125000.0,-2808000.0,-2442000.0,23084000.0,,,,,,208798000.0,,,,,,48220000.0,,,-71544000.0,,,-274030000.0,-145602000.0,
2014-12-31,1839832000.0,,942428000.0,61040000.0,578657000.0,,284862000.0,,220110000.0,28650000.0,187679000.0,4.54,4.04,41366000.0,46470000.0,303236000.0,,273704000.0,335593000.0,-395192000.0,,,1053209000.0,,317435000.0,1323553000.0,1216720000.0,64010000.0,3977255000.0,64100000.0,72383000.0,,634899000.0,,451541000.0,,58991000.0,2063556000.0,1827845000.0,-260895000.0,1911309000.0,3977255000.0,,12227000.0,-14153000.0,-9394000.0,15531000.0,,,,,,290241000.0,,,,,,67571000.0,,,-108137000.0,,,-287703000.0,-128748000.0,52869000.0
2015-03-29,429430000.0,,222637000.0,12884000.0,139697000.0,,65608000.0,,48605000.0,9332000.0,38352000.0,0.92,0.81,41469000.0,47295000.0,308759000.0,,284827000.0,338736000.0,56562000.0,,,1070771000.0,,310106000.0,1293506000.0,1183549000.0,63810000.0,3923595000.0,75310000.0,71905000.0,,664425000.0,,426768000.0,,59871000.0,2062993000.0,,-342096000.0,1857933000.0,3923595000.0,,3832000.0,1085000.0,21906000.0,14578000.0,,,,,,42358000.0,,,,,,14445000.0,,,-21820000.0,,,11552000.0,5523000.0,
2015-06-28,881475000.0,,455874000.0,26327000.0,281925000.0,,142594000.0,,99084000.0,14612000.0,82915000.0,2.0,1.74,41560000.0,48081000.0,325010000.0,,286371000.0,347095000.0,56294000.0,,,1102509000.0,,315536000.0,1317874000.0,1185517000.0,61191000.0,3984162000.0,74364000.0,65843000.0,,661886000.0,,433257000.0,,61429000.0,2064155000.0,,-321110000.0,1917779000.0,3984162000.0,,7126000.0,625000.0,17984000.0,16895000.0,,,,,,109588000.0,,,,,,31321000.0,,,-68880000.0,,,161000.0,21774000.0,
2015-09-27,1325189000.0,,684087000.0,38898000.0,420765000.0,,219144000.0,,161458000.0,15415000.0,143739000.0,3.46,3.0,41597000.0,48532000.0,276463000.0,,272996000.0,345899000.0,55981000.0,,,1036147000.0,,313244000.0,1303175000.0,1192364000.0,61507000.0,3907701000.0,67906000.0,67027000.0,,657471000.0,,406101000.0,,57737000.0,1966640000.0,,-349899000.0,1938891000.0,3907701000.0,,10379000.0,-21960000.0,8714000.0,19904000.0,,,,,,176760000.0,,,,,,45566000.0,,,-108609000.0,0.0,,-70918000.0,-26773000.0,
2015-12-31,1809690000.0,,944403000.0,52119000.0,568982000.0,,315891000.0,,244646000.0,7838000.0,244863000.0,5.89,5.1,41558000.0,48058000.0,338366000.0,,262416000.0,330275000.0,159786000.0,,,1006431000.0,,316123000.0,1295852000.0,1199975000.0,57642000.0,3878516000.0,66305000.0,64017000.0,,666712000.0,,315983000.0,,48887000.0,1867423000.0,2016176000.0,-371124000.0,2009272000.0,3878516000.0,,14467000.0,-54413000.0,-398000.0,8371000.0,,,,,,303446000.0,,,,,,61448000.0,,,-154848000.0,0.0,,-85583000.0,35130000.0,56079000.0
2016-03-27,424893000.0,,225147000.0,12353000.0,136348000.0,,67497000.0,,53793000.0,2613000.0,50689000.0,1.22,1.04,41647000.0,48782000.0,392558000.0,,274660000.0,338906000.0,,,,1085009000.0,,318183000.0,1303456000.0,1188853000.0,45411000.0,3943466000.0,73313000.0,68797000.0,,674675000.0,,322043000.0,,57728000.0,1869391000.0,,,2059219000.0,3943466000.0,,3437000.0,756000.0,10568000.0,5104000.0,,,,,,66832000.0,,,,,,7822000.0,,,-6571000.0,,,-11069000.0,54192000.0,
2016-06-26,898446000.0,,481546000.0,27825000.0,279331000.0,,165938000.0,,121195000.0,10620000.0,109992000.0,2.58,2.29,43549000.0,48014000.0,476490000.0,,273530000.0,338465000.0,,,,1161721000.0,,314665000.0,1301348000.0,1175098000.0,45146000.0,4000207000.0,72787000.0,63396000.0,,423804000.0,,317327000.0,,59171000.0,1878639000.0,,,2119350000.0,4000207000.0,,7949000.0,-1292000.0,10237000.0,3284000.0,,,,,,181488000.0,,,,,,19535000.0,,,-18667000.0,,,-22199000.0,138124000.0,
2016-09-25,1354094000.0,,723148000.0,42892000.0,419128000.0,,252425000.0,,194909000.0,18134000.0,176314000.0,4.09,3.69,44045000.0,47824000.0,499459000.0,,261833000.0,341830000.0,,,,1163872000.0,,322019000.0,1305078000.0,1164644000.0,43237000.0,4001669000.0,70246000.0,68972000.0,,452402000.0,,311390000.0,,60073000.0,1831747000.0,,,2169922000.0,4001669000.0,,12540000.0,-8699000.0,-4316000.0,5617000.0,,,,,,301598000.0,,,,,,35912000.0,,,-40160000.0,,,-97906000.0,161093000.0,
2016-12-31,1868027000.0,,996200000.0,58579000.0,563308000.0,,319453000.0,,245725000.0,8074000.0,237377000.0,5.48,4.98,43325000.0,47646000.0,543789000.0,,271993000.0,316171000.0,148136000.0,,,1183393000.0,,302899000.0,1276720000.0,1091663000.0,34826000.0,3891213000.0,69400000.0,65149000.0,,427646000.0,,271377000.0,,52015000.0,1751872000.0,2194593000.0,-438717000.0,2137517000.0,3891213000.0,,16900000.0,-29346000.0,11029000.0,-6408000.0,,,,,,410590000.0,,,,,,53135000.0,,,-56974000.0,0.0,,-118692000.0,205423000.0,23955000.0
2017-04-02,487881000.0,,255560000.0,17827000.0,163969000.0,,60819000.0,,37680000.0,-2669000.0,40170000.0,0.89,0.86,44893000.0,46615000.0,689129000.0,,282872000.0,355289000.0,,,,1395127000.0,,355234000.0,1815498000.0,1620454000.0,44160000.0,5232436000.0,82018000.0,82390000.0,,392358000.0,,460654000.0,,54558000.0,3013532000.0,,,2218904000.0,5232436000.0,,4240000.0,-3081000.0,-18691000.0,5322000.0,,,,,,90940000.0,,,,,,12894000.0,,,-982086000.0,,,1021264000.0,145340000.0,
2017-07-02,1016494000.0,,545844000.0,38105000.0,322903000.0,,171021000.0,,128138000.0,12095000.0,118173000.0,2.63,2.53,44996000.0,46818000.0,676214000.0,,303702000.0,368526000.0,,,,1407618000.0,,369301000.0,1854076000.0,1612904000.0,44162000.0,5290024000.0,81973000.0,85050000.0,,376051000.0,,468034000.0,,52981000.0,2931495000.0,,,2358529000.0,5290024000.0,,9534000.0,-8779000.0,-5071000.0,12187000.0,,,,,,197690000.0,,,,,,36833000.0,,,-1023960000.0,,,917675000.0,132425000.0,
2017-10-01,1551197000.0,,841071000.0,59299000.0,486674000.0,,281375000.0,,217514000.0,19404000.0,195188000.0,4.34,4.18,45035000.0,46673000.0,1017573000.0,,306472000.0,382417000.0,,,,1766751000.0,,374461000.0,1886157000.0,1606943000.0,44401000.0,5680733000.0,85419000.0,88095000.0,,374645000.0,,471667000.0,,58460000.0,3208256000.0,,,2472477000.0,5680733000.0,,14519000.0,-15682000.0,-6428000.0,20257000.0,,,,,,319708000.0,,,,,,53977000.0,,,-1058356000.0,,,1155399000.0,473784000.0,
2017-12-31,2146303000.0,,1171802000.0,84770000.0,699963000.0,,372279000.0,,284911000.0,129648000.0,152530000.0,3.39,3.27,45004000.0,46664000.0,333558000.0,,345875000.0,395744000.0,199400000.0,,,1128807000.0,,382999000.0,2235592000.0,2383748000.0,46536000.0,6181492000.0,92027000.0,96853000.0,,483876000.0,,603676000.0,,168864000.0,3750961000.0,2285886000.0,-265091000.0,,6181492000.0,,19407000.0,-41822000.0,11039000.0,22363000.0,,,,,,426301000.0,,,,,,70903000.0,,,-1832855000.0,0.0,,1141259000.0,-210231000.0,49144000.0
2018-04-01,587230000.0,,331270000.0,26027000.0,215337000.0,,86843000.0,,61173000.0,6242000.0,,1.24,1.2,45329000.0,46695000.0,378872000.0,,359140000.0,403676000.0,,,,1205159000.0,,389519000.0,2264447000.0,2390555000.0,46951000.0,6300600000.0,84686000.0,101128000.0,,551774000.0,,616711000.0,,167100000.0,3740100000.0,,,2560500000.0,6300600000.0,,4787000.0,-1472000.0,3402000.0,-32000.0,,,,,,86848000.0,,,,,,15747000.0,,,-19431000.0,,,-32712000.0,45314000.0,
2018-07-01,1197096000.0,521048000.0,676048000.0,52045000.0,445254000.0,,120333000.0,,68197000.0,15818000.0,,1.18,1.15,45581000.0,46771000.0,346304000.0,,359119000.0,405428000.0,,,,1185279000.0,,410979000.0,2220888000.0,2306204000.0,49585000.0,6175321000.0,94834000.0,104340000.0,,536445000.0,,,,204940000.0,3741340000.0,,,2433981000.0,6175321000.0,,10737000.0,4821000.0,15886000.0,15017000.0,,,,,,181584000.0,,,,,,38004000.0,,,-60454000.0,,,-102400000.0,12746000.0,
2018-09-30,1806768000.0,788147000.0,1018621000.0,78410000.0,660148000.0,,202438000.0,,123451000.0,14532000.0,,2.42,2.36,45851000.0,46815000.0,356276000.0,,374341000.0,411066000.0,,,,1240810000.0,,421265000.0,2223429000.0,2262818000.0,50093000.0,6200720000.0,97628000.0,105584000.0,,549293000.0,,,,208016000.0,3693655000.0,,,2507065000.0,6200720000.0,,16469000.0,8664000.0,29830000.0,19665000.0,,,,,,302944000.0,,,,,,55751000.0,,,-78301000.0,,,-199700000.0,22718000.0,
2018-12-31,2448383000.0,1063941000.0,1384442000.0,106208000.0,878688000.0,,321704000.0,,219628000.0,23196000.0,200802000.0,4.39,4.29,45689000.0,46801000.0,357161000.0,,366286000.0,427778000.0,182975000.0,,,1236169000.0,,432766000.0,2246579000.0,2325052000.0,34979000.0,6277991000.0,106709000.0,97551000.0,,582456000.0,,,,204134000.0,3738013000.0,2427599000.0,-341085000.0,,6277991000.0,,22438000.0,-6097000.0,23412000.0,37198000.0,,,,,,435086000.0,,,,,,80795000.0,,,-196394000.0,0.0,,-206433000.0,23603000.0,65605000.0
2019-03-31,613584000.0,268842000.0,344742000.0,27150000.0,227693000.0,,75243000.0,,52890000.0,10972000.0,,0.89,0.87,46050000.0,46942000.0,271212000.0,,375756000.0,445566000.0,,,,1182614000.0,,409963000.0,2247768000.0,2274488000.0,38458000.0,6268069000.0,103532000.0,93649000.0,,520916000.0,,,,212226000.0,3698191000.0,,,2569878000.0,6268069000.0,,5781000.0,2603000.0,14102000.0,19200000.0,,,,,,60166000.0,,,,,,23494000.0,,,-23528000.0,,,-124361000.0,-85949000.0,
