Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-30,65357000000.0,44062000000.0,,,13078000000.0,,,,3872000000.0,1384000000.0,,3.31,3.3,752000000.0,754800000.0,,1617000000.0,,7179000000.0,,,2079000000.0,18424000000.0,,25280000000.0,,,829000000.0,44533000000.0,6511000000.0,3120000000.0,,11327000000.0,,835000000.0,,1906000000.0,,12947000000.0,-581000000.0,,44533000000.0,2023000000.0,103000000.0,364000000.0,,474000000.0,,280000000.0,174000000.0,,,5881000000.0,,,,,,1729000000.0,,-3000000.0,-1703000000.0,,,-2842000000.0,1336000000.0,
2010-05-01,15593000000.0,10412000000.0,,,3143000000.0,,,,1055000000.0,384000000.0,,0.91,0.9,739900000.0,745700000.0,,1015000000.0,,7249000000.0,,,2065000000.0,17222000000.0,,25212000000.0,,,889000000.0,43323000000.0,6150000000.0,3183000000.0,,10197000000.0,,916000000.0,,1819000000.0,,13098000000.0,-573000000.0,,43323000000.0,516000000.0,25000000.0,109000000.0,,70000000.0,,94000000.0,-361000000.0,,,1158000000.0,,,,,,407000000.0,,18000000.0,-175000000.0,,,-1605000000.0,-622000000.0,
2010-07-31,31124000000.0,20705000000.0,,,6405000000.0,,,,2135000000.0,785000000.0,,1.84,1.82,735500000.0,741100000.0,,972000000.0,,7728000000.0,,,1840000000.0,17245000000.0,,25401000000.0,,,1009000000.0,43655000000.0,6228000000.0,3057000000.0,,10100000000.0,,740000000.0,,1810000000.0,,12690000000.0,-567000000.0,,43655000000.0,1012000000.0,52000000.0,148000000.0,,549000000.0,,76000000.0,-283000000.0,,,1828000000.0,,,,,,991000000.0,,20000000.0,-725000000.0,,,-1763000000.0,-660000000.0,
2010-10-30,46729000000.0,31267000000.0,,,9749000000.0,,,,2908000000.0,1023000000.0,,2.59,2.57,728800000.0,734400000.0,,349000000.0,,9550000000.0,,,1905000000.0,18346000000.0,,25590000000.0,,,1013000000.0,44949000000.0,7761000000.0,3179000000.0,,11790000000.0,,814000000.0,,1786000000.0,,12254000000.0,-562000000.0,,44949000000.0,1545000000.0,77000000.0,249000000.0,,2371000000.0,,187000000.0,1250000000.0,,,2852000000.0,,,,,,1607000000.0,,70000000.0,-1316000000.0,,,-2800000000.0,-1264000000.0,
2011-01-29,67390000000.0,45725000000.0,,,13469000000.0,,,,4495000000.0,1575000000.0,,4.03,4.0,723600000.0,729400000.0,,1129000000.0,,7596000000.0,-555000000.0,,1752000000.0,17213000000.0,,25493000000.0,59000000.0,,999000000.0,43705000000.0,6625000000.0,3326000000.0,,10070000000.0,,934000000.0,313000000.0,1607000000.0,,12698000000.0,-581000000.0,,43705000000.0,2084000000.0,109000000.0,445000000.0,,417000000.0,,124000000.0,115000000.0,,,5271000000.0,,,,,,2129000000.0,,47000000.0,-1744000000.0,,,-4015000000.0,-488000000.0,
2011-04-30,15935000000.0,10838000000.0,,,3233000000.0,,,,1081000000.0,392000000.0,,0.99,0.99,692600000.0,697400000.0,,872000000.0,,7696000000.0,,,1527000000.0,16368000000.0,,25648000000.0,,,980000000.0,42996000000.0,6296000000.0,3229000000.0,,10838000000.0,,916000000.0,,1596000000.0,,12398000000.0,-570000000.0,,42996000000.0,512000000.0,21000000.0,100000000.0,,99000000.0,,-84000000.0,-330000000.0,,,1052000000.0,,,,,,632000000.0,,10000000.0,-370000000.0,,,-970000000.0,-288000000.0,
2011-07-30,32175000000.0,21710000000.0,,,6705000000.0,,2527000000.0,,2190000000.0,797000000.0,,2.03,2.02,686700000.0,691200000.0,,116000000.0,,7926000000.0,,,1521000000.0,16059000000.0,,28373000000.0,,,1067000000.0,45499000000.0,6519000000.0,3721000000.0,,11620000000.0,,969000000.0,,1644000000.0,,12213000000.0,-548000000.0,,45499000000.0,1022000000.0,44000000.0,122000000.0,,330000000.0,,,-119000000.0,,,2336000000.0,,,,,,2379000000.0,,19000000.0,-2135000000.0,,,-1023000000.0,-822000000.0,
2011-10-29,48577000000.0,32874000000.0,,,10230000000.0,,3567000000.0,,3048000000.0,1100000000.0,,2.85,2.84,682200000.0,686900000.0,,66000000.0,,9890000000.0,,,1948000000.0,18372000000.0,,29040000000.0,,,1035000000.0,48447000000.0,8053000000.0,3273000000.0,,14139000000.0,,1199000000.0,,1689000000.0,,12340000000.0,-563000000.0,15264000000.0,48447000000.0,1568000000.0,61000000.0,397000000.0,,2294000000.0,,,1428000000.0,,,2975000000.0,,,,,,3750000000.0,,114000000.0,-3604000000.0,,,-236000000.0,,
2012-01-28,69865000000.0,47860000000.0,,,14106000000.0,,5250000000.0,,4456000000.0,1527000000.0,,4.31,4.28,679100000.0,683900000.0,,194000000.0,,7918000000.0,-861000000.0,,1810000000.0,16449000000.0,,29149000000.0,59000000.0,,1032000000.0,46630000000.0,6857000000.0,3644000000.0,,14287000000.0,,1191000000.0,224000000.0,1634000000.0,,12959000000.0,-681000000.0,15821000000.0,46630000000.0,2131000000.0,90000000.0,371000000.0,,322000000.0,,,232000000.0,,,5434000000.0,,,,,,4368000000.0,,108000000.0,-4180000000.0,,,-2140000000.0,,
2012-04-28,16867000000.0,11541000000.0,,,3392000000.0,,1283000000.0,,1101000000.0,404000000.0,,1.05,1.04,666000000.0,672000000.0,,18000000.0,,7670000000.0,,,1698000000.0,15591000000.0,,29508000000.0,,,1076000000.0,46175000000.0,6292000000.0,3671000000.0,,12446000000.0,,1209000000.0,,1690000000.0,,12854000000.0,,15863000000.0,46175000000.0,529000000.0,25000000.0,7000000.0,,-248000000.0,,,-566000000.0,,,1307000000.0,,,,,,829000000.0,,16000000.0,-659000000.0,,,-768000000.0,,
