Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-30,20288444000.0,,,,3328944000.0,,,,1951562000.0,737990000.0,,2.9,2.84,417796000.0,427619000.0,1614607000.0,,148126000.0,2532318000.0,122462000.0,,255707000.0,4803856000.0,,2273882000.0,,,193230000.0,7463977000.0,1507892000.0,,,2894986000.0,,192447000.0,,697099000.0,,2614014000.0,-134124000.0,,7463977000.0,435218000.0,55145000.0,53155000.0,-1862000.0,147805000.0,,,197496000.0,,,2271926000.0,,,,,,429282000.0,,5578000.0,-560277000.0,169862000.0,17494000.0,-583754000.0,1161080000.0,
2010-05-01,5016540000.0,,,,821363000.0,,,,536301000.0,204867000.0,,0.81,0.8,408053000.0,414400000.0,1833270000.0,,168043000.0,2615079000.0,122539000.0,,240415000.0,5105417000.0,,2254375000.0,,,202161000.0,7754510000.0,1684956000.0,,,3014635000.0,,222836000.0,,688123000.0,,2768697000.0,-137298000.0,,7754510000.0,113613000.0,13313000.0,18159000.0,-19894000.0,-79328000.0,,,175234000.0,,,527416000.0,,,,,,149094000.0,,,-138155000.0,88090000.0,15475000.0,-176320000.0,218663000.0,
2010-07-31,10084620000.0,,,,1675164000.0,,,,1032648000.0,396230000.0,,1.57,1.54,405880000.0,412394000.0,1380169000.0,,171203000.0,2884602000.0,95950000.0,,277766000.0,4948919000.0,,2338282000.0,,,207535000.0,7686709000.0,1847547000.0,,,2974620000.0,,230204000.0,,719325000.0,,2705754000.0,-132733000.0,,7686709000.0,227231000.0,28029000.0,55047000.0,23072000.0,345911000.0,,,335463000.0,,,665969000.0,,,,,,326856000.0,,,-330882000.0,100467000.0,17964000.0,-570459000.0,-234438000.0,
2010-10-30,15610467000.0,,,,2587972000.0,,,,1629765000.0,621038000.0,,2.5,2.46,402969000.0,409284000.0,1339065000.0,,229318000.0,3272960000.0,34867000.0,,290465000.0,5296642000.0,,2470428000.0,,,223641000.0,8182148000.0,1974272000.0,,,3229952000.0,,307810000.0,,746860000.0,,2815014000.0,-101494000.0,,8182148000.0,341069000.0,44913000.0,142607000.0,43943000.0,719710000.0,,,454738000.0,,,1099192000.0,,,,,,540351000.0,,-695000.0,-533691000.0,141880000.0,23410000.0,-855112000.0,-275542000.0,
2011-01-29,21942193000.0,,1665553000.0,,3710053000.0,,,,2164092000.0,824562000.0,,3.36,3.3,400145000.0,406413000.0,1741751000.0,,200147000.0,2765464000.0,-175833000.0,,249832000.0,5099527000.0,,2449801000.0,72200000.0,,231518000.0,7971763000.0,1683929000.0,460114000.0,,3133121000.0,,241905000.0,,709321000.0,,2801997000.0,-91755000.0,,7971763000.0,458052000.0,58804000.0,50641000.0,23587000.0,211823000.0,,,163823000.0,,,1976481000.0,,,,,,707134000.0,,1065000.0,-647613000.0,176159000.0,28095000.0,-1223928000.0,127144000.0,
2011-04-30,5220295000.0,,,,954474000.0,,,,429646000.0,163695000.0,,0.69,0.67,387978000.0,394004000.0,1377146000.0,,231119000.0,3014809000.0,72932000.0,,227066000.0,5008421000.0,,2564473000.0,,,221085000.0,7984470000.0,1786417000.0,,,3101855000.0,,256076000.0,,716329000.0,,2768087000.0,-30800000.0,,7984470000.0,116228000.0,15448000.0,-8452000.0,28522000.0,209293000.0,,,80623000.0,,,143094000.0,,,,,,226053000.0,,,-230384000.0,79987000.0,17460000.0,-300213000.0,-364605000.0,
2011-07-30,10688569000.0,,,,1878167000.0,,,,989083000.0,374794000.0,,1.6,1.57,384918000.0,391091000.0,977763000.0,,218083000.0,3368082000.0,66413000.0,,316632000.0,5029069000.0,,2650568000.0,,,227581000.0,8097126000.0,1922305000.0,,,3191344000.0,,295972000.0,,718721000.0,,2770482000.0,-46473000.0,,8097126000.0,236442000.0,31704000.0,46535000.0,16373000.0,571873000.0,,,220283000.0,,,325721000.0,,,,,,439217000.0,,,-441112000.0,110840000.0,24710000.0,-671016000.0,-763988000.0,
2011-10-29,16481697000.0,,,,2832405000.0,,,,1652835000.0,632059000.0,,2.67,2.63,382324000.0,388489000.0,956932000.0,,235975000.0,3706022000.0,81202000.0,,366183000.0,5418051000.0,,2698978000.0,,,224687000.0,8530980000.0,2048362000.0,,,3379500000.0,,462384000.0,,720399000.0,,2888873000.0,-82685000.0,,8530980000.0,356943000.0,49799000.0,197286000.0,35518000.0,931492000.0,,,358899000.0,,,830830000.0,,,,,,661419000.0,,,-645155000.0,168004000.0,34063000.0,-980527000.0,-784819000.0,
2012-01-28,23191455000.0,,1825389000.0,,3890144000.0,,-16605000.0,,2411414000.0,915324000.0,,1.97,1.93,761109000.0,773772000.0,1507112000.0,,204304000.0,2950523000.0,-256632000.0,,270133000.0,5132632000.0,,2706377000.0,72200000.0,,253913000.0,8281605000.0,1645324000.0,436596000.0,,3063423000.0,,362501000.0,,861768000.0,,2655163000.0,-192575000.0,,8281605000.0,485701000.0,64175000.0,144762000.0,4410000.0,187157000.0,,,-36553000.0,,,1916034000.0,,,,,,803330000.0,,-11652000.0,-811041000.0,218999000.0,46143000.0,-1335712000.0,-234639000.0,
2012-04-28,5798086000.0,,,,942126000.0,,,,681405000.0,262205000.0,,0.56,0.55,742233000.0,756016000.0,1563691000.0,,232884000.0,2909805000.0,108495000.0,,242069000.0,5231816000.0,,2819539000.0,,,263552000.0,8503079000.0,1757871000.0,,,3151716000.0,,382928000.0,,852760000.0,,2744156000.0,-153295000.0,,8503079000.0,120638000.0,14271000.0,10908000.0,27536000.0,-57521000.0,,,100850000.0,,,704558000.0,,,,,,254261000.0,,,-331555000.0,28315000.0,8600000.0,-331825000.0,56579000.0,
2012-07-28,11743645000.0,,,,1920640000.0,,,,1364195000.0,523903000.0,,1.14,1.11,739531000.0,753721000.0,1620402000.0,,202140000.0,3007731000.0,83528000.0,,250694000.0,5340790000.0,,2848196000.0,,,260092000.0,8636641000.0,1863108000.0,,,3225489000.0,,386482000.0,,860139000.0,,2852898000.0,-198981000.0,,8636641000.0,246461000.0,29879000.0,30750000.0,-1952000.0,59688000.0,,,218646000.0,,,1307740000.0,,,,,,438913000.0,,,-521030000.0,61266000.0,27319000.0,-666871000.0,113290000.0,
2012-10-27,18154558000.0,,,,3010922000.0,,,,2112664000.0,810821000.0,,1.77,1.73,736846000.0,751034000.0,1641915000.0,,238251000.0,3297119000.0,84638000.0,,231756000.0,5694665000.0,,3055669000.0,,,241809000.0,9172089000.0,2059200000.0,,,3598991000.0,,411314000.0,,920859000.0,,2902053000.0,-164914000.0,,9172089000.0,372367000.0,49600000.0,62102000.0,33367000.0,336998000.0,,,407015000.0,,,2079963000.0,,,,,,775597000.0,,,-848150000.0,100944000.0,43901000.0,-1102675000.0,134803000.0,
