Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,10109700000.0,,,,2668900000.0,9060800000.0,1048900000.0,,,75800000.0,850300000.0,2.06,2.01,412400000.0,422800000.0,1564100000.0,,1409600000.0,1131400000.0,160000000.0,,258700000.0,4530900000.0,,1333400000.0,8982900000.0,6337000000.0,440800000.0,21625000000.0,533600000.0,534000000.0,139800000.0,1639300000.0,,1933800000.0,,555100000.0,,4350800000.0,92000000.0,15430900000.0,21625000000.0,787300000.0,68100000.0,,127300000.0,108200000.0,,-18400000.0,-44900000.0,,-16300000.0,1659200000.0,0.0,,800000.0,,637300000.0,207500000.0,,4000000.0,-829500000.0,54400000.0,2600000.0,-557500000.0,283600000.0,
2010-04-03,2675100000.0,,,,719100000.0,2382100000.0,293000000.0,,,38300000.0,232300000.0,0.57,0.56,409600000.0,418200000.0,1431700000.0,,1493800000.0,,161000000.0,,279000000.0,4528600000.0,,1312300000.0,9108700000.0,6238600000.0,436400000.0,21624600000.0,596100000.0,553300000.0,167800000.0,1775700000.0,,1897600000.0,,541000000.0,,4583100000.0,-47300000.0,15480000000.0,21624600000.0,199700000.0,19100000.0,,-102100000.0,-34900000.0,,-23000000.0,74000000.0,,15700000.0,343100000.0,,,200000.0,,229100000.0,50600000.0,,-600000.0,-277900000.0,26800000.0,4800000.0,-178100000.0,-132400000.0,
2010-07-03,5324100000.0,,,,1411600000.0,4719100000.0,605000000.0,,,76200000.0,469600000.0,1.15,1.13,409400000.0,417100000.0,1307400000.0,,1472500000.0,,162900000.0,,247500000.0,4348000000.0,,1297700000.0,9100200000.0,6052900000.0,482100000.0,21280900000.0,568500000.0,512700000.0,163800000.0,1616000000.0,,1752500000.0,,534500000.0,,4820400000.0,-150100000.0,15345100000.0,21280900000.0,390900000.0,41400000.0,,-100600000.0,-51100000.0,,-9400000.0,51700000.0,,-47900000.0,626800000.0,,,400000.0,,287800000.0,109000000.0,,500000.0,-390500000.0,49400000.0,7800000.0,-491800000.0,-256700000.0,
2010-10-02,8007600000.0,,,,2108300000.0,7084000000.0,923600000.0,,,110900000.0,738100000.0,1.82,1.79,406500000.0,412900000.0,930200000.0,,1562100000.0,,169100000.0,,292800000.0,4171000000.0,,1366000000.0,9285600000.0,6186900000.0,527500000.0,21537000000.0,581900000.0,542300000.0,165500000.0,1770600000.0,,1768400000.0,,540500000.0,,5088900000.0,79200000.0,15396600000.0,21537000000.0,579400000.0,62600000.0,,-133900000.0,-62200000.0,,-37600000.0,47400000.0,,39600000.0,1059600000.0,,,500000.0,,545400000.0,173600000.0,,-3600000.0,-706600000.0,52600000.0,7900000.0,-973100000.0,-633900000.0,
2010-12-31,10788700000.0,,,,2826200000.0,9523800000.0,1264900000.0,,,131500000.0,1035600000.0,2.57,2.53,403300000.0,409400000.0,917100000.0,,1516800000.0,1175100000.0,-1363000000.0,,318700000.0,4135000000.0,,1408600000.0,9270600000.0,6041100000.0,494100000.0,21349400000.0,551000000.0,524400000.0,158300000.0,1709800000.0,,1684400000.0,,562900000.0,,5386400000.0,43600000.0,15361000000.0,21349400000.0,770000000.0,83100000.0,-266700000.0,-89500000.0,-27900000.0,,-81300000.0,2500000.0,,33700000.0,1497800000.0,,,,,606200000.0,265500000.0,,1500000.0,-858900000.0,77300000.0,12800000.0,-1295100000.0,-647000000.0,
2011-04-02,2721400000.0,,,,708700000.0,2399900000.0,321500000.0,,299000000.0,51800000.0,252200000.0,0.65,0.64,388600000.0,394600000.0,2788700000.0,,1565500000.0,,183800000.0,,382100000.0,6189300000.0,,1389000000.0,9038000000.0,5857000000.0,957300000.0,23430600000.0,616900000.0,552900000.0,193200000.0,4146000000.0,,1606000000.0,,623100000.0,,5638600000.0,164000000.0,15254700000.0,23430600000.0,184300000.0,21600000.0,,-64000000.0,-63100000.0,,9000000.0,68300000.0,,-32000000.0,338600000.0,,,,,23700000.0,63700000.0,,400000.0,-88900000.0,44500000.0,6400000.0,1651500000.0,1871600000.0,
2011-07-02,5618800000.0,,,,1485900000.0,5031500000.0,587300000.0,,554600000.0,89800000.0,775600000.0,2.01,1.99,385300000.0,390300000.0,1356100000.0,,1683400000.0,,195200000.0,,412000000.0,5004700000.0,,1509500000.0,10372800000.0,6650600000.0,536200000.0,24073800000.0,632900000.0,666500000.0,205000000.0,1816800000.0,,1956800000.0,,625700000.0,,6162000000.0,266000000.0,15665700000.0,24073800000.0,386900000.0,41900000.0,,66600000.0,64600000.0,,9600000.0,57700000.0,,-64800000.0,693300000.0,,,,,2091300000.0,122900000.0,,2900000.0,-1365900000.0,141800000.0,15400000.0,1125800000.0,439000000.0,
2011-10-01,8592300000.0,,,,2295600000.0,7690000000.0,902300000.0,,819300000.0,89200000.0,1041000000.0,2.72,2.68,383300000.0,387700000.0,890300000.0,,1811000000.0,,204100000.0,,415100000.0,4734600000.0,,1629200000.0,12003800000.0,8058600000.0,565300000.0,26991500000.0,610600000.0,643900000.0,192600000.0,2792500000.0,,2262400000.0,,625400000.0,,6427400000.0,-279400000.0,15195900000.0,26991500000.0,616600000.0,60700000.0,,81100000.0,64200000.0,,52600000.0,25400000.0,,-55400000.0,1054000000.0,,,,,5699400000.0,185500000.0,,2200000.0,-5069400000.0,153700000.0,16600000.0,3997000000.0,-26800000.0,
2011-12-31,11725900000.0,,,,3126500000.0,10480700000.0,1245200000.0,,1126600000.0,107000000.0,1329900000.0,3.49,3.46,380800000.0,384800000.0,1016300000.0,,1814100000.0,1355400000.0,-1926000000.0,,472100000.0,4821900000.0,,1656200000.0,11988000000.0,7815900000.0,551700000.0,26833700000.0,628700000.0,691900000.0,192500000.0,3113100000.0,,2230900000.0,,696400000.0,,6716300000.0,-399500000.0,15038100000.0,26833700000.0,863500000.0,80200000.0,-124000000.0,107300000.0,32500000.0,,124000000.0,31400000.0,,-7200000.0,1691000000.0,,,,,5698600000.0,266500000.0,,6000000.0,-5142200000.0,158100000.0,16900000.0,3550600000.0,99200000.0,
2012-03-31,3100300000.0,,,,830000000.0,2745400000.0,354900000.0,,305000000.0,28000000.0,277300000.0,0.76,0.75,367300000.0,370100000.0,788300000.0,,1894800000.0,1422300000.0,160100000.0,,499700000.0,4769500000.0,,1665300000.0,12084500000.0,7739100000.0,564300000.0,26822700000.0,691400000.0,700600000.0,227400000.0,2845400000.0,,2218700000.0,,718600000.0,,6945600000.0,-150900000.0,15289000000.0,26822700000.0,243800000.0,17300000.0,,69200000.0,76900000.0,,31000000.0,68300000.0,,-15000000.0,392000000.0,,,,,500000.0,69400000.0,,900000.0,-66200000.0,55100000.0,7700000.0,-585000000.0,-228000000.0,
