Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2020-12-31,302554000.0,,,,,85303000.0,217251000.0,2411000.0,219662000.0,43613000.0,176049000.0,,,,7756156.0,281046000.0,,,,,,,,,79267000.0,,,,571635000.0,,,,,,,,,86451000.0,,-2693000.0,485184000.0,571635000.0,14395000.0,,-2389000.0,-18828000.0,,,,,8787000.0,,207037000.0,,,,,,5086000.0,,,-25998000.0,,,-201660000.0,-20621000.0,46619000.0
2021-03-31,84155000.0,,,,,22133000.0,62022000.0,5000.0,62027000.0,11975000.0,50052000.0,,,,7756156.0,310655000.0,,,,,,,375847000.0,,78395000.0,,,,613802000.0,,,5298000.0,33848000.0,,,,,99867000.0,516522000.0,-2665000.0,513935000.0,613802000.0,3838000.0,,-147000.0,,,,13657000.0,,,172000.0,52387000.0,,,,,,2738000.0,,,-1449000.0,,,-21329000.0,29609000.0,0.0
2021-06-30,180087000.0,,,,,46795000.0,133292000.0,411000.0,133703000.0,26605000.0,107098000.0,13.81,13.81,7756020.0,7756020.0,329134000.0,,,,,,,398230000.0,,76917000.0,,,,633843000.0,,,4388000.0,21810000.0,,,,,86666000.0,552239000.0,-2636000.0,547177000.0,633843000.0,7696000.0,,,,,,18126000.0,,,814000.0,96489000.0,,,,,,4912000.0,,,-4471000.0,,,-45162000.0,46856000.0,27613000.0
2021-09-30,303780000.0,,,,,67248000.0,236532000.0,924000.0,237456000.0,46521000.0,190935000.0,24.62,24.62,7754439.0,7754439.0,372761000.0,,,,,,,458108000.0,,79204000.0,,,,695617000.0,,,3965000.0,29102000.0,,,,,94575000.0,614764000.0,-2607000.0,601042000.0,695617000.0,11562000.0,,,,,,35377000.0,,,4961000.0,174512000.0,,,,,,11499000.0,,,-9989000.0,,,-74786000.0,89737000.0,44113000.0
2021-12-31,450958000.0,,,,,88565000.0,362393000.0,624000.0,363017000.0,93037000.0,269980000.0,34.83,34.83,7752027.0,7752054.0,428242000.0,,,,,,,526513000.0,,79722000.0,,,,764064000.0,,,3809000.0,50900000.0,,,,,112353000.0,668029000.0,-1007000.0,651711000.0,764064000.0,16257000.0,28000.0,-228000.0,47603000.0,,,,,-1910000.0,3162000.0,265163000.0,,,,,,16415000.0,,,-14997000.0,,,-104948000.0,145218000.0,68223000.0
2022-03-31,147335000.0,,,,,23022000.0,124313000.0,76000.0,124389000.0,26489000.0,97900000.0,12.65,12.64,7741365.0,7742710.0,507356000.0,,,,,,,618840000.0,,79996000.0,,,,856569000.0,,,4655000.0,67279000.0,,,,,128693000.0,741909000.0,-999000.0,727876000.0,856569000.0,4126000.0,1505000.0,,,,,12959000.0,,,-3328000.0,107735000.0,,,,,,3005000.0,,,-5178000.0,,,-23443000.0,79114000.0,6000000.0
2022-06-30,323605000.0,,,,,47584000.0,276021000.0,706000.0,276727000.0,59933000.0,216794000.0,28.02,28.01,7737527.0,7739859.0,389794000.0,,,,,,,523936000.0,,83444000.0,,,,764708000.0,,,5139000.0,57073000.0,,,,,119427000.0,682849000.0,-991000.0,645281000.0,764708000.0,8306000.0,3495000.0,,,,,35472000.0,,,9668000.0,195405000.0,,,,,,10347000.0,,,-8263000.0,,,-225590000.0,-38448000.0,67324000.0
2022-09-30,514716000.0,,,,,76640000.0,438076000.0,2626000.0,440702000.0,94071000.0,346631000.0,44.84,44.82,7729866.0,7733505.0,446588000.0,,,,,,,589187000.0,,81556000.0,,,,828974000.0,,,4611000.0,43599000.0,,,,,107804000.0,789524000.0,-983000.0,721170000.0,828974000.0,12223000.0,5616000.0,,,,,45065000.0,,,16901000.0,314645000.0,,,,,,12155000.0,,,-14591000.0,,,-281708000.0,18346000.0,115609000.0
2022-12-31,667422000.0,,,,,105115000.0,562307000.0,6548000.0,568855000.0,122493000.0,446362000.0,57.8,57.77,7721957.0,7726809.0,510834000.0,,,,,,,633401000.0,,85478000.0,,,,877427000.0,,,4488000.0,39595000.0,,,,,104540000.0,866139000.0,2516000.0,772887000.0,877427000.0,15376000.0,8432000.0,1263000.0,,,,13833000.0,,1938000.0,10394000.0,447149000.0,,,,,,18967000.0,,,-21401000.0,,,-336808000.0,88940000.0,151956000.0
2023-03-31,146362000.0,,,,,41410000.0,104952000.0,5389000.0,110341000.0,23773000.0,86568000.0,11.25,11.24,7693084.0,7698398.0,590619000.0,,,,,,,711006000.0,,86192000.0,,,,955251000.0,,,6784000.0,61037000.0,,,,,126200000.0,927543000.0,2491000.0,829051000.0,955251000.0,3404000.0,2473000.0,,,,,2076000.0,,,640000.0,114775000.0,,,,,,3773000.0,,,-1744000.0,,,-32837000.0,80194000.0,0.0
