Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-09-30,,,,,,4817700000.0,242800000.0,,159100000.0,18500000.0,22200000.0,0.54,0.54,41000000.0,41500000.0,154100000.0,,544500000.0,139400000.0,,,17500000.0,890700000.0,,2616800000.0,,,262100000.0,3790400000.0,298900000.0,339700000.0,,673500000.0,,117600000.0,,52700000.0,,-78600000.0,400000.0,165700000.0,3790400000.0,134300000.0,11400000.0,-10900000.0,,-86900000.0,,,,,,164600000.0,,,,,,214300000.0,,-300000.0,-390100000.0,,,191200000.0,-34300000.0,
2012-03-31,,,,,,1538100000.0,107700000.0,,79300000.0,10100000.0,9600000.0,0.23,0.23,41000000.0,41800000.0,121200000.0,,462600000.0,45500000.0,0.0,,6400000.0,676200000.0,,2872000000.0,,,98500000.0,3698400000.0,,,,569300000.0,,118000000.0,,62200000.0,,-60500000.0,0.0,140300000.0,3698400000.0,-47400000.0,4500000.0,-1400000.0,,-44300000.0,,,,,,138800000.0,,,,,,103000000.0,,-800000.0,-108100000.0,,,-55300000.0,-24600000.0,
2012-06-30,,,,,,,190800000.0,,131400000.0,18800000.0,18200000.0,0.44,0.44,41000000.0,41900000.0,117500000.0,,368100000.0,89700000.0,,,17900000.0,649500000.0,,2964500000.0,,,95100000.0,3780500000.0,,,,487800000.0,,107300000.0,,62700000.0,,-51900000.0,6000000.0,140900000.0,3780500000.0,95700000.0,8800000.0,2700000.0,,300000.0,,,,,,204000000.0,,,,,,238700000.0,,-900000.0,-251100000.0,,,18800000.0,-28300000.0,
2012-09-30,,,,,,,249800000.0,,156400000.0,24700000.0,26900000.0,0.66,0.64,41000000.0,41900000.0,120700000.0,,416200000.0,84400000.0,,,11400000.0,666400000.0,,3061200000.0,,,91800000.0,3881500000.0,,,,526300000.0,,116300000.0,,53400000.0,,-43200000.0,2200000.0,131000000.0,3881500000.0,144300000.0,13000000.0,4400000.0,,-4900000.0,,,,,,290200000.0,,,,,,365100000.0,,-1600000.0,-403800000.0,,,88500000.0,-25100000.0,
2012-12-31,,,1006700000.0,,,,336300000.0,,196200000.0,36900000.0,38100000.0,0.93,0.91,41000000.0,41800000.0,76300000.0,,514900000.0,99400000.0,-134900000.0,,13400000.0,733300000.0,,3538000000.0,,,94700000.0,5105000000.0,,,,686600000.0,,131200000.0,,53700000.0,,-32000000.0,1200000.0,144100000.0,5105000000.0,197600000.0,17500000.0,9000000.0,,-6000000.0,,,,,,428200000.0,,,,,,582700000.0,,-4500000.0,-1590700000.0,,1300000.0,1093000000.0,-69500000.0,
2013-03-31,,,,,,,73900000.0,,43200000.0,9400000.0,13400000.0,0.32,0.32,41600000.0,42000000.0,112700000.0,,427600000.0,66000000.0,,,6700000.0,631200000.0,,3692400000.0,,,92800000.0,5148500000.0,,,,633100000.0,,127200000.0,,57600000.0,,-18600000.0,100000.0,145400000.0,5148500000.0,64000000.0,3800000.0,200000.0,,-33700000.0,,,,,,174000000.0,,,,,,202900000.0,,4600000.0,-207500000.0,,,69900000.0,36400000.0,
2013-06-30,,,,,,,134800000.0,,73700000.0,17500000.0,28300000.0,0.68,0.67,41600000.0,42100000.0,82900000.0,,435800000.0,138300000.0,,,17700000.0,697900000.0,,3883400000.0,,,95500000.0,5407100000.0,,,,608600000.0,,125000000.0,,62400000.0,,-3700000.0,1700000.0,120100000.0,5407100000.0,129700000.0,6800000.0,700000.0,,49700000.0,,,,,,162700000.0,,,,,,444500000.0,,10500000.0,-455000000.0,,,298900000.0,6600000.0,
2013-09-30,,,,,,,223100000.0,,135900000.0,30300000.0,44600000.0,1.07,1.06,41600000.0,42100000.0,83700000.0,,498500000.0,201700000.0,,,14200000.0,809000000.0,,4109400000.0,,,91500000.0,5725300000.0,,,,687100000.0,,136100000.0,,58000000.0,,12600000.0,300000.0,151000000.0,5725300000.0,198700000.0,10000000.0,7000000.0,,110300000.0,,,,,,258100000.0,,,,,,708200000.0,,-4000000.0,-737600000.0,,,486900000.0,7400000.0,
2013-12-31,,,1177500000.0,,,,368200000.0,,249500000.0,48200000.0,65100000.0,1.56,1.55,41600000.0,42100000.0,66700000.0,,658800000.0,150700000.0,-139500000.0,,18900000.0,897200000.0,,4349900000.0,,,89100000.0,6048600000.0,,,,770400000.0,,135500000.0,,60700000.0,,20500000.0,-500000.0,148800000.0,6048600000.0,271900000.0,13200000.0,5400000.0,,84500000.0,,,,,,382700000.0,,,,,,1013600000.0,,-5000000.0,-1026300000.0,,1600000.0,634000000.0,-9600000.0,
2014-03-31,,,,,,,158400000.0,,129400000.0,22500000.0,19600000.0,0.47,0.47,42000000.0,42100000.0,94900000.0,,610400000.0,88500000.0,4300000.0,,10200000.0,809900000.0,,4464300000.0,,,86300000.0,6055200000.0,,,,758400000.0,,138800000.0,,66100000.0,,19600000.0,-800000.0,144400000.0,6055200000.0,79600000.0,4200000.0,-1400000.0,,-60600000.0,,,,,,318700000.0,,,,,,197700000.0,,-1700000.0,-193700000.0,,,-96800000.0,28200000.0,
