Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-02,652378000.0,329955000.0,322423000.0,72442000.0,,245747000.0,76676000.0,3821000.0,80497000.0,45574000.0,34251000.0,0.28,0.28,120707000.0,124099000.0,261660000.0,,219583000.0,159179000.0,38694000.0,,19761000.0,719944000.0,,46058000.0,769438000.0,190803000.0,54290000.0,1780533000.0,70756000.0,44916000.0,68161000.0,293788000.0,13636000.0,36261000.0,,43422000.0,538125000.0,472386000.0,20670000.0,1228917000.0,1780533000.0,,10625000.0,-4461000.0,-15398000.0,-19747000.0,7647000.0,1003000.0,17315000.0,676000.0,,95309000.0,,,,,33605000.0,11030000.0,297000.0,-67000.0,-60708000.0,17867000.0,1412000.0,-41325000.0,-12188000.0,
2010-10-01,970588000.0,488417000.0,482171000.0,109339000.0,,373825000.0,108346000.0,10480000.0,118826000.0,51061000.0,67096000.0,0.56,0.54,120296000.0,123599000.0,211056000.0,,229746000.0,176853000.0,29600000.0,,20673000.0,686100000.0,,49525000.0,812564000.0,203230000.0,64661000.0,1816080000.0,73064000.0,38187000.0,74392000.0,262266000.0,12606000.0,29388000.0,,41313000.0,496753000.0,500407000.0,50689000.0,1305760000.0,1816080000.0,,16165000.0,-3827000.0,-17030000.0,-32549000.0,191000.0,366000.0,15796000.0,1982000.0,,87032000.0,,,,,90757000.0,17162000.0,625000.0,-99000.0,-109137000.0,31885000.0,1971000.0,-40464000.0,-62792000.0,
2010-12-31,,,,,,,,,,,,,,,,220788000.0,,222820000.0,192852000.0,36924000.0,,19917000.0,714370000.0,,50692000.0,828737000.0,204948000.0,68145000.0,1866892000.0,72349000.0,29741000.0,73888000.0,251815000.0,10777000.0,24598000.0,,42843000.0,481193000.0,536350000.0,48027000.0,1366156000.0,1866892000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,384293000.0,192763000.0,191530000.0,43232000.0,,147855000.0,43675000.0,2606000.0,46281000.0,7409000.0,39703000.0,0.33,0.32,121819000.0,125856000.0,244342000.0,,265693000.0,203014000.0,36620000.0,,20279000.0,795931000.0,,51634000.0,863459000.0,215394000.0,73286000.0,1999704000.0,89357000.0,32977000.0,81501000.0,421680000.0,7736000.0,31447000.0,,49569000.0,510703000.0,575968000.0,67826000.0,1470289000.0,1999704000.0,,6798000.0,-1393000.0,40624000.0,8717000.0,-5776000.0,-4927000.0,16377000.0,-1219000.0,,27927000.0,,,,,38979000.0,4036000.0,250000.0,-44000.0,-43221000.0,27785000.0,8357000.0,35470000.0,23554000.0,
2011-07-01,791462000.0,391198000.0,400264000.0,89524000.0,,305022000.0,95242000.0,11237000.0,106479000.0,13429000.0,93381000.0,0.76,0.74,122667000.0,126192000.0,249811000.0,,257176000.0,216080000.0,35791000.0,,26245000.0,812738000.0,,53391000.0,894514000.0,230921000.0,78241000.0,2069805000.0,87608000.0,39171000.0,91033000.0,292584000.0,8612000.0,37575000.0,,45745000.0,509803000.0,629576000.0,72057000.0,1541349000.0,2069805000.0,,13927000.0,-4139000.0,30650000.0,16100000.0,-5988000.0,-1478000.0,8776000.0,8588000.0,,110716000.0,,,,,91449000.0,9322000.0,566000.0,357000.0,-94461000.0,30663000.0,10950000.0,8007000.0,29023000.0,
2011-09-30,1208895000.0,597072000.0,611823000.0,139452000.0,,484133000.0,127690000.0,8674000.0,136364000.0,16118000.0,121352000.0,0.99,0.96,122969000.0,125980000.0,138255000.0,,287670000.0,215681000.0,47165000.0,,26233000.0,740659000.0,,61562000.0,1312480000.0,516176000.0,82521000.0,2713398000.0,105766000.0,38737000.0,95884000.0,394778000.0,10574000.0,125992000.0,,47217000.0,1148941000.0,657000000.0,25804000.0,1544109000.0,2713398000.0,,21033000.0,-10175000.0,43117000.0,11344000.0,-13471000.0,-7005000.0,2039000.0,7638000.0,,161821000.0,,,,,758243000.0,16002000.0,1666000.0,168000.0,-771846000.0,40182000.0,11698000.0,528163000.0,-82533000.0,
2011-12-30,1644065000.0,814484000.0,829581000.0,197007000.0,,673179000.0,156402000.0,11052000.0,167454000.0,18545000.0,150755000.0,1.23,1.2,122725000.0,126133000.0,154621000.0,,275201000.0,232063000.0,45075000.0,,19437000.0,733057000.0,,62724000.0,1297692000.0,476791000.0,82211000.0,2652475000.0,97956000.0,50045000.0,105066000.0,411323000.0,13113000.0,95594000.0,,45025000.0,1063573000.0,685639000.0,5140000.0,1569293000.0,2652475000.0,,28451000.0,-26305000.0,31874000.0,30139000.0,-30141000.0,-10519000.0,-4310000.0,18775000.0,,241629000.0,,,,,759737000.0,23278000.0,1666000.0,-1985000.0,-773565000.0,45869000.0,14762000.0,464167000.0,-66167000.0,
2012-03-30,502267000.0,243117000.0,259150000.0,60235000.0,,199302000.0,59848000.0,479000.0,60327000.0,10255000.0,50818000.0,0.41,0.4,124370000.0,127760000.0,209146000.0,,324663000.0,224656000.0,43829000.0,,27316000.0,833719000.0,,66462000.0,1379353000.0,502013000.0,90525000.0,2872072000.0,103119000.0,49555000.0,134165000.0,465953000.0,16025000.0,102940000.0,,48394000.0,1168516000.0,736457000.0,28821000.0,1687058000.0,2872072000.0,,7789000.0,146000.0,46425000.0,-5928000.0,-2211000.0,7972000.0,4205000.0,29569000.0,1450000.0,67658000.0,,,,,101392000.0,7644000.0,755000.0,-251000.0,-109540000.0,26682000.0,7580000.0,92912000.0,54525000.0,
2012-06-29,1019827000.0,492981000.0,526846000.0,124540000.0,,408077000.0,118769000.0,4849000.0,123618000.0,20381000.0,104510000.0,0.84,0.82,125366000.0,128293000.0,121937000.0,,317280000.0,227948000.0,44689000.0,,25471000.0,751441000.0,,73597000.0,1522485000.0,,98582000.0,2972962000.0,103497000.0,48076000.0,134322000.0,459656000.0,17377000.0,107570000.0,,,1250225000.0,784240000.0,-22375000.0,1706766000.0,2972962000.0,,15944000.0,381000.0,38589000.0,-594000.0,6638000.0,8904000.0,4148000.0,32117000.0,7054000.0,155094000.0,,,,,337676000.0,21308000.0,785000.0,-79000.0,-359469000.0,27162000.0,15254000.0,174903000.0,-32684000.0,
2012-09-28,1524590000.0,734877000.0,789713000.0,185721000.0,,607474000.0,182239000.0,8201000.0,190440000.0,33403000.0,157874000.0,1.26,1.23,125871000.0,128379000.0,141840000.0,,320904000.0,234301000.0,43037000.0,,24569000.0,778025000.0,,81653000.0,1551886000.0,,98942000.0,3021493000.0,107719000.0,61425000.0,127602000.0,485066000.0,6346000.0,99412000.0,,,1196440000.0,836903000.0,6692000.0,1808630000.0,3021493000.0,,23628000.0,646000.0,39496000.0,4650000.0,7996000.0,2844000.0,7828000.0,12390000.0,18842000.0,243894000.0,,,,,355484000.0,34126000.0,795000.0,-303000.0,-387962000.0,37142000.0,16673000.0,131309000.0,-12781000.0,
2012-12-28,2040113000.0,993936000.0,1046177000.0,256458000.0,,833609000.0,212568000.0,16856000.0,229424000.0,39708000.0,191060000.0,1.52,1.49,125566000.0,128387000.0,157771000.0,,323477000.0,240529000.0,-99944000.0,,33396000.0,815973000.0,,96890000.0,1815699000.0,,96123000.0,3469104000.0,124532000.0,63996000.0,138920000.0,468670000.0,7262000.0,148260000.0,,58322000.0,1555580000.0,868026000.0,22611000.0,1897455000.0,3469104000.0,,32660000.0,-1369000.0,24388000.0,8402000.0,5017000.0,7945000.0,25985000.0,16560000.0,,340700000.0,,,,,728114000.0,54071000.0,1170000.0,-978000.0,-764286000.0,59187000.0,25345000.0,426407000.0,3150000.0,
2013-03-29,556111000.0,269197000.0,286914000.0,73608000.0,,230457000.0,56457000.0,-2088000.0,54369000.0,5437000.0,49808000.0,0.2,0.19,255181000.0,260299000.0,143552000.0,,388850000.0,260596000.0,43198000.0,,39586000.0,889950000.0,,105603000.0,1837937000.0,,95535000.0,3565721000.0,120838000.0,63851000.0,187551000.0,556454000.0,10927000.0,136308000.0,,,1599853000.0,916158000.0,-3144000.0,1949793000.0,3565721000.0,,8818000.0,-11809000.0,61956000.0,20218000.0,-5027000.0,10867000.0,-6081000.0,51964000.0,7939000.0,37388000.0,,,,,65192000.0,14927000.0,0.0,0.0,-76405000.0,14437000.0,4784000.0,28240000.0,-14219000.0,
2013-06-28,1132404000.0,543089000.0,589315000.0,150163000.0,,467953000.0,121362000.0,3786000.0,123060000.0,19175000.0,104389000.0,0.41,0.4,256186000.0,260533000.0,129072000.0,,356264000.0,258709000.0,41865000.0,,40568000.0,846640000.0,,123795000.0,1911578000.0,,103137000.0,3633760000.0,108864000.0,74554000.0,189915000.0,581753000.0,13207000.0,141057000.0,,,1592471000.0,970657000.0,-4711000.0,2023873000.0,3633760000.0,,17253000.0,-13732000.0,24071000.0,14725000.0,1558000.0,12165000.0,-18936000.0,55994000.0,14163000.0,172043000.0,,,,,178953000.0,39431000.0,,-730000.0,-215128000.0,23954000.0,7616000.0,18403000.0,-28699000.0,
2013-09-27,1688906000.0,804538000.0,884368000.0,221785000.0,,699977000.0,184391000.0,2181000.0,186572000.0,28067000.0,158858000.0,0.62,0.61,257037000.0,261137000.0,115257000.0,,361556000.0,241509000.0,44578000.0,,45454000.0,828493000.0,,136155000.0,1938870000.0,,109979000.0,3635172000.0,105808000.0,78336000.0,174407000.0,569037000.0,16541000.0,135494000.0,,,1495019000.0,1025119000.0,23944000.0,2126819000.0,3635172000.0,,26158000.0,-13520000.0,28466000.0,-2645000.0,-4047000.0,22765000.0,-22467000.0,46891000.0,10646000.0,278408000.0,,,,,200401000.0,57646000.0,,-663000.0,-256408000.0,37667000.0,8803000.0,-62395000.0,-42514000.0,
2014-01-03,2288124000.0,1084302000.0,1203822000.0,299421000.0,,952085000.0,251737000.0,1127000.0,252864000.0,34698000.0,218855000.0,0.85,0.84,256648000.0,261206000.0,147227000.0,,337932000.0,254311000.0,-92865000.0,,35807000.0,837017000.0,,142975000.0,1989470000.0,,111979000.0,3700840000.0,112522000.0,85124000.0,159295000.0,576990000.0,20431000.0,136399000.0,,80982000.0,1466858000.0,1081695000.0,33194000.0,2220906000.0,3700840000.0,,36442000.0,-14963000.0,4070000.0,11351000.0,-2302000.0,11811000.0,-15834000.0,29394000.0,,414635000.0,,,,,258797000.0,70877000.0,,2762000.0,-324764000.0,47707000.0,407678000.0,-98419000.0,-10544000.0,
2014-04-04,604721000.0,277829000.0,326892000.0,76376000.0,,251181000.0,75711000.0,12764000.0,88475000.0,20350000.0,68624000.0,0.26,0.26,259789000.0,264784000.0,165226000.0,,397740000.0,266700000.0,40186000.0,,39514000.0,930871000.0,,149609000.0,1990457000.0,,123571000.0,3777583000.0,120148000.0,82126000.0,207497000.0,562972000.0,23127000.0,138962000.0,,,1424032000.0,1150304000.0,31802000.0,2342013000.0,3777583000.0,,10112000.0,-1454000.0,61875000.0,13395000.0,1661000.0,2224000.0,10487000.0,47077000.0,19123000.0,83395000.0,,,,,10961000.0,13574000.0,,2050000.0,-14142000.0,32465000.0,10211000.0,-51129000.0,17999000.0,
2014-07-04,1246920000.0,565457000.0,681463000.0,158183000.0,,508618000.0,172845000.0,14398000.0,187243000.0,41091000.0,146458000.0,0.56,0.55,261075000.0,265957000.0,278919000.0,,379811000.0,274371000.0,42157000.0,,41667000.0,1041704000.0,,155575000.0,1997783000.0,,118764000.0,3867239000.0,110066000.0,74431000.0,207193000.0,571592000.0,26973000.0,132772000.0,,,1416444000.0,1227944000.0,30849000.0,2439064000.0,3867239000.0,,21087000.0,-1700000.0,42563000.0,21335000.0,3708000.0,8001000.0,452000.0,49042000.0,10954000.0,214588000.0,,,,,25094000.0,28425000.0,,2684000.0,-33740000.0,39322000.0,13505000.0,-49690000.0,131692000.0,
2014-10-03,1831716000.0,833480000.0,998236000.0,237137000.0,,814302000.0,183934000.0,10464000.0,194398000.0,36371000.0,158290000.0,0.61,0.6,260398000.0,265053000.0,139477000.0,,358504000.0,278027000.0,64583000.0,,45659000.0,916041000.0,,153823000.0,2051560000.0,,126027000.0,3819374000.0,104758000.0,136374000.0,205714000.0,624268000.0,25274000.0,134177000.0,,,1455705000.0,1184228000.0,-29509000.0,2351865000.0,3819374000.0,,32125000.0,-1193000.0,12742000.0,27234000.0,4709000.0,12929000.0,-6745000.0,41861000.0,37603000.0,310464000.0,,,,,170863000.0,34952000.0,7007000.0,4532000.0,-202443000.0,53601000.0,14094000.0,-108530000.0,-7750000.0,
2015-01-02,2395546000.0,1104702000.0,1290844000.0,317992000.0,,1030021000.0,260823000.0,5192000.0,266015000.0,52127000.0,214118000.0,0.82,0.81,260103000.0,264456000.0,148000000.0,,362049000.0,278099000.0,95749000.0,,39407000.0,902616000.0,,157355000.0,2101169000.0,,118654000.0,3874348000.0,103851000.0,88983000.0,211589000.0,588299000.0,26309000.0,121071000.0,,95802000.0,1505496000.0,1210977000.0,-61328000.0,2357014000.0,3874348000.0,,43398000.0,-1650000.0,10882000.0,31778000.0,2321000.0,7101000.0,-7185000.0,45865000.0,,407083000.0,,,,,307945000.0,47312000.0,7633000.0,2448000.0,-344046000.0,56094000.0,14099000.0,-51524000.0,773000.0,
2015-04-03,582600000.0,275400000.0,307200000.0,87200000.0,,267700000.0,39500000.0,4700000.0,44200000.0,10200000.0,34100000.0,0.13,0.13,259400000.0,262400000.0,145700000.0,,383000000.0,276000000.0,47100000.0,,44800000.0,917000000.0,,155200000.0,2059400000.0,,119900000.0,3797700000.0,114000000.0,95700000.0,255400000.0,698300000.0,27000000.0,110800000.0,,90700000.0,1457100000.0,1234500000.0,-128400000.0,2339400000.0,3797700000.0,,12500000.0,-1300000.0,28900000.0,6400000.0,-4900000.0,8000000.0,11200000.0,49400000.0,3600000.0,107200000.0,,,,,36900000.0,10600000.0,,-800000.0,-35400000.0,14700000.0,700000.0,-65200000.0,-2300000.0,
2015-07-03,1168400000.0,557300000.0,611100000.0,171700000.0,,535600000.0,75500000.0,4500000.0,80000000.0,20200000.0,60000000.0,0.23,0.23,258900000.0,261900000.0,129000000.0,,355500000.0,280800000.0,48200000.0,,45600000.0,885100000.0,,161700000.0,2087400000.0,,120500000.0,3780200000.0,109600000.0,89400000.0,258100000.0,696600000.0,28500000.0,104300000.0,,96200000.0,1441000000.0,1210900000.0,-108600000.0,2338100000.0,3780200000.0,,24500000.0,-800000.0,-1300000.0,11800000.0,-3700000.0,8300000.0,6100000.0,49500000.0,-14500000.0,204000000.0,,,,,59100000.0,26500000.0,,-400000.0,-67700000.0,16000000.0,900000.0,-148200000.0,-19000000.0,
