Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1871900000.0,,1867400000.0,,,1165800000.0,701600000.0,-12700000.0,688900000.0,255300000.0,433600000.0,1.69,1.65,255900000.0,262300000.0,743300000.0,,,,64300000.0,,,,,512800000.0,665700000.0,,,3210300000.0,,,,,,,,,328100000.0,,,,3210300000.0,,89100000.0,-35700000.0,-69300000.0,,,,,,,535600000.0,62300000.0,,,7100000.0,,133900000.0,,0.0,-166700000.0,,32000000.0,-244700000.0,124200000.0,
2010-03-31,557100000.0,,556200000.0,,,317500000.0,238700000.0,5300000.0,244000000.0,91000000.0,153000000.0,0.59,0.57,258200000.0,266200000.0,764100000.0,,,,,,,,,518900000.0,665700000.0,,,3392400000.0,,,,,,,,,385500000.0,,,,3392400000.0,,20100000.0,,,,,,,,,256700000.0,11900000.0,,,,,25000000.0,,1400000.0,-174400000.0,,11700000.0,-61500000.0,20800000.0,
2010-06-30,1135400000.0,,1133600000.0,,,641800000.0,491800000.0,9200000.0,501000000.0,189500000.0,311500000.0,1.2,1.17,258200000.0,266000000.0,735100000.0,,,,,,,,,543900000.0,665700000.0,,,3403000000.0,,,,,,,,,443700000.0,,83300000.0,,3403000000.0,,43100000.0,,,,,,,,,452200000.0,27600000.0,,,,,68000000.0,,4900000.0,-223000000.0,,20500000.0,-237400000.0,-8200000.0,
2010-09-30,1722400000.0,,1719700000.0,,,966000000.0,753700000.0,18100000.0,771800000.0,291200000.0,480600000.0,1.86,1.81,257300000.0,264600000.0,810400000.0,,,,,,,,,557400000.0,665700000.0,,,3563300000.0,,,,,,,,,498900000.0,,117200000.0,,3563300000.0,,66300000.0,,,,,,,,,711500000.0,44000000.0,,,,,101400000.0,,5600000.0,-265100000.0,,25100000.0,-379300000.0,67100000.0,
2010-12-31,2370700000.0,,2367200000.0,,,1330700000.0,1036500000.0,33500000.0,1070000000.0,397800000.0,672200000.0,2.6,2.53,257200000.0,265100000.0,813100000.0,,,,60700000.0,,,,,560300000.0,665700000.0,,,3642000000.0,,,,,,,,,345500000.0,,139100000.0,3296500000.0,3642000000.0,,89500000.0,-23200000.0,62500000.0,,,,,,,732800000.0,55700000.0,,,11300000.0,,118000000.0,,,-276900000.0,,50700000.0,-386100000.0,69800000.0,
2011-03-31,683200000.0,,682400000.0,,,370900000.0,311500000.0,3900000.0,315400000.0,120800000.0,194600000.0,0.75,0.72,258700000.0,268500000.0,1064900000.0,,,,,,,,,551800000.0,665700000.0,,,3886000000.0,,,,,,,,,430100000.0,,154400000.0,3455900000.0,3886000000.0,,21400000.0,,,,,,,,,336000000.0,20800000.0,,,,,11700000.0,,700000.0,-17000000.0,,13900000.0,-67200000.0,251800000.0,
2011-06-30,1397700000.0,,1396100000.0,,,758000000.0,638100000.0,,647600000.0,,399300000.0,1.54,1.49,258300000.0,267600000.0,1022700000.0,,,,,,,,,555700000.0,665700000.0,,,3882400000.0,,,,,,,,,469600000.0,,156900000.0,3412800000.0,3882400000.0,,,,,,,,,,,610500000.0,35000000.0,,,,,33000000.0,,3400000.0,-66400000.0,,18200000.0,-334500000.0,209600000.0,
2011-09-30,2077900000.0,,2075500000.0,,,1142200000.0,933300000.0,,944100000.0,,584800000.0,2.27,2.2,256700000.0,265000000.0,1001400000.0,,,,,,,,,555100000.0,665700000.0,,,3839600000.0,,,,,,,,,570000000.0,,95100000.0,3269600000.0,3839600000.0,,,,,,,,,,,940500000.0,52500000.0,,,,,49500000.0,,5900000.0,-131900000.0,,26900000.0,-620300000.0,188300000.0,
2011-12-31,,,2747100000.0,,,1520200000.0,1226900000.0,,1250600000.0,,773200000.0,3.01,2.92,255600000.0,263300000.0,897900000.0,,,,80600000.0,,,,,567400000.0,665700000.0,,,3770300000.0,,,,,,,,,349600000.0,,102800000.0,3420700000.0,3770300000.0,,,2900000.0,-2800000.0,,,,,,,948400000.0,65000000.0,,,9400000.0,,82300000.0,,,-165000000.0,,35300000.0,-698600000.0,84800000.0,430100000.0
2012-03-31,,,728700000.0,,,412500000.0,316200000.0,,321300000.0,,197500000.0,0.78,0.75,253100000.0,261000000.0,1103500000.0,,,,,,,,,564700000.0,665700000.0,,,4076900000.0,,,,,,,,,446800000.0,,139100000.0,3630100000.0,4076900000.0,,,,,,,,,,,265800000.0,17100000.0,,,,,18600000.0,,4400000.0,-9300000.0,,13900000.0,-50900000.0,205600000.0,
