Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,24680000000.0,,,,,,,,,1089000000.0,,6.38,6.33,563200000.0,568600000.0,,,,,672000000.0,,,,,,3365000000.0,,,109560000000.0,,,,,,,,,82145000000.0,16315000000.0,1219000000.0,,109560000000.0,,,,,,,,,,,4231000000.0,9647000000.0,,2805000000.0,349000000.0,,,,326000000.0,-899000000.0,,8000000.0,-3442000000.0,-95000000.0,
2010-03-31,6119000000.0,,,,,,,,,210000000.0,,1.26,1.25,508400000.0,515100000.0,,,,,560000000.0,,,,,,3365000000.0,,,108696000000.0,,,,,,,,,82025000000.0,16792000000.0,1271000000.0,,108696000000.0,,,,,,,,,,,531000000.0,2175000000.0,,1646000000.0,104000000.0,,,,75000000.0,952000000.0,,4000000.0,-1486000000.0,-4000000.0,
2010-06-30,12298000000.0,,,,,,,,,421000000.0,,2.63,2.6,496300000.0,502600000.0,,,,,368000000.0,,,,,,3365000000.0,,,107023000000.0,,,,,,,,,80737000000.0,17285000000.0,1690000000.0,,107023000000.0,,,,,,,,,,,1051000000.0,3940000000.0,,2781000000.0,227000000.0,,,,145000000.0,2198000000.0,,5000000.0,-3233000000.0,11000000.0,
2010-09-30,18780000000.0,,,,,,,,,787000000.0,,4.73,4.68,486100000.0,492300000.0,,,,,,,,,,,3365000000.0,,,108154000000.0,,,,,,,,,80859000000.0,18118000000.0,2372000000.0,,108154000000.0,,,,,,,,,,,2392000000.0,5167000000.0,,3281000000.0,373000000.0,,,,220000000.0,1645000000.0,,6000000.0,-3995000000.0,43000000.0,
2010-12-31,25112000000.0,,,,,,,,,1090000000.0,,6.69,6.62,476500000.0,482500000.0,,,,,493000000.0,,,,,,3365000000.0,,,105181000000.0,,,,,,,,,79706000000.0,18847000000.0,1255000000.0,,105181000000.0,,,156000000.0,,,,,,,,3054000000.0,6785000000.0,,3713000000.0,514000000.0,,,,318000000.0,2109000000.0,,8000000.0,-5221000000.0,-55000000.0,
2011-03-31,6278000000.0,,,,,,,,,130000000.0,,1.94,1.92,428200000.0,434400000.0,,,,,357000000.0,,,,,,3365000000.0,,,105252000000.0,,,,,,,,,80009000000.0,19538000000.0,1272000000.0,,105252000000.0,,,,,,,,,,,633000000.0,1824000000.0,,490000000.0,107000000.0,,,,69000000.0,530000000.0,,7000000.0,-1128000000.0,39000000.0,
2011-06-30,12666000000.0,,,,,,449000000.0,,-727000000.0,-363000000.0,,1.11,1.1,423300000.0,429100000.0,,,,,128000000.0,,,,,,3365000000.0,465000000.0,,106468000000.0,,,,,,,,,81460000000.0,18966000000.0,1711000000.0,,106468000000.0,,,,,,,,,,,901000000.0,3547000000.0,,736000000.0,629000000.0,,,,143000000.0,655000000.0,,11000000.0,-1487000000.0,73000000.0,
2011-09-30,19073000000.0,,,,,,781000000.0,,574000000.0,-234000000.0,,1.9,1.88,420400000.0,425600000.0,,,,,,,,,,,3365000000.0,449000000.0,,106933000000.0,,,,,,,,,81761000000.0,19127000000.0,2032000000.0,,106933000000.0,,,,,,,,,,,1818000000.0,6224000000.0,,842000000.0,758000000.0,,,,248000000.0,237000000.0,,17000000.0,-2022000000.0,31000000.0,277000000.0
2011-12-31,25446000000.0,,,,,,1390000000.0,,1352000000.0,-74000000.0,,3.4,3.36,415800000.0,420500000.0,,,,,7000000.0,,,,,,3365000000.0,433000000.0,,104602000000.0,,,,,,,,,80125000000.0,19579000000.0,2005000000.0,,104602000000.0,,,65000000.0,,,,,,,,2169000000.0,8704000000.0,,1161000000.0,889000000.0,,,,371000000.0,1152000000.0,,18000000.0,-3306000000.0,14000000.0,218000000.0
2012-03-31,6392000000.0,,,,,,801000000.0,,1077000000.0,271000000.0,,2.04,2.02,392000000.0,395800000.0,,,,,,,,,,,3365000000.0,417000000.0,,104866000000.0,,,,,,,,,79994000000.0,20223000000.0,2039000000.0,,104866000000.0,,,,,,,,,,,814000000.0,2604000000.0,,223000000.0,114000000.0,,,,92000000.0,-295000000.0,,12000000.0,-478000000.0,44000000.0,20000000.0
2012-06-30,12751000000.0,,,,,,1296000000.0,,1685000000.0,380000000.0,,3.32,3.29,390000000.0,393500000.0,,,,,,,,,,,3365000000.0,405000000.0,,104330000000.0,,,,,,,,,79281000000.0,20541000000.0,2130000000.0,,104330000000.0,,,,,,,,,,,1265000000.0,5200000000.0,,542000000.0,221000000.0,,,,133000000.0,-81000000.0,,19000000.0,-1169000000.0,,296000000.0
2012-09-30,19263000000.0,,,,,,2163000000.0,,2855000000.0,686000000.0,,5.55,5.5,388000000.0,391500000.0,,,,,,,,,,,3365000000.0,393000000.0,,105445000000.0,,,,,,,,,79540000000.0,21226000000.0,2536000000.0,,105445000000.0,,,,,,,,,,,2766000000.0,7677000000.0,,724000000.0,292000000.0,,,,229000000.0,-1158000000.0,,32000000.0,-1606000000.0,,310000000.0
2012-12-31,25740000000.0,,,,,,2441000000.0,,3166000000.0,693000000.0,,6.35,6.3,386200000.0,389800000.0,,,,,,,,,,,3365000000.0,381000000.0,,104938000000.0,,,,,,,,,79533000000.0,21352000000.0,2236000000.0,,104938000000.0,,,239000000.0,,,,,,,,3230000000.0,10447000000.0,,1087000000.0,534000000.0,,,,323000000.0,-972000000.0,,38000000.0,-2146000000.0,,188000000.0
2013-03-31,6328000000.0,,,,,,887000000.0,,1220000000.0,324000000.0,,2.36,2.33,377700000.0,381900000.0,,,,,,,,,,,3365000000.0,370000000.0,,103897000000.0,,,,,,,,,78301000000.0,22072000000.0,1926000000.0,,103897000000.0,,,,,,,,,,,530000000.0,2339000000.0,,234000000.0,95000000.0,,,,100000000.0,303000000.0,,21000000.0,-914000000.0,,27000000.0
2013-06-30,13002000000.0,,,,,,1703000000.0,,2397000000.0,576000000.0,,4.8,4.75,376800000.0,380800000.0,,,,,257000000.0,,,,,,3365000000.0,358000000.0,,101900000000.0,,,,,,,,,77010000000.0,22806000000.0,720000000.0,,101900000000.0,,,,,,,,,,,1252000000.0,4488000000.0,3901000000.0,572000000.0,209000000.0,,,,157000000.0,92000000.0,,29000000.0,-1357000000.0,,495000000.0
2013-09-30,19454000000.0,,,,,,2586000000.0,,3574000000.0,889000000.0,,7.12,7.05,374100000.0,378100000.0,,,,,321000000.0,,,,,,3365000000.0,347000000.0,,102685000000.0,,,,,,,,,77874000000.0,23485000000.0,705000000.0,,102685000000.0,,,,,,,,,,,2889000000.0,6492000000.0,5917000000.0,1160000000.0,312000000.0,,,,254000000.0,-1107000000.0,,43000000.0,-1814000000.0,,724000000.0
2013-12-31,26191000000.0,,,,,,3567000000.0,,4945000000.0,1272000000.0,,9.84,9.74,370300000.0,374300000.0,,,,,303000000.0,,,,,,3634000000.0,351000000.0,,103812000000.0,,,,,,,,,79016000000.0,24291000000.0,810000000.0,,103812000000.0,,,177000000.0,,,,,,,,3816000000.0,9467000000.0,7904000000.0,1635000000.0,446000000.0,997000000.0,,,373000000.0,-910000000.0,,51000000.0,-2939000000.0,,1057000000.0
2014-03-31,6708000000.0,,,,,,1052000000.0,,1470000000.0,418000000.0,,2.98,2.95,350900000.0,354600000.0,,,,,,,,,,,3624000000.0,339000000.0,,104134000000.0,,,,,,,,,78747000000.0,25167000000.0,1127000000.0,,104134000000.0,,,,,,,,,,,703000000.0,2715000000.0,2312000000.0,406000000.0,113000000.0,12000000.0,,,60000000.0,75000000.0,,13000000.0,-810000000.0,,93000000.0
