Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-26,,,587687000.0,,417134000.0,,136742000.0,,136183000.0,50388000.0,85795000.0,2.37,2.31,36333000.0,37339000.0,181079000.0,,,702405000.0,17569000.0,,,957219000.0,,372542000.0,10258000.0,,5391000.0,1363243000.0,289538000.0,110397000.0,,451880000.0,,,,27355000.0,546858000.0,836767000.0,,816385000.0,1363243000.0,,6226000.0,-6402000.0,,-101156000.0,,,16330000.0,,2740000.0,70981000.0,,,,,,36927000.0,,,-52550000.0,,2597000.0,-10203000.0,8228000.0,8260000.0
2010-09-25,,,866826000.0,,627913000.0,,187600000.0,,187003000.0,69191000.0,117812000.0,1.62,1.58,72600.0,74932.0,170920000.0,,,758683000.0,15584000.0,,,1011670000.0,,385223000.0,10258000.0,,7697000.0,1428058000.0,348610000.0,104164000.0,,483159000.0,,,,29838000.0,581715000.0,863698000.0,,846343000.0,1428058000.0,,8754000.0,206000.0,,-157434000.0,,,75402000.0,,2905000.0,94517000.0,,,,,,67086000.0,,,-82707000.0,,6993000.0,-13741000.0,-1931000.0,76381000.0
2012-06-30,,,784261000.0,,505852000.0,,234237000.0,,233623000.0,86674000.0,146949000.0,2.05,2.0,71814000.0,73491000.0,179100000.0,,,946934000.0,7084000.0,,,1198249000.0,,501029000.0,10258000.0,,12876000.0,1722412000.0,314757000.0,126445000.0,,534722000.0,,,,36464000.0,655273000.0,1270497000.0,,1067139000.0,1722412000.0,,9309000.0,-5887000.0,,116115000.0,,,48348000.0,,,152170000.0,,,,,,65566000.0,,,-52496000.0,,16497000.0,-97539000.0,2135000.0,22616000.0
2012-09-29,,,1141432000.0,,763036000.0,,312016000.0,,311161000.0,114191000.0,196970000.0,2.76,2.69,71383000.0,73098000.0,70185000.0,,,1020140000.0,12307000.0,,,1161924000.0,,528999000.0,10258000.0,,15122000.0,1716303000.0,362059000.0,125884000.0,,542033000.0,,,,38910000.0,662090000.0,1306328000.0,,1054213000.0,1716303000.0,,14051000.0,-14789000.0,,189321000.0,,,95650000.0,,,155841000.0,,,,,,111176000.0,,,-97385000.0,,19738000.0,-165236000.0,-106780000.0,95577000.0
2012-12-29,,,1566054000.0,,1040287000.0,,436792000.0,,435737000.0,159280000.0,276457000.0,3.89,3.8,71092000.0,72757000.0,138630000.0,,,908116000.0,21621000.0,,,1130052000.0,,549998000.0,10258000.0,,16500000.0,1706808000.0,320392000.0,148316000.0,,560505000.0,,49423000.0,,42374000.0,681834000.0,1371733000.0,,1024974000.0,1706808000.0,,17641000.0,-26581000.0,,77297000.0,,,53983000.0,,,378302000.0,,,,,,152924000.0,,,-139075000.0,,25836000.0,-277562000.0,-38335000.0,128306000.0
2013-03-30,,,352091000.0,,261469000.0,,67923000.0,,67744000.0,23738000.0,44006000.0,0.63,0.62,69448000.0,70805000.0,57022000.0,,,1142900000.0,7214000.0,,,1267391000.0,,583294000.0,10258000.0,,16689000.0,1881328000.0,476043000.0,135192000.0,,624130000.0,,0.0,,44534000.0,851102000.0,1401810000.0,,1030226000.0,1881328000.0,,3397000.0,10711000.0,,234784000.0,,,155651000.0,,,-95299000.0,,,,,,49335000.0,,,-49150000.0,,11993000.0,62841000.0,-81608000.0,41650000.0
2013-06-29,,,858231000.0,,545410000.0,,265902000.0,,265167000.0,97581000.0,167586000.0,2.41,2.37,69672000.0,70790000.0,55698000.0,,,1082861000.0,14446000.0,,,1205681000.0,,611476000.0,10258000.0,,16363000.0,1846424000.0,360811000.0,138417000.0,,579532000.0,,0.0,,45447000.0,702677000.0,1507206000.0,,1143747000.0,1846424000.0,,6934000.0,4529000.0,,174745000.0,,,40419000.0,,,62823000.0,,,,,,98626000.0,,,-89991000.0,,24804000.0,-55764000.0,-82932000.0,59003000.0
2013-09-28,,,1273897000.0,,833269000.0,,367572000.0,,366487000.0,134134000.0,232353000.0,1.67,1.64,139524000.0,141726000.0,45988000.0,,,1142013000.0,19823000.0,,,1253618000.0,,634396000.0,10258000.0,,15751000.0,1919306000.0,403521000.0,136234000.0,,570515000.0,,0.0,,46152000.0,734795000.0,1553814000.0,,1184511000.0,1919306000.0,,10349000.0,-3485000.0,,233897000.0,,,83129000.0,,,98610000.0,,,,,,156791000.0,,,-148060000.0,,31626000.0,-43192000.0,-92642000.0,148519000.0
2015-03-28,,,444605000.0,,321476000.0,,92847000.0,,91981000.0,33941000.0,58040000.0,0.43,0.42,136347000.0,137735000.0,57133000.0,,,1370965000.0,33850000.0,,,1526915000.0,,749752000.0,10258000.0,,19550000.0,2322010000.0,585551000.0,180829000.0,,804988000.0,,,,52437000.0,1007132000.0,1954519000.0,,1314878000.0,2322010000.0,,4999000.0,359000.0,,255515000.0,,,214728000.0,,,36313000.0,,,,,,48767000.0,,,-48502000.0,,8181000.0,18188000.0,5999000.0,8979000.0
2015-06-27,,,1069925000.0,,671318000.0,,338012000.0,,336314000.0,124943000.0,211371000.0,1.55,1.54,136233000.0,137567000.0,56317000.0,,,1293146000.0,38005000.0,,,1449507000.0,,768903000.0,10258000.0,,19627000.0,2271270000.0,452669000.0,185631000.0,,745601000.0,,,,52124000.0,887823000.0,2080627000.0,,1383447000.0,2271270000.0,,9835000.0,-11236000.0,,177696000.0,,,81846000.0,,,233415000.0,,,,,,97014000.0,,,-96713000.0,,12900000.0,-131519000.0,5183000.0,57367000.0
