Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,13195300000.0,,,,2708600000.0,,841600000.0,,,71300000.0,451300000.0,1.41,1.37,,,876700000.0,,,1193200000.0,,,637200000.0,4827300000.0,,1912800000.0,6606000000.0,5042800000.0,1602100000.0,19991000000.0,1079000000.0,,,3978200000.0,,,,1699700000.0,12785300000.0,4837900000.0,-434300000.0,7101800000.0,19991000000.0,,68300000.0,-32000000.0,,-430800000.0,,-271700000.0,28100000.0,,-530500000.0,1751500000.0,,,,,0.0,204200000.0,,700000.0,-182700000.0,,700000.0,-1208100000.0,326500000.0,71500000.0
2010-03-31,2953400000.0,,,,646600000.0,,133500000.0,,,54000000.0,1400000.0,,,322700000.0,336600000.0,599100000.0,,,1364000000.0,,,684000000.0,4820000000.0,,1855800000.0,6544000000.0,4987300000.0,1509600000.0,19716700000.0,1193900000.0,,,4206400000.0,,,,1663600000.0,12565700000.0,4816900000.0,-500800000.0,7017400000.0,19716700000.0,,19400000.0,,,,,,,,,-52400000.0,,,,,3300000.0,34300000.0,,,-35900000.0,,,-183200000.0,-277600000.0,
2010-09-30,10367400000.0,,,,1975800000.0,,933900000.0,,,189400000.0,430100000.0,1.33,1.27,324700000.0,339000000.0,810700000.0,12000000.0,,1539000000.0,,,666500000.0,5514900000.0,,1786000000.0,6560500000.0,4916100000.0,1457800000.0,20235300000.0,1401300000.0,,,4338100000.0,,,,1645900000.0,12541800000.0,5200300000.0,-393700000.0,7573800000.0,20235300000.0,,46500000.0,,,,,,,,,582500000.0,,,,,5500000.0,117300000.0,,,-110600000.0,,,-490700000.0,-66000000.0,
2010-12-31,14079100000.0,,,244000000.0,2673100000.0,,1247500000.0,,,224800000.0,642200000.0,1.98,1.89,324700000.0,339800000.0,1014300000.0,15500000.0,,1400800000.0,-318600000.0,,610200000.0,5370700000.0,,1776500000.0,6560200000.0,4872900000.0,1410600000.0,19990900000.0,1318600000.0,,,4224900000.0,,,,1601700000.0,11915100000.0,5389400000.0,-325000000.0,7964300000.0,19990900000.0,,46900000.0,81000000.0,,219000000.0,,-169700000.0,251500000.0,,-685600000.0,756300000.0,,,,,14000000.0,179500000.0,,,-179000000.0,,-4200000.0,-403700000.0,137600000.0,117400000.0
2011-03-31,3138000000.0,,,,656300000.0,,231900000.0,,,41500000.0,-77600000.0,-0.23,-0.22,331100000.0,348500000.0,918100000.0,14600000.0,,1578300000.0,,,612500000.0,6355900000.0,,1661900000.0,6236200000.0,4465100000.0,1405400000.0,20124500000.0,1382900000.0,,,4346600000.0,,,,1573600000.0,11905400000.0,5288700000.0,-133900000.0,8108500000.0,20124500000.0,,9700000.0,,,,,,,,,-41700000.0,,,,,2500000.0,40800000.0,,,-39900000.0,,,600000.0,-96200000.0,
2011-12-31,14782000000.0,10493600000.0,,257300000.0,2781200000.0,,860300000.0,,613300000.0,187200000.0,343200000.0,1.06,1.01,324800000.0,339300000.0,1160700000.0,,,1282000000.0,-144300000.0,,593200000.0,5182600000.0,,1640600000.0,6105100000.0,4337100000.0,1488800000.0,18754200000.0,1225200000.0,1607800000.0,,4124500000.0,,,,1494500000.0,11738500000.0,5547800000.0,-553600000.0,6924300000.0,18754200000.0,402700000.0,42600000.0,-74600000.0,,14300000.0,,55000000.0,-29000000.0,,-121700000.0,1230200000.0,,,,,1900000.0,242900000.0,,0.0,163100000.0,,24600000.0,-1246400000.0,146400000.0,189700000.0
2012-03-31,3150700000.0,2249400000.0,,,689600000.0,,212000000.0,,142400000.0,38000000.0,95600000.0,0.32,0.31,299200000.0,312400000.0,1089500000.0,,,1432600000.0,,,615200000.0,5367800000.0,,1640100000.0,6147200000.0,4309300000.0,1446100000.0,18910500000.0,1344200000.0,1548900000.0,,4100400000.0,,,,1454300000.0,11611400000.0,5643200000.0,-388600000.0,7207300000.0,18910500000.0,98000000.0,6900000.0,,,,,,,,,82200000.0,,,,,0.0,52900000.0,,,-49700000.0,,,-41900000.0,-71200000.0,
2012-06-30,6972000000.0,4893400000.0,,,1393200000.0,,689900000.0,,562300000.0,92800000.0,461400000.0,1.52,1.47,309200000.0,314400000.0,903400000.0,,,1475000000.0,,,564800000.0,5371100000.0,,1609100000.0,6051100000.0,4258700000.0,1448700000.0,18738700000.0,1489800000.0,1508800000.0,,3909200000.0,,,,1447000000.0,11352000000.0,5959400000.0,-601900000.0,7295600000.0,18738700000.0,193100000.0,19300000.0,,,,,,,,,305600000.0,,,,,0.0,113800000.0,,,-65800000.0,,,-480300000.0,-257300000.0,
2012-09-30,10564700000.0,7347700000.0,,,2083800000.0,,1137700000.0,,966800000.0,157900000.0,783000000.0,2.56,2.5,307700000.0,312900000.0,929600000.0,,,1462100000.0,,,517000000.0,5229600000.0,,1618600000.0,6112500000.0,4230900000.0,1468700000.0,18660300000.0,1300500000.0,1468800000.0,,4326100000.0,,,,1425400000.0,11130300000.0,6232300000.0,-431700000.0,7445800000.0,18660300000.0,285400000.0,34700000.0,,,,,,,,,735500000.0,,,,,0.0,170900000.0,,,-122100000.0,,,-837400000.0,-231100000.0,
2012-12-31,14034900000.0,9758200000.0,,273600000.0,2776000000.0,,1505200000.0,,1276700000.0,227000000.0,1018600000.0,3.35,3.28,303900000.0,310600000.0,882100000.0,,,1308800000.0,-171900000.0,,284700000.0,4942700000.0,,1652600000.0,6138900000.0,4200900000.0,1557800000.0,18492900000.0,1230200000.0,1460600000.0,,4161300000.0,,,,1417000000.0,11263600000.0,6358700000.0,-521000000.0,7147800000.0,18492900000.0,375500000.0,49800000.0,73900000.0,,29500000.0,,61600000.0,-2500000.0,,-267000000.0,1180900000.0,,,,,0.0,262600000.0,,,-146400000.0,,19600000.0,-1303900000.0,-278600000.0,251300000.0
