Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,10427000000.0,5428000000.0,4999000000.0,1476000000.0,1320000000.0,,1991000000.0,,2017000000.0,547000000.0,1470000000.0,1.16,1.15,1260000000.0,1269000000.0,1182000000.0,,1277000000.0,1202000000.0,546000000.0,,,6114000000.0,,3158000000.0,926000000.0,124000000.0,51000000.0,12119000000.0,503000000.0,841000000.0,,1587000000.0,,67000000.0,,,2397000000.0,22066000000.0,-621000000.0,9722000000.0,12119000000.0,,186000000.0,146000000.0,-364000000.0,177000000.0,,,,,,2643000000.0,9000000.0,,64000000.0,,155000000.0,753000000.0,,,-1096000000.0,,1000000.0,-1411000000.0,136000000.0,
2010-03-31,3205000000.0,1516000000.0,1689000000.0,370000000.0,359000000.0,,950000000.0,,957000000.0,299000000.0,658000000.0,0.53,0.52,1233000000.0,1246000000.0,1217000000.0,,1526000000.0,1276000000.0,556000000.0,,,6323000000.0,,3162000000.0,926000000.0,111000000.0,41000000.0,12370000000.0,556000000.0,756000000.0,,1719000000.0,,68000000.0,,,2565000000.0,22573000000.0,-627000000.0,9805000000.0,12370000000.0,,47000000.0,-11000000.0,-251000000.0,-74000000.0,,,,,,710000000.0,2000000.0,,1000000.0,,0.0,219000000.0,,,-51000000.0,,,-624000000.0,35000000.0,
2010-09-30,10441000000.0,4819000000.0,5622000000.0,1178000000.0,1129000000.0,,3284000000.0,,3303000000.0,1017000000.0,2286000000.0,1.87,1.85,1208.0,1221.0,1093000000.0,,1754000000.0,1424000000.0,601000000.0,,,6468000000.0,,3456000000.0,926000000.0,86000000.0,47000000.0,12649000000.0,623000000.0,965000000.0,,1838000000.0,,82000000.0,,,2687000000.0,23907000000.0,-644000000.0,9962000000.0,12649000000.0,,143000000.0,-45000000.0,-468000000.0,-213000000.0,,,,,,2590000000.0,6000000.0,,90000000.0,,59000000.0,898000000.0,,,-509000000.0,,3000000.0,-2170000000.0,-89000000.0,
2010-12-31,13966000000.0,6474000000.0,7492000000.0,1570000000.0,1519000000.0,,4514000000.0,,4551000000.0,1323000000.0,3228000000.0,2.66,2.62,1199000000.0,1213000000.0,1319000000.0,,1518000000.0,1520000000.0,1611000000.0,,,7060000000.0,,3680000000.0,924000000.0,76000000.0,45000000.0,13401000000.0,621000000.0,622000000.0,,1981000000.0,,86000000.0,,,2964000000.0,24695000000.0,-701000000.0,10437000000.0,13401000000.0,,190000000.0,-188000000.0,-231000000.0,-304000000.0,,,,,,3820000000.0,8000000.0,,147000000.0,,199000000.0,1199000000.0,,,-1057000000.0,,13000000.0,-2626000000.0,137000000.0,1470000000.0
2011-03-31,3392000000.0,1664000000.0,1728000000.0,422000000.0,396000000.0,,908000000.0,,918000000.0,252000000.0,666000000.0,0.56,0.55,1167.0,1194.0,1343000000.0,,1568000000.0,1678000000.0,771000000.0,,,7044000000.0,,3657000000.0,924000000.0,69000000.0,47000000.0,13310000000.0,605000000.0,593000000.0,,1793000000.0,,82000000.0,,,2736000000.0,25206000000.0,-702000000.0,10574000000.0,13310000000.0,,57000000.0,31000000.0,-44000000.0,-158000000.0,,,,,,516000000.0,1000000.0,,19000000.0,,,194000000.0,,,63000000.0,,19000000.0,-555000000.0,24000000.0,
2011-12-31,13735000000.0,6963000000.0,6772000000.0,1715000000.0,1638000000.0,,2992000000.0,,2955000000.0,719000000.0,2236000000.0,1.91,1.88,1151000000.0,1171000000.0,992000000.0,,1545000000.0,1788000000.0,888000000.0,,,7828000000.0,,4428000000.0,4452000000.0,2900000000.0,57000000.0,20497000000.0,625000000.0,795000000.0,,3499000000.0,,607000000.0,,,9545000000.0,26278000000.0,-776000000.0,10952000000.0,20497000000.0,,269000000.0,-119000000.0,-112000000.0,17000000.0,,,,,,3256000000.0,6000000.0,,157000000.0,,5425000000.0,816000000.0,,,-6172000000.0,,31000000.0,2589000000.0,-327000000.0,902000000.0
2012-03-31,3121000000.0,1590000000.0,1531000000.0,509000000.0,462000000.0,,397000000.0,,362000000.0,97000000.0,265000000.0,0.23,0.22,1143000000.0,1165000000.0,1193000000.0,,1478000000.0,1853000000.0,1192000000.0,,,7591000000.0,,4278000000.0,4452000000.0,2815000000.0,94000000.0,20009000000.0,589000000.0,754000000.0,,2909000000.0,,622000000.0,,,8938000000.0,26345000000.0,-742000000.0,11071000000.0,20009000000.0,,69000000.0,-4000000.0,-63000000.0,91000000.0,,,,,,449000000.0,,,,,,103000000.0,,,270000000.0,,18000000.0,-518000000.0,201000000.0,
2012-06-30,6456000000.0,3274000000.0,3182000000.0,989000000.0,918000000.0,,995000000.0,,937000000.0,226000000.0,711000000.0,0.61,0.6,1142000000.0,1159000000.0,1192000000.0,,1629000000.0,1885000000.0,1155000000.0,,,7353000000.0,,4174000000.0,4452000000.0,2729000000.0,93000000.0,19521000000.0,555000000.0,711000000.0,,3821000000.0,,596000000.0,,,8363000000.0,26592000000.0,-741000000.0,11158000000.0,19521000000.0,,133000000.0,17000000.0,88000000.0,123000000.0,,,,,,1124000000.0,,,,,,249000000.0,,,591000000.0,,23000000.0,-1515000000.0,200000000.0,
2012-09-30,9846000000.0,4924000000.0,4922000000.0,1452000000.0,1372000000.0,,1834000000.0,,1780000000.0,285000000.0,1495000000.0,1.29,1.27,1138000000.0,1153000000.0,1210000000.0,,1623000000.0,1848000000.0,1043000000.0,,,8584000000.0,,4055000000.0,4452000000.0,2643000000.0,161000000.0,20514000000.0,501000000.0,766000000.0,,3425000000.0,,596000000.0,,,9111000000.0,27179000000.0,-617000000.0,11403000000.0,20514000000.0,,199000000.0,136000000.0,70000000.0,86000000.0,,,,,,2326000000.0,,,,,0.0,399000000.0,,,-850000000.0,,26000000.0,-1258000000.0,218000000.0,
2012-12-31,12825000000.0,6457000000.0,6368000000.0,1877000000.0,1804000000.0,,1973000000.0,,1935000000.0,176000000.0,1759000000.0,1.53,1.51,1132000000.0,1146000000.0,1416000000.0,,1230000000.0,1757000000.0,750000000.0,,,8230000000.0,,3912000000.0,4362000000.0,2558000000.0,254000000.0,20021000000.0,444000000.0,881000000.0,,3430000000.0,,572000000.0,,,9060000000.0,27205000000.0,-699000000.0,10961000000.0,20021000000.0,,263000000.0,65000000.0,-311000000.0,-5000000.0,,,,,,3414000000.0,,,,,0.0,495000000.0,,,-1039000000.0,,38000000.0,-1951000000.0,424000000.0,171000000.0
2013-03-31,2885000000.0,1511000000.0,1374000000.0,419000000.0,459000000.0,,395000000.0,,374000000.0,12000000.0,362000000.0,0.32,0.32,1107000000.0,1123000000.0,1393000000.0,,1333000000.0,1700000000.0,1051000000.0,,,8205000000.0,,3739000000.0,4362000000.0,2473000000.0,223000000.0,19701000000.0,440000000.0,694000000.0,,3110000000.0,,598000000.0,,,8749000000.0,27330000000.0,-650000000.0,10952000000.0,19701000000.0,,75000000.0,15000000.0,112000000.0,-57000000.0,,,,,,360000000.0,,,,,,84000000.0,,,22000000.0,,52000000.0,-405000000.0,-23000000.0,
2013-06-30,5932000000.0,2988000000.0,2944000000.0,808000000.0,931000000.0,,1301000000.0,,1256000000.0,234000000.0,1022000000.0,0.91,0.9,1105000000.0,1120000000.0,1180000000.0,,1491000000.0,1720000000.0,1070000000.0,,,8038000000.0,,3611000000.0,4362000000.0,2388000000.0,278000000.0,19398000000.0,437000000.0,682000000.0,,2802000000.0,,584000000.0,,,8330000000.0,27677000000.0,-590000000.0,11068000000.0,19398000000.0,,150000000.0,-39000000.0,272000000.0,-37000000.0,,,,,,1035000000.0,,,,,,182000000.0,,,331000000.0,,63000000.0,-1602000000.0,-236000000.0,
2013-09-30,9177000000.0,4453000000.0,4724000000.0,1176000000.0,1397000000.0,,2145000000.0,,2072000000.0,421000000.0,1651000000.0,1.47,1.45,1102000000.0,1117000000.0,1435000000.0,,1524000000.0,1726000000.0,1039000000.0,,,8101000000.0,,3509000000.0,4362000000.0,2305000000.0,272000000.0,19244000000.0,426000000.0,691000000.0,,2723000000.0,,564000000.0,,,8193000000.0,27993000000.0,-572000000.0,11051000000.0,19244000000.0,,221000000.0,-9000000.0,302000000.0,-31000000.0,,,,,,2185000000.0,,,,,,305000000.0,,,120000000.0,,72000000.0,-2286000000.0,19000000.0,
2013-12-31,12205000000.0,5841000000.0,6364000000.0,1522000000.0,1858000000.0,,2832000000.0,,2754000000.0,592000000.0,2162000000.0,1.94,1.91,1098000000.0,1113000000.0,1627000000.0,,1203000000.0,1731000000.0,51000000.0,,,8019000000.0,,3399000000.0,4362000000.0,2223000000.0,264000000.0,18938000000.0,422000000.0,651000000.0,,2747000000.0,,548000000.0,,,8131000000.0,28173000000.0,-528000000.0,10807000000.0,18938000000.0,,287000000.0,50000000.0,-16000000.0,-26000000.0,,,,,,3384000000.0,,,,,0.0,412000000.0,,-46000000.0,-3000000.0,,80000000.0,-3170000000.0,211000000.0,569000000.0
2014-03-31,2983000000.0,1376000000.0,1607000000.0,366000000.0,479000000.0,,690000000.0,,671000000.0,184000000.0,487000000.0,0.44,0.44,1081000000.0,1096000000.0,1565000000.0,,1355000000.0,1714000000.0,383000000.0,,,8360000000.0,,3179000000.0,4362000000.0,2142000000.0,240000000.0,18935000000.0,405000000.0,600000000.0,,2471000000.0,,536000000.0,,,8315000000.0,28331000000.0,-520000000.0,10620000000.0,18935000000.0,,78000000.0,0.0,149000000.0,-17000000.0,,,,,,462000000.0,,,,,,77000000.0,,-1000000.0,-305000000.0,,49000000.0,-219000000.0,-62000000.0,
2014-06-30,6275000000.0,2787000000.0,3488000000.0,715000000.0,951000000.0,,1672000000.0,,1632000000.0,462000000.0,1170000000.0,1.07,1.06,1076000000.0,1091000000.0,1216000000.0,,1527000000.0,1744000000.0,389000000.0,,,7456000000.0,,3044000000.0,4362000000.0,2062000000.0,246000000.0,17810000000.0,402000000.0,552000000.0,,1803000000.0,,484000000.0,,,7344000000.0,28686000000.0,-512000000.0,10466000000.0,17810000000.0,,155000000.0,-57000000.0,314000000.0,13000000.0,,,,,,1237000000.0,,,,,,157000000.0,,-1000000.0,497000000.0,,64000000.0,-2145000000.0,-411000000.0,
2014-09-30,9776000000.0,4244000000.0,5532000000.0,1047000000.0,1414000000.0,,2847000000.0,,2787000000.0,791000000.0,1996000000.0,1.84,1.81,1070000000.0,1085000000.0,1306000000.0,,1477000000.0,1751000000.0,378000000.0,,,7756000000.0,,2930000000.0,4362000000.0,1982000000.0,246000000.0,17900000000.0,393000000.0,527000000.0,,2643000000.0,,450000000.0,,,7429000000.0,29189000000.0,-468000000.0,10471000000.0,17900000000.0,,217000000.0,-84000000.0,272000000.0,20000000.0,,,,,,2620000000.0,,,,,,260000000.0,,-7000000.0,114000000.0,,75000000.0,-3055000000.0,-321000000.0,
2014-12-31,13045000000.0,5618000000.0,7427000000.0,1358000000.0,1843000000.0,,3947000000.0,,3874000000.0,1053000000.0,2821000000.0,2.61,2.57,1065000000.0,1080000000.0,1199000000.0,,1246000000.0,1784000000.0,116000000.0,,,7768000000.0,,2840000000.0,4362000000.0,1902000000.0,244000000.0,17722000000.0,437000000.0,498000000.0,,2662000000.0,,399000000.0,,,7332000000.0,29653000000.0,-532000000.0,10390000000.0,17722000000.0,,277000000.0,-61000000.0,49000000.0,53000000.0,,,,,,3892000000.0,,,,,,385000000.0,,-7000000.0,-377000000.0,,100000000.0,-3943000000.0,-428000000.0,1104000000.0
