Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-04-03,2210000000.0,1776000000.0,,,287000000.0,2199000000.0,,,11000000.0,15000000.0,-8000000.0,-0.03,-0.03,,,1509000000.0,,,,,,,,,,,,,18110000000.0,,,,,,,,,15269000000.0,2960000000.0,-1313000000.0,2841000000.0,18110000000.0,90000000.0,,,-76000000.0,-211000000.0,,45000000.0,184000000.0,,,-88000000.0,,,,,,38000000.0,,-12000000.0,639000000.0,,,-921000000.0,-383000000.0,
2011-01-01,10525000000.0,8605000000.0,,,1231000000.0,10439000000.0,,,86000000.0,-6000000.0,86000000.0,0.31,0.28,,,931000000.0,,,,,,,,,,,,,15282000000.0,,,,,,,,,12310000000.0,3037000000.0,-1316000000.0,2972000000.0,15282000000.0,393000000.0,,,1000000.0,10000000.0,,-36000000.0,54000000.0,,,984000000.0,,,,,,270000000.0,,-34000000.0,1549000000.0,,,-3493000000.0,-961000000.0,
2011-07-02,5207000000.0,4280000000.0,,,599000000.0,5026000000.0,319000000.0,,181000000.0,58000000.0,119000000.0,0.43,0.38,277406000.0,317261000.0,651000000.0,,,2562000000.0,,,,,,,,,,14839000000.0,,,,,,,,,11665000000.0,3145000000.0,-1260000000.0,3174000000.0,14839000000.0,195000000.0,,,-36000000.0,276000000.0,,51000000.0,110000000.0,,,217000000.0,,,,,,169000000.0,,-32000000.0,501000000.0,,,-1009000000.0,-280000000.0,
2011-10-01,8021000000.0,6593000000.0,,,850000000.0,7654000000.0,,,367000000.0,108000000.0,261000000.0,0.94,0.83,278090000.0,312754000.0,1542000000.0,,,2607000000.0,,,,,,,,,,15281000000.0,,,,,,,,,11969000000.0,3282000000.0,-1280000000.0,3312000000.0,15281000000.0,289000000.0,,,29000000.0,328000000.0,,-114000000.0,178000000.0,,,660000000.0,,,,,,271000000.0,,-53000000.0,648000000.0,,,-700000000.0,611000000.0,
2011-12-31,,,,,,,,,,,,,,,,885000000.0,,,2402000000.0,828000000.0,,,,,2005000000.0,,,,13615000000.0,,1952000000.0,169000000.0,,,,,,10870000000.0,3257000000.0,-1625000000.0,2745000000.0,13615000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,2856000000.0,2312000000.0,,,308000000.0,2679000000.0,,,177000000.0,57000000.0,118000000.0,0.42,0.4,280022000.0,294632000.0,646000000.0,,,2593000000.0,,,,,,,,,,13280000000.0,,,,,,,,,10365000000.0,3370000000.0,-1601000000.0,2915000000.0,13280000000.0,91000000.0,,,76000000.0,187000000.0,,11000000.0,48000000.0,,,-254000000.0,,,,,,73000000.0,,2000000.0,123000000.0,,,-112000000.0,-239000000.0,
2012-06-30,5875000000.0,4747000000.0,,,591000000.0,5443000000.0,,,432000000.0,139000000.0,290000000.0,1.03,0.98,281114000.0,295547000.0,911000000.0,,,2759000000.0,,,,,,,,,,13068000000.0,,,,,,,,,9966000000.0,3536000000.0,-1599000000.0,3102000000.0,13068000000.0,183000000.0,,,67000000.0,387000000.0,,-24000000.0,57000000.0,,,25000000.0,,,,,,158000000.0,,-30000000.0,306000000.0,,,-304000000.0,26000000.0,
2012-09-29,8875000000.0,7222000000.0,,,856000000.0,8234000000.0,,,641000000.0,206000000.0,441000000.0,1.57,1.49,281813000.0,296920000.0,1238000000.0,,,2831000000.0,,,,,,,,,,13065000000.0,,,,,,,,,9757000000.0,3681000000.0,-1562000000.0,3308000000.0,13065000000.0,277000000.0,,,56000000.0,409000000.0,,-51000000.0,108000000.0,,,397000000.0,,,,,,314000000.0,,-13000000.0,339000000.0,,,-388000000.0,353000000.0,
2012-12-29,12237000000.0,10019000000.0,,584000000.0,1168000000.0,11396000000.0,,,841000000.0,260000000.0,589000000.0,2.1,2.0,280182000.0,294663000.0,1413000000.0,,,2712000000.0,785000000.0,,,,,2149000000.0,,,,13033000000.0,,1956000000.0,115000000.0,,,,,,10042000000.0,3824000000.0,-1770000000.0,2991000000.0,13033000000.0,383000000.0,,182000000.0,-32000000.0,316000000.0,,-85000000.0,179000000.0,,,927000000.0,,,,,,480000000.0,,-43000000.0,378000000.0,,,-781000000.0,528000000.0,
2013-03-30,2855000000.0,2382000000.0,,,279000000.0,2712000000.0,,,143000000.0,28000000.0,119000000.0,0.44,0.41,273200000.0,288978000.0,791000000.0,,,2972000000.0,,,,,,,,,,12557000000.0,,,,,,,,,9409000000.0,3937000000.0,-1755000000.0,3148000000.0,12557000000.0,97000000.0,,,121000000.0,254000000.0,,-13000000.0,31000000.0,,,-399000000.0,,,,,,77000000.0,,7000000.0,16000000.0,,,-230000000.0,-622000000.0,
