Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-04-30,386006000.0,251101000.0,134905000.0,,94615000.0,,39060000.0,,38887000.0,15591000.0,23296000.0,0.38,0.37,60554000.0,62758000.0,116811000.0,,,,8922000.0,,,433660000.0,,332147000.0,,,,765807000.0,81510000.0,66488000.0,,147998000.0,,29084000.0,,,316441000.0,89826000.0,,449366000.0,765807000.0,17510000.0,2808000.0,-942000.0,,,,,-5583000.0,,,4437000.0,,,,,,19540000.0,,,-19540000.0,,8736000.0,20729000.0,5626000.0,1346000.0
2011-07-30,780573000.0,511381000.0,269192000.0,,185426000.0,,78720000.0,,78400000.0,31199000.0,47201000.0,0.78,0.75,61126000.0,63241000.0,142545000.0,,,,8922000.0,,,464272000.0,,351576000.0,,,,815848000.0,81380000.0,73745000.0,,155608000.0,,29049000.0,,,337816000.0,113731000.0,,478032000.0,815848000.0,36400000.0,5196000.0,-977000.0,,,,,-5713000.0,,,60937000.0,,,,,,52679000.0,,,-52679000.0,,10049000.0,23102000.0,31360000.0,10960000.0
2011-10-29,1193640000.0,775265000.0,418375000.0,,286423000.0,,122948000.0,,122452000.0,48483000.0,73969000.0,1.21,1.17,61451000.0,63419000.0,130657000.0,,,,8922000.0,,,556278000.0,,373794000.0,,,,930072000.0,134043000.0,81116000.0,,215159000.0,,29458000.0,,,405640000.0,140499000.0,,524432000.0,930072000.0,55625000.0,8223000.0,-568000.0,,,,,46950000.0,,,77460000.0,,,,,,97695000.0,,,-97695000.0,,18127000.0,39707000.0,19472000.0,20745000.0
2012-01-28,1776151000.0,1159311000.0,616840000.0,,410658000.0,,196195000.0,,195608000.0,75344000.0,120264000.0,1.96,1.9,61259000.0,63334000.0,253738000.0,,,,-31931000.0,,,580232000.0,,376985000.0,,,,957217000.0,86442000.0,74411000.0,10573000.0,164855000.0,,44195000.0,,,372513000.0,186794000.0,,584704000.0,957217000.0,75931000.0,11605000.0,10827000.0,,,,,-651000.0,,,220887000.0,,,,,,128636000.0,,,-128636000.0,,25899000.0,50302000.0,142553000.0,24162000.0
2012-04-28,474098000.0,303186000.0,170912000.0,,110943000.0,,57446000.0,,57425000.0,22557000.0,34868000.0,0.56,0.54,62496000.0,64072000.0,266345000.0,,,,12257000.0,,,673097000.0,,384904000.0,,,,1058001000.0,111889000.0,77375000.0,,257448000.0,,43675000.0,,,473096000.0,159242000.0,,584905000.0,1058001000.0,20985000.0,2893000.0,-513000.0,,,,,25447000.0,,,12546000.0,,,,,,24799000.0,,,-24799000.0,,16550000.0,24860000.0,12607000.0,4864000.0
2012-07-28,955781000.0,617244000.0,338537000.0,,216983000.0,,114905000.0,,114780000.0,44914000.0,69866000.0,1.11,1.09,63070000.0,64293000.0,197401000.0,,,,12257000.0,,,617706000.0,,421063000.0,,,,1038769000.0,88881000.0,80507000.0,,169388000.0,,43210000.0,,,399084000.0,194178000.0,,639685000.0,1038769000.0,42614000.0,6346000.0,-978000.0,,,,,2439000.0,,,36232000.0,,,,,,71338000.0,,,-71338000.0,,27788000.0,-21231000.0,-56337000.0,34903000.0
2012-10-27,1461421000.0,937391000.0,524030000.0,,334917000.0,,176212000.0,,176048000.0,68031000.0,108017000.0,1.71,1.68,63484000.0,64483000.0,191724000.0,,,,11261000.0,,,766081000.0,,467165000.0,,,,1233246000.0,185177000.0,90354000.0,,275531000.0,,48450000.0,,,526246000.0,232329000.0,,707000000.0,1233246000.0,64832000.0,9721000.0,5258000.0,,,,,98735000.0,,,77458000.0,,,,,,144030000.0,,,-144030000.0,,41343000.0,4558000.0,-62014000.0,38955000.0
2013-02-02,2220256000.0,1436582000.0,783674000.0,,488880000.0,,279978000.0,,279793000.0,107244000.0,172549000.0,2.73,2.68,63250000.0,64396000.0,320475000.0,,,,-40604000.0,,,789324000.0,,483059000.0,,,,1275249000.0,118886000.0,92127000.0,13364000.0,221067000.0,,56361000.0,,2876000.0,488307000.0,296861000.0,,786942000.0,1275249000.0,88233000.0,13375000.0,8673000.0,,,,,32444000.0,,,239001000.0,,,,,,188578000.0,,,-188578000.0,,47345000.0,16314000.0,66737000.0,45354000.0
2013-05-04,582712000.0,378763000.0,203949000.0,,133048000.0,,67695000.0,,67719000.0,25893000.0,41826000.0,0.66,0.65,63842000.0,64495000.0,293214000.0,,,,15285000.0,,,828615000.0,,499395000.0,,,,1331577000.0,148488000.0,78847000.0,,248067000.0,,55988000.0,,3795000.0,527853000.0,301355000.0,,803724000.0,1331577000.0,24779000.0,3048000.0,99000.0,,,,,29602000.0,,,42835000.0,,,,,,42004000.0,,,-42004000.0,,3901000.0,-28092000.0,-27261000.0,10996000.0
2013-08-03,1183710000.0,767684000.0,416026000.0,,267448000.0,,140563000.0,,140605000.0,53868000.0,86737000.0,1.36,1.35,63838000.0,64362000.0,286210000.0,,,,15320000.0,,,846787000.0,,541557000.0,,,,1391992000.0,130738000.0,102007000.0,,232745000.0,,55492000.0,,4114000.0,531530000.0,346266000.0,,860462000.0,1391992000.0,50747000.0,7539000.0,-432000.0,,,,,11852000.0,,,84520000.0,,,,,,98029000.0,,,-98029000.0,,6699000.0,-20756000.0,-34265000.0,58412000.0
2013-11-02,1802491000.0,1154804000.0,647687000.0,,418754000.0,,213450000.0,,213499000.0,81332000.0,132167000.0,2.07,2.05,64061000.0,64538000.0,240916000.0,,,,14686000.0,,,941302000.0,,590132000.0,,,,1535347000.0,190193000.0,97421000.0,,287614000.0,,55568000.0,,4629000.0,607028000.0,391696000.0,,928319000.0,1535347000.0,77572000.0,11936000.0,278000.0,,,,,71307000.0,,,100133000.0,,,,,,176966000.0,,,-176966000.0,,13352000.0,-2726000.0,-79559000.0,78941000.0
2014-02-01,2670573000.0,1729325000.0,941248000.0,,596390000.0,,327588000.0,,327706000.0,124857000.0,202849000.0,3.17,3.15,63992000.0,64461000.0,419476000.0,,,,-44472000.0,,,1002697000.0,,595736000.0,,,,1602727000.0,148282000.0,103180000.0,16439000.0,266811000.0,,66718000.0,,4474000.0,599633000.0,462378000.0,,1003094000.0,1602727000.0,106283000.0,16003000.0,3868000.0,,,,,29396000.0,,,327725000.0,,,,,,226024000.0,,,-226024000.0,,13378000.0,-2700000.0,99001000.0,101598000.0
2014-05-03,713770000.0,467817000.0,245953000.0,,162443000.0,,80881000.0,,81081000.0,31128000.0,49953000.0,0.78,0.77,64273000.0,64607000.0,456709000.0,,,,22241000.0,,,1090490000.0,,603933000.0,,,,1699225000.0,184148000.0,90343000.0,,302419000.0,,67019000.0,,5352000.0,639469000.0,512331000.0,,1059756000.0,1699225000.0,30473000.0,4063000.0,306000.0,,,,,35866000.0,,,73693000.0,,,,,,39106000.0,,,-39106000.0,,901000.0,2646000.0,37233000.0,17160000.0
2014-08-02,1448006000.0,942711000.0,505295000.0,,320211000.0,,178860000.0,,179269000.0,68522000.0,110747000.0,1.72,1.71,64349000.0,64636000.0,363058000.0,,,,22012000.0,,,1127693000.0,,646890000.0,,,,1779812000.0,163459000.0,126792000.0,,300141000.0,,65842000.0,,6440000.0,653771000.0,573125000.0,,1126041000.0,1779812000.0,62372000.0,7603000.0,-642000.0,,,,,15177000.0,,,133228000.0,,,,,,94097000.0,,,-194243000.0,,1423000.0,4597000.0,-56418000.0,72855000.0
