Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,14143000000.0,,,,,10751000000.0,3392000000.0,,2987000000.0,1089000000.0,1898000000.0,3.77,3.75,503000000.0,505800000.0,1850000000.0,,666000000.0,,339000000.0,,350000000.0,3680000000.0,,37428000000.0,,,266000000.0,42410000000.0,,,,2682000000.0,,11130000000.0,,2021000000.0,25469000000.0,15167000000.0,-654000000.0,16941000000.0,42410000000.0,,,723000000.0,-72000000.0,,,-106000000.0,,,,3234000000.0,,,,,,2384000000.0,,-22000000.0,-2175000000.0,,,-458000000.0,601000000.0,-452000000.0
2010-03-31,3965000000.0,,,,,2977000000.0,988000000.0,,834000000.0,318000000.0,516000000.0,1.02,1.01,504500000.0,508700000.0,1753000000.0,,1218000000.0,,355000000.0,,280000000.0,4112000000.0,,37301000000.0,,,263000000.0,42712000000.0,,,,2909000000.0,,11116000000.0,,1994000000.0,25499000000.0,15406000000.0,-648000000.0,17213000000.0,42712000000.0,,,54000000.0,-552000000.0,,,70000000.0,,,,656000000.0,,,,,,461000000.0,,46000000.0,-495000000.0,,,-258000000.0,-97000000.0,136000000.0
2010-06-30,8147000000.0,,,,,5880000000.0,2267000000.0,,1980000000.0,753000000.0,1227000000.0,2.44,2.42,503100000.0,507600000.0,1317000000.0,,1250000000.0,,364000000.0,,275000000.0,3702000000.0,,37527000000.0,,,242000000.0,42535000000.0,710000000.0,,,3035000000.0,,11189000000.0,,1871000000.0,25212000000.0,15951000000.0,-648000000.0,17323000000.0,42535000000.0,,38000000.0,119000000.0,584000000.0,,,-75000000.0,,,,1695000000.0,,,,,,1056000000.0,,43000000.0,-1068000000.0,,11000000.0,-1160000000.0,-533000000.0,-343000000.0
2010-09-30,12555000000.0,,,,,8887000000.0,3668000000.0,,3253000000.0,1248000000.0,2005000000.0,4.01,3.98,499800000.0,504300000.0,1358000000.0,,1297000000.0,,357000000.0,,394000000.0,3910000000.0,,37749000000.0,,,238000000.0,43001000000.0,634000000.0,,,3185000000.0,,11480000000.0,,1840000000.0,25565000000.0,16566000000.0,-649000000.0,17436000000.0,43001000000.0,,58000000.0,433000000.0,631000000.0,,,44000000.0,,,,2720000000.0,,,,,,1686000000.0,,32000000.0,-1673000000.0,,25000000.0,-1539000000.0,-492000000.0,-796000000.0
2010-12-31,16965000000.0,,,,,11984000000.0,4981000000.0,,4433000000.0,1653000000.0,2780000000.0,5.58,5.53,498200000.0,502900000.0,1086000000.0,,1184000000.0,,11296000000.0,,367000000.0,3432000000.0,,38253000000.0,,,266000000.0,43088000000.0,677000000.0,,,2952000000.0,,11557000000.0,,1813000000.0,25325000000.0,17154000000.0,-734000000.0,17763000000.0,43088000000.0,,74000000.0,647000000.0,518000000.0,,,17000000.0,,,,4105000000.0,,,,,,2482000000.0,,73000000.0,-2488000000.0,,51000000.0,-2381000000.0,-764000000.0,-936000000.0
2011-03-31,4490000000.0,,,,,3353000000.0,1137000000.0,,1011000000.0,372000000.0,639000000.0,1.31,1.29,489600000.0,494100000.0,1248000000.0,,1275000000.0,,307000000.0,,265000000.0,3677000000.0,,38512000000.0,,,241000000.0,43587000000.0,729000000.0,,,2947000000.0,,11788000000.0,,1790000000.0,25541000000.0,17607000000.0,-728000000.0,18046000000.0,43587000000.0,,22000000.0,,91000000.0,,,-102000000.0,,,,1294000000.0,,,,,,602000000.0,,66000000.0,-657000000.0,,38000000.0,-475000000.0,162000000.0,147000000.0
2011-06-30,9348000000.0,,,,,6819000000.0,2529000000.0,,2281000000.0,857000000.0,1424000000.0,2.91,2.89,489000000.0,493300000.0,1055000000.0,,1427000000.0,,315000000.0,,272000000.0,3699000000.0,,38908000000.0,,,246000000.0,44029000000.0,816000000.0,,,3153000000.0,,12016000000.0,,1795000000.0,25723000000.0,18159000000.0,-719000000.0,18306000000.0,44029000000.0,,,,243000000.0,,,-95000000.0,,,,2640000000.0,,,,,,1327000000.0,,69000000.0,-1366000000.0,,67000000.0,-1305000000.0,-31000000.0,-135000000.0
2011-09-30,14449000000.0,,,,,10342000000.0,4107000000.0,,3734000000.0,1406000000.0,2328000000.0,4.78,4.74,487400000.0,491500000.0,1647000000.0,,1424000000.0,,305000000.0,,231000000.0,4214000000.0,,39425000000.0,,,256000000.0,45066000000.0,793000000.0,,,3724000000.0,,12290000000.0,,1722000000.0,26501000000.0,18833000000.0,-732000000.0,18565000000.0,45066000000.0,,,,240000000.0,,,-136000000.0,,,,4334000000.0,,,,,,2218000000.0,,74000000.0,-2241000000.0,,71000000.0,-1532000000.0,561000000.0,274000000.0
2011-12-31,19557000000.0,,,,,13833000000.0,5724000000.0,,5264000000.0,1972000000.0,3292000000.0,6.78,6.72,485700000.0,489800000.0,1217000000.0,,1401000000.0,,-12062000000.0,,189000000.0,3727000000.0,,39934000000.0,,,260000000.0,45096000000.0,819000000.0,,,3317000000.0,,12368000000.0,,2136000000.0,26518000000.0,19508000000.0,-1054000000.0,18578000000.0,45096000000.0,,82000000.0,964000000.0,217000000.0,,,,,,,5873000000.0,,,,,,3176000000.0,,51000000.0,-3119000000.0,,83000000.0,-2623000000.0,131000000.0,-625000000.0
2012-03-31,5112000000.0,,,,,3602000000.0,1510000000.0,,1391000000.0,528000000.0,863000000.0,1.81,1.79,477800000.0,481400000.0,995000000.0,,1327000000.0,,314000000.0,,247000000.0,3565000000.0,,40309000000.0,,,252000000.0,45336000000.0,844000000.0,,,3902000000.0,,12505000000.0,,2108000000.0,26581000000.0,20084000000.0,-1046000000.0,18755000000.0,45336000000.0,,25000000.0,124000000.0,-74000000.0,,,,,,,1404000000.0,,,,,,804000000.0,,39000000.0,-830000000.0,,39000000.0,-796000000.0,-222000000.0,102000000.0
