Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,45297000000.0,,,,,41496000000.0,3801000000.0,-435000000.0,3366000000.0,1214000000.0,2152000000.0,2.16,2.14,,,1542000000.0,558000000.0,5369000000.0,,585000000.0,,668000000.0,9275000000.0,,17979000000.0,2089000000.0,596000000.0,1607000000.0,31883000000.0,1766000000.0,1189000000.0,,6239000000.0,,1293000000.0,,798000000.0,,12745000000.0,-5127000000.0,7630000000.0,31883000000.0,,430000000.0,,30000000.0,,,-136000000.0,-107000000.0,,184000000.0,5285000000.0,,,,,,1602000000.0,,-44000000.0,-1248000000.0,149000000.0,,-3045000000.0,1035000000.0,
2010-03-31,11728000000.0,,,,,10686000000.0,1042000000.0,-89000000.0,953000000.0,420000000.0,533000000.0,0.54,0.53,,,2544000000.0,571000000.0,5077000000.0,,563000000.0,,783000000.0,10060000000.0,,17758000000.0,2070000000.0,628000000.0,1651000000.0,32504000000.0,1788000000.0,1262000000.0,,7366000000.0,,1494000000.0,,827000000.0,,12692000000.0,-5155000000.0,7547000000.0,32504000000.0,,100000000.0,,-177000000.0,,,20000000.0,48000000.0,,89000000.0,1549000000.0,,,,,,283000000.0,,11000000.0,-250000000.0,45000000.0,,-257000000.0,1002000000.0,
2010-06-30,23932000000.0,,,,,21488000000.0,2444000000.0,-191000000.0,2253000000.0,875000000.0,1378000000.0,1.39,1.37,994000000.0,1003000000.0,3252000000.0,755000000.0,5110000000.0,,552000000.0,,805000000.0,11024000000.0,,17615000000.0,2050000000.0,628000000.0,1640000000.0,33269000000.0,1708000000.0,1371000000.0,,7687000000.0,,1429000000.0,,898000000.0,,13067000000.0,-5217000000.0,7865000000.0,33269000000.0,,238000000.0,,-42000000.0,,,18000000.0,-1000000.0,,111000000.0,3012000000.0,,,,,,664000000.0,,-96000000.0,-608000000.0,106000000.0,,-646000000.0,1710000000.0,
2010-09-30,36124000000.0,,,,,32064000000.0,4060000000.0,-267000000.0,3793000000.0,1424000000.0,2369000000.0,2.38,2.36,994000000.0,1004000000.0,3020000000.0,732000000.0,5250000000.0,,662000000.0,,713000000.0,10756000000.0,,17471000000.0,2085000000.0,609000000.0,1673000000.0,32907000000.0,1840000000.0,1256000000.0,,6801000000.0,,1497000000.0,,862000000.0,,13603000000.0,-5153000000.0,8460000000.0,32907000000.0,,349000000.0,,43000000.0,,,-81000000.0,62000000.0,,-221000000.0,3923000000.0,,,,,,1011000000.0,,-181000000.0,-493000000.0,151000000.0,,-1939000000.0,1478000000.0,
2010-12-31,49545000000.0,,,,,43671000000.0,5874000000.0,-351000000.0,5523000000.0,2035000000.0,3488000000.0,3.51,3.48,994000000.0,1003000000.0,3370000000.0,711000000.0,5627000000.0,319000000.0,-1142000000.0,,712000000.0,11569000000.0,,17387000000.0,2081000000.0,599000000.0,1215000000.0,33597000000.0,1974000000.0,1343000000.0,,5902000000.0,,1870000000.0,,815000000.0,,14164000000.0,-6195000000.0,7979000000.0,33597000000.0,,519000000.0,979000000.0,532000000.0,,,60000000.0,265000000.0,,-284000000.0,3835000000.0,,,,,,1389000000.0,,-293000000.0,-654000000.0,218000000.0,,-1346000000.0,1828000000.0,
2011-03-31,12582000000.0,,,,,11156000000.0,1426000000.0,-74000000.0,1352000000.0,467000000.0,885000000.0,0.89,0.88,992000000.0,1002000000.0,4657000000.0,787000000.0,5462000000.0,,695000000.0,,698000000.0,12618000000.0,,17407000000.0,2107000000.0,599000000.0,1285000000.0,34594000000.0,2017000000.0,1315000000.0,,7605000000.0,,2024000000.0,,803000000.0,,14206000000.0,-6052000000.0,8164000000.0,34594000000.0,,120000000.0,,-312000000.0,,,-137000000.0,-81000000.0,,182000000.0,1281000000.0,,,,,,402000000.0,,16000000.0,-282000000.0,104000000.0,,247000000.0,1287000000.0,
2011-06-30,25773000000.0,,,,,22649000000.0,3124000000.0,-148000000.0,2976000000.0,1028000000.0,1948000000.0,1.97,1.95,990000000.0,1000000000.0,4691000000.0,946000000.0,5602000000.0,,661000000.0,,701000000.0,12950000000.0,,17489000000.0,2101000000.0,593000000.0,1467000000.0,35152000000.0,2078000000.0,1710000000.0,,7618000000.0,,2175000000.0,,723000000.0,,14218000000.0,-5977000000.0,8254000000.0,35152000000.0,,272000000.0,,-185000000.0,,,-105000000.0,-23000000.0,,221000000.0,3314000000.0,,,,,,951000000.0,,123000000.0,-1069000000.0,163000000.0,,-971000000.0,1321000000.0,
2011-09-30,38939000000.0,,,,,34196000000.0,4743000000.0,-216000000.0,4527000000.0,1537000000.0,2990000000.0,3.03,3.0,986000000.0,996000000.0,4133000000.0,1320000000.0,5418000000.0,,634000000.0,,957000000.0,12628000000.0,,17581000000.0,2066000000.0,622000000.0,1807000000.0,35238000000.0,1974000000.0,1589000000.0,,7511000000.0,,2394000000.0,,815000000.0,,13828000000.0,-6040000000.0,7798000000.0,35238000000.0,,402000000.0,,-177000000.0,,,-185000000.0,-67000000.0,,88000000.0,5362000000.0,,,,,,1557000000.0,,243000000.0,-2116000000.0,220000000.0,,-2484000000.0,763000000.0,
2011-12-31,53105000000.0,,,,,47025000000.0,6080000000.0,-304000000.0,5776000000.0,1972000000.0,3804000000.0,3.88,3.84,981000000.0,991000000.0,3034000000.0,1241000000.0,6246000000.0,345000000.0,-1202000000.0,,1152000000.0,12284000000.0,,17621000000.0,2101000000.0,585000000.0,1807000000.0,34701000000.0,2300000000.0,1557000000.0,,6514000000.0,,1900000000.0,,773000000.0,,10128000000.0,-3103000000.0,7035000000.0,34701000000.0,,524000000.0,314000000.0,657000000.0,,,62000000.0,249000000.0,,186000000.0,7073000000.0,,,,,,2005000000.0,,257000000.0,-2537000000.0,290000000.0,,-4862000000.0,-336000000.0,
2012-03-31,13136000000.0,,,,,11567000000.0,1569000000.0,-88000000.0,1481000000.0,511000000.0,970000000.0,1.01,1.0,962000000.0,972000000.0,5133000000.0,947000000.0,5637000000.0,,635000000.0,,1121000000.0,13473000000.0,,17614000000.0,2177000000.0,634000000.0,1761000000.0,35963000000.0,2000000000.0,1404000000.0,,7543000000.0,,1870000000.0,,681000000.0,,10433000000.0,-3020000000.0,7423000000.0,35963000000.0,,162000000.0,,-585000000.0,,,34000000.0,-276000000.0,,377000000.0,2280000000.0,,,,,100000000.0,428000000.0,,76000000.0,-259000000.0,131000000.0,,51000000.0,2099000000.0,
