Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,,395000000.0,2205000000.0,0.97,0.97,1851000000.0,1859000000.0,6206000000.0,,,,,,,,,2263000000.0,9011000000.0,3406000000.0,,281176000000.0,,,,,,,,,254515000000.0,24116000000.0,-1484000000.0,25963000000.0,281176000000.0,,,-545000000.0,,,,2152000000.0,,,,7600000000.0,,,5784000000.0,,-3074000000.0,,,74000000.0,-719000000.0,2703000000.0,,-7534000000.0,-653000000.0,
2010-03-31,,,,,,,,,,161000000.0,669000000.0,0.34,0.34,1910000000.0,1919000000.0,8380000000.0,,,,,,,,,2246000000.0,9007000000.0,3388000000.0,,282428000000.0,,,,,,,,,255040000000.0,24597000000.0,-1267000000.0,26709000000.0,282428000000.0,,,,,,,,,,,2876000000.0,,,922000000.0,,-832000000.0,,,302000000.0,1081000000.0,28000000.0,,-1783000000.0,2174000000.0,
2010-06-30,,,,,,,,,,360000000.0,1435000000.0,0.79,0.79,1912000000.0,1921000000.0,5033000000.0,,,,309000000.0,,,,,2257000000.0,9002000000.0,3068000000.0,,283243000000.0,,,,,,,,,254303000000.0,25367000000.0,-1060000000.0,28169000000.0,283243000000.0,,,,,,,,,,,3960000000.0,,,1060000000.0,,-832000000.0,,,779000000.0,-2411000000.0,43000000.0,,-2722000000.0,-1173000000.0,
2010-09-30,,,,,,,,,,620000000.0,2343000000.0,1.25,1.24,1913000000.0,1920000000.0,4470000000.0,,,,288000000.0,,,,,2304000000.0,9024000000.0,2856000000.0,,290654000000.0,,,,,,,,,260711000000.0,26147000000.0,-894000000.0,29151000000.0,290654000000.0,,,,,,,,,,,2806000000.0,,,1113000000.0,,-832000000.0,,,1151000000.0,-7715000000.0,56000000.0,,3173000000.0,-1736000000.0,
2010-12-31,,,,,,,,,,935000000.0,3317000000.0,1.74,1.73,1912000000.0,1921000000.0,14487000000.0,,,,424000000.0,,,,,2487000000.0,8954000000.0,3213000000.0,,307786000000.0,,,,,,,,,277464000000.0,27005000000.0,-1469000000.0,29519000000.0,307786000000.0,,,-370000000.0,,,,,,,,5241000000.0,24025000000.0,16068000000.0,1212000000.0,,-923000000.0,,,936000000.0,-16372000000.0,119000000.0,,19412000000.0,8281000000.0,
2011-03-31,,,,,,,,,,366000000.0,1046000000.0,0.52,0.52,1918000000.0,1928000000.0,13800000000.0,,,,-135000000.0,,,,,2508000000.0,8947000000.0,3415000000.0,,311462000000.0,,,,,,,,,280127000000.0,27769000000.0,-1339000000.0,30507000000.0,311462000000.0,,,,,,,,,,,6228000000.0,3896000000.0,,141000000.0,,-650000000.0,,,131000000.0,-7488000000.0,94000000.0,,573000000.0,-687000000.0,
2011-06-30,,,,,,,,,,824000000.0,2249000000.0,1.13,1.12,1921000000.0,1929000000.0,15250000000.0,,,,711000000.0,,,,,2529000000.0,8950000000.0,3266000000.0,,320874000000.0,,,,,,,,,287533000000.0,28701000000.0,-977000000.0,32452000000.0,320874000000.0,,,,,,,,,,,8809000000.0,5750000000.0,,437000000.0,,-650000000.0,,,620000000.0,-15306000000.0,104000000.0,,7260000000.0,763000000.0,
2011-09-30,,,,,,,,,,1314000000.0,3522000000.0,1.78,1.77,1918000000.0,1926000000.0,13708000000.0,,,,-750000000.0,,,,,2581000000.0,8933000000.0,2675000000.0,,330141000000.0,,,,,,,,,295931000000.0,29704000000.0,-930000000.0,33230000000.0,330141000000.0,,,250000000.0,,,,,,,,8755000000.0,8399000000.0,,926000000.0,,-650000000.0,,,1006000000.0,-24189000000.0,125000000.0,,14655000000.0,-779000000.0,
2011-12-31,,,,,,,,,,1841000000.0,4872000000.0,2.47,2.46,1914000000.0,1923000000.0,13962000000.0,,,,-1125000000.0,,,,,2657000000.0,8927000000.0,2736000000.0,,340122000000.0,,,,,,,,,305151000000.0,30785000000.0,-1200000000.0,33978000000.0,340122000000.0,,,748000000.0,,,,,,,,9820000000.0,13229000000.0,,1018000000.0,,-636000000.0,,,1070000000.0,-32704000000.0,180000000.0,,22359000000.0,-525000000.0,
2012-03-31,,,,,,,,,,527000000.0,1338000000.0,0.68,0.67,1901000000.0,1910000000.0,9561000000.0,,,,1400000000.0,,,,,2623000000.0,8941000000.0,2919000000.0,,340762000000.0,,,,,,,,,303848000000.0,31705000000.0,-944000000.0,35900000000.0,340762000000.0,,,73000000.0,,,,,,,,3091000000.0,4738000000.0,,200000000.0,,-108000000.0,,,48000000.0,-5782000000.0,98000000.0,,-1710000000.0,-4401000000.0,
