Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,4831000000.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,187609000.0,,,,,,144196000.0,,42636000.0,-1901000.0,44537000.0,,,,,183646000.0,,,,79000.0,,,,,74300000.0,,,,9739712000.0,,,,,,,,,4963348000.0,42662000.0,,4691489000.0,9739712000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,218276000.0,,,,,29552000.0,188724000.0,,114487000.0,384000.0,114103000.0,0.33,0.33,342901000.0,343057000.0,918215000.0,,,,,,,,,73739000.0,,,,10486239000.0,,,,,,,,,4351339000.0,95563000.0,,6051900000.0,10486239000.0,,391000.0,,,,,,,-7188000.0,,122483000.0,,,,,,,,345000.0,-345000.0,,,612479000.0,,
2018-06-30,439251000.0,,,,,61079000.0,378172000.0,,256295000.0,832000.0,251166000.0,0.7,0.7,369933000.0,369992000.0,940740000.0,,,,,,,,,73029000.0,,,,10564703000.0,,,,,,,,,4391760000.0,137444000.0,-4640000.0,6089609000.0,10564703000.0,,859000.0,,,,,,,,-4223000.0,246663000.0,,,,,,557000.0,,,-40463000.0,,,550942000.0,757142000.0,
2018-09-30,671938000.0,12832000.0,,,,109666000.0,562272000.0,,388371000.0,884000.0,381078000.0,1.06,1.06,369935055.0,370127185.0,145223000.0,,,,,,,,,72287000.0,,,,10568501000.0,,,,,,,,,4361228000.0,160915000.0,5465000.0,6123808000.0,10568501000.0,,1482000.0,,,,,,,-67416000.0,21007000.0,328517000.0,,,,,,744000.0,,,-832471000.0,,,451829000.0,-52125000.0,
2018-12-31,897977000.0,17371000.0,,,,140023000.0,757954000.0,,533558000.0,1441000.0,523619000.0,1.43,1.43,367226395.0,367317000.0,577883000.0,,,,117000.0,,,,,71513000.0,,,,11333368000.0,,,,,,,,,4432346000.0,187096000.0,-22124000.0,6817449000.0,11333368000.0,,2342000.0,-348000.0,,,,,,-24512000.0,25207000.0,504082000.0,,,,,,899000.0,,,-1140877000.0,694374000.0,,1037836000.0,401041000.0,
2019-03-31,214002000.0,4092000.0,,,,12136000.0,201866000.0,,153447000.0,521000.0,150849000.0,0.37,0.37,405734000.0,406035025.0,598276000.0,,,,,,,,,71775000.0,,,,11448671000.0,,,,,,,,,4402783000.0,219791000.0,-39315000.0,6962269000.0,11448671000.0,,1051000.0,,,,,,,-43250000.0,-2271000.0,115642000.0,,,,,,1191000.0,,,-101160000.0,128085000.0,,9713000.0,24195000.0,
2019-06-30,434748000.0,8940000.0,,,,27387000.0,407361000.0,,308127000.0,1074000.0,302898000.0,0.74,0.74,412310000.0,412821400.0,1205335000.0,,,,,,,,,71046000.0,,,,12522046000.0,,,,,,,,,4449623000.0,239301000.0,-70003000.0,7988737000.0,12522046000.0,,2417000.0,,,,,,,-43600000.0,3692000.0,262942000.0,,,,,,1481000.0,,,-549014000.0,1165008000.0,,921177000.0,635105000.0,
2019-09-30,657261000.0,14363000.0,,,,41520000.0,615741000.0,,454666000.0,1098000.0,447333000.0,1.05,1.04,460666295.0,465772000.0,431423000.0,,,,,,,,,71000000.0,,,,12581466000.0,,,,,,,,,4507397000.0,246587000.0,-77116000.0,7990314000.0,12581466000.0,,3821000.0,,,,,,,-43355000.0,523000.0,437199000.0,,,,,,2429000.0,,,-1355857000.0,1164360000.0,,783721000.0,-134937000.0,
2019-12-31,894798000.0,18901000.0,,,,,842499000.0,,555986000.0,1705000.0,545964000.0,1.25,1.24,435071096.0,439153000.0,1101893000.0,,,,96000.0,,,,,70406000.0,,,,13265619000.0,,,,,,,,,5216630000.0,208069000.0,-65078000.0,7965183000.0,13265619000.0,,5223000.0,0.0,,,,,,26735000.0,339000.0,682159000.0,,,,,,2724000.0,,,-1361379000.0,,,1182666000.0,503446000.0,
