Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,68202000000.0,-58000000.0,,-449000000.0,-97000000.0,-1982000000.0,-3.67,-3.67,541000000.0,541000000.0,825000000.0,,,4863000000.0,180000000.0,,,10923000000.0,,23012000000.0,,227000000.0,1395000000.0,35629000000.0,5760000000.0,514000000.0,,7798000000.0,,4063000000.0,,1869000000.0,,13178000000.0,365000000.0,14725000000.0,35629000000.0,1527000000.0,66000000.0,,,,,,,,,1823000000.0,,,,,,2306000000.0,,8000000.0,-3292000000.0,799000000.0,5000000.0,1289000000.0,-115000000.0,
2010-03-31,,,,,,19675000000.0,-32000000.0,,-148000000.0,-47000000.0,-113000000.0,-0.2,-0.2,562000000.0,562000000.0,1887000000.0,,,4724000000.0,175000000.0,,,11320000000.0,,23335000000.0,,226000000.0,1584000000.0,36465000000.0,5986000000.0,502000000.0,,8095000000.0,,4131000000.0,,1855000000.0,,13036000000.0,432000000.0,14666000000.0,36465000000.0,357000000.0,12000000.0,,,,,,,,,982000000.0,,,,,,382000000.0,,-15000000.0,-856000000.0,,2000000.0,916000000.0,1062000000.0,
2010-06-30,,,,,,40529000000.0,921000000.0,,806000000.0,276000000.0,583000000.0,1.04,1.03,563000000.0,567000000.0,2001000000.0,,,4767000000.0,171000000.0,,,11348000000.0,,23363000000.0,,223000000.0,1543000000.0,36477000000.0,5856000000.0,440000000.0,,7914000000.0,,4270000000.0,,1731000000.0,,13591000000.0,240000000.0,15051000000.0,36477000000.0,724000000.0,22000000.0,,-394000000.0,102000000.0,,,-122000000.0,,,1770000000.0,,,,,,785000000.0,,-11000000.0,-1157000000.0,,,575000000.0,1176000000.0,-797000000.0
2010-09-30,,,,,,62168000000.0,1460000000.0,,1128000000.0,407000000.0,762000000.0,1.34,1.34,564000000.0,568000000.0,2352000000.0,,,4804000000.0,184000000.0,,,11877000000.0,,23590000000.0,,224000000.0,1585000000.0,37276000000.0,6096000000.0,548000000.0,,8213000000.0,,4430000000.0,,1720000000.0,,13855000000.0,314000000.0,15400000000.0,37276000000.0,1096000000.0,32000000.0,,-516000000.0,79000000.0,,,-358000000.0,,,2622000000.0,,,,,,1226000000.0,,-15000000.0,-1661000000.0,,,547000000.0,1527000000.0,645000000.0
2011-12-31,,,,,,122307000000.0,3680000000.0,,3322000000.0,1226000000.0,2090000000.0,3.69,3.68,563000000.0,569000000.0,1024000000.0,,,5623000000.0,-4983000000.0,,,15972000000.0,,25177000000.0,,227000000.0,1407000000.0,42783000000.0,9472000000.0,595000000.0,,12708000000.0,,5017000000.0,,1881000000.0,,15309000000.0,96000000.0,16423000000.0,42783000000.0,1534000000.0,58000000.0,465000000.0,3110000000.0,-643000000.0,,,2004000000.0,,,4038000000.0,,,,,,2355000000.0,,39000000.0,-5298000000.0,0.0,23000000.0,-1066000000.0,-2310000000.0,-486000000.0
2012-03-31,,,,,,35411000000.0,-244000000.0,,-337000000.0,95000000.0,-432000000.0,-0.78,-0.78,551000000.0,551000000.0,1559000000.0,,,6145000000.0,358000000.0,,,15824000000.0,,25155000000.0,,227000000.0,1428000000.0,42634000000.0,9941000000.0,483000000.0,,13076000000.0,,5210000000.0,,1896000000.0,,14794000000.0,221000000.0,15959000000.0,42634000000.0,384000000.0,10000000.0,,-1319000000.0,471000000.0,,,410000000.0,,,1704000000.0,,,,,,726000000.0,,-10000000.0,-874000000.0,,,-319000000.0,535000000.0,142000000.0
2012-06-30,,,,,,68712000000.0,1361000000.0,,1282000000.0,547000000.0,831000000.0,1.5,1.5,550000000.0,556000000.0,1295000000.0,,,5443000000.0,246000000.0,,,14033000000.0,,25521000000.0,,218000000.0,1416000000.0,41188000000.0,7998000000.0,527000000.0,,10798000000.0,,5411000000.0,,1896000000.0,,15542000000.0,119000000.0,16577000000.0,41188000000.0,770000000.0,20000000.0,,-2087000000.0,-198000000.0,,,-1413000000.0,,,2994000000.0,,,,,,1420000000.0,,-9000000.0,-1741000000.0,,,-991000000.0,271000000.0,204000000.0
2012-09-30,,,,,,102129000000.0,2426000000.0,,2182000000.0,1111000000.0,1073000000.0,1.94,1.93,550000000.0,556000000.0,2549000000.0,,,5787000000.0,292000000.0,,,16267000000.0,,25873000000.0,,216000000.0,1436000000.0,43792000000.0,9286000000.0,612000000.0,,12251000000.0,,5758000000.0,,1934000000.0,,16119000000.0,252000000.0,17332000000.0,43792000000.0,1172000000.0,29000000.0,,-1293000000.0,116000000.0,,,-150000000.0,,,5107000000.0,,,,,0.0,2129000000.0,,28000000.0,-2573000000.0,,,-1045000000.0,1525000000.0,238000000.0
2012-12-31,,,,,,135240000000.0,4010000000.0,,3706000000.0,1626000000.0,2083000000.0,3.77,3.75,550000000.0,556000000.0,1723000000.0,,,5973000000.0,-5964000000.0,,,16460000000.0,,26300000000.0,,213000000.0,1504000000.0,44477000000.0,9348000000.0,590000000.0,,11929000000.0,,5860000000.0,,2130000000.0,,17032000000.0,108000000.0,18032000000.0,44477000000.0,1574000000.0,58000000.0,963000000.0,-437000000.0,282000000.0,,,-113000000.0,,,5270000000.0,,,,,,2931000000.0,,21000000.0,-3351000000.0,,27000000.0,-1233000000.0,699000000.0,705000000.0
2013-03-31,,,,,,32413000000.0,1061000000.0,,992000000.0,340000000.0,654000000.0,1.18,1.18,550000000.0,556000000.0,1857000000.0,,,6937000000.0,280000000.0,,,17206000000.0,,26398000000.0,,203000000.0,1694000000.0,45501000000.0,9821000000.0,761000000.0,,12705000000.0,,6131000000.0,,1784000000.0,,17575000000.0,121000000.0,18343000000.0,45501000000.0,430000000.0,12000000.0,,-409000000.0,1074000000.0,,,561000000.0,,,1549000000.0,,,,,,577000000.0,,-4000000.0,-860000000.0,,,-522000000.0,134000000.0,48000000.0
