Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-03-31,,,,,49256000.0,193572000.0,119297000.0,-9243000.0,110054000.0,44178000.0,65876000.0,0.39,0.37,169030227.0,176964192.0,101238000.0,5603000.0,163888000.0,,3681000.0,,7705000.0,311698000.0,,100774000.0,632668000.0,191774000.0,26196000.0,1286431000.0,,,247064000.0,492470000.0,,0.0,,89605000.0,1395522000.0,359703000.0,-54837000.0,-109091000.0,1286431000.0,,3818000.0,-158000.0,37475000.0,,,,,84057000.0,-4957000.0,145581000.0,960000.0,,,,0.0,13648000.0,,0.0,-13454000.0,,0.0,-86201000.0,46264000.0,
2011-06-30,,,,,105165000.0,397034000.0,243115000.0,-24013000.0,219102000.0,87649000.0,131453000.0,0.78,0.75,167995517.0,175799120.0,51970000.0,5351000.0,145632000.0,,3681000.0,,29155000.0,295477000.0,,107645000.0,712561000.0,241330000.0,28326000.0,1408089000.0,,,214989000.0,511600000.0,,0.0,,80232000.0,1552529000.0,425280000.0,-53508000.0,-144440000.0,1408089000.0,,12331000.0,1660000.0,16979000.0,,,,,50520000.0,-14913000.0,187087000.0,1338000.0,,,,121721000.0,28171000.0,,0.0,-172586000.0,,5470000.0,-18078000.0,-3004000.0,
2011-09-30,,,,,156640000.0,605723000.0,374524000.0,-38593000.0,335931000.0,133491000.0,202440000.0,1.21,1.16,166728786.0,174255965.0,52846000.0,4828000.0,152803000.0,,22800000.0,,28268000.0,271764000.0,,110328000.0,712561000.0,232533000.0,27699000.0,1379933000.0,,,189310000.0,506001000.0,,0.0,,79806000.0,1538806000.0,496267000.0,-53656000.0,-158873000.0,1379933000.0,,17288000.0,-2083000.0,24445000.0,,,,,24841000.0,-20809000.0,323754000.0,1422000.0,,,,121721000.0,41925000.0,,0.0,-186406000.0,,5470000.0,-139494000.0,-2128000.0,
2011-12-31,,,,15393000.0,209469000.0,818459000.0,513381000.0,-52960000.0,460421000.0,177663000.0,282758000.0,1.7,1.63,166015238.0,173325110.0,191603000.0,5066000.0,153339000.0,,14298000.0,,41248000.0,453654000.0,,119411000.0,709944000.0,226424000.0,21193000.0,1541106000.0,,65739000.0,176842000.0,349650000.0,,0.0,22567000.0,61866000.0,1639596000.0,576585000.0,-78287000.0,-98490000.0,1541106000.0,,22656000.0,23277000.0,25926000.0,,,,,12373000.0,-35675000.0,375721000.0,1549000.0,,,,121721000.0,59829000.0,,,-204129000.0,0.0,53195000.0,-34780000.0,136629000.0,
2012-03-31,,,,,53979000.0,207540000.0,138961000.0,-15950000.0,123011000.0,48410000.0,74601000.0,0.45,0.44,164836992.0,171350820.0,114930000.0,4968000.0,194540000.0,,13500000.0,,39536000.0,419840000.0,,124781000.0,933298000.0,375742000.0,38382000.0,1892043000.0,,,288942000.0,567556000.0,,39868000.0,,80043000.0,1902301000.0,651186000.0,-77403000.0,-10258000.0,1892043000.0,,4446000.0,,34479000.0,,,,,112100000.0,-2269000.0,189613000.0,791000.0,,,,330777000.0,17442000.0,,,-367112000.0,,,100673000.0,-76673000.0,
2012-06-30,,,,,116452000.0,442364000.0,277363000.0,-33201000.0,244162000.0,96230000.0,147932000.0,0.89,0.86,165946009.0,171901349.0,97198000.0,4782000.0,173607000.0,,15613000.0,,46460000.0,397495000.0,,133731000.0,934762000.0,363555000.0,23800000.0,1853343000.0,,,253880000.0,612259000.0,,41880000.0,,62506000.0,1806661000.0,724517000.0,-77354000.0,46682000.0,1853343000.0,,13653000.0,,13652000.0,,,,,77038000.0,-7617000.0,187435000.0,1128000.0,,,,331330000.0,36532000.0,,,-387037000.0,,31624000.0,105331000.0,-94405000.0,
2012-09-30,,,,,175159000.0,685976000.0,432614000.0,-51836000.0,380778000.0,149935000.0,230843000.0,1.39,1.34,165978080.0,171660543.0,97770000.0,4895000.0,175520000.0,,15614000.0,,33613000.0,361337000.0,,144799000.0,1220384000.0,530023000.0,46890000.0,2303433000.0,,,219800000.0,668257000.0,,80755000.0,,82799000.0,2161385000.0,807428000.0,-76853000.0,142048000.0,2303433000.0,,19303000.0,,3026000.0,,,,,39588000.0,-8133000.0,320997000.0,1317000.0,,,,743091000.0,55724000.0,,,-838704000.0,,55056000.0,424004000.0,-93833000.0,
2012-12-31,,,,18386000.0,231359000.0,942732000.0,591588000.0,-72380000.0,519208000.0,190066000.0,329142000.0,1.98,1.92,165890258.0,171709518.0,89819000.0,4883000.0,178430000.0,,-123364000.0,,39109000.0,390559000.0,,154084000.0,1247459000.0,520935000.0,47299000.0,2360336000.0,,79715000.0,200705000.0,585350000.0,,133761000.0,21611000.0,78190000.0,2104745000.0,905727000.0,-89160000.0,255591000.0,2360336000.0,,24696000.0,63262000.0,6425000.0,,,,,20493000.0,-13860000.0,468229000.0,1784000.0,,,,769513000.0,74373000.0,,-1455000.0,-883583000.0,,60672000.0,313555000.0,-101784000.0,
2013-03-31,,,,,59028000.0,255898000.0,147425000.0,-20235000.0,127190000.0,46679000.0,80511000.0,0.48,0.47,168078589.0,172760641.0,267358000.0,5141000.0,190917000.0,,10463000.0,,31629000.0,552543000.0,,167129000.0,1248261000.0,503728000.0,44686000.0,2516347000.0,,,314448000.0,650422000.0,,134499000.0,,74484000.0,2163823000.0,986238000.0,-88927000.0,352524000.0,2516347000.0,,4571000.0,,12785000.0,,,,,113743000.0,-3706000.0,191257000.0,3747000.0,,,,,28065000.0,,,-27608000.0,,36128000.0,14296000.0,177539000.0,
2013-06-30,,,,,120180000.0,525720000.0,298923000.0,-39806000.0,259117000.0,94401000.0,164716000.0,0.98,0.95,168147069.0,172614164.0,172587000.0,4254000.0,186549000.0,,10463000.0,,34695000.0,493609000.0,,185928000.0,1249271000.0,486532000.0,24011000.0,2439351000.0,,,287571000.0,585136000.0,,135257000.0,,52138000.0,2073846000.0,1070443000.0,-88338000.0,365505000.0,2439351000.0,,10955000.0,,8752000.0,,,,,86866000.0,-26052000.0,246691000.0,4967000.0,,,,983000.0,63505000.0,,-192000.0,-62998000.0,,63934000.0,-100244000.0,82768000.0,
