Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-03-31,22429000.0,,,143012000.0,35552000.0,182711000.0,-160282000.0,,,,,-0.83,-0.83,198935000.0,198935000.0,396547000.0,696136000.0,7876000.0,,,,,1126768000.0,,58109000.0,26102000.0,,10310000.0,1770302000.0,29121000.0,92234000.0,69575000.0,211540000.0,215488000.0,160278000.0,,,779690000.0,-2855054000.0,-1080000.0,,1770302000.0,7584000.0,19333000.0,,-1714000.0,,,,-7964000.0,-15468000.0,,-196462000.0,42022000.0,,,,,3110000.0,,380000.0,138762000.0,,,7642000.0,-50111000.0,
2010-06-30,54051000.0,,,298094000.0,76467000.0,383906000.0,-329855000.0,,,,,-1.83,-1.83,200397000.0,200397000.0,337608000.0,641537000.0,3548000.0,,,,,1004555000.0,,60438000.0,26102000.0,,10317000.0,1654202000.0,46495000.0,106668000.0,78273000.0,292376000.0,195223000.0,160278000.0,,,827067000.0,-3055060000.0,-558000.0,,1654202000.0,15496000.0,43782000.0,,-6045000.0,,,,9636000.0,-27035000.0,,-305349000.0,321252000.0,,,,,12796000.0,,906000.0,179410000.0,,,17115000.0,-109050000.0,
2010-09-30,77846000.0,,,468528000.0,125322000.0,607289000.0,-529443000.0,,,,,-2.87,-2.87,200887000.0,200887000.0,569901000.0,633110000.0,4964000.0,,,,,1226439000.0,,65439000.0,26102000.0,,18059000.0,1888829000.0,24644000.0,127969000.0,98977000.0,311567000.0,177962000.0,160278000.0,,,1238733000.0,-3264017000.0,-677000.0,,1888829000.0,22254000.0,67550000.0,,-4641000.0,,,,-12315000.0,-23592000.0,,-469339000.0,774530000.0,,,,,23626000.0,,862000.0,176996000.0,,,415610000.0,123243000.0,
2011-03-31,73662000.0,,,158612000.0,71523000.0,233561000.0,-159899000.0,,,,,-0.87,-0.87,202329000.0,202329000.0,446536000.0,376916000.0,5594000.0,17816000.0,,,,872974000.0,,70877000.0,26102000.0,,15723000.0,1538487000.0,34881000.0,116092000.0,74193000.0,416195000.0,144416000.0,160278000.0,,,1146815000.0,-3620505000.0,-633000.0,,1538487000.0,8858000.0,27879000.0,,-6922000.0,17662000.0,,,-1066000.0,-16059000.0,,-186628000.0,124996000.0,,,,,4850000.0,,543000.0,405952000.0,,,-16357000.0,203339000.0,
2011-06-30,188086000.0,,,332216000.0,168186000.0,513875000.0,-325789000.0,,-350966000.0,24448000.0,-350165000.0,-1.72,-1.72,204413000.0,204413000.0,458195000.0,135296000.0,96016000.0,52622000.0,,,,827124000.0,,84203000.0,33501000.0,,14858000.0,1763100000.0,67275000.0,141167000.0,65018000.0,478968000.0,134036000.0,260448000.0,,6233000.0,1313920000.0,-3794574000.0,-707000.0,307549000.0,1763100000.0,17567000.0,59758000.0,,83714000.0,52086000.0,,,30147000.0,-35614000.0,,-402823000.0,135109000.0,,,,,15281000.0,60000000.0,350000.0,578742000.0,,,38673000.0,214998000.0,
2011-09-30,847286000.0,,,521268000.0,278840000.0,957368000.0,215707000.0,,200610000.0,-27842000.0,221110000.0,1.06,1.02,206002000.0,219349000.0,542545000.0,116140000.0,445661000.0,67654000.0,,,,1245825000.0,,101268000.0,33501000.0,,13785000.0,2091998000.0,49248000.0,229865000.0,55695000.0,548949000.0,126221000.0,231184000.0,,7848000.0,1361152000.0,-3573464000.0,-945000.0,579762000.0,2091998000.0,25317000.0,89172000.0,,433132000.0,66824000.0,,,12103000.0,-52752000.0,,-359928000.0,251089000.0,,,,,25266000.0,60000000.0,545000.0,600188000.0,,,58742000.0,,
2011-12-31,1410626000.0,,,707706000.0,400721000.0,1296806000.0,113820000.0,,60445000.0,19266000.0,29574000.0,0.14,0.14,204891000.0,208807000.0,475320000.0,493602000.0,183135000.0,112430000.0,230000.0,,,1331254000.0,,133176000.0,30992000.0,,11268000.0,2204280000.0,74642000.0,252299000.0,45037000.0,392348000.0,118095000.0,243707000.0,,7287000.0,1238768000.0,-3414835000.0,-1053000.0,786843000.0,2204280000.0,35041000.0,118226000.0,-11103000.0,170606000.0,111388000.0,,,37468000.0,-71536000.0,,143735000.0,721545000.0,,,,,34595000.0,60000000.0,183000.0,212412000.0,,900000.0,-124238000.0,,0.0
2012-03-31,438737000.0,,,196371000.0,111146000.0,347088000.0,91649000.0,,87908000.0,32000.0,91590000.0,0.44,0.43,208018000.0,219264000.0,267923000.0,712944000.0,232228000.0,129595000.0,,,,1436114000.0,,170331000.0,30992000.0,,10816000.0,2345843000.0,73226000.0,241483000.0,30491000.0,356815000.0,116189000.0,241426000.0,,10885000.0,1240266000.0,-3323245000.0,-628000.0,930498000.0,2345843000.0,8560000.0,27688000.0,,49093000.0,16915000.0,,,-1400000.0,-16452000.0,,2916000.0,403179000.0,,,,,6155000.0,,216000.0,-231702000.0,,227000.0,21525000.0,,
2012-06-30,857042000.0,,,392915000.0,228660000.0,776163000.0,80879000.0,,73503000.0,20095000.0,-64931000.0,-0.31,-0.31,211344000.0,212957000.0,454061000.0,769273000.0,185618000.0,87805000.0,,,,1593305000.0,,272561000.0,30992000.0,,10408000.0,2604856000.0,59352000.0,271464000.0,27296000.0,379710000.0,110072000.0,263017000.0,,28010000.0,1361249000.0,-3388176000.0,-673000.0,1037773000.0,2604856000.0,17225000.0,59067000.0,,2483000.0,34288000.0,,,-15313000.0,-25764000.0,,121321000.0,777604000.0,,,,,21698000.0,,485000.0,-301745000.0,,1214000.0,159217000.0,,
2012-09-30,1193048000.0,,,593076000.0,326344000.0,1113240000.0,79808000.0,,68391000.0,41450000.0,-57543000.0,-0.27,-0.27,213767000.0,213767000.0,436886000.0,861656000.0,139629000.0,86275000.0,,,,1634523000.0,,124148000.0,30992000.0,,10393000.0,2718823000.0,83732000.0,273285000.0,27303000.0,406731000.0,103626000.0,279466000.0,,28739000.0,1454077000.0,-3445719000.0,-416000.0,1027733000.0,2718823000.0,25818000.0,86649000.0,,-43538000.0,32419000.0,,,1359000.0,-32203000.0,,227282000.0,1309044000.0,,,,,43094000.0,,997000.0,-432973000.0,,1097000.0,167367000.0,,
