Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,936094000.0,,,,,740202000.0,,,195892000.0,-1719000.0,266495000.0,1.75,1.74,152566000.0,152758000.0,107397000.0,,,,,,,,,,,,,5616245000.0,,,,,,,,,3132185000.0,-165710000.0,19669000.0,2465511000.0,5616245000.0,,11882000.0,-1719000.0,,,,1514000.0,,,20306000.0,422101000.0,,,,,,13798000.0,,0.0,-1746000.0,299201000.0,,-490180000.0,-69825000.0,
2010-03-31,241545000.0,,,,,188551000.0,,,52994000.0,286000.0,52619000.0,0.34,0.34,156453000.0,156967000.0,132729000.0,,,,,,,,,,,,,5633825000.0,,,,,,,,,3170205000.0,-196972000.0,25154000.0,2445633000.0,5633825000.0,,3032000.0,286000.0,,,,3772000.0,,,-5514000.0,115561000.0,,,,,,4295000.0,,,-30005000.0,,,-61071000.0,24485000.0,
2010-06-30,485523000.0,,,,,378699000.0,,,106824000.0,695000.0,110686000.0,0.71,0.7,156611000.0,157441000.0,27794000.0,,,,,,,,,,,,,5462117000.0,,,,,,,,,3030703000.0,-222853000.0,16506000.0,2416408000.0,5462117000.0,,6089000.0,,,,,,,,,207717000.0,,,,,,7078000.0,,,-21437000.0,,,-265835000.0,-79555000.0,
2010-09-30,748873000.0,,,,,582241000.0,,,166632000.0,2352000.0,168584000.0,1.08,1.07,156631000.0,157941000.0,33790000.0,,,,,,,,,,,,,5800817000.0,,,,,,,,,3384631000.0,-249047000.0,23816000.0,2401482000.0,5800817000.0,,10128000.0,,,,,,,,,346119000.0,,,,,,13243000.0,,,-268476000.0,,,-151319000.0,-73676000.0,
2011-03-31,270461000.0,,,,,224442000.0,,,46019000.0,-3197000.0,48984000.0,0.31,0.3,160420000.0,162023000.0,41899000.0,,,,,,,,,,,,,5694098000.0,,,,,,,,,3047651000.0,-300382000.0,28097000.0,2643404000.0,5694098000.0,,4016000.0,,,,,1540000.0,,,,130769000.0,,,12500000.0,,,7963000.0,,37000.0,31681000.0,299926000.0,,-142456000.0,19994000.0,
2011-06-30,635121000.0,,,,,575494000.0,,,59627000.0,-9406000.0,68660000.0,0.41,0.4,176262000.0,177945000.0,26702000.0,,,,279700000.0,,,,,,74099000.0,,,9634033000.0,,,,,,,,,5714457000.0,-412694000.0,28212000.0,3916718000.0,9634033000.0,,8368000.0,,,,,9940000.0,,,,186300000.0,,,,,,19236000.0,,75000.0,-744606000.0,299884000.0,,563095000.0,4789000.0,
2011-09-30,1201078000.0,,,,,1053553000.0,739747000.0,,147525000.0,-23310000.0,171545000.0,0.82,0.81,287365000.0,290794000.0,57482000.0,,,,,,,,,,288196000.0,,,17205770000.0,,,,,,,,,7782684000.0,-439015000.0,19237000.0,9245762000.0,17205770000.0,293541000.0,13596000.0,,,,,27009000.0,,,,443901000.0,,,,,,28658000.0,,113000.0,-842924000.0,299926000.0,,434790000.0,35767000.0,
2011-12-31,1764991000.0,,,,,1434498000.0,,,330493000.0,-31137000.0,,1.6,1.58,228453000.0,230790000.0,45807000.0,,,,-258711000.0,,,,,,448393000.0,,,17271910000.0,,,,,,,,,7813129000.0,-412181000.0,22062000.0,9274957000.0,17271910000.0,,19346000.0,-27057000.0,,,,-424000.0,,,,773197000.0,,,23100000.0,,,50473000.0,,165000.0,-997439000.0,299847000.0,,248282000.0,24040000.0,
2012-03-31,573694000.0,,,,,514910000.0,,,58784000.0,11338000.0,,0.31,0.31,288375000.0,290813000.0,53224000.0,,,,269400000.0,,,,,,448053000.0,,,17188959000.0,,,,,,,,,7820460000.0,-500808000.0,23926000.0,9186735000.0,17188959000.0,,4834000.0,,,,,-1275000.0,,,,244961000.0,,,,,,10019000.0,,2137000.0,-40312000.0,0.0,,-197287000.0,7362000.0,
2012-06-30,1187571000.0,,,,,1092621000.0,,,94950000.0,6159000.0,,0.57,0.56,290170000.0,292592000.0,52803000.0,,,,269100000.0,,,,,,493298000.0,,,18222261000.0,,,,,,,,,8583020000.0,-609487000.0,21404000.0,9418611000.0,18222261000.0,,11086000.0,,,,,-861000.0,,,,460808000.0,,,,,,23812000.0,,2150000.0,-975051000.0,342469000.0,,521221000.0,6978000.0,
