Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1960000000.0,,,,,743000000.0,1217000000.0,-9000000.0,,445000000.0,763000000.0,,,,,4160000000.0,25000000.0,536000000.0,,595000000.0,,212000000.0,8753000000.0,159000000.0,1203000000.0,10208000000.0,10883000000.0,120000000.0,31715000000.0,87000000.0,883000000.0,,3637000000.0,,3806000000.0,,494000000.0,8238000000.0,2691000000.0,-175000000.0,23472000000.0,31715000000.0,,32000000.0,102000000.0,92000000.0,,,-137000000.0,-69000000.0,,,-29000000.0,,,,1000000.0,,37000000.0,,,22000000.0,,5000000.0,-452000000.0,-457000000.0,25000000.0
2010-03-31,3919000000.0,,,,,1580000000.0,2339000000.0,-18000000.0,,846000000.0,1476000000.0,,,,,4560000000.0,22000000.0,502000000.0,,470000000.0,,413000000.0,9115000000.0,154000000.0,1183000000.0,10208000000.0,10883000000.0,186000000.0,32068000000.0,78000000.0,698000000.0,,3537000000.0,,3808000000.0,,502000000.0,8081000000.0,3199000000.0,-99000000.0,23983000000.0,32068000000.0,,61000000.0,185000000.0,58000000.0,,,141000000.0,-78000000.0,,,580000000.0,1000000.0,,,1000000.0,,79000000.0,,,52000000.0,,8000000.0,-695000000.0,-57000000.0,759000000.0
2010-06-30,5948000000.0,,,,,2472000000.0,3476000000.0,-33000000.0,,1252000000.0,2192000000.0,,,,,5205000000.0,29000000.0,501000000.0,,448000000.0,,284000000.0,9850000000.0,128000000.0,1185000000.0,10208000000.0,10883000000.0,192000000.0,32696000000.0,94000000.0,707000000.0,,3482000000.0,,3798000000.0,,569000000.0,8016000000.0,3822000000.0,-82000000.0,24676000000.0,32696000000.0,,95000000.0,190000000.0,57000000.0,,,27000000.0,-62000000.0,,,1798000000.0,1000000.0,,,3000000.0,,144000000.0,,,-10000000.0,,13000000.0,-1202000000.0,588000000.0,977000000.0
2010-09-30,8065000000.0,,,,,3476000000.0,4589000000.0,49000000.0,,1674000000.0,2966000000.0,,,,,3867000000.0,124000000.0,476000000.0,,-3558000000.0,,30000000.0,8734000000.0,24000000.0,1357000000.0,11447000000.0,11478000000.0,197000000.0,33408000000.0,137000000.0,625000000.0,,3498000000.0,,4181000000.0,423000000.0,617000000.0,8394000000.0,4368000000.0,-151000000.0,25011000000.0,33408000000.0,,131000000.0,249000000.0,7000000.0,,,41000000.0,-21000000.0,,,2691000000.0,11000000.0,,,17000000.0,1805000000.0,241000000.0,,,-1904000000.0,,14000000.0,-1542000000.0,-750000000.0,1291000000.0
2010-12-31,2238000000.0,,,,,872000000.0,1366000000.0,16000000.0,,498000000.0,884000000.0,,,,,3684000000.0,132000000.0,527000000.0,,545000000.0,,,9355000000.0,13000000.0,1380000000.0,11447000000.0,11463000000.0,217000000.0,33989000000.0,95000000.0,920000000.0,,3679000000.0,,4186000000.0,,551000000.0,8445000000.0,5023000000.0,-150000000.0,25541000000.0,33989000000.0,,48000000.0,82000000.0,51000000.0,,,-57000000.0,-42000000.0,,,1006000000.0,,,,,,75000000.0,,,-73000000.0,,7000000.0,-1121000000.0,-183000000.0,29000000.0
2011-03-31,4483000000.0,,,,,1734000000.0,2749000000.0,10000000.0,,995000000.0,1765000000.0,,,,,3512000000.0,131000000.0,538000000.0,,497000000.0,,,9606000000.0,7000000.0,1453000000.0,11588000000.0,11464000000.0,189000000.0,34422000000.0,86000000.0,780000000.0,,3465000000.0,,4205000000.0,,573000000.0,8268000000.0,5707000000.0,-139000000.0,26151000000.0,34422000000.0,,90000000.0,129000000.0,62000000.0,,,188000000.0,-51000000.0,,,1609000000.0,,,,,162000000.0,147000000.0,,,-196000000.0,,8000000.0,-1779000000.0,-355000000.0,1015000000.0
2011-06-30,6805000000.0,,,,,2711000000.0,4094000000.0,208000000.0,,1534000000.0,2770000000.0,,,,,3600000000.0,155000000.0,551000000.0,,507000000.0,,,9516000000.0,7000000.0,1510000000.0,11668000000.0,11453000000.0,184000000.0,34447000000.0,93000000.0,611000000.0,,3531000000.0,,4254000000.0,,588000000.0,8395000000.0,6130000000.0,-136000000.0,26050000000.0,34447000000.0,,122000000.0,169000000.0,70000000.0,,,-30000000.0,-47000000.0,,,3004000000.0,50000000.0,,,10000000.0,268000000.0,236000000.0,,,-425000000.0,,12000000.0,-2854000000.0,-267000000.0,1251000000.0
2011-09-30,9188000000.0,,,,,3732000000.0,5456000000.0,200000000.0,5656000000.0,2010000000.0,3650000000.0,,,,,2127000000.0,1214000000.0,560000000.0,,-3716000000.0,,27000000.0,9190000000.0,711000000.0,1541000000.0,11668000000.0,11436000000.0,129000000.0,34760000000.0,169000000.0,562000000.0,,3451000000.0,,4205000000.0,468000000.0,667000000.0,8323000000.0,6706000000.0,-176000000.0,26437000000.0,34760000000.0,,154000000.0,164000000.0,79000000.0,,,1000000.0,29000000.0,,,3872000000.0,1910000000.0,,,13000000.0,268000000.0,353000000.0,,,-2299000000.0,,18000000.0,-3304000000.0,-1740000000.0,1731000000.0
2011-12-31,2547000000.0,,,,,929000000.0,1618000000.0,-1000000.0,,590000000.0,1029000000.0,,,,,1942000000.0,734000000.0,629000000.0,,461000000.0,,,9978000000.0,899000000.0,1542000000.0,11668000000.0,11454000000.0,121000000.0,35768000000.0,87000000.0,886000000.0,,3537000000.0,,4212000000.0,,718000000.0,8467000000.0,7544000000.0,-172000000.0,,35768000000.0,,38000000.0,34000000.0,69000000.0,,,-122000000.0,-82000000.0,,,1286000000.0,933000000.0,,,2000000.0,,66000000.0,35000000.0,,194000000.0,,18000000.0,-1665000000.0,-185000000.0,57000000.0
2012-06-30,7690000000.0,,,,,7073000000.0,-2607000000.0,2000000.0,,-768000000.0,-1839000000.0,,,,,1558000000.0,682000000.0,793000000.0,,1645000000.0,,,10899000000.0,2923000000.0,1581000000.0,11681000000.0,11437000000.0,123000000.0,38741000000.0,111000000.0,574000000.0,,7854000000.0,,3944000000.0,,785000000.0,12583000000.0,6411000000.0,-175000000.0,,38741000000.0,,112000000.0,-1427000000.0,231000000.0,,,35000000.0,-58000000.0,,,3640000000.0,3326000000.0,,,9000000.0,3000000.0,235000000.0,35000000.0,,-1943000000.0,,42000000.0,-2262000000.0,-569000000.0,1575000000.0
