Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-11-30,0.0,0.0,0.0,,0.0,,0.0,,-14000000.0,0.0,-14000000.0,,,,,9962000000.0,,,,,,,,,,,,68000000.0,10030000000.0,,24000000.0,,97000000.0,,,,,,-14000000.0,-63000000.0,-77000000.0,10030000000.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,9972000000.0,9962000000.0,
2015-02-28,46127000000.0,33949000000.0,12178000000.0,,10062000000.0,,2431000000.0,,3641000000.0,712000000.0,2892000000.0,2.91,2.88,,1054700000.0,3005000000.0,77000000.0,7017000000.0,9379000000.0,,,1314000000.0,20715000000.0,,15646000000.0,17044000000.0,12225000000.0,5727000000.0,71357000000.0,10293000000.0,5140000000.0,,16690000000.0,,3689000000.0,,3951000000.0,,24526000000.0,-68000000.0,30814000000.0,71357000000.0,826000000.0,65000000.0,181000000.0,391000000.0,-106000000.0,,,,,-94000000.0,2337000000.0,,,,,,643000000.0,,165000000.0,-4708000000.0,,,2829000000.0,359000000.0,
2015-05-31,74922000000.0,55263000000.0,19659000000.0,,16142000000.0,,3832000000.0,,5352000000.0,1120000000.0,4194000000.0,4.08,4.04,,1102400000.0,4449000000.0,84000000.0,6899000000.0,8764000000.0,,,917000000.0,21029000000.0,,15241000000.0,17361000000.0,11229000000.0,5784000000.0,70644000000.0,9932000000.0,4849000000.0,,16157000000.0,,3532000000.0,,3971000000.0,,25460000000.0,-141000000.0,31563000000.0,70644000000.0,1264000000.0,86000000.0,240000000.0,273000000.0,-679000000.0,,,,,-116000000.0,4159000000.0,,,,,,890000000.0,,174000000.0,-3884000000.0,,,1622000000.0,1803000000.0,
2015-08-31,103444000000.0,76520000000.0,26924000000.0,,22571000000.0,,4668000000.0,,5311000000.0,1056000000.0,4220000000.0,4.05,4.0,,1053900000.0,3000000000.0,36000000.0,6849000000.0,8678000000.0,1157000000.0,,1130000000.0,19657000000.0,,15068000000.0,16372000000.0,12351000000.0,5334000000.0,68782000000.0,10088000000.0,5225000000.0,,16557000000.0,,3538000000.0,,4072000000.0,,25089000000.0,-214000000.0,30861000000.0,68782000000.0,1742000000.0,109000000.0,-32000000.0,338000000.0,-719000000.0,,,,,-11000000.0,5664000000.0,,,,,,1251000000.0,,59000000.0,-4276000000.0,,,-915000000.0,354000000.0,
2015-11-30,29033000000.0,21531000000.0,7502000000.0,,6034000000.0,,1468000000.0,,1273000000.0,167000000.0,1110000000.0,,,,1098600000.0,2570000000.0,33000000.0,6821000000.0,9884000000.0,,,956000000.0,20231000000.0,,14878000000.0,16195000000.0,12040000000.0,5313000000.0,68657000000.0,10643000000.0,4886000000.0,,16874000000.0,,3313000000.0,,4122000000.0,,25806000000.0,-658000000.0,30709000000.0,68657000000.0,382000000.0,31000000.0,-158000000.0,166000000.0,1306000000.0,,,,,67000000.0,732000000.0,,,,,,340000000.0,,-4000000.0,-271000000.0,,,-853000000.0,-430000000.0,
2016-02-29,59217000000.0,43771000000.0,15446000000.0,,12118000000.0,,3328000000.0,,2497000000.0,468000000.0,2040000000.0,,,,1093500000.0,3586000000.0,,6733000000.0,9025000000.0,,,1034000000.0,20378000000.0,,14552000000.0,15796000000.0,11122000000.0,4537000000.0,66385000000.0,9873000000.0,5050000000.0,,16272000000.0,,3107000000.0,,4114000000.0,,26348000000.0,-1868000000.0,29506000000.0,66385000000.0,824000000.0,60000000.0,-171000000.0,152000000.0,553000000.0,,,,,60000000.0,3085000000.0,,,,,,657000000.0,,3000000.0,-552000000.0,,,-1859000000.0,586000000.0,
2016-05-31,88715000000.0,65772000000.0,22943000000.0,,18085000000.0,,4861000000.0,,3911000000.0,790000000.0,3143000000.0,,,,1091700000.0,3291000000.0,,6508000000.0,8931000000.0,,,983000000.0,19713000000.0,,14493000000.0,16102000000.0,11556000000.0,5469000000.0,67333000000.0,10337000000.0,4852000000.0,,15811000000.0,,3058000000.0,,3999000000.0,,27061000000.0,-1277000000.0,30881000000.0,67333000000.0,1271000000.0,87000000.0,-250000000.0,-8000000.0,481000000.0,,,,,10000000.0,5189000000.0,,,,,,904000000.0,,17000000.0,-1961000000.0,,,-2894000000.0,291000000.0,
2016-08-31,117351000000.0,87477000000.0,29874000000.0,,23910000000.0,,6001000000.0,,5144000000.0,997000000.0,4173000000.0,3.85,3.82,1083100000.0,1091100000.0,9807000000.0,32000000.0,6260000000.0,8956000000.0,1348000000.0,,860000000.0,25883000000.0,,14335000000.0,15527000000.0,10302000000.0,467000000.0,72688000000.0,11000000000.0,5484000000.0,,17013000000.0,,2644000000.0,,4045000000.0,,27684000000.0,-2992000000.0,29880000000.0,72688000000.0,1718000000.0,115000000.0,-442000000.0,-115000000.0,644000000.0,,,,,58000000.0,7847000000.0,,,,,,1325000000.0,,-5000000.0,-3517000000.0,,,2606000000.0,6807000000.0,
2016-11-30,28501000000.0,21385000000.0,7116000000.0,,5686000000.0,,1447000000.0,,1275000000.0,220000000.0,1054000000.0,,,1082100000.0,1088300000.0,9598000000.0,,6138000000.0,10039000000.0,,,893000000.0,26668000000.0,,13709000000.0,15203000000.0,9728000000.0,468000000.0,71912000000.0,11372000000.0,4880000000.0,,17729000000.0,,2516000000.0,,4198000000.0,,28332000000.0,-3810000000.0,29325000000.0,71912000000.0,419000000.0,26000000.0,-61000000.0,259000000.0,1330000000.0,,,,,-3000000.0,525000000.0,,,,,,378000000.0,,-20000000.0,89000000.0,,,-778000000.0,-209000000.0,
2017-02-28,57947000000.0,43270000000.0,14677000000.0,,11810000000.0,,2926000000.0,,2567000000.0,466000000.0,2114000000.0,,,1080900000.0,1086900000.0,11822000000.0,,5674000000.0,9230000000.0,,,783000000.0,27509000000.0,,13528000000.0,15214000000.0,9650000000.0,440000000.0,72505000000.0,11264000000.0,4935000000.0,,17678000000.0,,2339000000.0,,4309000000.0,,28987000000.0,-3809000000.0,30067000000.0,72505000000.0,831000000.0,52000000.0,-226000000.0,-189000000.0,507000000.0,,,,,166000000.0,3382000000.0,,,,,,639000000.0,,-36000000.0,-197000000.0,,,-1122000000.0,2015000000.0,
