Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,3516000000.0,1065000000.0,,,1247000000.0,2281000000.0,1235000000.0,,,472000000.0,560000000.0,1.3,1.3,,425000000.0,623000000.0,,,,71000000.0,,100000000.0,1680000000.0,,411000000.0,6433000000.0,643000000.0,581000000.0,10965000000.0,63000000.0,394000000.0,91000000.0,790000000.0,,274000000.0,,176000000.0,4697000000.0,-376000000.0,-21000000.0,6208000000.0,10965000000.0,155000000.0,228000000.0,-7000000.0,37000000.0,,,,,,,608000000.0,,,,,0.0,57000000.0,,-23000000.0,266000000.0,,,-356000000.0,523000000.0,
2010-03-31,879000000.0,269000000.0,,,290000000.0,596000000.0,283000000.0,,,47000000.0,169000000.0,0.4,0.39,,429000000.0,691000000.0,,,,,,184000000.0,1721000000.0,,405000000.0,6442000000.0,636000000.0,571000000.0,10952000000.0,,283000000.0,,934000000.0,,,,350000000.0,,-224000000.0,-40000000.0,6359000000.0,10952000000.0,,44000000.0,-16000000.0,-42000000.0,,,,,,,126000000.0,,,,,38000000.0,12000000.0,,15000000.0,-65000000.0,,,1000000.0,68000000.0,-45000000.0
2010-06-30,1832000000.0,521000000.0,,,588000000.0,1178000000.0,654000000.0,,,88000000.0,276000000.0,0.65,0.64,,431000000.0,713000000.0,,,,,,185000000.0,1815000000.0,,401000000.0,6442000000.0,625000000.0,585000000.0,11074000000.0,43000000.0,235000000.0,,608000000.0,,,,309000000.0,,-111000000.0,-44000000.0,6486000000.0,11074000000.0,67000000.0,94000000.0,-44000000.0,31000000.0,,,,,,,90000000.0,,,,,38000000.0,20000000.0,,,-99000000.0,,,99000000.0,90000000.0,178000000.0
2010-09-30,2758000000.0,782000000.0,,,894000000.0,1792000000.0,966000000.0,,,171000000.0,462000000.0,1.08,1.07,,431000000.0,1016000000.0,,,,,,197000000.0,2137000000.0,,389000000.0,6435000000.0,615000000.0,593000000.0,11398000000.0,52000000.0,310000000.0,,792000000.0,,,,267000000.0,,75000000.0,-23000000.0,6683000000.0,11398000000.0,100000000.0,153000000.0,-89000000.0,41000000.0,,,,,,,445000000.0,,,,,38000000.0,29000000.0,,,-114000000.0,,9000000.0,56000000.0,393000000.0,282000000.0
2010-12-31,3773000000.0,1073000000.0,,,1185000000.0,2413000000.0,1360000000.0,,,288000000.0,653000000.0,1.53,1.52,,429000000.0,466000000.0,,,,-223000000.0,,225000000.0,1735000000.0,,399000000.0,6434000000.0,605000000.0,601000000.0,11019000000.0,87000000.0,393000000.0,,785000000.0,,304000000.0,,99000000.0,4786000000.0,,-33000000.0,6225000000.0,11019000000.0,132000000.0,182000000.0,11000000.0,81000000.0,,,,,,,668000000.0,,,125000000.0,,38000000.0,49000000.0,,,-190000000.0,,19000000.0,-641000000.0,-157000000.0,395000000.0
2011-03-31,951000000.0,273000000.0,,,269000000.0,444000000.0,507000000.0,,,146000000.0,305000000.0,0.75,0.74,,414000000.0,453000000.0,,,,76000000.0,,150000000.0,1629000000.0,,389000000.0,6301000000.0,592000000.0,136000000.0,11108000000.0,62000000.0,356000000.0,,654000000.0,,352000000.0,,100000000.0,4697000000.0,305000000.0,-16000000.0,6408000000.0,11108000000.0,30000000.0,17000000.0,,-14000000.0,,,,,,,217000000.0,,,,,,11000000.0,,2000000.0,-70000000.0,,4000000.0,-168000000.0,-13000000.0,-6000000.0
2011-06-30,2018000000.0,561000000.0,,,569000000.0,1066000000.0,952000000.0,,,290000000.0,559000000.0,1.37,1.36,,412000000.0,1095000000.0,,,,65000000.0,,160000000.0,2321000000.0,,382000000.0,6302000000.0,584000000.0,131000000.0,11836000000.0,48000000.0,364000000.0,,614000000.0,,373000000.0,,100000000.0,5322000000.0,559000000.0,-10000000.0,6513000000.0,11836000000.0,60000000.0,49000000.0,,31000000.0,,,,,,,431000000.0,,,,,,27000000.0,,,-109000000.0,,17000000.0,299000000.0,629000000.0,-93000000.0
2011-09-30,3113000000.0,903000000.0,,,864000000.0,1735000000.0,1378000000.0,,1214000000.0,417000000.0,796000000.0,1.97,1.95,404000000.0,408000000.0,1032000000.0,,,,53000000.0,,,2299000000.0,,371000000.0,6299000000.0,577000000.0,146000000.0,11801000000.0,48000000.0,438000000.0,,707000000.0,,354000000.0,,108000000.0,5398000000.0,796000000.0,-22000000.0,6402000000.0,11801000000.0,90000000.0,70000000.0,71000000.0,127000000.0,,,,,,,760000000.0,,,,,,42000000.0,,,-135000000.0,,18000000.0,-55000000.0,566000000.0,206000000.0
2011-12-31,4235000000.0,1233000000.0,,,1183000000.0,2436000000.0,1799000000.0,,1559000000.0,425000000.0,1132000000.0,2.82,2.8,401000000.0,405000000.0,1048000000.0,,,,-264000000.0,,,2431000000.0,,379000000.0,6291000000.0,571000000.0,132000000.0,11913000000.0,53000000.0,482000000.0,,746000000.0,,337000000.0,,92000000.0,5394000000.0,1132000000.0,-23000000.0,6517000000.0,11913000000.0,119000000.0,99000000.0,25000000.0,179000000.0,,,,,,,1100000000.0,,,,,26000000.0,58000000.0,,,-214000000.0,,28000000.0,-297000000.0,582000000.0,288000000.0
2012-03-31,1103000000.0,311000000.0,,,315000000.0,657000000.0,446000000.0,,341000000.0,119000000.0,221000000.0,0.57,0.57,386000000.0,390000000.0,1044000000.0,,,,72000000.0,,,2451000000.0,,374000000.0,6294000000.0,567000000.0,137000000.0,11935000000.0,63000000.0,567000000.0,,740000000.0,,321000000.0,,88000000.0,5367000000.0,1353000000.0,-12000000.0,6565000000.0,11935000000.0,30000000.0,41000000.0,,29000000.0,,,,,,,248000000.0,,,,,,21000000.0,,,-42000000.0,,30000000.0,-213000000.0,-4000000.0,-38000000.0
