Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,315889000.0,,,,28700000.0,245331000.0,,,70558000.0,273000.0,,0.58,0.58,123808000.0,124324000.0,55423000.0,,,,,,,,,,,,,7079331000.0,,,,,,,,,3342206000.0,,-8526000.0,3726729000.0,7079331000.0,91032000.0,8747000.0,,,,,11247000.0,,,5552000.0,191506000.0,,,,,,,,,-601140000.0,37560000.0,,429581000.0,19947000.0,
2010-09-30,487385000.0,,,,40331000.0,425604000.0,,,61781000.0,325000.0,,0.58,0.58,125298000.0,125842000.0,181147000.0,,,,,,,,,,,,,7893067000.0,,,,,,,,,3672984000.0,,-11459000.0,4130006000.0,7893067000.0,140137000.0,9757000.0,,,,,1413000.0,,,10139000.0,291004000.0,,,,,,,,,-1002650000.0,486565000.0,,857317000.0,145671000.0,
2011-03-31,255477000.0,,,,17714000.0,250885000.0,,192567000.0,4592000.0,129000.0,32052000.0,0.15,0.15,154945000.0,155485000.0,2667995000.0,,,,,,,,,,51207000.0,,,13258044000.0,,,,,,,,,6482895000.0,,-10295000.0,6620141000.0,13258044000.0,74768000.0,5593000.0,,,,,29973000.0,,,57901000.0,115112000.0,,,,,,,,,-612705000.0,1388118000.0,,3034018000.0,2536425000.0,
2011-06-30,634023000.0,,,,37276000.0,577154000.0,,477085000.0,56869000.0,340000.0,119252000.0,0.56,0.56,176445000.0,177488000.0,328758000.0,,,,,,,,,,51207000.0,,,13480661000.0,,,,,,,,,6729209000.0,,-10145000.0,6598190000.0,13480661000.0,185821000.0,7274000.0,,,,,47195000.0,,,38416000.0,241598000.0,,,,,,,,,-3014899000.0,1421495000.0,,2970489000.0,197188000.0,
2011-09-30,1018809000.0,,,,57009000.0,911048000.0,,,107761000.0,563000.0,173094000.0,0.77,0.76,177272000.0,177849000.0,136676000.0,,,,,,,,,,68321000.0,,,13861089000.0,,,,,,,,,7135060000.0,,-10354000.0,6578793000.0,13861089000.0,301461000.0,9041000.0,,,,,14891000.0,,,20781000.0,417633000.0,,,,,,,,,-3672635000.0,1490681000.0,,3260108000.0,5106000.0,
2011-12-31,1421162000.0,,,,77201000.0,1264733000.0,,1053426000.0,156429000.0,1388000.0,217610000.0,0.9,0.9,173741000.0,174401000.0,163482000.0,,,,,,,,,,68321000.0,,,14924606000.0,,,,,,,,,7612309000.0,,-11928000.0,7124764000.0,14924606000.0,423605000.0,10786000.0,,,,,4744000.0,,,10653000.0,588224000.0,,,,,,,,,-4520129000.0,2137594000.0,,3963817000.0,31912000.0,
2012-03-31,435359000.0,,,,27751000.0,381820000.0,,,53539000.0,1470000.0,58514000.0,0.2,0.19,199661000.0,201658000.0,469217000.0,,,,,,,,,,68321000.0,,,15859734000.0,,,,,,,,,7271181000.0,,-11642000.0,8396385000.0,15859734000.0,127422000.0,11323000.0,,,,,12873000.0,,,-6156000.0,174044000.0,,,,,,,,,-537837000.0,1087777000.0,,669528000.0,305735000.0,
2012-12-31,1822099000.0,,,,97341000.0,1636446000.0,,1251982000.0,185653000.0,7612000.0,,0.99,0.98,224343000.0,225953000.0,1033764000.0,,,,-1419000.0,,,,,,68321000.0,,,19549109000.0,,,,,,,,,8993998000.0,,-11028000.0,10294801000.0,19549109000.0,533585000.0,18521000.0,2827000.0,,,,18285000.0,,,38213000.0,818133000.0,,,,,,,,,-3592979000.0,3581292000.0,,3645128000.0,870282000.0,
2013-03-31,633915000.0,,,,27179000.0,645902000.0,,,-11987000.0,2763000.0,,0.21,0.21,260036000.0,260036000.0,269842000.0,,,,,,,,,,68321000.0,,,20788972000.0,,,,,,,,,10372098000.0,,-33091000.0,10180772000.0,20788972000.0,187122000.0,10508000.0,,,,,6972000.0,,,18276000.0,199808000.0,,,,,,,,,-1968703000.0,45377000.0,,1004416000.0,-763922000.0,
2013-06-30,1315493000.0,,,,51081000.0,1283845000.0,,,43479000.0,3978000.0,,0.17,0.17,273091000.0,276481000.0,512472000.0,,,,,,,,,,68321000.0,,,22196393000.0,,,,,,,,,10099427000.0,,-49174000.0,11644161000.0,22196393000.0,387599000.0,12694000.0,,,,,36356000.0,,,25507000.0,406737000.0,,,,,,,,,-2702569000.0,1730235000.0,,1773867000.0,-521292000.0,
