Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,17998000000.0,5331000000.0,12275000000.0,1.76,1.75,4545200000.0,4562700000.0,,,,,,,,,,10736000000.0,24812000000.0,,,1243646000000.0,,,,,,,,,1129287000000.0,41563000000.0,3009000000.0,111786000000.0,1243646000000.0,2841000000.0,,,,,,-15018000000.0,,,,28613000000.0,95285000000.0,38811000000.0,53038000000.0,,138000000.0,,,-3556000000.0,71785000000.0,21976000000.0,18000000.0,-97081000000.0,3317000000.0,3042000000.0
2010-03-31,,,,,,,,,4001000000.0,1401000000.0,2547000000.0,0.46,0.45,5190400000.0,5225200000.0,,,,,,,,,,10405000000.0,24819000000.0,,,1223630000000.0,,,,,,,,,1105476000000.0,43636000000.0,4087000000.0,116142000000.0,1223630000000.0,713000000.0,,,,,,3431000000.0,,,,8881000000.0,4191000000.0,9295000000.0,1795000000.0,,,,,-270000000.0,12695000000.0,464000000.0,51000000.0,-32355000000.0,-10779000000.0,325000000.0
2010-06-30,,,,,,,,,8660000000.0,2915000000.0,5609000000.0,1.01,1.0,5219700000.0,5260800000.0,,,,,306000000.0,,,,,10508000000.0,24820000000.0,,,1225862000000.0,,,,,,,,,1104464000000.0,46126000000.0,4844000000.0,119772000000.0,1225862000000.0,1335000000.0,,,,,,4595000000.0,,,,16854000000.0,11095000000.0,22741000000.0,3981000000.0,,11000000.0,,,-830000000.0,11720000000.0,865000000.0,75000000.0,-38083000000.0,-9509000000.0,625000000.0
2010-09-30,,,,,,,,,13836000000.0,4666000000.0,8948000000.0,1.61,1.6,5240100000.0,5273200000.0,,,,,0.0,,,,,9636000000.0,24831000000.0,,,1220784000000.0,,,,,,,,,1095619000000.0,48953000000.0,5502000000.0,123658000000.0,1220784000000.0,1502000000.0,,,,,,12034000000.0,,,,22800000000.0,37161000000.0,33349000000.0,5125000000.0,,23000000.0,,,-1827000000.0,25536000000.0,1050000000.0,79000000.0,-59415000000.0,-11079000000.0,
2010-12-31,,,,,,,,,19001000000.0,6338000000.0,12362000000.0,2.23,2.21,5226800000.0,5263100000.0,,,,,-2480000000.0,,,,,9644000000.0,24770000000.0,,,1258128000000.0,,,,,,,,,1130239000000.0,51918000000.0,4738000000.0,126408000000.0,1258128000000.0,1924000000.0,436000000.0,4287000000.0,,,,19631000000.0,,,,18772000000.0,53466000000.0,47919000000.0,8668000000.0,,36000000.0,,,-2800000000.0,-3675000000.0,1375000000.0,98000000.0,-26133000000.0,-11036000000.0,
2011-03-31,,,,,,,,,5386000000.0,1572000000.0,3759000000.0,0.68,0.67,5278800000.0,5333100000.0,,,,,,,,,,9545000000.0,24777000000.0,,,1244666000000.0,,,,,,,,,1109723000000.0,54855000000.0,5021000000.0,133471000000.0,1244666000000.0,477000000.0,261000000.0,,,,,-2389000000.0,,,,17211000000.0,18831000000.0,11651000000.0,15361000000.0,,0.0,,,-1909000000.0,1232000000.0,634000000.0,55000000.0,-17509000000.0,934000000.0,
2011-06-30,,,,,,,,,11459000000.0,3573000000.0,7707000000.0,1.38,1.37,5286500000.0,5331700000.0,,,,,,,,,,9613000000.0,24776000000.0,,,1259734000000.0,,,,,,,,,1121818000000.0,57942000000.0,5422000000.0,136401000000.0,1259734000000.0,968000000.0,376000000.0,,,,,1378000000.0,,,,28561000000.0,45125000000.0,21079000000.0,18801000000.0,,,,,-2804000000.0,-10263000000.0,801000000.0,64000000.0,-10283000000.0,8015000000.0,
2011-09-30,,,,,,,,,17599000000.0,5571000000.0,11762000000.0,2.11,2.09,5280200000.0,5325600000.0,,,,,,,,,,9607000000.0,25038000000.0,,,1304945000000.0,,,,,,,,,1165701000000.0,61135000000.0,3828000000.0,137768000000.0,1304945000000.0,1483000000.0,454000000.0,,,,,8603000000.0,,,,37789000000.0,84157000000.0,34114000000.0,21374000000.0,,245000000.0,,,-2051000000.0,-51769000000.0,1014000000.0,70000000.0,16250000000.0,2270000000.0,
2011-12-31,,,,,,,,,23656000000.0,7445000000.0,15869000000.0,2.85,2.82,5278100000.0,5323400000.0,,,,,-4914000000.0,,,,,9531000000.0,25115000000.0,,,1313867000000.0,,,,,,,,,1172180000000.0,64385000000.0,3207000000.0,140241000000.0,1313867000000.0,2208000000.0,529000000.0,3573000000.0,,,,11529000000.0,,,,13665000000.0,121235000000.0,52618000000.0,23062000000.0,,353000000.0,,,157000000.0,-35044000000.0,1296000000.0,79000000.0,24775000000.0,3396000000.0,
2012-03-31,,,,,,,,,6648000000.0,2328000000.0,4248000000.0,0.76,0.75,5282600000.0,5337800000.0,,,,,,,,,,9291000000.0,25140000000.0,,,1333799000000.0,,,,,,,,,1186950000000.0,67239000000.0,4216000000.0,145516000000.0,1333799000000.0,649000000.0,269000000.0,,,,,-5561000000.0,,,,15905000000.0,18156000000.0,12317000000.0,4242000000.0,,426000000.0,,,563000000.0,-32961000000.0,879000000.0,98000000.0,14616000000.0,-2440000000.0,
