Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,8255000000.0,,,,512000000.0,,1481000000.0,,,359000000.0,285000000.0,0.49,0.49,581674000.0,589385000.0,1867000000.0,,,222000000.0,,,224000000.0,3793000000.0,,18644000000.0,1011000000.0,,502000000.0,25280000000.0,934000000.0,948000000.0,,2477000000.0,,3656000000.0,,,,903000000.0,-168000000.0,8447000000.0,25280000000.0,1469000000.0,,,,33000000.0,,-8000000.0,5000000.0,,,2572000000.0,,,,,,-2387000000.0,,1000000.0,-2310000000.0,6000000.0,1000000.0,166000000.0,428000000.0,
2010-03-31,2596000000.0,,,,111000000.0,,478000000.0,,,-95000000.0,-193000000.0,-0.33,-0.33,583929000.0,583929000.0,1644000000.0,,,221000000.0,,,190000000.0,3589000000.0,,18714000000.0,1011000000.0,,551000000.0,25129000000.0,907000000.0,760000000.0,,2097000000.0,,3708000000.0,,,,646000000.0,3000000.0,7573000000.0,25129000000.0,361000000.0,,,,0.0,,26000000.0,-13000000.0,,,617000000.0,,,,,,-428000000.0,,-7000000.0,-435000000.0,,,-405000000.0,-223000000.0,
2010-09-30,7192000000.0,,,,356000000.0,,-1291000000.0,,,-151000000.0,-1271000000.0,-2.17,-2.17,584744000.0,584744000.0,1015000000.0,,,270000000.0,,,202000000.0,2803000000.0,,18909000000.0,8000000.0,,561000000.0,23848000000.0,869000000.0,929000000.0,,2549000000.0,,3496000000.0,,,,-578000000.0,34000000.0,7025000000.0,23848000000.0,1101000000.0,37000000.0,-240000000.0,,49000000.0,,-5000000.0,-72000000.0,,,1941000000.0,,,,,,2111000000.0,,-98000000.0,-2472000000.0,,,-321000000.0,-852000000.0,
2010-12-31,9616000000.0,,,,498000000.0,,44000000.0,,,-30000000.0,-1097000000.0,-1.88,-1.88,584552000.0,584552000.0,795000000.0,,,303000000.0,3532000000.0,,173000000.0,2530000000.0,,20272000000.0,8000000.0,,645000000.0,24972000000.0,918000000.0,1002000000.0,,2574000000.0,,3448000000.0,,,,-478000000.0,-82000000.0,7288000000.0,24972000000.0,1507000000.0,48000000.0,-153000000.0,,81000000.0,,-43000000.0,-14000000.0,,,2651000000.0,,,,,1099000000.0,2788000000.0,,-79000000.0,-4296000000.0,,,573000000.0,-1072000000.0,40000000.0
2011-03-31,2575000000.0,,,,137000000.0,,480000000.0,,,-6000000.0,321000000.0,0.55,0.54,586977000.0,596567000.0,923000000.0,,,264000000.0,,,167000000.0,2505000000.0,,20341000000.0,,,689000000.0,25083000000.0,913000000.0,872000000.0,,2458000000.0,,3448000000.0,,,,-230000000.0,-116000000.0,7537000000.0,25083000000.0,381000000.0,14000000.0,-6000000.0,,-38000000.0,,-28000000.0,46000000.0,,,811000000.0,,,,,,526000000.0,,11000000.0,-579000000.0,,,-104000000.0,128000000.0,
2011-06-30,5244000000.0,,,,271000000.0,,1027000000.0,,831000000.0,145000000.0,548000000.0,0.93,0.92,588310000.0,597633000.0,1166000000.0,,,282000000.0,,,206000000.0,2830000000.0,,20600000000.0,,,674000000.0,25705000000.0,988000000.0,915000000.0,,2390000000.0,,3572000000.0,,,,-122000000.0,-95000000.0,7716000000.0,25705000000.0,784000000.0,25000000.0,97000000.0,,-20000000.0,,9000000.0,109000000.0,,,1684000000.0,,,,,,1094000000.0,,-27000000.0,-1199000000.0,,,-114000000.0,371000000.0,
2011-09-30,7947000000.0,,,,401000000.0,,1521000000.0,,1233000000.0,194000000.0,820000000.0,1.39,1.37,588950000.0,597550000.0,996000000.0,,,287000000.0,,,186000000.0,2889000000.0,,20973000000.0,,,674000000.0,26146000000.0,1174000000.0,801000000.0,,2439000000.0,,3609000000.0,,,,33000000.0,-74000000.0,7909000000.0,26146000000.0,1202000000.0,36000000.0,82000000.0,,-15000000.0,,,165000000.0,,,2352000000.0,,,,,,1833000000.0,,-59000000.0,-1988000000.0,,,-163000000.0,201000000.0,
2011-12-31,7930000000.0,,,,325000000.0,,1867000000.0,,1202000000.0,124000000.0,376000000.0,0.64,0.63,588553000.0,598175000.0,889000000.0,,,169000000.0,1608000000.0,,159000000.0,1894000000.0,,12580000000.0,,,637000000.0,16502000000.0,691000000.0,631000000.0,,1675000000.0,,1660000000.0,,,,-5820000000.0,-389000000.0,1793000000.0,16502000000.0,1614000000.0,52000000.0,-64000000.0,,-60000000.0,,,250000000.0,,,3439000000.0,,,,,41000000.0,2796000000.0,,-67000000.0,-3003000000.0,,,-342000000.0,94000000.0,296000000.0
2012-03-31,2019000000.0,,,,96000000.0,,527000000.0,,492000000.0,133000000.0,423000000.0,0.71,0.7,593231000.0,600520000.0,1100000000.0,,,186000000.0,,,152000000.0,2119000000.0,,12964000000.0,,,621000000.0,17790000000.0,676000000.0,529000000.0,,1534000000.0,,2435000000.0,,,,-5551000000.0,-367000000.0,1940000000.0,17790000000.0,168000000.0,9000000.0,87000000.0,,17000000.0,,,-68000000.0,,,434000000.0,,,,,325000000.0,329000000.0,,-12000000.0,-491000000.0,26000000.0,,268000000.0,211000000.0,
2012-06-30,3865000000.0,,,,198000000.0,2916000000.0,859000000.0,,729000000.0,204000000.0,555000000.0,0.91,0.9,621483000.0,626620000.0,679000000.0,,,159000000.0,,,167000000.0,1682000000.0,,14056000000.0,724000000.0,,610000000.0,20267000000.0,695000000.0,599000000.0,,1298000000.0,,2555000000.0,,,,-5607000000.0,-357000000.0,2961000000.0,20267000000.0,349000000.0,18000000.0,118000000.0,,-10000000.0,,,-174000000.0,,,858000000.0,,,,,2049000000.0,922000000.0,,-66000000.0,-2890000000.0,928000000.0,,1822000000.0,-210000000.0,
