Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,2316615000.0,,,,,,,,,77409000.0,228817000.0,1.5,1.44,,,781463000.0,,,,117228000.0,,,,,245003000.0,107132000.0,,,17416926000.0,,,,,,,,,13728116000.0,3994366000.0,256386000.0,3682362000.0,17416926000.0,,12367000.0,,,,,12191000.0,,,-76636000.0,186670000.0,,,,,,20307000.0,,,355469000.0,,,-265871000.0,266033000.0,
2010-09-30,3492727000.0,,,,,,,,,105040000.0,322436000.0,2.14,2.05,,,922198000.0,,,,46246000.0,,,,,251612000.0,107131000.0,,,17812851000.0,,,,,,,,,13978750000.0,4077797000.0,396894000.0,3827392000.0,17812851000.0,,20357000.0,,,,,19716000.0,,,-34425000.0,390717000.0,,,,,,36688000.0,,,221481000.0,,,-204930000.0,406768000.0,
2010-12-31,4724069000.0,,,,,,,,,153739000.0,449287000.0,3.02,2.9,,,642952000.0,,,,65492000.0,,,,,254720000.0,90581000.0,,,17528547000.0,,,,,,,,,13818691000.0,4194684000.0,276563000.0,3702876000.0,17528547000.0,,27407000.0,,,,,30797000.0,,,58224000.0,451316000.0,,,,,,49605000.0,,,37347000.0,,,-359075000.0,127522000.0,
2011-03-31,1234351000.0,,,,,,,,,44000000.0,116487000.0,0.83,0.79,,,630151000.0,,,,76167000.0,,,,,256973000.0,90581000.0,,,17983511000.0,,,,,,,,,14184534000.0,4301258000.0,263176000.0,3791784000.0,17983511000.0,,6468000.0,,,,,-13259000.0,,,-97246000.0,55443000.0,,,,,11060000.0,11884000.0,,,-75028000.0,,,12957000.0,-12801000.0,
2011-06-30,2505300000.0,,,,,,,,,71309000.0,199569000.0,1.41,1.35,141637000.0,147677000.0,794881000.0,,,,14957000.0,,,,,254792000.0,90581000.0,,,18195124000.0,,,,,,,,,14275052000.0,4372978000.0,340743000.0,3912807000.0,18195124000.0,,13026000.0,,,,,-11205000.0,,,-93585000.0,216392000.0,,,,,8579000.0,18679000.0,,,-34372000.0,,,-43956000.0,151929000.0,37516000.0
2011-12-31,5155984000.0,,,,,,,,,123550000.0,394803000.0,2.83,2.71,139688000.0,145672000.0,911742000.0,,,,-31623000.0,,,,,262275000.0,90832000.0,29000000.0,,18487731000.0,,,,,,,,,14471779000.0,4546232000.0,354851000.0,4008426000.0,18487731000.0,,27175000.0,41119000.0,,,,,,,10269000.0,670279000.0,,,,,261992000.0,45320000.0,,,-204274000.0,,,-195213000.0,268790000.0,48000000.0
2012-03-31,1378705000.0,,,,,,,,,52071000.0,135318000.0,0.98,0.94,137814000.0,143411000.0,1082407000.0,,,,-1701000.0,,,,,268229000.0,90172000.0,,,19133632000.0,,,,,,,,,14998177000.0,4615439000.0,393259000.0,4126916000.0,19133632000.0,,7447000.0,,,,,,,,-36928000.0,73762000.0,,,,,0.0,15055000.0,,,-278594000.0,,,366505000.0,170665000.0,3249000.0
2012-06-30,2794452000.0,,,,,,,,,91606000.0,244156000.0,1.77,1.7,138181000.0,143528000.0,1012220000.0,,,,-31665000.0,,,,,264413000.0,87865000.0,,,19462106000.0,,,,,,,,,15245264000.0,4711836000.0,416355000.0,4207784000.0,19462106000.0,,15827000.0,,,,,,,,12225000.0,312411000.0,,,,,0.0,20376000.0,,,-514979000.0,,,328932000.0,100478000.0,68118000.0
2012-09-30,4214953000.0,,,,,,,,,124291000.0,345103000.0,2.51,2.41,137512000.0,142941000.0,1189564000.0,,,,-69968000.0,,,,,258368000.0,87865000.0,,,19932912000.0,,,,,,,,,15599065000.0,4800537000.0,508152000.0,4324401000.0,19932912000.0,,21070000.0,,,,,,,,-13945000.0,453349000.0,,,,,0.0,22319000.0,,,-413283000.0,,,243015000.0,277822000.0,114343000.0
2012-12-31,5823554000.0,,,,,,,,,191285000.0,510592000.0,3.72,3.56,137097000.0,143315000.0,905670000.0,,,,-60255000.0,,,,,267227000.0,87865000.0,31000000.0,,20155896000.0,,,,,,,,,15820430000.0,4817807000.0,465631000.0,4306217000.0,20155896000.0,,26763000.0,11917000.0,,,,,,,107928000.0,675458000.0,,,,,42779000.0,40556000.0,,,-775068000.0,,,97192000.0,-6072000.0,133000000.0
2013-03-31,1506769000.0,,,,,,,,,43625000.0,116615000.0,0.86,0.83,136025000.0,141223000.0,945492000.0,,,,-104810000.0,,,,,271012000.0,107529000.0,,,20120634000.0,,,,,,,,,15710004000.0,4922178000.0,428592000.0,4378541000.0,20120634000.0,,4989000.0,,,,,,,,-148321000.0,115112000.0,,,,,38556000.0,13042000.0,,,143432000.0,,,-198642000.0,39822000.0,23850000.0
2013-06-30,3077731000.0,,,,,,,,318929000.0,87204000.0,232572000.0,1.71,1.65,135959000.0,141274000.0,658839000.0,,,,67666000.0,,,,,291831000.0,112741000.0,,,20211542000.0,,,,,,,,,15945887000.0,5024565000.0,210225000.0,4238604000.0,20211542000.0,,12395000.0,,,,,,,,-76786000.0,313932000.0,2214201000.0,1561236000.0,555694000.0,,38556000.0,43446000.0,,,-371663000.0,,,-150655000.0,-246831000.0,137618000.0
2013-09-30,4711855000.0,,,,,,,,517162000.0,147249000.0,369546000.0,2.72,2.62,135726000.0,141095000.0,966326000.0,,,,63630000.0,,,,,336515000.0,113169000.0,,,20523719000.0,,,,,,,,,16128421000.0,5148017000.0,217479000.0,4367074000.0,20523719000.0,,18163000.0,,,,,,,,6942000.0,626695000.0,3198204000.0,2244665000.0,891357000.0,,38556000.0,49425000.0,,,-376005000.0,,,-185542000.0,60656000.0,176632000.0
2013-12-31,6408534000.0,,,,,,,,698888000.0,193587000.0,499925000.0,3.69,3.55,135304752.0,140742922.0,839738000.0,,,,20120000.0,,,,,339448000.0,110146000.0,,,20551796000.0,,,,,,,,,16182402000.0,5265015000.0,189391000.0,4336035000.0,20551796000.0,,23784000.0,54423000.0,,,,,,,-2826000.0,819798000.0,4198135000.0,2718156000.0,1344707000.0,,56878000.0,63150000.0,,,-545364000.0,,,-330262000.0,-65932000.0,
2014-03-31,1706906000.0,,,,,,,,247585000.0,77901000.0,169673000.0,1.31,1.25,129873000.0,135429000.0,643575000.0,,,,0.0,,,,,337982000.0,110242000.0,,,20704267000.0,,,,,,,,,16293409000.0,5421913000.0,258883000.0,4375944000.0,20704267000.0,,6187000.0,,,,,,,,-190577000.0,143164000.0,1131612000.0,546838000.0,328371000.0,,97000.0,9862000.0,,,-133995000.0,,,-203891000.0,-196163000.0,7490000.0
2014-06-30,3503895000.0,,,,,,,,511039000.0,161178000.0,349634000.0,2.72,2.6,128765000.0,134323000.0,842671000.0,,,,0.0,,,,,335741000.0,103565000.0,,,21167194000.0,,,,,,,,,16512636000.0,5587824000.0,333899000.0,4619713000.0,21167194000.0,,13615000.0,,,,,,,,-150056000.0,254623000.0,2034009000.0,1214221000.0,513281000.0,,-15548000.0,22555000.0,,,-41388000.0,,,-217673000.0,2933000.0,152439000.0
2014-09-30,5344500000.0,,,,,,,,789492000.0,250840000.0,538173000.0,4.2,4.02,128225000.0,133886000.0,1342285000.0,,,,0.0,,,,,333938000.0,103337000.0,,,22097597000.0,,,,,,,,,17354123000.0,5762406000.0,273545000.0,4708903000.0,22097597000.0,,21549000.0,,,,,,,,-143645000.0,574786000.0,3098477000.0,1887252000.0,546970000.0,,65423000.0,30797000.0,,,-218861000.0,,,153008000.0,502547000.0,238030000.0
2014-12-31,7128928000.0,,,,,,,,952196000.0,302593000.0,648884000.0,5.07,4.86,127873708.0,133651855.0,674441000.0,,,,0.0,,,,,332098000.0,150944000.0,,,21716691000.0,,,,,,,,,17092557000.0,5732410000.0,183550000.0,4589945000.0,21716691000.0,,28068000.0,31287000.0,,,,,,,-58254000.0,734847000.0,4292165000.0,2605839000.0,633459000.0,,65421000.0,41958000.0,,,-808311000.0,,,-69773000.0,-165297000.0,
2015-03-31,1744679000.0,,,,,,,,168717000.0,50273000.0,118307000.0,0.94,0.89,125969000.0,132484000.0,614695000.0,,,,0.0,,,,,327231000.0,150551000.0,,,21847052000.0,,,,,,,,,17234015000.0,5836968000.0,152058000.0,4578622000.0,21847052000.0,,8171000.0,,,,,,,,-243584000.0,61012000.0,1094439000.0,655349000.0,466276000.0,,0.0,7680000.0,,,5476000.0,,,-109389000.0,-59746000.0,4769000.0
2015-06-30,3534444000.0,,,,,,,,346904000.0,105411000.0,241342000.0,1.93,1.84,124869000.0,131228000.0,756368000.0,,,,29135000.0,,,,,332015000.0,150682000.0,,,21689809000.0,,,,,,,,,17153477000.0,5945305000.0,86055000.0,4502187000.0,21689809000.0,,14973000.0,,,,,,,,-170809000.0,332883000.0,2168400000.0,1534982000.0,794106000.0,,0.0,23504000.0,,,277442000.0,,,-518709000.0,81927000.0,54324000.0
2015-09-30,5395401000.0,,,,,,,,575824000.0,181595000.0,393949000.0,3.17,3.02,124294000.0,130563000.0,879934000.0,,,,2021000.0,,,,,336825000.0,153281000.0,,,21738566000.0,,,,,,,,,17121929000.0,6083120000.0,28111000.0,4583266000.0,21738566000.0,,24052000.0,,,,,,,,-147776000.0,620335000.0,3387648000.0,2727635000.0,765764000.0,,7156000.0,40262000.0,,,171074000.0,,,-547549000.0,205493000.0,96364000.0
2015-12-31,7206457000.0,,,,,,,,732030000.0,227923000.0,503694000.0,4.06,3.87,124040313.0,130188866.0,763631000.0,,,,451946000.0,,,,,348224000.0,153291000.0,,,21730967000.0,,,,,,,,,17097759000.0,6178070000.0,-66698000.0,4600246000.0,21730967000.0,,32123000.0,51091000.0,,,,,,,-63680000.0,881304000.0,4455223000.0,2999339000.0,1388680000.0,,7312000.0,63562000.0,,,-170763000.0,,,-555318000.0,89190000.0,
2016-03-31,1807211000.0,,,,,,,,174676000.0,54428000.0,119511000.0,0.97,0.93,122780000.0,128529000.0,837515000.0,,,,0.0,,,,,346471000.0,153747000.0,,,22230934000.0,,,,,,,,,17442878000.0,6282870000.0,8124000.0,4751213000.0,22230934000.0,,8766000.0,,,,,,,,-181969000.0,140768000.0,1032129000.0,455463000.0,381732000.0,,54313000.0,12461000.0,,,-105550000.0,,,27395000.0,73884000.0,5644000.0
2016-06-30,3663125000.0,,,,,,,,332990000.0,103837000.0,228477000.0,1.86,1.78,122698000.0,128575000.0,948710000.0,,,,0.0,,,,,346024000.0,154327000.0,,,23025863000.0,,,,,,,,,18086810000.0,6375893000.0,57282000.0,4902501000.0,23025863000.0,,17876000.0,,,,,,,,-109302000.0,332318000.0,2238683000.0,1191548000.0,716674000.0,,41213000.0,21224000.0,,,-429371000.0,,,281469000.0,185079000.0,86695000.0
2016-09-30,5682540000.0,,,,,,,,664605000.0,214789000.0,449127000.0,3.66,3.5,122652000.0,128556000.0,873064000.0,,,,0.0,,,,,348169000.0,134146000.0,,,23345656000.0,,,,,,,,,18383832000.0,6519536000.0,-9808000.0,4925765000.0,23345656000.0,,27033000.0,,,,,,,,-64608000.0,726510000.0,4280457000.0,2189365000.0,1074630000.0,,53524000.0,37895000.0,,,-801871000.0,,,184381000.0,109433000.0,99161000.0
2016-12-31,7654184000.0,,,,,,,,896438000.0,292953000.0,601916000.0,4.91,4.68,122650997.0,128552838.0,795285000.0,,,,471882000.0,,,,,349432000.0,144513000.0,,,23364844000.0,,,,,,,,,18283710000.0,6595987000.0,55568000.0,5047208000.0,23364844000.0,,37174000.0,9780000.0,,,,,,,46852000.0,848376000.0,5541202000.0,2189365000.0,2440310000.0,,53451000.0,50829000.0,,,-794488000.0,,,-6932000.0,31654000.0,
2017-03-31,1870418000.0,,,,,,,,184297000.0,59623000.0,123447000.0,1.01,0.96,121893000.0,128453000.0,608393000.0,,,,,,,,,356908000.0,144513000.0,,,23547414000.0,,,,,,,,,18328873000.0,6703675000.0,69491000.0,5179606000.0,23547414000.0,,10780000.0,,,,,,,,-177805000.0,75472000.0,1767208000.0,888423000.0,719969000.0,,71346000.0,12457000.0,,,-269755000.0,,,-2756000.0,-186892000.0,1610000.0
2017-06-30,3718467000.0,,,,,,,,345258000.0,111011000.0,232451000.0,1.88,1.81,125334000.0,128601000.0,788354000.0,,,,,,,,,424984000.0,144913000.0,,,23993491000.0,,,,,,,,,18667542000.0,6735066000.0,133302000.0,5286518000.0,23993491000.0,,22508000.0,,,,,,,,-18267000.0,224858000.0,3164892000.0,888423000.0,2069718000.0,,71346000.0,89715000.0,,,-224314000.0,,,-18493000.0,-6931000.0,145123000.0
2017-09-30,5749808000.0,,,,,,,,571370000.0,174305000.0,394505000.0,3.17,3.05,125818000.0,129289000.0,773997000.0,,,,,,,,,399924000.0,173422000.0,,,24336076000.0,,,,,,,,,18865427000.0,6880062000.0,153759000.0,5430536000.0,24336076000.0,,31883000.0,,,,,,,,-32258000.0,521858000.0,6530466000.0,2860678000.0,3081619000.0,,70570000.0,74268000.0,,,-434077000.0,,,-127372000.0,-21288000.0,182487000.0
