Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,2947510000.0,,,,285699000.0,2552567000.0,394943000.0,-234212000.0,,16009000.0,45885000.0,0.37,0.37,122771.0,123564.0,1922338000.0,,,95344000.0,,,,2186143000.0,,4976270000.0,,41319000.0,,7361883000.0,,,,742992000.0,,23576000.0,,117012000.0,4059988000.0,-105441000.0,,3075858000.0,7361883000.0,,20721000.0,15282000.0,3260000.0,,,,,,,661133000.0,,,,,,229577000.0,,,-240362000.0,,4986000.0,-489842000.0,-69492000.0,
2011-03-31,1260272000.0,,,,87661000.0,979716000.0,280556000.0,-52115000.0,,2106000.0,173804000.0,1.4,1.39,123757000.0,125371000.0,1446832000.0,,,80896000.0,,,,1745317000.0,,4854124000.0,,39091000.0,81649000.0,6783167000.0,,,,864535000.0,,77665000.0,,61118000.0,4167263000.0,182846000.0,,2420695000.0,6783167000.0,,6745000.0,1817000.0,9564000.0,,,,,,,323179000.0,,,,,,32347000.0,,,-36738000.0,,991000.0,-97793000.0,188333000.0,
2011-06-30,2627625000.0,,,,179573000.0,2134036000.0,493589000.0,-104586000.0,,7337000.0,295835000.0,2.39,2.36,123970000.0,125729000.0,1684989000.0,,,75368000.0,,,,2070862000.0,,4770450000.0,,37978000.0,95350000.0,7107712000.0,,,,1158251000.0,,76066000.0,,140404000.0,4369977000.0,242490000.0,,2508440000.0,7107712000.0,,12676000.0,6831000.0,7270000.0,,,,,,,830998000.0,171989000.0,,,,,51278000.0,,,-244532000.0,,7554000.0,-160177000.0,426490000.0,
2011-09-30,3925929000.0,,,,287508000.0,3192495000.0,733434000.0,-154976000.0,,11607000.0,422898000.0,3.41,3.37,124176000.0,125860000.0,1776024000.0,,,77411000.0,,,,2205130000.0,106081000.0,4687027000.0,,36864000.0,336472000.0,7428974000.0,,,,1325757000.0,,76510000.0,,128471000.0,4567656000.0,307061000.0,-2867000.0,2574778000.0,7428974000.0,,18318000.0,10081000.0,21248000.0,,,,,,,1149052000.0,281628000.0,,,,,85804000.0,,,-364258000.0,,10331000.0,-267135000.0,517525000.0,
2011-12-31,5269792000.0,,,,389053000.0,4261552000.0,1008240000.0,-202673000.0,805567000.0,-19546000.0,613371000.0,4.94,4.88,124039000.0,125667000.0,1262587000.0,,,72061000.0,-57869000.0,,,1726452000.0,91501000.0,4865332000.0,,35751000.0,125712000.0,6899496000.0,171608000.0,,,1579893000.0,,54294000.0,,128216000.0,4676042000.0,36368000.0,840000.0,2089022000.0,6899496000.0,,23881000.0,-10822000.0,84653000.0,,,,,,,1515835000.0,316533000.0,,,,,184146000.0,,,-459100000.0,,11052000.0,-1057641000.0,4088000.0,2088000.0
2012-03-31,1313498000.0,,,,105950000.0,1053399000.0,260099000.0,-61807000.0,198292000.0,-117000.0,140564000.0,1.25,1.23,112704000.0,114008000.0,1871070000.0,,,68163000.0,,,,2319938000.0,67641000.0,4802373000.0,,34637000.0,120796000.0,7403067000.0,162488000.0,,,1348509000.0,,51969000.0,,129648000.0,6962075000.0,126981000.0,2307000.0,248675000.0,7403067000.0,,2648000.0,-2450000.0,2041000.0,,,,,,,338490000.0,7231000.0,,,,,35493000.0,,,-12027000.0,,489000.0,280810000.0,608483000.0,
2012-06-30,2566705000.0,,,,205727000.0,2042483000.0,524222000.0,-131377000.0,392845000.0,-4857000.0,278628000.0,2.62,2.59,106243000.0,107508000.0,1933189000.0,,,66287000.0,,,,2470718000.0,54445000.0,4744574000.0,,33523000.0,119970000.0,7480591000.0,158665000.0,,,1337048000.0,,45875000.0,,119735000.0,6885119000.0,214791000.0,2096000.0,341642000.0,7480591000.0,,7854000.0,-7409000.0,-19766000.0,,,,,,,660822000.0,121408000.0,,,,,115341000.0,,,-179975000.0,,1059000.0,189194000.0,670602000.0,
2012-09-30,3865200000.0,,,,321512000.0,3093886000.0,771314000.0,-220924000.0,550390000.0,-12483000.0,390663000.0,3.75,3.71,104104000.0,105291000.0,2330937000.0,,,65531000.0,,,,2841284000.0,,4697692000.0,,32410000.0,113883000.0,7956227000.0,186645000.0,,,1205557000.0,,36718000.0,,122878000.0,7236927000.0,276565000.0,3625000.0,411335000.0,7956227000.0,,13704000.0,-15814000.0,-16896000.0,,,,,,,989236000.0,,,,,,168315000.0,,,-351130000.0,,1638000.0,427526000.0,1068350000.0,
2012-12-31,5154284000.0,,,,441699000.0,4125008000.0,1029276000.0,-296278000.0,732998000.0,4299000.0,502036000.0,4.87,4.82,103092000.0,104249000.0,1725219000.0,,,63799000.0,-48677000.0,,,2202378000.0,,4727899000.0,,31297000.0,99227000.0,7276594000.0,164858000.0,,,1131377000.0,,45499000.0,,137830000.0,7172662000.0,44775000.0,4177000.0,-259037000.0,7276594000.0,,19648000.0,-3655000.0,21019000.0,,,,,,,1185718000.0,,,,,,240985000.0,,,-344854000.0,,5253000.0,-382479000.0,462632000.0,4547000.0
2013-03-31,1378654000.0,,,,94909000.0,1045006000.0,333648000.0,-66646000.0,267002000.0,-5142000.0,202963000.0,2.02,2.0,100237000.0,101373000.0,2056705000.0,,,67909000.0,,,,2504504000.0,,4723083000.0,,30183000.0,103421000.0,7535926000.0,200670000.0,,,1234466000.0,,38237000.0,,131294000.0,7261250000.0,147612000.0,2382000.0,-157027000.0,7535926000.0,,1122000.0,-6030000.0,12131000.0,,,,,,,420870000.0,22881000.0,,,,,58797000.0,,,14829000.0,,1232000.0,-102328000.0,331486000.0,
