Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,9644303000.0,,,,,8175731000.0,1468572000.0,,,371314000.0,,1.48,1.48,456433000.0,457139000.0,107789000.0,,,566205000.0,,,,2763411000.0,,18508296000.0,,,140367000.0,25488428000.0,1083127000.0,350318000.0,,3015257000.0,,3336354000.0,,211666000.0,,1419201000.0,-49709000.0,,25488428000.0,818052000.0,29672000.0,-416581000.0,,-100504000.0,,,-50015000.0,,,1918464000.0,,,,,,1786902000.0,,,-1734667000.0,20133000.0,,-322420000.0,-138623000.0,-21154000.0
2010-03-31,2807462000.0,,,,,2403797000.0,403665000.0,,,121898000.0,,0.36,0.36,458918000.0,459697000.0,79504000.0,,,452421000.0,,,,2344294000.0,,18744541000.0,,,147531000.0,25334501000.0,842794000.0,286621000.0,,2759838000.0,,3386149000.0,,249698000.0,,,,,25334501000.0,206126000.0,7129000.0,-77163000.0,,-113784000.0,,,-199311000.0,,,555539000.0,,,,,,481242000.0,,,-460112000.0,2589000.0,,-121731000.0,-26304000.0,-393000.0
2010-06-30,5115226000.0,,,,,4386257000.0,728969000.0,,,198764000.0,,0.66,0.66,460041000.0,460432000.0,65988000.0,,,464383000.0,,,,2263947000.0,,19074194000.0,,,151714000.0,25563212000.0,842277000.0,322361000.0,,2345667000.0,,3448079000.0,,254895000.0,,,,,25563212000.0,417632000.0,16470000.0,138133000.0,,-101822000.0,,,-226316000.0,,,911531000.0,,,,,,967331000.0,,,-934426000.0,4294000.0,,-19748000.0,-42643000.0,7831000.0
2010-09-30,7744013000.0,,,,,6446414000.0,1297599000.0,,,364964000.0,,1.34,1.34,460471000.0,462019000.0,213455000.0,,,591725000.0,,,,2529513000.0,,19444841000.0,,,162473000.0,26301466000.0,794381000.0,357274000.0,,2199484000.0,,3616378000.0,,251819000.0,,,,,26301466000.0,639303000.0,27272000.0,299572000.0,,25520000.0,,,-282950000.0,,,1521729000.0,,,,,,1561987000.0,,,-1520958000.0,5869000.0,,102598000.0,103369000.0,-17410000.0
2010-12-31,10310947000.0,,,,,8690978000.0,1619969000.0,,,436635000.0,,1.63,1.62,462052000.0,463391000.0,108437000.0,,,560800000.0,3395038000.0,,,2732643000.0,,20663082000.0,,,180044000.0,27387690000.0,979750000.0,276111000.0,,2536533000.0,,3390027000.0,,249635000.0,,1701703000.0,-53093000.0,,27387690000.0,858882000.0,35807000.0,414460000.0,,-9239000.0,,,-188855000.0,,,1893942000.0,,,,,,2217327000.0,,,-2806724000.0,457258000.0,,905571000.0,-7211000.0,-16635000.0
2011-03-31,2816540000.0,,,,,2389877000.0,426663000.0,,,112001000.0,,0.42,0.42,483641000.0,484301000.0,94338000.0,,,442205000.0,,,,2514129000.0,,20908333000.0,,,168473000.0,27466649000.0,848568000.0,248408000.0,,2484756000.0,,3567061000.0,,226783000.0,,1781386000.0,-51847000.0,,27466649000.0,224723000.0,9895000.0,114852000.0,,118595000.0,,,-72424000.0,,,659443000.0,,,,,,540339000.0,,,-624348000.0,1878000.0,,-49194000.0,-14099000.0,-59051000.0
2011-06-30,5254762000.0,,,,,4468657000.0,786105000.0,,558672000.0,196534000.0,362331000.0,0.74,0.74,484918000.0,485241000.0,101603000.0,,679560000.0,484772000.0,,,,2478963000.0,,21513539000.0,,,163817000.0,28003224000.0,957521000.0,278749000.0,,2638759000.0,,3665418000.0,,225757000.0,,1812505000.0,-50983000.0,,28003224000.0,463013000.0,20299000.0,197637000.0,,76028000.0,,,32116000.0,,,1123116000.0,,,,,,1122269000.0,,,-1089883000.0,3789000.0,,-40067000.0,-6834000.0,-54993000.0
2011-09-30,8086360000.0,,,,,6648759000.0,1437601000.0,,1090271000.0,389838000.0,700663000.0,1.43,1.43,485344000.0,485894000.0,194155000.0,,752123000.0,608007000.0,,,,2861473000.0,,21729488000.0,,,164495000.0,28537854000.0,837259000.0,328958000.0,,2653183000.0,,3809638000.0,,221616000.0,,2019440000.0,-80969000.0,,28537854000.0,709936000.0,31943000.0,389355000.0,,47207000.0,,,-82681000.0,,,1924118000.0,,,,,,1604206000.0,,,-1660955000.0,6164000.0,,-177445000.0,85718000.0,-53567000.0
2011-12-31,10654770000.0,,,,,8873168000.0,1781602000.0,,1309690000.0,468316000.0,841172000.0,1.72,1.72,485039000.0,485615000.0,60684000.0,,753120000.0,618232000.0,-3841931000.0,,,2982564000.0,,22353367000.0,,,155926000.0,29497267000.0,902078000.0,381819000.0,,3588639000.0,,,,203313000.0,,2032556000.0,-94035000.0,,29497267000.0,908853000.0,45006000.0,466567000.0,,57432000.0,,,13748000.0,,,2405522000.0,,,,,,2205567000.0,,6152000.0,-2247801000.0,38691000.0,,-205474000.0,-47753000.0,-55764000.0
2012-03-31,2578079000.0,,,,,2197917000.0,380162000.0,,259284000.0,75515000.0,183893000.0,0.38,0.38,487360000.0,487995000.0,99742000.0,,718145000.0,474359000.0,162353000.0,,,2542834000.0,,22672686000.0,,,192157000.0,29453253000.0,786187000.0,348921000.0,,3708042000.0,,,,219273000.0,,2089275000.0,-67515000.0,,29453253000.0,233097000.0,3883000.0,167426000.0,,-143873000.0,,,-202649000.0,,,477483000.0,,,,,,497218000.0,,1304000.0,-399012000.0,1598000.0,,-39413000.0,39058000.0,1173000.0
