Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,14735000000.0,275809000000.0,,,,15119000000.0,19280000000.0,3.99,3.98,,,10693000000.0,169000000.0,,,,,5175000000.0,55235000000.0,,139116000000.0,,,7307000000.0,233323000000.0,,,,52061000000.0,,23148000000.0,,17651000000.0,117931000000.0,276937000000.0,,110569000000.0,233323000000.0,11917000000.0,,0.0,,-459000000.0,,-132000000.0,1420000000.0,,,28438000000.0,,,,,,22491000000.0,,,-22419000000.0,,237000000.0,-27283000000.0,-20744000000.0,
2010-03-31,,,,,3514000000.0,78183000000.0,,,,5493000000.0,6300000000.0,1.33,1.33,,,13742000000.0,85000000.0,,,,,5329000000.0,61696000000.0,,140819000000.0,,,7692000000.0,242748000000.0,,,,57744000000.0,,23662000000.0,,19035000000.0,125082000000.0,281251000000.0,,112541000000.0,242748000000.0,3280000000.0,,,,,,,,,,13046000000.0,,,,,,5756000000.0,,-165000000.0,-5167000000.0,,,-4620000000.0,3049000000.0,3896000000.0
2010-06-30,,,,,7121000000.0,157963000000.0,,,,10453000000.0,13860000000.0,2.94,2.93,4720000000.0,4733000000.0,13252000000.0,15000000.0,,,,,6304000000.0,62216000000.0,,188069000000.0,,,8141000000.0,291068000000.0,,,,57821000000.0,,34283000000.0,,18968000000.0,145701000000.0,286745000000.0,,140172000000.0,291068000000.0,6646000000.0,,,,,,,,,,22281000000.0,,,,,,11400000000.0,,-303000000.0,-10245000000.0,,28000000.0,-8797000000.0,2559000000.0,9487000000.0
2010-09-30,,,,,10828000000.0,240403000000.0,,,,15750000000.0,21210000000.0,4.38,4.37,5076000000.0,5089000000.0,12244000000.0,15000000.0,,,,,5828000000.0,62633000000.0,,195440000000.0,,,8748000000.0,299994000000.0,,,,61740000000.0,,35304000000.0,,19090000000.0,149394000000.0,291861000000.0,,145031000000.0,299994000000.0,10490000000.0,,,,,,,,,,35358000000.0,,,,,,19201000000.0,,-470000000.0,-17124000000.0,,47000000.0,-16494000000.0,1551000000.0,13950000000.0
2010-12-31,,,,1012000000.0,14683000000.0,330262000000.0,,,,21561000000.0,30460000000.0,6.24,6.22,,,7825000000.0,2000000.0,25439000000.0,,28710000000.0,,5269000000.0,58984000000.0,,199548000000.0,,,8640000000.0,302510000000.0,,,,62633000000.0,,35150000000.0,,20454000000.0,149831000000.0,298899000000.0,,146839000000.0,302510000000.0,14760000000.0,,-1135000000.0,,-1148000000.0,,913000000.0,9943000000.0,,,48413000000.0,,,,,,26871000000.0,,,-24204000000.0,,122000000.0,-26924000000.0,-2868000000.0,18941000000.0
2011-03-31,,,,,3627000000.0,95087000000.0,,,,8004000000.0,10650000000.0,2.14,2.14,,,12833000000.0,,,16262000000.0,,,7380000000.0,72022000000.0,,203726000000.0,,,8578000000.0,319533000000.0,,,,73576000000.0,,36121000000.0,,19913000000.0,162002000000.0,307361000000.0,,151480000000.0,319533000000.0,3761000000.0,,,,,,,,,,16856000000.0,,,,,,7051000000.0,,357000000.0,-5353000000.0,,,-6749000000.0,5008000000.0,5173000000.0
2011-06-30,,,,,7308000000.0,201954000000.0,,,37536000000.0,15725000000.0,21330000000.0,4.33,4.32,,,8287000000.0,1754000000.0,,19048000000.0,,,7639000000.0,72305000000.0,,209807000000.0,,,8851000000.0,326204000000.0,,,,74533000000.0,,37193000000.0,,20263000000.0,164369000000.0,315733000000.0,,155551000000.0,326204000000.0,7642000000.0,,,,,,,,,,29745000000.0,,,,,,14863000000.0,,-871000000.0,-15857000000.0,,171000000.0,-13814000000.0,462000000.0,13547000000.0
2011-09-30,,,,,11072000000.0,308604000000.0,,,56216000000.0,23734000000.0,31660000000.0,6.46,6.45,,,11022000000.0,,,16730000000.0,,,7023000000.0,69376000000.0,,209194000000.0,,,9315000000.0,323227000000.0,,,,74971000000.0,,36891000000.0,,20265000000.0,161015000000.0,323786000000.0,,155939000000.0,323227000000.0,11508000000.0,,,,,,,,,,44594000000.0,,,,,,22341000000.0,,-1144000000.0,-20153000000.0,,220000000.0,-21211000000.0,3197000000.0,20349000000.0
2011-12-31,467029000000.0,,,1044000000.0,14983000000.0,413172000000.0,,,73257000000.0,31051000000.0,41060000000.0,8.43,8.42,,,12664000000.0,,30044000000.0,15024000000.0,-28059000000.0,,6229000000.0,72963000000.0,,214664000000.0,,,9092000000.0,331052000000.0,,,,77505000000.0,,36618000000.0,,21869000000.0,170308000000.0,330939000000.0,1482000000.0,154396000000.0,331052000000.0,15583000000.0,,142000000.0,,2208000000.0,,-222000000.0,8880000000.0,,,55345000000.0,,,,,,30975000000.0,,-2547000000.0,-22165000000.0,,260000000.0,-28256000000.0,4839000000.0,27254000000.0
2012-03-31,,,,,3601000000.0,106538000000.0,,,17515000000.0,7716000000.0,9450000000.0,2.0,2.0,4715000000.0,4716000000.0,18670000000.0,,,14749000000.0,,,6420000000.0,76160000000.0,,214602000000.0,,,8434000000.0,345152000000.0,,,,79994000000.0,,36286000000.0,,23049000000.0,181035000000.0,338168000000.0,-7998000000.0,157012000000.0,345152000000.0,3842000000.0,,,,,,,,,,19287000000.0,,,,,,7843000000.0,,21000000.0,-5351000000.0,,,-8130000000.0,6006000000.0,5416000000.0
2012-06-30,,,,,7087000000.0,207710000000.0,,,43706000000.0,16253000000.0,25360000000.0,5.41,5.41,4686000000.0,4687000000.0,17802000000.0,,,15158000000.0,,,5881000000.0,72797000000.0,,214940000000.0,,,7987000000.0,329645000000.0,,,,70136000000.0,,36851000000.0,,23679000000.0,161660000000.0,351421000000.0,-10659000000.0,162811000000.0,329645000000.0,7741000000.0,,,,,,,,,,29504000000.0,,,,,,16188000000.0,,-1235000000.0,-9107000000.0,,,-15283000000.0,5138000000.0,12327000000.0
2012-12-31,453123000000.0,,,1042000000.0,13877000000.0,403569000000.0,,,78726000000.0,31045000000.0,44880000000.0,9.7,9.7,,,9582000000.0,,28373000000.0,,-31024000000.0,,5008000000.0,64460000000.0,,226949000000.0,,,7668000000.0,333795000000.0,,,,64139000000.0,,37570000000.0,,23676000000.0,162135000000.0,365727000000.0,-12184000000.0,165863000000.0,333795000000.0,15888000000.0,,3142000000.0,,1873000000.0,,42000000.0,3624000000.0,,,56170000000.0,,,,,,34271000000.0,,,-25601000000.0,,130000000.0,-33868000000.0,-3082000000.0,24349000000.0
2013-03-31,,,,,3118000000.0,92769000000.0,,,16038000000.0,6277000000.0,9500000000.0,2.12,2.12,4485000000.0,4485000000.0,6214000000.0,,,,,,5482000000.0,62594000000.0,,233728000000.0,,,7676000000.0,339639000000.0,,,,70084000000.0,,38712000000.0,,21257000000.0,166562000000.0,372666000000.0,-12767000000.0,167001000000.0,339639000000.0,4110000000.0,,,,,,,,,,13592000000.0,,,,,,7494000000.0,,-112000000.0,-10054000000.0,,,-6694000000.0,-3368000000.0,7220000000.0
