Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-26,10836000000.0,,,,,9246000000.0,1590000000.0,,,313000000.0,1071000000.0,2.28,2.22,,,353000000.0,,,122000000.0,81000000.0,,,1208000000.0,,3899000000.0,640000000.0,462000000.0,544000000.0,7148000000.0,,,,1653000000.0,,,,,6034000000.0,996000000.0,-224000000.0,1025000000.0,7148000000.0,580000000.0,56000000.0,72000000.0,,27000000.0,,,,,,1404000000.0,,,,,24000000.0,797000000.0,,19000000.0,-727000000.0,,59000000.0,-542000000.0,120000000.0,
2010-03-20,2345000000.0,,,,,1981000000.0,364000000.0,,,78000000.0,241000000.0,0.51,0.5,,,444000000.0,,,113000000.0,145000000.0,,,1404000000.0,,3766000000.0,623000000.0,453000000.0,539000000.0,7141000000.0,,,,1596000000.0,,,,,6024000000.0,1138000000.0,-249000000.0,1043000000.0,7141000000.0,119000000.0,13000000.0,-74000000.0,,5000000.0,,,,,,392000000.0,,,,,0.0,163000000.0,,4000000.0,-116000000.0,,9000000.0,-190000000.0,91000000.0,
2010-06-12,4919000000.0,,,,,4134000000.0,785000000.0,,,168000000.0,527000000.0,1.11,1.09,,,530000000.0,,,138000000.0,107000000.0,,,1464000000.0,,3694000000.0,613000000.0,444000000.0,529000000.0,7145000000.0,,,,2213000000.0,,,,,5919000000.0,1325000000.0,-263000000.0,1149000000.0,7145000000.0,256000000.0,24000000.0,-78000000.0,,-19000000.0,,,,,,833000000.0,,,,,2000000.0,327000000.0,,6000000.0,-239000000.0,,23000000.0,-412000000.0,177000000.0,
2010-09-04,7781000000.0,,,,,6452000000.0,1329000000.0,,,307000000.0,884000000.0,1.87,1.82,473000000.0,485000000.0,1274000000.0,,,149000000.0,81000000.0,,,2175000000.0,,3770000000.0,700000000.0,440000000.0,529000000.0,8088000000.0,,,,2301000000.0,,,,,6445000000.0,1681000000.0,-237000000.0,1556000000.0,8088000000.0,383000000.0,37000000.0,-130000000.0,,-30000000.0,,,,,,1497000000.0,,,,,,490000000.0,,10000000.0,-435000000.0,,46000000.0,-151000000.0,921000000.0,
2010-12-25,11343000000.0,,,33000000.0,,9574000000.0,1769000000.0,,,416000000.0,1158000000.0,2.44,2.38,474.0,486.0,1426000000.0,,,189000000.0,356000000.0,,,2313000000.0,,3830000000.0,659000000.0,475000000.0,519000000.0,8316000000.0,540000000.0,318000000.0,,2448000000.0,,-51000000.0,,,6647000000.0,1717000000.0,-227000000.0,1576000000.0,8316000000.0,589000000.0,47000000.0,-110000000.0,,-68000000.0,,,,,,1968000000.0,,,,,,796000000.0,,19000000.0,-579000000.0,,69000000.0,-337000000.0,1073000000.0,
2011-03-19,2425000000.0,,,,,2024000000.0,401000000.0,,,91000000.0,264000000.0,0.56,0.54,473.0,486.0,1529000000.0,,,156000000.0,59000000.0,,,2436000000.0,,3852000000.0,669000000.0,408000000.0,507000000.0,8426000000.0,,,,2288000000.0,,,,,6567000000.0,1960000000.0,-177000000.0,1783000000.0,8426000000.0,123000000.0,13000000.0,-60000000.0,,34000000.0,,,,,,508000000.0,,,,,,173000000.0,,-4000000.0,-156000000.0,,8000000.0,-261000000.0,103000000.0,
2011-12-31,12626000000.0,,,34000000.0,,10811000000.0,1815000000.0,,1659000000.0,324000000.0,1319000000.0,2.81,2.74,469000000.0,481000000.0,1198000000.0,,,273000000.0,600000000.0,,,2321000000.0,,4042000000.0,681000000.0,299000000.0,475000000.0,8834000000.0,712000000.0,250000000.0,,2450000000.0,,45000000.0,,,6918000000.0,2052000000.0,-247000000.0,1823000000.0,8834000000.0,628000000.0,59000000.0,-137000000.0,,75000000.0,,,,,,2170000000.0,,,,,,940000000.0,,-39000000.0,-1006000000.0,,66000000.0,-1413000000.0,-228000000.0,
2012-03-24,2743000000.0,,,,,2098000000.0,645000000.0,,608000000.0,147000000.0,458000000.0,0.99,0.96,465000000.0,478000000.0,1099000000.0,,,291000000.0,128000000.0,,,2425000000.0,,4041000000.0,962000000.0,811000000.0,531000000.0,9343000000.0,,,,2391000000.0,,,,,7064000000.0,2362000000.0,-225000000.0,2142000000.0,9343000000.0,138000000.0,11000000.0,-4000000.0,,-27000000.0,,,,,,484000000.0,,,,,540000000.0,184000000.0,,5000000.0,-402000000.0,,28000000.0,-188000000.0,-99000000.0,
2012-06-16,5911000000.0,,,,,4793000000.0,1118000000.0,,1043000000.0,249000000.0,789000000.0,1.7,1.65,465000000.0,478000000.0,984000000.0,,,305000000.0,125000000.0,,,2231000000.0,,4102000000.0,1010000000.0,733000000.0,512000000.0,9177000000.0,,,,2313000000.0,,,,,6905000000.0,2378000000.0,-243000000.0,2135000000.0,9177000000.0,279000000.0,23000000.0,-10000000.0,,-14000000.0,,,,,,924000000.0,,,,,542000000.0,406000000.0,,-2000000.0,-596000000.0,,46000000.0,-539000000.0,-214000000.0,
2012-09-08,9480000000.0,,,,,7691000000.0,1789000000.0,,1682000000.0,410000000.0,1260000000.0,2.72,2.65,463000000.0,476000000.0,942000000.0,,,291000000.0,108000000.0,,,2079000000.0,,4119000000.0,1006000000.0,713000000.0,528000000.0,8974000000.0,,,,2057000000.0,,,,,6635000000.0,2450000000.0,-253000000.0,2197000000.0,8974000000.0,429000000.0,35000000.0,86000000.0,,-27000000.0,,,,,,1818000000.0,,,,,542000000.0,678000000.0,,14000000.0,-747000000.0,,52000000.0,-1322000000.0,-256000000.0,
2012-12-29,13633000000.0,,,30000000.0,,11339000000.0,2294000000.0,,2145000000.0,537000000.0,1597000000.0,3.46,3.38,461000000.0,473000000.0,776000000.0,,,313000000.0,440000000.0,,,1909000000.0,,4250000000.0,1034000000.0,690000000.0,575000000.0,9011000000.0,684000000.0,256000000.0,,2188000000.0,,147000000.0,,,6699000000.0,2286000000.0,-132000000.0,2154000000.0,9011000000.0,645000000.0,50000000.0,28000000.0,,-9000000.0,,,,,,2294000000.0,,,,,543000000.0,1099000000.0,,27000000.0,-1005000000.0,,98000000.0,-1716000000.0,-422000000.0,
2013-03-23,2535000000.0,,,,,2048000000.0,487000000.0,,456000000.0,120000000.0,337000000.0,0.74,0.72,455000000.0,465000000.0,762000000.0,,,288000000.0,133000000.0,,,1898000000.0,,4258000000.0,1026000000.0,693000000.0,571000000.0,8945000000.0,,,,2089000000.0,,,,,6528000000.0,2413000000.0,-120000000.0,2293000000.0,8945000000.0,130000000.0,9000000.0,-6000000.0,,-26000000.0,,,,,,401000000.0,,,,,0.0,237000000.0,,-3000000.0,-153000000.0,,11000000.0,-259000000.0,-14000000.0,
2013-06-15,5439000000.0,,,,,4562000000.0,877000000.0,,814000000.0,202000000.0,618000000.0,1.36,1.33,454000000.0,464000000.0,500000000.0,,,319000000.0,115000000.0,,,1605000000.0,,4252000000.0,1110000000.0,717000000.0,571000000.0,8764000000.0,,,,1990000000.0,,,,,6420000000.0,2324000000.0,-101000000.0,2223000000.0,8764000000.0,300000000.0,21000000.0,-5000000.0,,-1000000.0,,,,,,729000000.0,,,,,89000000.0,472000000.0,,6000000.0,-410000000.0,,24000000.0,-587000000.0,-276000000.0,
2013-09-07,8905000000.0,,,,,7678000000.0,1227000000.0,,1133000000.0,384000000.0,770000000.0,1.7,1.66,453000000.0,463000000.0,753000000.0,,,300000000.0,116000000.0,,,1830000000.0,,4257000000.0,882000000.0,644000000.0,567000000.0,8730000000.0,,,,1989000000.0,,,,,6430000000.0,2326000000.0,-132000000.0,2194000000.0,8730000000.0,473000000.0,32000000.0,-51000000.0,,-19000000.0,,,,,,1553000000.0,,,,,98000000.0,699000000.0,,8000000.0,-587000000.0,,27000000.0,-975000000.0,-23000000.0,
2013-12-28,13084000000.0,,,31000000.0,,11286000000.0,1798000000.0,,1551000000.0,487000000.0,1091000000.0,2.41,2.36,452000000.0,461000000.0,573000000.0,,,294000000.0,382000000.0,,,1691000000.0,,4459000000.0,889000000.0,638000000.0,566000000.0,8695000000.0,704000000.0,303000000.0,,2265000000.0,,138000000.0,,,6427000000.0,2102000000.0,64000000.0,2166000000.0,8695000000.0,721000000.0,49000000.0,-24000000.0,,-18000000.0,,,,,,2139000000.0,,,,,99000000.0,1049000000.0,,-2000000.0,-886000000.0,,44000000.0,-1451000000.0,-203000000.0,
2014-03-22,2724000000.0,,,,,2153000000.0,571000000.0,,538000000.0,139000000.0,399000000.0,0.89,0.87,447000000.0,456000000.0,734000000.0,,,258000000.0,127000000.0,,,1809000000.0,,4378000000.0,881000000.0,633000000.0,563000000.0,8705000000.0,,,,2150000000.0,,,,1233000000.0,6332000000.0,2248000000.0,27000000.0,2275000000.0,8705000000.0,140000000.0,12000000.0,-11000000.0,,-33000000.0,,,,,,570000000.0,,,,,2000000.0,172000000.0,,-4000000.0,-168000000.0,,13000000.0,-237000000.0,161000000.0,
2014-06-14,5928000000.0,,,,,4878000000.0,1050000000.0,,988000000.0,251000000.0,733000000.0,1.64,1.61,446000000.0,456000000.0,597000000.0,,,282000000.0,129000000.0,,231000000.0,1882000000.0,,4425000000.0,875000000.0,615000000.0,557000000.0,8810000000.0,,,,2153000000.0,,,,1200000000.0,6448000000.0,2258000000.0,6000000.0,2264000000.0,8810000000.0,320000000.0,25000000.0,-10000000.0,,-5000000.0,,,,,,1084000000.0,,,,,3000000.0,408000000.0,,-7000000.0,-614000000.0,,25000000.0,-433000000.0,24000000.0,
2014-09-06,9282000000.0,,,,,7682000000.0,1600000000.0,,1510000000.0,370000000.0,1137000000.0,2.55,2.5,445000000.0,455000000.0,685000000.0,,,266000000.0,121000000.0,,226000000.0,2070000000.0,,4480000000.0,886000000.0,622000000.0,561000000.0,9177000000.0,,,,2112000000.0,,,,1146000000.0,6573000000.0,2462000000.0,36000000.0,2505000000.0,9177000000.0,501000000.0,36000000.0,-94000000.0,,-24000000.0,,,,,,1612000000.0,,,,,26000000.0,655000000.0,,-10000000.0,-920000000.0,,29000000.0,-586000000.0,112000000.0,
2014-12-27,13279000000.0,,,30000000.0,,11722000000.0,1557000000.0,,1427000000.0,406000000.0,1051000000.0,2.37,2.32,444000000.0,453000000.0,578000000.0,,,301000000.0,622000000.0,,,1646000000.0,,4498000000.0,700000000.0,318000000.0,560000000.0,8345000000.0,694000000.0,331000000.0,,2411000000.0,,40000000.0,,,6732000000.0,1737000000.0,-190000000.0,1547000000.0,8345000000.0,739000000.0,55000000.0,-172000000.0,,22000000.0,,,,,,2049000000.0,,,,,28000000.0,1033000000.0,,-11000000.0,-936000000.0,,42000000.0,-1114000000.0,5000000.0,
