Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2013-03-31,1090000000.0,402000000.0,,,357000000.0,,,,192000000.0,52000000.0,140000000.0,0.28,0.28,500000000.0,500111000.0,468000000.0,,861000000.0,1120000000.0,83000000.0,,188000000.0,2942000000.0,,1237000000.0,985000000.0,855000000.0,60000000.0,6142000000.0,275000000.0,,,1287000000.0,,337000000.0,33000000.0,121000000.0,5418000000.0,13000000.0,-121000000.0,709000000.0,6142000000.0,51000000.0,11000000.0,7000000.0,,,,,,,,281000000.0,,,,,,22000000.0,,0.0,-22000000.0,,,-108000000.0,151000000.0,9000000.0
2013-06-30,2204000000.0,818000000.0,,,756000000.0,,,,379000000.0,111000000.0,268000000.0,0.54,0.54,500000000.0,500217000.0,369000000.0,,1137000000.0,1257000000.0,92000000.0,,227000000.0,3082000000.0,,1252000000.0,982000000.0,834000000.0,57000000.0,6261000000.0,587000000.0,,,1321000000.0,,308000000.0,38000000.0,131000000.0,5438000000.0,109000000.0,-183000000.0,800000000.0,6261000000.0,102000000.0,31000000.0,-19000000.0,,,,,,,,269000000.0,,,,,0.0,80000000.0,,0.0,-74000000.0,,,-140000000.0,52000000.0,26000000.0
2013-09-29,3307000000.0,1203000000.0,,,1155000000.0,,,11000000.0,564000000.0,165000000.0,399000000.0,0.8,0.8,500000000.0,500354000.0,389000000.0,,1110000000.0,1290000000.0,66000000.0,,228000000.0,3083000000.0,,1252000000.0,980000000.0,815000000.0,59000000.0,6259000000.0,482000000.0,,,1308000000.0,,269000000.0,41000000.0,133000000.0,5393000000.0,207000000.0,-245000000.0,843000000.0,6259000000.0,151000000.0,37000000.0,-47000000.0,,,,,,,,383000000.0,,,,,,135000000.0,,0.0,-128000000.0,,,-172000000.0,72000000.0,77000000.0
2013-12-31,4561000000.0,1669000000.0,,,1613000000.0,,,9000000.0,690000000.0,187000000.0,504000000.0,1.01,1.01,500002000.0,500317000.0,610000000.0,,1138000000.0,1293000000.0,97000000.0,,219000000.0,3357000000.0,,1295000000.0,982000000.0,803000000.0,58000000.0,6558000000.0,506000000.0,,,1415000000.0,,322000000.0,49000000.0,168000000.0,5596000000.0,276000000.0,-219000000.0,940000000.0,6558000000.0,209000000.0,43000000.0,23000000.0,99000000.0,104000000.0,,24000000.0,-82000000.0,,196000000.0,681000000.0,,,,,4000000.0,184000000.0,,0.0,-179000000.0,,,-200000000.0,293000000.0,134000000.0
2014-03-30,1097000000.0,379000000.0,,,356000000.0,,,-1000000.0,227000000.0,72000000.0,155000000.0,0.31,0.31,500231000.0,500702000.0,506000000.0,,1100000000.0,1316000000.0,95000000.0,,205000000.0,3222000000.0,,1292000000.0,982000000.0,787000000.0,63000000.0,6403000000.0,363000000.0,,,1127000000.0,,319000000.0,51000000.0,165000000.0,5304000000.0,395000000.0,-229000000.0,1077000000.0,6403000000.0,50000000.0,5000000.0,2000000.0,,,,,,,,-23000000.0,,,,,,45000000.0,,,-45000000.0,,,-35000000.0,-104000000.0,13000000.0
2014-06-29,2255000000.0,792000000.0,,,752000000.0,,,-9000000.0,427000000.0,133000000.0,291000000.0,0.58,0.58,500975000.0,501684000.0,578000000.0,,1098000000.0,1336000000.0,108000000.0,,207000000.0,3327000000.0,,1309000000.0,984000000.0,774000000.0,71000000.0,6522000000.0,337000000.0,,,1061000000.0,,314000000.0,54000000.0,168000000.0,5239000000.0,531000000.0,-199000000.0,1260000000.0,6522000000.0,101000000.0,13000000.0,-4000000.0,,,,,,,,136000000.0,,,,,15000000.0,87000000.0,,,-95000000.0,,,-74000000.0,-32000000.0,87000000.0
2014-09-28,3465000000.0,1226000000.0,,,1146000000.0,,,-13000000.0,665000000.0,204000000.0,457000000.0,0.91,0.91,501453000.0,502445000.0,598000000.0,,1057000000.0,1388000000.0,106000000.0,,204000000.0,3353000000.0,,1313000000.0,982000000.0,757000000.0,67000000.0,6527000000.0,259000000.0,442000000.0,,998000000.0,,265000000.0,57000000.0,176000000.0,5138000000.0,661000000.0,-240000000.0,1364000000.0,6527000000.0,151000000.0,22000000.0,-60000000.0,,,,,,,,239000000.0,,,,,15000000.0,129000000.0,,1000000.0,-137000000.0,,,-112000000.0,-12000000.0,210000000.0
2014-12-31,4785000000.0,1717000000.0,,,1643000000.0,,,-7000000.0,820000000.0,233000000.0,583000000.0,1.16,1.16,501055000.0,502025000.0,882000000.0,,980000000.0,1289000000.0,109000000.0,,205000000.0,3465000000.0,,1318000000.0,976000000.0,727000000.0,67000000.0,6607000000.0,290000000.0,475000000.0,,1086000000.0,,277000000.0,57000000.0,207000000.0,5270000000.0,709000000.0,-361000000.0,1311000000.0,6607000000.0,204000000.0,32000000.0,-49000000.0,-69000000.0,16000000.0,,2000000.0,-210000000.0,,11000000.0,626000000.0,,,,,15000000.0,180000000.0,,1000000.0,-187000000.0,,,-154000000.0,272000000.0,278000000.0
2015-03-29,1102000000.0,394000000.0,,,354000000.0,,,0.0,230000000.0,65000000.0,165000000.0,0.33,0.33,501146000.0,503224000.0,559000000.0,,905000000.0,1346000000.0,87000000.0,,213000000.0,3110000000.0,,1301000000.0,1169000000.0,735000000.0,58000000.0,6430000000.0,256000000.0,30000000.0,,1370000000.0,,256000000.0,57000000.0,199000000.0,5125000000.0,832000000.0,-479000000.0,1278000000.0,6430000000.0,48000000.0,10000000.0,-3000000.0,,,,,,,,60000000.0,,,,,230000000.0,45000000.0,,,-274000000.0,,,-94000000.0,-323000000.0,52000000.0
2015-06-28,2277000000.0,821000000.0,,,733000000.0,,,-2000000.0,203000000.0,74000000.0,128000000.0,0.26,0.25,500660000.0,502893000.0,544000000.0,,993000000.0,1417000000.0,127000000.0,,235000000.0,3316000000.0,,1295000000.0,1167000000.0,697000000.0,58000000.0,6598000000.0,278000000.0,39000000.0,,1572000000.0,,234000000.0,59000000.0,288000000.0,5396000000.0,795000000.0,-504000000.0,1176000000.0,6598000000.0,98000000.0,21000000.0,-73000000.0,71000000.0,134000000.0,,30000000.0,-2000000.0,,-60000000.0,182000000.0,,,,,229000000.0,91000000.0,0.0,,-318000000.0,,,-185000000.0,-338000000.0,121000000.0
